ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
M_10fthf_c	1	1	1	1	1	1	1	1	1	1	1
M_10fthfglu_c	1	1	1	1	1	1	1	1	1	1	1
M_11cu2s_CopA_p	0	0	0	1	0	0	1	1	1	1	0
M_12anthcd_c	1	1	1	1	1	1	1	1	1	1	1
M_12bhpp_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr120_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr120_e	0	1	0	1	0	1	1	1	1	0	1
M_12dgr140_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr140_e	0	1	0	1	0	1	1	1	1	0	1
M_12dgr141_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr141_e	0	1	0	1	0	1	1	1	1	0	1
M_12dgr160_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr160_e	0	1	0	1	0	1	1	1	1	0	1
M_12dgr161_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr161_e	0	1	0	1	0	1	1	1	1	0	1
M_12dgr180_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr180_e	0	1	0	1	0	1	1	1	1	0	1
M_12dgr181_c	1	1	1	1	1	1	1	1	1	1	1
M_12dgr181_e	0	1	0	1	0	1	1	1	1	0	1
M_12dhflu_c	1	1	1	1	1	1	1	1	1	1	1
M_12glucan_C13_c	1	1	1	1	1	1	1	1	1	1	1
M_12ppd__R_c	0	0	0	0	0	0	1	0	1	0	0
M_13dpg_c	1	1	1	1	1	1	1	1	1	1	1
M_14aglucan_c	1	1	1	1	1	1	1	1	1	1	1
M_14aglucan_e	1	1	1	1	1	1	1	1	1	1	1
M_14bglucan_e	1	1	1	1	1	1	1	1	1	1	1
M_14dhncoa_c	1	1	1	1	1	1	1	1	1	1	1
M_14hpeth_c	1	1	1	1	1	1	1	1	1	1	1
M_15dap_c	1	1	1	1	1	1	1	1	1	1	1
M_16aglucan_e	1	1	1	1	1	1	1	1	1	1	1
M_16dh24checc_c	1	1	1	0	1	1	1	0	1	0	1
M_1acpc_c	1	1	1	1	1	1	1	1	1	1	1
M_1agpe120_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpe140_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpe141_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpe160_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpe161_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpe180_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpe181_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpg120_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpg140_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpg141_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpg160_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpg161_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpg180_p	1	1	1	1	1	1	1	1	1	1	1
M_1agpg181_p	1	1	1	1	1	1	1	1	1	1	1
M_1btol_c	1	1	1	1	1	1	1	1	1	1	1
M_1ddecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_1ddecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_1h2nap_c	1	1	1	1	1	1	1	1	1	1	1
M_1hdec9eg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_1hdec9eg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_1hdecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_1hdecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_1odec11eg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_1odec11eg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_1odecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_1odecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_1p2cbxl_c	0	0	0	0	0	0	0	0	1	0	0
M_1p3h5c_c	1	1	1	1	1	1	1	1	1	1	1
M_1pipdn2c_c	0	0	0	0	0	0	0	0	1	0	0
M_1py4h3c_c	0	0	0	0	0	0	0	0	1	0	0
M_1pyr5c_c	1	1	1	1	1	1	1	1	1	1	1
M_1tdec7eg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_1tdec7eg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_1tdecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_1tdecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_22bhpp_c	1	1	1	1	1	1	1	1	1	1	1
M_23bhpp_c	1	1	1	1	1	1	1	1	1	1	1
M_23camp_e	1	1	1	1	1	1	1	1	1	1	1
M_23camp_p	1	1	1	1	1	1	1	1	1	1	1
M_23ccmp_e	1	1	1	1	1	1	1	1	1	1	1
M_23ccmp_p	1	1	1	1	1	1	1	1	1	1	1
M_23cgmp_e	1	1	1	1	1	1	1	1	1	1	1
M_23cgmp_p	1	1	1	1	1	1	1	1	1	1	1
M_23cump_e	1	1	1	1	1	1	1	1	1	1	1
M_23cump_p	1	1	1	1	1	1	1	1	1	1	1
M_23dappa_c	1	0	1	0	1	1	0	0	0	1	1
M_23dhacoa_c	1	1	1	1	1	1	1	1	1	1	1
M_23dhb_c	0	0	0	1	0	0	0	1	0	0	0
M_23dhdp_c	1	1	1	1	1	1	1	1	1	1	1
M_23dhmb_c	1	1	1	1	1	1	1	1	1	1	1
M_23dhmp_c	1	1	1	1	1	1	1	1	1	1	1
M_23doddt_c	1	1	1	1	1	1	1	1	1	1	1
M_246tchph_c	1	1	1	1	1	1	1	1	1	1	1
M_24dab_c	1	1	1	1	1	1	1	1	1	1	1
M_24dhhp2end_c	1	1	1	1	1	1	1	1	1	1	1
M_25aics_c	1	1	1	1	1	1	1	1	1	1	1
M_25dhpp_c	1	1	1	1	1	1	1	1	1	1	1
M_25dkglcn_c	1	1	1	1	1	1	1	1	1	1	1
M_25dop_c	1	1	1	1	1	1	1	1	1	1	1
M_25drapp_c	1	0	1	0	1	1	0	0	0	0	1
M_26dap_LL_c	1	1	1	1	1	1	1	1	1	1	1
M_26dap__M_c	1	1	1	1	1	1	1	1	1	1	1
M_26dchhq_c	1	1	1	1	1	1	1	1	1	1	1
M_26dchp_c	1	1	1	1	1	1	1	1	1	1	1
M_26dhccoa_c	1	1	1	1	1	0	1	1	1	1	1
M_2a3o4pob_c	1	0	1	0	0	1	0	0	0	0	1
M_2agpe120_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpe120_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpe140_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpe140_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpe141_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpe141_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpe160_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpe160_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpe161_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpe161_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpe180_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpe180_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpe181_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpe181_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpg120_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpg120_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpg140_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpg140_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpg141_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpg141_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpg160_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpg160_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpg161_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpg161_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpg180_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpg180_p	1	1	1	1	1	1	1	1	1	1	1
M_2agpg181_c	1	1	1	1	1	1	1	1	1	1	1
M_2agpg181_p	1	1	1	1	1	1	1	1	1	1	1
M_2ahbut_c	1	1	1	1	1	1	1	1	1	1	1
M_2ameph_c	0	0	0	0	0	1	1	0	0	0	1
M_2ameph_p	0	0	0	0	0	1	1	0	0	0	1
M_2amsa_c	1	1	1	1	1	1	1	1	1	1	1
M_2aobut_c	1	1	1	1	1	1	1	1	1	1	1
M_2c23dh56dhoxin_e	1	1	1	1	1	1	1	1	1	1	1
M_2c4h6at_c	0	1	0	1	1	1	1	1	1	0	1
M_2cpr5p_c	1	1	1	1	1	1	1	1	1	1	1
M_2dda7p_c	1	1	1	1	1	1	1	1	1	1	1
M_2ddecg3p_c	1	1	1	1	1	1	1	1	1	1	1
M_2ddecg3p_p	1	1	1	1	1	1	1	1	1	1	1
M_2ddglcn_c	1	1	1	1	1	1	1	1	1	1	1
