ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
R_12DHFD	1	1	1	1	1	1	1	1	1	1	1
R_12GLUCANS1	1	1	1	1	1	1	1	1	1	1	1
R_12GLUCANS2	1	1	1	1	1	1	1	1	1	1	1
R_12GLUCANS3	1	1	1	1	1	1	1	1	1	1	1
R_12GLUCANS4	1	1	1	1	1	1	1	1	1	1	1
R_12GLUCANabcppRS	1	1	1	1	1	1	1	1	1	1	1
R_12GLUCANacabcppRS	1	1	1	1	1	1	1	1	1	1	1
R_14HPED	1	1	1	1	1	1	1	1	1	1	1
R_16DCDC1	1	1	1	0	1	1	1	0	1	0	1
R_16DCDC2	1	1	1	0	1	1	1	0	1	0	1
R_16DCDC3	1	1	1	0	1	1	1	0	1	0	1
R_16DCDC4	1	1	1	0	1	1	1	0	1	0	1
R_1MNAPTH	1	1	1	1	1	1	1	1	1	1	1
R_1P2CBXLR	0	0	0	0	0	0	0	0	1	0	0
R_1PPDCRc	0	0	0	0	0	0	0	0	1	0	0
R_1PY4h3cAH	0	0	0	0	0	0	0	0	1	0	0
R_23CAMPtex	1	1	1	1	1	1	1	1	1	1	1
R_23CCMPtex	1	1	1	1	1	1	1	1	1	1	1
R_23CGMPtex	1	1	1	1	1	1	1	1	1	1	1
R_23CUMPtex	1	1	1	1	1	1	1	1	1	1	1
R_23DHB34DOX	0	0	0	1	0	0	0	1	0	0	0
R_23PDE2pp	1	1	1	1	0	1	1	1	1	1	1
R_23PDE4pp	1	1	1	1	0	1	1	1	1	1	1
R_23PDE7pp	1	1	1	1	0	1	1	1	1	1	1
R_23PDE9pp	1	1	1	1	0	1	1	1	1	1	1
R_2AGPA120tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPA140tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPA141tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPA160tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPA161tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPA180tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPA181tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPE120tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPE140tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPE141tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPE160tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPE161tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPE180tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPE181tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPG120tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPG140tipp	1	1	1	1	1	1	1	1	1	1	1
R_2AGPG141tipp	1	1	1	1	1	1	1	1	1	1	1
