KPN_04005	RSMOLK2_03186
KPN_03036	RSMOLK2_04304
KPN_04249	RSMOLK2_02904
KPN_04008	RSMOLK2_03860
KPN_01090	RSMOLK2_04173
KPN_01091	RSMOLK2_04172
KPN_02180	RSMOLK2_03391
KPN_01092	RSMOLK2_04171
KPN_01093	RSMOLK2_04170
KPN_01096	RSMOLK2_03608
KPN_02055	RSMOLK2_03512
KPN_02176	RSMOLK2_03395
KPN_04478	RSMOLK2_03268
KPN_01089	RSMOLK2_04174
KPN_03268	RSMOLK2_03512
KPN_03389	RSMOLK2_03114
KPN_03388	RSMOLK2_03115
KPN_04239	RSMOLK2_00105
KPN_03029	RSMOLK2_00779
KPN_03380	RSMOLK2_00314
KPN_03140	RSMOLK2_02621
KPN_04350	RSMOLK2_01932
KPN_02295	RSMOLK2_04600
KPN_02054	RSMOLK2_03021
KPN_02054	RSMOLK2_03385
KPN_02175	RSMOLK2_03396
KPN_01197	RSMOLK2_02085
KPN_03375	RSMOLK2_00141
KPN_01198	RSMOLK2_03576
KPN_02169	RSMOLK2_02869
KPN_03016	RSMOLK2_00856
KPN_02160	RSMOLK2_03772
KPN_03130	RSMOLK2_04141
KPN_02162	RSMOLK2_00725
KPN_02162	RSMOLK2_01990
KPN_03132	RSMOLK2_01297
KPN_01074	RSMOLK2_00462
KPN_03131	RSMOLK2_04141
KPN_04329	RSMOLK2_00432
KPN_03123	RSMOLK2_04081
KPN_00096	RSMOLK2_02166
KPN_03244	RSMOLK2_03827
KPN_00095	RSMOLK2_02167
KPN_00094	RSMOLK2_02168
KPN_03124	RSMOLK2_04084
KPN_04576	RSMOLK2_03978
KPN_04337	RSMOLK2_00693
KPN_00091	RSMOLK2_02172
KPN_03126	RSMOLK2_03389
KPN_04339	RSMOLK2_03022
KPN_00090	RSMOLK2_02173
KPN_04217	RSMOLK2_01909
KPN_02392	RSMOLK2_01559
KPN_02392	RSMOLK2_01205
KPN_02393	RSMOLK2_01558
KPN_04331	RSMOLK2_00435
KPN_04289	RSMOLK2_00667
KPN_04288	RSMOLK2_00665
KPN_03194	RSMOLK2_01106
