XFCFBP8418_010140	RSUW551_01901
XFCFBP8418_015830	RSUW551_01370
XFCFBP8418_012560	RSUW551_02045
XFCFBP8418_024550	RSUW551_00700
XFCFBP8418_023460	RSUW551_02832
XFCFBP8418_000340	RSUW551_00535
XFCFBP8418_021280	RSUW551_01431
XFCFBP8418_019190	RSUW551_04629
XFCFBP8418_003850	RSUW551_01007
XFCFBP8418_025400	RSUW551_03772
XFCFBP8418_026730	RSUW551_02706
XFCFBP8418_026730	RSUW551_04091
XFCFBP8418_025640	RSUW551_00937
XFCFBP8418_027800	RSUW551_00380
XFCFBP8418_004700	RSUW551_02442
XFCFBP8418_011240	RSUW551_02659
XFCFBP8418_012330	RSUW551_02384
XFCFBP8418_015840	RSUW551_02582
XFCFBP8418_010150	RSUW551_00569
XFCFBP8418_011480	RSUW551_00465
XFCFBP8418_014990	RSUW551_00608
XFCFBP8418_022360	RSUW551_00348
XFCFBP8418_026960	RSUW551_03483
XFCFBP8418_004710	RSUW551_02441
XFCFBP8418_023450	RSUW551_02831
XFCFBP8418_003860	RSUW551_01006
XFCFBP8418_023690	RSUW551_01969
XFCFBP8418_026720	RSUW551_02707
XFCFBP8418_026720	RSUW551_04090
XFCFBP8418_000350	RSUW551_00537
XFCFBP8418_022120	RSUW551_00336
XFCFBP8418_025630	RSUW551_00938
XFCFBP8418_001680	RSUW551_00073
XFCFBP8418_001680	RSUW551_04208
XFCFBP8418_011250	RSUW551_02660
XFCFBP8418_015850	RSUW551_00580
XFCFBP8418_010160	RSUW551_00568
XFCFBP8418_014760	RSUW551_00426
XFCFBP8418_027840	RSUW551_01555
XFCFBP8418_026750	RSUW551_02703
XFCFBP8418_004720	RSUW551_02636
XFCFBP8418_025660	RSUW551_00935
XFCFBP8418_024570	RSUW551_01760
XFCFBP8418_023480	RSUW551_02834
XFCFBP8418_002300	RSUW551_00523
XFCFBP8418_001690	RSUW551_03572
XFCFBP8418_001690	RSUW551_00074
XFCFBP8418_001690	RSUW551_04207
XFCFBP8418_023000	RSUW551_00992
XFCFBP8418_000360	RSUW551_02029
XFCFBP8418_025420	RSUW551_00417
XFCFBP8418_006900	RSUW551_03055
XFCFBP8418_014530	RSUW551_01238
XFCFBP8418_017800	RSUW551_00493
XFCFBP8418_013200	RSUW551_00401
XFCFBP8418_011260	RSUW551_02661
XFCFBP8418_010170	RSUW551_00567
XFCFBP8418_012590	RSUW551_00702
XFCFBP8418_012350	RSUW551_01713
XFCFBP8418_025650	RSUW551_00936
XFCFBP8418_003400	RSUW551_01269
XFCFBP8418_002310	RSUW551_00524
XFCFBP8418_027830	RSUW551_02506
XFCFBP8418_022380	RSUW551_03321
XFCFBP8418_004730	RSUW551_02637
XFCFBP8418_023470	RSUW551_02833
XFCFBP8418_025410	RSUW551_03795
XFCFBP8418_026740	RSUW551_02704
XFCFBP8418_012120	RSUW551_01550
XFCFBP8418_013210	RSUW551_02709
XFCFBP8418_015630	RSUW551_00426
XFCFBP8418_014300	RSUW551_01025
XFCFBP8418_011270	RSUW551_02663
XFCFBP8418_012360	RSUW551_01112
XFCFBP8418_014780	RSUW551_02627
XFCFBP8418_014540	RSUW551_02604
XFCFBP8418_026530	RSUW551_01266
XFCFBP8418_025440	RSUW551_00416
XFCFBP8418_002320	RSUW551_00999
XFCFBP8418_006920	RSUW551_03056
XFCFBP8418_004740	RSUW551_02638
XFCFBP8418_025680	RSUW551_00933
XFCFBP8418_004980	RSUW551_01287
XFCFBP8418_001470	RSUW551_02961
XFCFBP8418_000380	RSUW551_01633
XFCFBP8418_000140	RSUW551_04068
XFCFBP8418_001230	RSUW551_00539
XFCFBP8418_011280	RSUW551_02665
XFCFBP8418_010190	RSUW551_00564
XFCFBP8418_012130	RSUW551_01551
XFCFBP8418_017820	RSUW551_01066
XFCFBP8418_012370	RSUW551_01111
XFCFBP8418_014550	RSUW551_02605
XFCFBP8418_000390	RSUW551_00428
XFCFBP8418_023490	RSUW551_02835
XFCFBP8418_026760	RSUW551_02701
XFCFBP8418_022160	RSUW551_01137
XFCFBP8418_025670	RSUW551_00934
XFCFBP8418_024580	RSUW551_01761
XFCFBP8418_003660	RSUW551_01733
XFCFBP8418_002570	RSUW551_02724
XFCFBP8418_004750	RSUW551_00448
XFCFBP8418_002330	RSUW551_01687
XFCFBP8418_027850	RSUW551_00161
XFCFBP8418_001240	RSUW551_03912
XFCFBP8418_004990	RSUW551_00828
XFCFBP8418_011290	RSUW551_02666
XFCFBP8418_016500	RSUW551_01555
XFCFBP8418_015410	RSUW551_00306
XFCFBP8418_017830	RSUW551_00097
XFCFBP8418_012140	RSUW551_01553
XFCFBP8418_011050	RSUW551_00614
XFCFBP8418_014560	RSUW551_02606
