RSc0338	H16_A0317
RSc2516	H16_A1588
RSc2516	H16_A0940
RSc2516	H16_A0942
RSc0339	H16_B0060
RSc2515	H16_A1901
RSc2999	H16_A3464
RSc2998	H16_A2433
RSc2998	H16_B1924
RSc2998	H16_A3463
RSc2518	H16_A3185
RSc0330	H16_A0299
RSc2993	H16_A3458
RSc2992	H16_A3457
RSc0331	H16_A0298
RSc0331	H16_A0692
RSc1661	PHG310
RSc2991	H16_A3456
RSc2990	H16_A3455
RSc0334	H16_A1552
RSc2997	H16_A3462
RSc2996	H16_A3461
RSc0335	H16_A0308
RSc0332	H16_B1459
RSc0332	H16_A0691
RSc0332	H16_A0297
RSc2995	H16_A3460
RSc2994	H16_A3459
RSc0333	H16_A0306
RSc0327	H16_A0302
RSc2506	H16_B2550
RSc2989	H16_A3453
RSc2505	H16_B2551
RSc0328	H16_A0301
RSc0328	H16_B1854
RSc1658	PHG307
RSc2988	H16_A3452
RSc0325	H16_A0120
RSc1657	PHG306
RSc0326	H16_A0303
RSc2987	H16_A3451
RSc2503	H16_A3603
RSc0329	H16_A0300
RSc2507	H16_B0113
RSc2982	H16_A3446
RSc2981	H16_A3445
RSc2980	H16_A3444
RSc0323	H16_A0122
RSc2986	H16_A3450
RSc2501	H16_B0984
RSc2501	RALH11949
RSc2501	H16_A2780
RSc0324	H16_A0121
RSc1654	H16_A1468
RSc2985	H16_A3449
RSc1653	H16_A1467
RSc2984	H16_A3448
RSc0322	H16_A0123
RSc2983	H16_A3447
RSc2983	H16_B1727
RSc1652	H16_A1466
RSp0744	H16_A0653
RSp0744	H16_B2433
RSp0743	H16_B2434
RSp0749	H16_A0651
RSp0749	H16_B2428
RSc1648	H16_A1757
RSc1648	H16_A1818
RSc1648	H16_B1785
RSc1648	H16_A1463
RSc2979	H16_A3443
RSc0316	H16_A0131
RSc0317	H16_A0130
RSc1647	H16_A1462
RSc2978	RALH13649
RSc0314	H16_A0133
RSc1646	H16_A1460
RSc2977	H16_A3442
RSc2976	H16_A0665
RSc2976	H16_B1965
RSc2976	H16_A3441
RSc0315	H16_A0132
RSc1645	H16_A1459
RSc0319	H16_A2724
RSc0319	H16_B0534
RSc0319	H16_B1067
RSc0319	H16_B1166
RSc1640	H16_A1452
RSc2971	H16_A3436
RSc0793	H16_A3720
RSc0793	PHG080
RSc0793	H16_A2775
RSc0793	H16_B2053
RSc0793	PHG079
RSc2970	H16_A3435
RSc0790	H16_A2787
RSc0791	H16_A2784
RSc1644	H16_A1457
RSc0312	H16_A0135
RSc0796	H16_A2770
RSc2975	H16_A3440
RSc1643	H16_A1456
RSc0797	H16_A2769
RSc0313	H16_A0134
RSc2974	H16_A3439
RSc1642	H16_A1455
RSc0794	H16_A2774
RSc0794	H16_B2054
RSc0310	H16_A0137
RSc2973	H16_A3438
RSc1641	H16_A1454
RSc1641	H16_B0459
RSc0311	H16_A0136
RSc0795	H16_A2771
RSc2972	H16_A3437
RSp1621	H16_B2086
RSp1625	H16_A1744
RSp0778	H16_B2350
RSp0778	H16_B0079
RSp1628	H16_A1744
RSc0789	H16_A2785
RSc0305	H16_A0141
RSc1637	H16_A1445
RSc2968	H16_A3433
RSc1636	H16_A1444
RSc2967	H16_B0080
RSc0306	H16_A0140
RSc1635	H16_A1443
RSc2966	H16_A3432
RSc2965	H16_A3431
RSc1634	H16_A1440
RSc0304	H16_A0142
RSc0788	H16_A2786
RSc0309	H16_A0138
RSc0307	H16_A0065
RSc1639	H16_A1447
RSc2969	H16_A3434
RSc0308	H16_A0139
RSc0308	H16_A1749
RSc1638	H16_A1446
RSc2960	H16_A3425
RSc0781	H16_B0798
RSc0781	H16_A2793
RSc0782	H16_A2792
RSc0780	H16_A2794
RSc2964	H16_A3430
RSc1633	H16_A1439
RSc0301	H16_A0143
RSc0785	H16_A2789
RSc1632	H16_B0381
RSc1632	H16_A1438
RSc2963	H16_A3428
RSc2962	H16_A3427
RSc1631	H16_A1437
RSc0784	H16_A2790
RSc0784	H16_B2178
RSc2961	H16_A3426
RSc0300	H16_A0145
RSc1630	H16_A1436
RSp1613	H16_B1180
RSp1611	H16_B1537
RSp1611	H16_B1179
RSp1611	H16_B0982
RSp1611	H16_B2057
RSp0765	RALH10692
RSp0765	H16_A3206
RSp1612	H16_A0477
RSp1615	H16_A2758
RSp1615	H16_B0321
RSc1626	H16_A1432
RSc2957	H16_A3422
RSc1625	H16_A1431
RSc2956	H16_A3421
RSc0779	H16_A2795
RSc1624	H16_A1430
RSc2955	H16_A3420
RSc1623	H16_A1429
RSc2954	H16_A3419
RSc0777	H16_A2797
RSc1629	H16_A1435
RSc1628	H16_A1434
RSc2959	H16_B2177
RSc2959	H16_A3424
RSc2958	H16_A3423
RSc2958	H16_B2175
RSc1627	H16_A1433
RSc2953	H16_A3418
RSc0774	H16_A2799
RSc1621	H16_B0977
RSc1621	H16_A1419
RSc1621	PHG116
RSc2952	H16_A3416
RSc0775	H16_A2777
RSc2951	H16_A3415
RSc0772	H16_A1591
RSc2950	H16_A3414
RSc0773	H16_A2800
RSp0711	PHG115
RSp0710	H16_B0940
RSp0713	H16_A3429
RSc2946	H16_A3410
RSc0767	H16_A2802
RSc2945	H16_A3409
RSc2944	H16_A3408
RSc1613	H16_A1392
RSc0765	H16_A2804
RSc1612	H16_A1391
RSc0766	H16_A2803
RSc2943	H16_A3407
RSc1619	H16_A1401
RSc1618	H16_A1404
RSc2949	H16_A3413
RSc1617	H16_A1403
RSc2948	H16_A3412
RSc2947	H16_A3411
RSc1616	H16_A1402
RSc0760	H16_A2814
RSc0763	H16_B0939
RSc0763	H16_A2811
RSc0763	H16_B0495
RSc2942	H16_A3405
RSc1611	H16_B0093
RSc1611	H16_A1390
RSc0764	H16_A2806
RSc2941	H16_A3404
RSc1610	H16_A1389
RSc2940	H16_A3403
RSc0761	H16_A2813
RSc0762	RALH1_K21657
RSp0701	H16_B1547
RSp0705	H16_A3654
RSp0702	H16_B1546
RSp0702	H16_B2557
RSp0703	H16_B1545
RSp0708	H16_B2016
RSp0708	PHG127
RSp0706	H16_A3653
RSp0707	H16_A3652
RSc0756	H16_A2818
RSc2935	H16_A3726
RSc1603	H16_A1377
RSc2934	H16_A3727
RSc0757	H16_A2817
RSc1602	H16_A1376
RSc0754	H16_B2239
RSc0754	H16_A2819
RSc2933	H16_A3402
RSc1601	H16_A1375
RSc2932	H16_A3401
RSc2932	H16_B1612
RSc0755	H16_B2254
RSc1608	H16_B1416
RSc1608	H16_B0755
RSc1608	H16_A1385
RSc1607	H16_A1383
RSc0758	H16_A2816
RSc1606	H16_A1382
RSc1605	H16_A2172
RSc1605	H16_A1381
RSc0759	H16_A2815
RSc2936	H16_A3725
RSc1600	H16_A1753
RSc1600	H16_B1300
RSc1600	H16_A1374
RSc0752	H16_A2821
RSc2931	H16_A3400
RSc2930	H16_A3399
RSc0753	H16_A2820
RSc0750	H16_A3555
RSc0751	H16_A2822
RSp0731	H16_A0430
RSc1609	H16_A1386
RSc0745	H16_A0680
RSc2923	H16_B0477
RSc0746	H16_B2220
RSc0743	H16_B1076
RSc0743	H16_A1122
RSc2922	PHG028
RSc2921	H16_A1098
RSc0744	RALH10402
RSc2928	H16_A3397
RSc2927	H16_A3396
RSc2926	H16_A3395
RSc2925	H16_A3394
RSc2920	H16_B1100
RSc0742	H16_B0245
RSc0740	H16_A3216
RSc0740	H16_A3208
RSp0722	H16_B0736
RSc2929	H16_A3398
RSp0729	H16_A1351
RSc2119	H16_A3380
RSc2119	H16_A1363
RSc2118	RALH12895
RSc2118	H16_A3367
RSc2118	H16_A1007
RSc1266	H16_A2328
RSc1265	H16_A2329
RSc1264	H16_A2330
RSc2110	H16_B1939
RSc2110	H16_A2747
RSc2110	H16_B1879
RSc2110	H16_B1960
RSc2110	H16_A1495
RSc1263	H16_A2331
RSc3441	H16_A0002
RSc2117	H16_A1008
RSc1269	H16_A2325
RSc2116	H16_A1009
RSc2116	H16_B0994
RSc2116	H16_B0995
RSc3442	H16_A0001
RSc1268	H16_A2326
RSc2115	H16_A1010
RSc1267	H16_A2327
RSc2120	H16_B2483
RSc2120	H16_A1006
RSc1272	H16_A2322
RSc1271	H16_A2323
RSc1270	H16_A2324
RSc2109	H16_B0303
RSc2108	H16_A1551
RSc1255	H16_A2338
RSc2102	H16_A1257
RSc2102	H16_B0588
RSc2102	H16_B1411
RSc1254	H16_A2339
RSc2100	H16_A1011
RSc1253	H16_A2340
RSc1252	H16_A2341
RSc2106	H16_A0045
RSc2106	H16_A0475
RSc2106	H16_A2756
RSc2106	H16_A3308
RSc2106	H16_B1810
RSc3430	H16_B2427
RSc1259	H16_A2334
RSc1258	H16_A2335
RSc1258	H16_B0618
RSc2105	H16_A2755
RSc2105	H16_B1809
RSc1257	H16_A2336
RSc2104	H16_B1808
