XFCFBP8418_010140	RSBDBR229_04212
XFCFBP8418_015830	RSBDBR229_02040
XFCFBP8418_012560	RSBDBR229_01336
XFCFBP8418_024550	RSBDBR229_01170
XFCFBP8418_023460	RSBDBR229_02911
XFCFBP8418_000340	RSBDBR229_03015
XFCFBP8418_021280	RSBDBR229_01919
XFCFBP8418_003850	RSBDBR229_04465
XFCFBP8418_025400	RSBDBR229_01230
XFCFBP8418_026730	RSBDBR229_00576
XFCFBP8418_026730	RSBDBR229_02771
XFCFBP8418_025640	RSBDBR229_02234
XFCFBP8418_027800	RSBDBR229_00355
XFCFBP8418_004700	RSBDBR229_01144
XFCFBP8418_011240	RSBDBR229_02726
XFCFBP8418_012330	RSBDBR229_00542
XFCFBP8418_015840	RSBDBR229_02648
XFCFBP8418_010150	RSBDBR229_00794
XFCFBP8418_011480	RSBDBR229_03132
XFCFBP8418_014990	RSBDBR229_00754
XFCFBP8418_022360	RSBDBR229_00387
XFCFBP8418_004710	RSBDBR229_01145
XFCFBP8418_023450	RSBDBR229_02910
XFCFBP8418_003860	RSBDBR229_04466
XFCFBP8418_021030	RSBDBR229_01988
XFCFBP8418_023690	RSBDBR229_02071
XFCFBP8418_023690	RSBDBR229_02518
XFCFBP8418_023690	RSBDBR229_03540
XFCFBP8418_026720	RSBDBR229_00575
XFCFBP8418_026720	RSBDBR229_00573
XFCFBP8418_026720	RSBDBR229_02772
XFCFBP8418_000350	RSBDBR229_03012
XFCFBP8418_022120	RSBDBR229_00396
XFCFBP8418_025630	RSBDBR229_02233
XFCFBP8418_001680	RSBDBR229_04519
XFCFBP8418_001680	RSBDBR229_00013
XFCFBP8418_011250	RSBDBR229_02727
XFCFBP8418_015850	RSBDBR229_00782
XFCFBP8418_010160	RSBDBR229_00795
XFCFBP8418_014760	RSBDBR229_00309
XFCFBP8418_027840	RSBDBR229_01796
XFCFBP8418_026750	RSBDBR229_02768
XFCFBP8418_004720	RSBDBR229_02703
XFCFBP8418_005810	RSBDBR229_01437
XFCFBP8418_025660	RSBDBR229_02236
XFCFBP8418_024570	RSBDBR229_01539
XFCFBP8418_023480	RSBDBR229_02913
XFCFBP8418_002300	RSBDBR229_03027
XFCFBP8418_001690	RSBDBR229_00012
XFCFBP8418_001690	RSBDBR229_04520
XFCFBP8418_023000	RSBDBR229_04480
XFCFBP8418_000360	RSBDBR229_01352
XFCFBP8418_025420	RSBDBR229_00317
XFCFBP8418_006900	RSBDBR229_03274
XFCFBP8418_014530	RSBDBR229_00882
XFCFBP8418_017800	RSBDBR229_03058
XFCFBP8418_013200	RSBDBR229_00335
XFCFBP8418_011260	RSBDBR229_02728
XFCFBP8418_010170	RSBDBR229_00796
XFCFBP8418_012590	RSBDBR229_01173
XFCFBP8418_012350	RSBDBR229_01582
XFCFBP8418_025650	RSBDBR229_02235
XFCFBP8418_003400	RSBDBR229_00967
XFCFBP8418_002310	RSBDBR229_03026
XFCFBP8418_027830	RSBDBR229_01077
XFCFBP8418_022380	RSBDBR229_03861
XFCFBP8418_004730	RSBDBR229_02704
XFCFBP8418_023470	RSBDBR229_02912
XFCFBP8418_025410	RSBDBR229_03415
XFCFBP8418_025410	RSBDBR229_03416
XFCFBP8418_026740	RSBDBR229_02769
XFCFBP8418_012120	RSBDBR229_01801
XFCFBP8418_013210	RSBDBR229_02774
XFCFBP8418_015630	RSBDBR229_00309
XFCFBP8418_014300	RSBDBR229_04446
XFCFBP8418_011270	RSBDBR229_02729
XFCFBP8418_012360	RSBDBR229_04297
XFCFBP8418_012360	RSBDBR229_04298
XFCFBP8418_014780	RSBDBR229_02694
XFCFBP8418_014540	RSBDBR229_02670
XFCFBP8418_026530	RSBDBR229_00964
XFCFBP8418_025440	RSBDBR229_00318
XFCFBP8418_002320	RSBDBR229_04473
XFCFBP8418_006920	RSBDBR229_03273
XFCFBP8418_004740	RSBDBR229_02705
XFCFBP8418_025680	RSBDBR229_02238
XFCFBP8418_004980	RSBDBR229_02315
XFCFBP8418_001470	RSBDBR229_00281
XFCFBP8418_000380	RSBDBR229_01667
XFCFBP8418_000140	RSBDBR229_04087
XFCFBP8418_001230	RSBDBR229_03010
XFCFBP8418_011280	RSBDBR229_02731
XFCFBP8418_010190	RSBDBR229_00798
XFCFBP8418_012130	RSBDBR229_01800
XFCFBP8418_017820	RSBDBR229_04397
XFCFBP8418_012370	RSBDBR229_04299
XFCFBP8418_014550	RSBDBR229_02671
XFCFBP8418_000390	RSBDBR229_00307
XFCFBP8418_023490	RSBDBR229_02914
XFCFBP8418_026760	RSBDBR229_02766
XFCFBP8418_022160	RSBDBR229_01025
XFCFBP8418_025670	RSBDBR229_02237
XFCFBP8418_024580	RSBDBR229_01538
XFCFBP8418_003660	RSBDBR229_01566
XFCFBP8418_002570	RSBDBR229_02791
XFCFBP8418_004750	RSBDBR229_00287
XFCFBP8418_002330	RSBDBR229_01608
XFCFBP8418_027850	RSBDBR229_00109
XFCFBP8418_004990	RSBDBR229_03737
XFCFBP8418_011290	RSBDBR229_02732
XFCFBP8418_016500	RSBDBR229_01796
XFCFBP8418_015410	RSBDBR229_00425
XFCFBP8418_017830	RSBDBR229_00048
XFCFBP8418_012140	RSBDBR229_01798
XFCFBP8418_011050	RSBDBR229_00748
XFCFBP8418_014560	RSBDBR229_02672
XFCFBP8418_001490	RSBDBR229_03646
XFCFBP8418_023280	RSBDBR229_00370
XFCFBP8418_026790	RSBDBR229_01337
XFCFBP8418_022190	RSBDBR229_00884
XFCFBP8418_025220	RSBDBR229_02626
XFCFBP8418_026550	RSBDBR229_03738
XFCFBP8418_023040	RSBDBR229_03791
XFCFBP8418_025460	RSBDBR229_04197
XFCFBP8418_000160	RSBDBR229_04519
XFCFBP8418_000160	RSBDBR229_00013
XFCFBP8418_005850	RSBDBR229_04060
XFCFBP8418_001250	RSBDBR229_00511
XFCFBP8418_002580	RSBDBR229_00640
XFCFBP8418_003670	RSBDBR229_00285
XFCFBP8418_012390	RSBDBR229_04301
XFCFBP8418_011060	RSBDBR229_00749
XFCFBP8418_016510	RSBDBR229_00109
XFCFBP8418_012150	RSBDBR229_04167
XFCFBP8418_014570	RSBDBR229_01303
XFCFBP8418_015420	RSBDBR229_03790
XFCFBP8418_000170	RSBDBR229_00012
XFCFBP8418_000170	RSBDBR229_04520
XFCFBP8418_021090	RSBDBR229_04270
XFCFBP8418_025690	RSBDBR229_02239
XFCFBP8418_007800	RSBDBR229_00358
XFCFBP8418_026540	RSBDBR229_02616
XFCFBP8418_025450	RSBDBR229_00319
XFCFBP8418_003200	RSBDBR229_03692
XFCFBP8418_026780	RSBDBR229_00746
XFCFBP8418_023030	RSBDBR229_03792
XFCFBP8418_006950	RSBDBR229_03732
XFCFBP8418_003680	RSBDBR229_02706
XFCFBP8418_004770	RSBDBR229_01924
XFCFBP8418_001020	RSBDBR229_00350
XFCFBP8418_011070	RSBDBR229_01599
XFCFBP8418_017850	RSBDBR229_01709
XFCFBP8418_014340	RSBDBR229_01350
XFCFBP8418_015670	RSBDBR229_03131
XFCFBP8418_013010	RSBDBR229_02696
XFCFBP8418_015430	RSBDBR229_03807
XFCFBP8418_003690	RSBDBR229_02805
XFCFBP8418_026570	RSBDBR229_01123
XFCFBP8418_025480	RSBDBR229_00379
XFCFBP8418_007810	RSBDBR229_00359
XFCFBP8418_024150	RSBDBR229_01437
XFCFBP8418_004300	RSBDBR229_00179
XFCFBP8418_001030	RSBDBR229_03011
XFCFBP8418_027660	RSBDBR229_01352
XFCFBP8418_004540	RSBDBR229_01817
XFCFBP8418_006960	RSBDBR229_04181
XFCFBP8418_003210	RSBDBR229_00852
XFCFBP8418_002360	RSBDBR229_01059
XFCFBP8418_004780	RSBDBR229_01922
XFCFBP8418_005870	RSBDBR229_04063
XFCFBP8418_003450	RSBDBR229_02853
XFCFBP8418_002120	RSBDBR229_02605
XFCFBP8418_015680	RSBDBR229_04723
XFCFBP8418_013260	RSBDBR229_01614
XFCFBP8418_015440	RSBDBR229_03809
XFCFBP8418_017620	RSBDBR229_00285
XFCFBP8418_013020	RSBDBR229_02792
XFCFBP8418_015200	RSBDBR229_03890
XFCFBP8418_017860	RSBDBR229_00996
XFCFBP8418_004790	RSBDBR229_00831
XFCFBP8418_002370	RSBDBR229_01223
XFCFBP8418_025470	RSBDBR229_02652
XFCFBP8418_025470	RSBDBR229_02292
XFCFBP8418_007820	RSBDBR229_02700
XFCFBP8418_023050	RSBDBR229_02961
XFCFBP8418_023290	RSBDBR229_00368
XFCFBP8418_025230	RSBDBR229_02702
XFCFBP8418_026560	RSBDBR229_01121
XFCFBP8418_003220	RSBDBR229_02899
XFCFBP8418_003220	RSBDBR229_03617
XFCFBP8418_003220	RSBDBR229_01299
XFCFBP8418_002130	RSBDBR229_01570
XFCFBP8418_001040	RSBDBR229_01351
XFCFBP8418_004310	RSBDBR229_00180
XFCFBP8418_003460	RSBDBR229_02854
XFCFBP8418_004550	RSBDBR229_03442
XFCFBP8418_013270	RSBDBR229_01613
XFCFBP8418_013030	RSBDBR229_00744
XFCFBP8418_015450	RSBDBR229_03190
XFCFBP8418_016300	RSBDBR229_00307
XFCFBP8418_005890	RSBDBR229_04135
XFCFBP8418_003470	RSBDBR229_00295
XFCFBP8418_027680	RSBDBR229_03015
XFCFBP8418_002380	RSBDBR229_01222
XFCFBP8418_023080	RSBDBR229_03172
XFCFBP8418_024170	RSBDBR229_01436
XFCFBP8418_027440	RSBDBR229_04771
XFCFBP8418_002140	RSBDBR229_01706
XFCFBP8418_003230	RSBDBR229_03810
XFCFBP8418_013040	RSBDBR229_00745
XFCFBP8418_012190	RSBDBR229_01217
XFCFBP8418_016310	RSBDBR229_01667
XFCFBP8418_003480	RSBDBR229_00296
XFCFBP8418_002150	RSBDBR229_01707
XFCFBP8418_007840	RSBDBR229_03209
XFCFBP8418_027670	RSBDBR229_03012
XFCFBP8418_007600	RSBDBR229_02863
XFCFBP8418_026580	RSBDBR229_01124
XFCFBP8418_003240	RSBDBR229_03811
XFCFBP8418_017890	RSBDBR229_02258
XFCFBP8418_015470	RSBDBR229_03214
XFCFBP8418_014140	RSBDBR229_00005
XFCFBP8418_015230	RSBDBR229_00830
XFCFBP8418_003250	RSBDBR229_02609
XFCFBP8418_007610	RSBDBR229_02862
XFCFBP8418_004100	RSBDBR229_01827
XFCFBP8418_004340	RSBDBR229_01033
XFCFBP8418_003010	RSBDBR229_04307
XFCFBP8418_006760	RSBDBR229_00501
XFCFBP8418_014390	RSBDBR229_04633
XFCFBP8418_014390	RSBDBR229_01092
XFCFBP8418_017660	RSBDBR229_01698
XFCFBP8418_016330	RSBDBR229_01352
XFCFBP8418_007860	RSBDBR229_02479
XFCFBP8418_002170	RSBDBR229_01708
XFCFBP8418_003260	RSBDBR229_02608
XFCFBP8418_027690	RSBDBR229_00857
XFCFBP8418_027690	RSBDBR229_04609
XFCFBP8418_004350	RSBDBR229_02597
XFCFBP8418_007620	RSBDBR229_02861
XFCFBP8418_004590	RSBDBR229_00464
XFCFBP8418_008710	RSBDBR229_00599
XFCFBP8418_009800	RSBDBR229_04646
XFCFBP8418_026360	RSBDBR229_00893
XFCFBP8418_024180	RSBDBR229_01434
XFCFBP8418_003020	RSBDBR229_04461
XFCFBP8418_018760	RSBDBR229_00935
