STM0700	b0692
STM0701	b2965
STM0701	b0693
STM0704	b0696
STM0705	b0697
STM0706	b0698
STM4061	b3915
STM4063	b3917
STM4063	b2425
STM4062	b3916
STM4064	b3918
STM1800	b1192
STM1802	b4053
STM1802	b1190
STM1803	b1189
STM0956	b0886
STM0957	b0887
STM0958	b0888
STM1806	b1186
STM1807	b1185
STM3190	b3040
STM4280	b4073
STM4283	b4077
STM4285	b4079
STM3195	b3041
STM4045	b3902
STM4047	b3904
STM4046	b3903
STM0934	b0870
STM0935	b0871
STM4290	b4111
STM4050	b3907
STM4294	b4115
STM4296	b4117
STM4298	b4119
STM4055	b1656
STM4055	b3908
STM4299	b4120
STM0741	b0734
STM0741	b0979
STM1830	b1817
STM0984	b0914
STM1831	b1818
STM0985	b0915
STM1832	b1819
STM0988	b0918
STM2927	b2744
STM2929	b2746
STM0506	b0494
STM0980	b0910
STM0740	b0733
STM0740	b0978
STM2930	b2747
STM2933	b2750
STM0998	b4054
STM0998	b0928
STM2934	b2751
STM0756	b0750
STM2935	b2752
STM0999	b1377
STM0999	b0929
STM0999	b2215
STM0757	b0751
STM0758	b0752
STM0519	b0509
STM0519	b3125
STM0518	b0508
STM0517	b0507
STM0515	b0505
STM0964	b0894
STM0965	b1589
STM0965	b0895
STM0966	b1590
STM0966	b0896
STM1818	b1805
STM4090	b3930
STM4081	b3919
STM4085	b3925
STM4085	b2930
STM4084	b3924
STM4087	b3927
STM4086	b3926
STM0730	b0720
STM0973	b0903
STM0973	b3114
STM0974	b2492
STM0974	b0904
STM0732	b0721
STM0733	b0722
STM0734	b0723
STM0977	b0907
STM0735	b0724
STM1824	b1812
STM0736	b0726
STM0978	b0908
STM1826	b1814
STM1826	b4471
STM1826	b2797
STM0737	b0727
STM0738	b0728
STM2916	b2738
STM0739	b0729
STM0970	b0902
STM0542	b0529
STM0785	b0767
STM0309	b0221
STM0781	b0763
STM2960	b2787
STM2960	b2788
STM0782	b0764
STM2961	b2787
STM2961	b2788
STM0783	b0765
STM2962	b3691
STM2962	b2789
STM1885	b1851
STM2974	b2800
STM3822	b0997
STM1886	b1852
STM0797	b0778
STM0310	b0222
STM2976	b2802
STM1888	b1854
STM2977	b2803
STM3823	b0996
STM1647	b1380
STM1889	b1855
STM3828	b4478
STM3827	b3691
STM3827	b2789
STM3829	b3693
STM0317	b0238
STM0316	b0237
STM2970	b2796
STM2971	b1814
STM2971	b4471
STM2971	b2797
STM0793	b0774
STM0794	b0775
STM1883	b1849
STM0795	b0776
STM1884	b1850
STM2973	b3589
STM2973	b2799
STM2946	b2762
STM2947	b2763
STM2948	b2764
STM2949	b2765
STM0528	b0517
STM0527	b0516
STM0525	b0514
STM0525	b3124
STM0760	b1704
STM0760	b0754
STM0760	b2601
STM0523	b0512
STM0522	b0511
STM2952	b2779
STM0774	b0757
STM2953	b2780
STM0775	b0758
STM0776	b0759
STM2954	b2781
STM3802	b2366
STM2956	b2784
STM1627	b0356
STM2959	b0514
STM2959	b3124
