KPN_04005	RSRUN2340_01147
KPN_03036	RSRUN2340_02299
KPN_04249	RSRUN2340_02478
KPN_04008	RSRUN2340_01813
KPN_01090	RSRUN2340_02172
KPN_01091	RSRUN2340_02171
KPN_02180	RSRUN2340_01365
KPN_01092	RSRUN2340_02170
KPN_01093	RSRUN2340_02169
KPN_01096	RSRUN2340_01588
KPN_02055	RSRUN2340_01425
KPN_02176	RSRUN2340_01369
KPN_04478	RSRUN2340_01258
KPN_01089	RSRUN2340_02173
KPN_03268	RSRUN2340_01425
KPN_03389	RSRUN2340_01071
KPN_03388	RSRUN2340_01072
KPN_04239	RSRUN2340_00119
KPN_03029	RSRUN2340_00830
KPN_03380	RSRUN2340_00378
KPN_03140	RSRUN2340_03403
KPN_03140	RSRUN2340_02118
KPN_04350	RSRUN2340_02681
KPN_02295	RSRUN2340_05038
KPN_02054	RSRUN2340_01359
KPN_02054	RSRUN2340_00944
KPN_02175	RSRUN2340_01370
KPN_01197	RSRUN2340_02850
KPN_03375	RSRUN2340_00155
KPN_01198	RSRUN2340_01538
KPN_02169	RSRUN2340_02521
KPN_03016	RSRUN2340_03844
KPN_02160	RSRUN2340_01725
KPN_03130	RSRUN2340_02139
KPN_02162	RSRUN2340_02740
KPN_02162	RSRUN2340_00782
KPN_03132	RSRUN2340_04274
KPN_01074	RSRUN2340_00528
KPN_03131	RSRUN2340_02139
KPN_04329	RSRUN2340_00498
KPN_03123	RSRUN2340_02037
KPN_00096	RSRUN2340_02939
KPN_03244	RSRUN2340_01778
KPN_00095	RSRUN2340_02940
KPN_00094	RSRUN2340_02941
KPN_03124	RSRUN2340_02040
KPN_04576	RSRUN2340_01933
KPN_04337	RSRUN2340_00746
KPN_00091	RSRUN2340_02944
KPN_03126	RSRUN2340_01363
KPN_04339	RSRUN2340_00945
KPN_00090	RSRUN2340_02945
KPN_04217	RSRUN2340_02645
KPN_02392	RSRUN2340_04638
KPN_02392	RSRUN2340_04684
KPN_02393	RSRUN2340_04637
KPN_04331	RSRUN2340_00501
KPN_04289	RSRUN2340_00708
KPN_04288	RSRUN2340_00706
KPN_03194	RSRUN2340_04133
KPN_04282	RSRUN2340_01970
KPN_03193	RSRUN2340_04132
KPN_04287	RSRUN2340_04536
KPN_04286	RSRUN2340_04537
KPN_04286	RSRUN2340_04011
KPN_04157	RSRUN2340_02210
KPN_04399	RSRUN2340_00327
KPN_03183	RSRUN2340_02513
KPN_04271	RSRUN2340_00491
KPN_04395	RSRUN2340_01785
KPN_04152	RSRUN2340_01413
KPN_04152	RSRUN2340_04575
KPN_03184	RSRUN2340_02512
KPN_04155	RSRUN2340_02664
KPN_04155	RSRUN2340_01913
KPN_04397	RSRUN2340_00310
KPN_04154	RSRUN2340_02665
KPN_04154	RSRUN2340_05145
KPN_04154	RSRUN2340_01914
KPN_04396	RSRUN2340_01794
KPN_04267	RSRUN2340_01135
KPN_04388	RSRUN2340_00547
KPN_04387	RSRUN2340_01038
KPN_04269	RSRUN2340_00617
KPN_04142	RSRUN2340_03431
KPN_04141	RSRUN2340_03430
KPN_04143	RSRUN2340_03432
KPN_04135	RSRUN2340_00209
KPN_04256	RSRUN2340_01254
KPN_03045	RSRUN2340_00692
KPN_04134	RSRUN2340_00210
KPN_04376	RSRUN2340_00134
KPN_04137	RSRUN2340_03426
KPN_04379	RSRUN2340_03411
KPN_04136	RSRUN2340_03425
KPN_04136	RSRUN2340_04254
KPN_04139	RSRUN2340_03428
KPN_04138	RSRUN2340_03427
KPN_02193	RSRUN2340_02962
KPN_02193	RSRUN2340_01271
KPN_02194	RSRUN2340_02963
KPN_02194	RSRUN2340_01272
KPN_04131	RSRUN2340_01314
KPN_04130	RSRUN2340_01315
KPN_04372	RSRUN2340_00131
KPN_04133	RSRUN2340_01312
KPN_04375	RSRUN2340_00130
KPN_04374	RSRUN2340_00384
KPN_04011	RSRUN2340_03150
KPN_04132	RSRUN2340_01313
KPN_00039	RSRUN2340_02846
KPN_03673	RSRUN2340_00012
KPN_03673	RSRUN2340_04262
KPN_00041	RSRUN2340_01304
KPN_01132	RSRUN2340_01528
KPN_03672	RSRUN2340_00013
KPN_03672	RSRUN2340_04263
