XFCFBP8418_016360	b3747
XFCFBP8418_017690	b0451
XFCFBP8418_015030	b3633
XFCFBP8418_005900	b1094
XFCFBP8418_015390	b1539
XFCFBP8418_011590	b2817
XFCFBP8418_011590	b2435
XFCFBP8418_014980	b3771
XFCFBP8418_018300	b3208
XFCFBP8418_020190	b2913
XFCFBP8418_025760	b3919
XFCFBP8418_021160	b2827
XFCFBP8418_024670	b3450
XFCFBP8418_024670	b4035
XFCFBP8418_023580	b3738
XFCFBP8418_026730	b1263
XFCFBP8418_006320	b3281
XFCFBP8418_027800	b0755
XFCFBP8418_020610	b4067
XFCFBP8418_016490	b1710
XFCFBP8418_004700	b1069
XFCFBP8418_005910	b1093
XFCFBP8418_011240	b0092
XFCFBP8418_012210	b0945
XFCFBP8418_008630	b3396
XFCFBP8418_025070	b0452
XFCFBP8418_005240	b2533
XFCFBP8418_010700	b4053
XFCFBP8418_010700	b1190
XFCFBP8418_005920	b1092
XFCFBP8418_022360	b0628
XFCFBP8418_022240	b2780
XFCFBP8418_002650	b3648
XFCFBP8418_023690	b0325
XFCFBP8418_021150	b0048
XFCFBP8418_003740	b2903
XFCFBP8418_026720	b1262
XFCFBP8418_001680	b0463
XFCFBP8418_001680	b3265
XFCFBP8418_008750	b3650
XFCFBP8418_020760	b3829
XFCFBP8418_022820	b1832
XFCFBP8418_019770	b2701
XFCFBP8418_012220	b3972
XFCFBP8418_011250	b0091
XFCFBP8418_014880	b2700
XFCFBP8418_026070	b0474
XFCFBP8418_006340	b2103
XFCFBP8418_005250	b0778
XFCFBP8418_004160	b3390
XFCFBP8418_006460	b2053
XFCFBP8418_003190	b0888
XFCFBP8418_017900	b3671
XFCFBP8418_017900	b0077
XFCFBP8418_021180	b4042
XFCFBP8418_010710	b1189
XFCFBP8418_003510	b3201
XFCFBP8418_025660	b2282
XFCFBP8418_024690	b2388
XFCFBP8418_001690	b2470
XFCFBP8418_001690	b0462
XFCFBP8418_001690	b3266
XFCFBP8418_009850	b2210
XFCFBP8418_007430	b2132
XFCFBP8418_019420	b3728
XFCFBP8418_020630	b4069
XFCFBP8418_021600	b0325
XFCFBP8418_023900	b4129
XFCFBP8418_017920	b3117
XFCFBP8418_011260	b0090
XFCFBP8418_011380	b3991
XFCFBP8418_014890	b2587
XFCFBP8418_012590	b1656
XFCFBP8418_012590	b3908
XFCFBP8418_012350	b0524
XFCFBP8418_015860	b2765
XFCFBP8418_014650	b0775
XFCFBP8418_010720	b1778
XFCFBP8418_026060	b4233
XFCFBP8418_004170	b3389
XFCFBP8418_025650	b2281
XFCFBP8418_003400	b2557
XFCFBP8418_027830	b1710
XFCFBP8418_024680	b1852
XFCFBP8418_005940	b0114
XFCFBP8418_023590	b3737
XFCFBP8418_025410	b3447
XFCFBP8418_009740	b0417
XFCFBP8418_007440	b0577
XFCFBP8418_008530	b2710
XFCFBP8418_026740	b3360
XFCFBP8418_007320	b3253
XFCFBP8418_020420	b2010
XFCFBP8418_020420	b0839
XFCFBP8418_020420	b0632
XFCFBP8418_023810	b3941
XFCFBP8418_019430	b3727
XFCFBP8418_021510	b0071
XFCFBP8418_020300	b2022
XFCFBP8418_024900	b0181
XFCFBP8418_017930	b0074
XFCFBP8418_011270	b0089
XFCFBP8418_010980	b2414
XFCFBP8418_010980	b2421
XFCFBP8418_012360	b2502
XFCFBP8418_010970	b3368
XFCFBP8418_004180	b3997
XFCFBP8418_026530	b4025
XFCFBP8418_025440	b3634
XFCFBP8418_002320	b0720
XFCFBP8418_025680	b2284
XFCFBP8418_002680	b2751
XFCFBP8418_008660	b3752
XFCFBP8418_007450	b3058
XFCFBP8418_018110	b3608
XFCFBP8418_020650	b1821
XFCFBP8418_021500	b0073
XFCFBP8418_019440	b3726
XFCFBP8418_011280	b0087
XFCFBP8418_019680	b4226
XFCFBP8418_017940	b1091
XFCFBP8418_017820	b1232
XFCFBP8418_014550	b3255
XFCFBP8418_015760	b2904
XFCFBP8418_010500	b0199
XFCFBP8418_004070	b2422
XFCFBP8418_012920	b1210
XFCFBP8418_026760	b3386
XFCFBP8418_004870	b0910
XFCFBP8418_009760	b0415
XFCFBP8418_002690	b2752
XFCFBP8418_027850	b3994
XFCFBP8418_020780	b1768
XFCFBP8418_020320	b2020
XFCFBP8418_019450	b3725
XFCFBP8418_018480	b3805
XFCFBP8418_011290	b0086
XFCFBP8418_017710	b3870
XFCFBP8418_011050	b1854
XFCFBP8418_011970	b0729
XFCFBP8418_014680	b4040
XFCFBP8418_015770	b2905
XFCFBP8418_014560	b3256
XFCFBP8418_013350	b3213
