XOO1903	RSRUN2340_01701
XOO1900	RSRUN2340_01957
XOO1906	RSRUN2340_05050
XOO4181	RSRUN2340_04082
XOO4181	RSRUN2340_01717
XOO4181	RSRUN2340_00459
XOO4181	RSRUN2340_01647
XOO4181	RSRUN2340_03605
XOO4181	RSRUN2340_00737
XOO4181	RSRUN2340_00730
XOO4181	RSRUN2340_02438
XOO4181	RSRUN2340_03236
XOO4181	RSRUN2340_04106
XOO4181	RSRUN2340_00277
XOO4181	RSRUN2340_04862
XOO4181	RSRUN2340_01575
XOO4181	RSRUN2340_03254
XOO4181	RSRUN2340_00184
XOO4181	RSRUN2340_04175
XOO4181	RSRUN2340_04590
XOO4188	RSRUN2340_04762
XOO4189	RSRUN2340_04763
XOO4185	RSRUN2340_00490
XOO4186	RSRUN2340_04990
XOO4186	RSRUN2340_05140
XOO1910	RSRUN2340_01362
XOO4178	RSRUN2340_00882
XOO4178	RSRUN2340_00586
XOO4178	RSRUN2340_00076
XOO4160	RSRUN2340_04216
XOO4160	RSRUN2340_02983
XOO4165	RSRUN2340_01001
XOO4165	RSRUN2340_03982
XOO4161	RSRUN2340_04217
XOO4161	RSRUN2340_02982
XOO4162	RSRUN2340_01625
XOO4163	RSRUN2340_02980
XOO4169	RSRUN2340_01014
XOO4169	RSRUN2340_00181
XOO4169	RSRUN2340_03957
XOO4169	RSRUN2340_04382
XOO4154	RSRUN2340_02951
XOO4150	RSRUN2340_00382
XOO4151	RSRUN2340_02911
XOO4152	RSRUN2340_00532
XOO4153	RSRUN2340_00531
XOO0615	RSRUN2340_01001
XOO0615	RSRUN2340_03982
XOO1946	RSRUN2340_01014
XOO1946	RSRUN2340_00181
XOO1946	RSRUN2340_03957
XOO1946	RSRUN2340_04382
XOO1944	RSRUN2340_04100
XOO0617	RSRUN2340_01001
XOO0617	RSRUN2340_03982
XOO1950	RSRUN2340_01014
XOO1950	RSRUN2340_00181
XOO1950	RSRUN2340_03957
XOO1950	RSRUN2340_04382
XOO2801	RSRUN2340_04082
XOO2801	RSRUN2340_01717
XOO2801	RSRUN2340_00459
XOO2801	RSRUN2340_01647
XOO2801	RSRUN2340_03605
XOO2801	RSRUN2340_00737
XOO2801	RSRUN2340_00730
XOO2801	RSRUN2340_02438
XOO2801	RSRUN2340_03236
XOO2801	RSRUN2340_04106
XOO2801	RSRUN2340_00277
XOO2801	RSRUN2340_04862
XOO2801	RSRUN2340_01575
XOO2801	RSRUN2340_03254
XOO2801	RSRUN2340_00184
XOO2801	RSRUN2340_04175
XOO2801	RSRUN2340_04590
XOO1954	RSRUN2340_02841
XOO0623	RSRUN2340_04923
XOO0622	RSRUN2340_01001
XOO0622	RSRUN2340_03982
XOO0621	RSRUN2340_00297
XOO0621	RSRUN2340_02069
XOO0621	RSRUN2340_04587
XOO0621	RSRUN2340_02605
XOO1952	RSRUN2340_02214
XOO1936	RSRUN2340_01014
XOO1936	RSRUN2340_00181
XOO1936	RSRUN2340_03957
XOO1936	RSRUN2340_04382
XOO0602	RSRUN2340_00882
XOO0602	RSRUN2340_00586
XOO0602	RSRUN2340_00076
XOO1937	RSRUN2340_01014
XOO1937	RSRUN2340_00181
XOO1937	RSRUN2340_03957
XOO1937	RSRUN2340_04382
XOO1941	RSRUN2340_01014
XOO1941	RSRUN2340_00181
XOO1941	RSRUN2340_03957
XOO1941	RSRUN2340_04382
XOO1940	RSRUN2340_04100
XOO1925	RSRUN2340_02891
XOO1924	RSRUN2340_02504
XOO1922	RSRUN2340_02216
XOO1929	RSRUN2340_01552
XOO1929	RSRUN2340_01553
XOO0601	RSRUN2340_00587
XOO0601	RSRUN2340_00881
XOO0601	RSRUN2340_00075
XOO1919	RSRUN2340_02476
XOO4198	RSRUN2340_00390
XOO4196	RSRUN2340_00387
XOO1506	RSRUN2340_04358
XOO1506	RSRUN2340_04356
XOO0659	RSRUN2340_03811
XOO1989	RSRUN2340_01758
XOO1504	RSRUN2340_01985
XOO2835	RSRUN2340_04955
XOO2836	RSRUN2340_04954
XOO1508	RSRUN2340_01014
XOO1508	RSRUN2340_00181
XOO1508	RSRUN2340_03957
XOO1508	RSRUN2340_04382
XOO2838	RSRUN2340_01683
XOO2838	RSRUN2340_03828
XOO1510	RSRUN2340_03549
XOO1510	RSRUN2340_04576
XOO1510	RSRUN2340_02584
XOO0661	RSRUN2340_04819
XOO1514	RSRUN2340_02047
XOO0667	RSRUN2340_00017
XOO1513	RSRUN2340_00809
XOO2840	RSRUN2340_01924
XOO1996	RSRUN2340_02250
XOO0665	RSRUN2340_00991
XOO0664	RSRUN2340_00243
XOO2828	RSRUN2340_02645
XOO1979	RSRUN2340_04376
XOO1979	RSRUN2340_04377
XOO0646	RSRUN2340_01001
XOO0646	RSRUN2340_03982
XOO1977	RSRUN2340_01743
XOO2825	RSRUN2340_04082
XOO2825	RSRUN2340_01717
XOO2825	RSRUN2340_00459
XOO2825	RSRUN2340_01647
XOO2825	RSRUN2340_03605
XOO2825	RSRUN2340_00737
XOO2825	RSRUN2340_00730
XOO2825	RSRUN2340_02438
XOO2825	RSRUN2340_03236
XOO2825	RSRUN2340_04106
XOO2825	RSRUN2340_00277
XOO2825	RSRUN2340_04862
XOO2825	RSRUN2340_01575
XOO2825	RSRUN2340_03254
XOO2825	RSRUN2340_00184
XOO2825	RSRUN2340_04175
XOO2825	RSRUN2340_04590
XOO1983	RSRUN2340_01744
XOO1982	RSRUN2340_04376
XOO1982	RSRUN2340_04377
XOO1985	RSRUN2340_01755
XOO0638	RSRUN2340_04770
XOO0637	RSRUN2340_00587
XOO0637	RSRUN2340_00881
XOO0637	RSRUN2340_00075
XOO1968	RSRUN2340_01735
XOO0636	RSRUN2340_05000
XOO0636	RSRUN2340_05042
XOO1967	RSRUN2340_01733
XOO1966	RSRUN2340_01732
XOO2814	RSRUN2340_04082
XOO2814	RSRUN2340_01717
XOO2814	RSRUN2340_00459
XOO2814	RSRUN2340_01647
XOO2814	RSRUN2340_03605
XOO2814	RSRUN2340_00737
XOO2814	RSRUN2340_00730
XOO2814	RSRUN2340_02438
XOO2814	RSRUN2340_03236
XOO2814	RSRUN2340_04106
XOO2814	RSRUN2340_00277
XOO2814	RSRUN2340_04862
XOO2814	RSRUN2340_01575
XOO2814	RSRUN2340_03254
XOO2814	RSRUN2340_00184
XOO2814	RSRUN2340_04175
XOO2814	RSRUN2340_04590
XOO0639	RSRUN2340_04771
XOO2820	RSRUN2340_04475
XOO2820	RSRUN2340_04373
XOO2820	RSRUN2340_03271
XOO2820	RSRUN2340_04052
XOO1972	RSRUN2340_01739
XOO0641	RSRUN2340_05178
XOO1970	RSRUN2340_01737
XOO1976	RSRUN2340_01742
XOO1974	RSRUN2340_01741
XOO1973	RSRUN2340_01740
XOO0627	RSRUN2340_05017
XOO2806	RSRUN2340_00365
XOO2806	RSRUN2340_01815
XOO0626	RSRUN2340_03617
XOO1955	RSRUN2340_01014
XOO1955	RSRUN2340_00181
XOO1955	RSRUN2340_03957
XOO1955	RSRUN2340_04382
XOO2809	RSRUN2340_02957
XOO2804	RSRUN2340_00013
XOO2804	RSRUN2340_04263
XOO0629	RSRUN2340_05015
XOO2805	RSRUN2340_00012
XOO2805	RSRUN2340_04262
XOO0628	RSRUN2340_05016
XOO1961	RSRUN2340_01996
XOO0630	RSRUN2340_05014
XOO1960	RSRUN2340_01014
XOO1960	RSRUN2340_00181
XOO1960	RSRUN2340_03957
XOO1960	RSRUN2340_04382
XOO2810	RSRUN2340_04848
XOO2810	RSRUN2340_02958
XOO2811	RSRUN2340_02959
XOO2812	RSRUN2340_02960
XOO1965	RSRUN2340_01731
XOO1964	RSRUN2340_01730
XOO1963	RSRUN2340_01729
XOO1962	RSRUN2340_00993
XOO0218	RSRUN2340_04875
XOO3728	RSRUN2340_03757
XOO3729	RSRUN2340_01687
XOO2886	RSRUN2340_01305
XOO0222	RSRUN2340_04965
XOO0222	RSRUN2340_04963
XOO2887	RSRUN2340_01304
XOO2400	RSRUN2340_02727
XOO0221	RSRUN2340_01014
XOO0221	RSRUN2340_00181
XOO0221	RSRUN2340_03957
XOO0221	RSRUN2340_04382
XOO2888	RSRUN2340_01302
XOO3735	RSRUN2340_03855
XOO0227	RSRUN2340_03437
XOO1558	RSRUN2340_03160
XOO2404	RSRUN2340_03981
XOO2403	RSRUN2340_01001
XOO2403	RSRUN2340_03982
XOO2884	RSRUN2340_02051
XOO1555	RSRUN2340_01799
XOO3719	RSRUN2340_00259
XOO3719	RSRUN2340_01718
XOO0208	RSRUN2340_01014
XOO0208	RSRUN2340_00181
XOO0208	RSRUN2340_03957
XOO0208	RSRUN2340_04382
XOO1539	RSRUN2340_02622
XOO0207	RSRUN2340_01014
XOO0207	RSRUN2340_00181
XOO0207	RSRUN2340_03957
XOO0207	RSRUN2340_04382
XOO1538	RSRUN2340_02623
XOO2868	RSRUN2340_02954
XOO2868	RSRUN2340_00580
XOO3717	RSRUN2340_00882
XOO3717	RSRUN2340_00586
XOO3717	RSRUN2340_00076
XOO3718	RSRUN2340_05000
XOO3718	RSRUN2340_05042
XOO0692	RSRUN2340_02287
XOO0690	RSRUN2340_01538
XOO0212	RSRUN2340_00371
XOO3723	RSRUN2340_04278
XOO0694	RSRUN2340_01777
XOO0693	RSRUN2340_02288
XOO2871	RSRUN2340_02634
XOO2871	RSRUN2340_00641
XOO2872	RSRUN2340_02195
XOO0214	RSRUN2340_00373
XOO2873	RSRUN2340_02193
XOO0698	RSRUN2340_04747
XOO1545	RSRUN2340_00823
XOO3708	RSRUN2340_00882
XOO3708	RSRUN2340_00586
XOO3708	RSRUN2340_00076
XOO1528	RSRUN2340_01524
XOO1527	RSRUN2340_02317
XOO2857	RSRUN2340_04949
XOO2858	RSRUN2340_04948
XOO2859	RSRUN2340_04947
XOO3707	RSRUN2340_00587
XOO3707	RSRUN2340_00881
XOO3707	RSRUN2340_00075
XOO0680	RSRUN2340_02734
XOO2865	RSRUN2340_01206
XOO3712	RSRUN2340_00114
XOO3713	RSRUN2340_00825
XOO3714	RSRUN2340_00297
XOO3714	RSRUN2340_02069
XOO3714	RSRUN2340_04587
XOO3714	RSRUN2340_02605
XOO2860	RSRUN2340_00554
XOO1536	RSRUN2340_02259
XOO0688	RSRUN2340_04957
XOO0203	RSRUN2340_04657
XOO0203	RSRUN2340_04658
XOO0203	RSRUN2340_04889
XOO0203	RSRUN2340_04662
XOO0203	RSRUN2340_05048
XOO0203	RSRUN2340_03591
XOO0687	RSRUN2340_04956
XOO2862	RSRUN2340_03856
XOO1517	RSRUN2340_00795
XOO1999	RSRUN2340_01862
XOO0670	RSRUN2340_01779
XOO3700	RSRUN2340_01001
XOO3700	RSRUN2340_03982
XOO0674	RSRUN2340_04861
XOO2853	RSRUN2340_00882
XOO2853	RSRUN2340_00586
XOO2853	RSRUN2340_00076
XOO3701	RSRUN2340_01001
XOO3701	RSRUN2340_03982
XOO3702	RSRUN2340_01001
XOO3702	RSRUN2340_03982
XOO1525	RSRUN2340_01844
XOO1524	RSRUN2340_05019
XOO2850	RSRUN2340_04953
XOO0676	RSRUN2340_03053
XOO2852	RSRUN2340_00587
XOO2852	RSRUN2340_00881
XOO2852	RSRUN2340_00075
XOO3649	RSRUN2340_01927
XOO2320	RSRUN2340_01014
XOO2320	RSRUN2340_00181
XOO2320	RSRUN2340_03957
XOO2320	RSRUN2340_04382
XOO0141	RSRUN2340_01014
XOO0141	RSRUN2340_00181
XOO0141	RSRUN2340_03957
XOO0141	RSRUN2340_04382
XOO1472	RSRUN2340_01434
XOO0140	RSRUN2340_01014
XOO0140	RSRUN2340_00181
XOO0140	RSRUN2340_03957
XOO0140	RSRUN2340_04382
XOO0146	RSRUN2340_04100
XOO0145	RSRUN2340_01014
XOO0145	RSRUN2340_00181
XOO0145	RSRUN2340_03957
XOO0145	RSRUN2340_04382
XOO1476	RSRUN2340_00587
XOO1476	RSRUN2340_00881
XOO1476	RSRUN2340_00075
XOO3657	RSRUN2340_00803
XOO2323	RSRUN2340_04747
XOO0144	RSRUN2340_01014
XOO0144	RSRUN2340_00181
XOO0144	RSRUN2340_03957
XOO0144	RSRUN2340_04382
XOO1475	RSRUN2340_00882
XOO1475	RSRUN2340_00586
XOO1475	RSRUN2340_00076
XOO4505	RSRUN2340_03218
XOO3658	RSRUN2340_04970
XOO0149	RSRUN2340_04082
XOO0149	RSRUN2340_01717
XOO0149	RSRUN2340_00459
XOO0149	RSRUN2340_01647
XOO0149	RSRUN2340_03605
XOO0149	RSRUN2340_00737
XOO0149	RSRUN2340_00730
XOO0149	RSRUN2340_02438
XOO0149	RSRUN2340_03236
XOO0149	RSRUN2340_04106
XOO0149	RSRUN2340_00277
XOO0149	RSRUN2340_04862
