RSc0338	RSBA7_00338
RSc0339	RSBA7_00339
RSc2999	RSBA7_02760
RSc0336	RSBA7_00298
RSc2998	RSBA7_02060
RSc2998	RSBA7_02759
RSc0337	RSBA7_00299
RSc0330	RSBA7_00292
RSc2993	RSBA7_02754
RSc2992	RSBA7_02753
RSc0331	RSBA7_00293
RSc2991	RSBA7_02752
RSc2990	RSBA7_02751
RSc0334	RSBA7_00296
RSc2997	RSBA7_02758
RSc2996	RSBA7_02757
RSc0335	RSBA7_00297
RSc0332	RSBA7_00294
RSc0332	RSBA7_03138
RSc2995	RSBA7_02756
RSc2994	RSBA7_02755
RSc0333	RSBA7_00295
RSp0751	RSBA7_04045
RSp0751	RSBA7_03115
RSp0752	RSBA7_04044
RSp0752	RSBA7_03114
RSp0750	RSBA7_04047
RSp0750	RSBA7_04046
RSp0753	RSBA7_04036
RSp0753	RSBA7_04035
RSp0753	RSBA7_03113
RSp0759	RSBA7_04031
RSp0758	RSBA7_04032
RSc0327	RSBA7_00289
RSc2989	RSBA7_02750
RSc0328	RSBA7_00290
RSc2988	RSBA7_02749
RSc0325	RSBA7_00287
RSc0326	RSBA7_00288
RSc2987	RSBA7_02748
RSc0329	RSBA7_00291
RSc2982	RSBA7_02743
RSc1651	RSBA7_01583
RSc2981	RSBA7_02742
RSc1650	RSBA7_01584
RSc0320	RSBA7_00276
RSc2980	RSBA7_02741
RSc0323	RSBA7_00285
RSc2986	RSBA7_02747
RSc0324	RSBA7_00286
RSc1654	RSBA7_01580
RSc2985	RSBA7_02746
RSc1653	RSBA7_01581
RSc2984	RSBA7_02745
RSc0321	RSBA7_00277
RSc0322	RSBA7_00284
RSc2983	RSBA7_02744
RSc1652	RSBA7_01582
RSp0740	RSBA7_04057
RSp0741	RSBA7_04056
RSp0744	RSBA7_04053
RSp0745	RSBA7_04052
RSp0742	RSBA7_04055
RSp0743	RSBA7_04054
RSp0748	RSBA7_04049
RSp0749	RSBA7_04048
RSp0746	RSBA7_04051
RSp0747	RSBA7_04050
RSc1648	RSBA7_01586
RSc2979	RSBA7_02740
RSc0316	RSBA7_00274
RSc0317	RSBA7_00275
RSc1647	RSBA7_01587
RSc2978	RSBA7_02739
RSc0314	RSBA7_00272
RSc1646	RSBA7_01588
RSc2977	RSBA7_02738
RSc2976	RSBA7_02737
RSc0315	RSBA7_00273
RSc1645	RSBA7_01589
RSc1649	RSBA7_01585
RSc1640	RSBA7_01594
RSc2971	RSBA7_02732
RSc2970	RSBA7_02731
RSc1644	RSBA7_01590
RSc0312	RSBA7_00270
RSc2975	RSBA7_02736
RSc1643	RSBA7_01591
RSc0313	RSBA7_00271
RSc2974	RSBA7_02735
RSc1642	RSBA7_01592
RSc0310	RSBA7_00268
RSc2973	RSBA7_02734
RSc1641	RSBA7_02560
RSc1641	RSBA7_01593
RSc0311	RSBA7_00269
RSc2972	RSBA7_02733
RSp0773	RSBA7_04012
RSc0305	RSBA7_00263
RSc1637	RSBA7_01598
RSc2968	RSBA7_02729
RSc1636	RSBA7_01600
RSc2967	RSBA7_02728
RSc0306	RSBA7_00264
RSc1635	RSBA7_01601
RSc2966	RSBA7_02727
RSc2965	RSBA7_02726
RSc1634	RSBA7_01602
RSc0304	RSBA7_00262
RSc0309	RSBA7_00267
RSc0307	RSBA7_00265
RSc1639	RSBA7_01596
RSc2969	RSBA7_02730
RSc0308	RSBA7_00266
RSc1638	RSBA7_01597
RSc2960	RSBA7_02721
RSc2964	RSBA7_02725
RSc1633	RSBA7_01603
RSc0301	RSBA7_00260
RSc1632	RSBA7_01604
RSc2963	RSBA7_02724
RSc0302	RSBA7_00261
RSc2962	RSBA7_02723
RSc1631	RSBA7_01605
RSc2961	RSBA7_02722
RSc0300	RSBA7_00259
RSc1630	RSBA7_01606
RSp0762	RSBA7_04028
RSp0763	RSBA7_04027
RSp0760	RSBA7_04030
RSp0761	RSBA7_04029
RSp0766	RSBA7_04024
RSp0767	RSBA7_04023
RSp0764	RSBA7_04026
RSp0765	RSBA7_04330
RSp0765	RSBA7_04025
RSp0765	RSBA7_03203
RSp0765	RSBA7_02977
RSp0768	RSBA7_04022
RSp0768	RSBA7_04769
RSc1626	RSBA7_01610
RSc2957	RSBA7_02718
RSc1625	RSBA7_01611
RSc2956	RSBA7_02717
RSc1624	RSBA7_01612
RSc2955	RSBA7_02716
RSc1623	RSBA7_01613
RSc2954	RSBA7_02715
RSc1629	RSBA7_01607
RSc1628	RSBA7_01608
RSc2959	RSBA7_02720
RSc2958	RSBA7_02719
RSc1627	RSBA7_01609
RSc2953	RSBA7_02714
RSc1622	RSBA7_01614
RSc1621	RSBA7_01616
RSc1621	RSBA7_03688
RSc2952	RSBA7_02712
RSc2951	RSBA7_02711
RSc1620	RSBA7_01617
RSc2950	RSBA7_02710
RSp0711	RSBA7_04088
RSp0712	RSBA7_04087
RSp0710	RSBA7_04089
RSp0715	RSBA7_04084
RSp0716	RSBA7_04083
RSp0713	RSBA7_04086
RSp0714	RSBA7_04085
RSp0719	RSBA7_04081
RSp0718	RSBA7_04082
RSc2946	RSBA7_02706
RSc1615	RSBA7_01626
RSc2945	RSBA7_02705
RSc1614	RSBA7_01627
RSc2944	RSBA7_02703
RSc1613	RSBA7_01628
RSc1612	RSBA7_01629
RSc2943	RSBA7_02702
RSc1619	RSBA7_01621
RSc1618	RSBA7_01623
RSc2949	RSBA7_02709
RSc1617	RSBA7_01624
RSc2948	RSBA7_02708
RSc2947	RSBA7_02707
RSc1616	RSBA7_01625
RSc2942	RSBA7_02701
RSc1611	RSBA7_01630
RSc2941	RSBA7_02700
RSc1610	RSBA7_01631
RSc2940	RSBA7_02699
RSp0700	RSBA7_04099
RSp0701	RSBA7_04098
RSp0704	RSBA7_04095
RSp0705	RSBA7_04094
RSp0702	RSBA7_04097
RSp0703	RSBA7_04096
RSp0708	RSBA7_04091
RSp0709	RSBA7_04090
RSp0706	RSBA7_04093
RSp0707	RSBA7_04092
RSc2935	RSBA7_02694
RSc1604	RSBA7_01638
RSc1603	RSBA7_01639
RSc2934	RSBA7_02693
RSc1602	RSBA7_01640
RSc2933	RSBA7_02692
RSc1601	RSBA7_01641
RSc2932	RSBA7_02691
RSc1608	RSBA7_01633
RSc2939	RSBA7_02698
RSc1607	RSBA7_01635
RSc2938	RSBA7_02697
RSc1606	RSBA7_01636
RSc2937	RSBA7_02696
RSc1605	RSBA7_01637
RSc2936	RSBA7_02695
RSc1600	RSBA7_01642
RSc2931	RSBA7_02690
RSc2930	RSBA7_02689
RSp0730	RSBA7_04073
RSp0731	RSBA7_04069
RSp0731	RSBA7_04464
RSp0732	RSBA7_04072
RSp0738	RSBA7_04063
RSp0738	RSBA7_04059
RSc1609	RSBA7_01632
RSp0736	RSBA7_04065
RSp0736	RSBA7_04067
RSp0739	RSBA7_04058
RSc2924	RSBA7_01791
RSc2923	RSBA7_02622
RSc2922	RSBA7_02621
RSc2921	RSBA7_02620
RSc2928	RSBA7_02687
RSc2927	RSBA7_02686
RSc2926	RSBA7_02685
RSc2925	RSBA7_02684
RSc2920	RSBA7_02619
RSp0722	RSBA7_04077
RSp0720	RSBA7_04080
RSp0721	RSBA7_04078
RSp0726	RSBA7_04076
RSc2929	RSBA7_02688
RSp0728	RSBA7_04075
RSp0729	RSBA7_04074
RSc2113	RSBA7_02405
RSc2112	RSBA7_02404
RSc2111	RSBA7_02403
RSc2110	RSBA7_02402
RSc2110	RSBA7_02897
RSc3441	RSBA7_03128
RSc2117	RSBA7_01958
RSc2116	RSBA7_01957
RSc3442	RSBA7_03129
RSc2115	RSBA7_01956
RSc2114	RSBA7_02406
RSc2120	RSBA7_01960
RSc2109	RSBA7_02401
RSc2108	RSBA7_02400
RSc3434	RSBA7_03116
RSc2101	RSBA7_01947
RSc2100	RSBA7_01946
RSc2106	RSBA7_03836
RSc2106	RSBA7_02076
RSc2106	RSBA7_00489
RSc2106	RSBA7_03106
RSc3430	RSBA7_04243
RSc3430	RSBA7_04498
RSc3440	RSBA7_03127
RSc0396	RSBA7_00396
RSc0397	RSBA7_00397
RSc0394	RSBA7_00393
RSc0395	RSBA7_00394
RSc0398	RSBA7_00398
RSc0399	RSBA7_00399
RSc3416	RSBA7_03112
RSc0385	RSBA7_04485
RSc3412	RSBA7_03110
RSc0386	RSBA7_00385
RSc3413	RSBA7_03455
RSc0383	RSBA7_05025
RSc0383	RSBA7_00383
RSc3414	RSBA7_03111
RSc0384	RSBA7_00384
RSc0389	RSBA7_00388
RSc0387	RSBA7_00386
RSc3410	RSBA7_03108
RSc0388	RSBA7_00387
RSc3411	RSBA7_03109
RSc0392	RSBA7_00391
RSc0393	RSBA7_00392
RSc0390	RSBA7_00389
RSc0391	RSBA7_00390
RSc3409	RSBA7_03107
RSc3405	RSBA7_03102
RSc3406	RSBA7_03104
RSc3407	RSBA7_03105
RSc3408	RSBA7_03836
RSc3408	RSBA7_02076
RSc3408	RSBA7_00489
RSc3408	RSBA7_03106
RSc3401	RSBA7_00867
RSc3401	RSBA7_03097
RSc0374	RSBA7_00374
RSc0375	RSBA7_00375
RSc3402	RSBA7_03099
RSc0372	RSBA7_00372
RSc3403	RSBA7_03100
RSc0373	RSBA7_00373
RSc3404	RSBA7_03101
RSc0378	RSBA7_00378
RSc0379	RSBA7_00379
RSc0376	RSBA7_00376
RSc0377	RSBA7_00377
RSc3400	RSBA7_03096
RSc0381	RSBA7_00381
RSc0382	RSBA7_00382
RSc0380	RSBA7_00380
RSc0369	RSBA7_00369
RSp1190	RSBA7_04537
RSp1191	RSBA7_04538
RSc0363	RSBA7_00363
RSc1695	RSBA7_04599
RSp1194	RSBA7_04541
RSp1195	RSBA7_04542
RSc0364	RSBA7_00364
RSp1192	RSBA7_04500
RSp1192	RSBA7_03931
RSp1192	RSBA7_04539
RSc0361	RSBA7_00361
RSc0362	RSBA7_00362
RSp1193	RSBA7_04540
RSp1198	RSBA7_04545
RSc0367	RSBA7_00367
RSc0368	RSBA7_00368
RSp1199	RSBA7_04546
RSc1698	RSBA7_04859
RSc0365	RSBA7_00365
RSp1196	RSBA7_04543
RSp1197	RSBA7_04544
RSc0366	RSBA7_00366
RSc1696	RSBA7_04600
RSc0370	RSBA7_00370
RSc0371	RSBA7_00371
RSc0358	RSBA7_00358
RSc0359	RSBA7_00359
RSc0352	RSBA7_00352
RSc0353	RSBA7_00353
RSc0350	RSBA7_00350
RSc0351	RSBA7_00351
RSc0356	RSBA7_00356
RSc1688	RSBA7_04591
RSc0357	RSBA7_00357
RSc0354	RSBA7_00354
RSc0355	RSBA7_00355
RSc0360	RSBA7_00360
RSc0349	RSBA7_00349
RSc0347	RSBA7_00347
RSc0348	RSBA7_00348
RSc0341	RSBA7_03073
RSc0341	RSBA7_00341
RSc0342	RSBA7_00342
RSc0342	RSBA7_02124
RSc0340	RSBA7_00340
RSc0345	RSBA7_00345
RSc0346	RSBA7_00346
RSc0343	RSBA7_00343
RSc0344	RSBA7_00344
RSp1282	RSBA7_03672
RSp1282	RSBA7_02556
RSp1283	RSBA7_03671
RSc2199	RSBA7_02018
RSp1280	RSBA7_03674
RSc2198	RSBA7_02017
RSp1281	RSBA7_03673
