BSU35580	XOO2066
BSU13550	XOO2407
BSU14400	XOO2812
BSU22700	XOO1243
BSU38170	XOO1629
BSU15730	XOO0586
BSU15610	XOO3408
BSU15610	XOO3102
BSU32750	XOO0713
BSU00910	XOO2960
BSU33040	XOO2057
BSU37760	XOO1929
BSU18440	XOO1865
BSU26860	XOO1103
BSU33720	XOO4511
BSU28120	XOO1232
BSU29210	XOO3250
BSU15860	XOO1821
BSU08070	XOO4078
BSU08070	XOO4081
BSU32180	XOO3783
BSU33390	XOO1194
BSU38160	XOO1630
BSU22830	XOO4198
BSU37190	XOO4498
BSU39370	XOO2396
BSU17000	XOO3691
BSU18450	XOO0177
BSU02400	XOO1929
BSU32740	XOO0714
BSU27600	XOO1149
BSU33830	XOO4512
BSU28250	XOO0937
BSU29220	XOO1118
BSU28130	XOO0402
BSU38990	XOO0798
BSU22600	XOO2386
BSU15510	XOO2888
BSU15190	XOO3828
BSU38630	XOO0417
BSU38630	XOO3423
BSU30230	XOO1787
BSU18220	XOO1848
BSU18220	XOO2452
BSU38750	XOO2661
BSU01780	XOO0746
BSU25310	XOO3757
BSU06310	XOO1270
BSU27610	XOO2717
BSU31322	XOO1218
BSU02750	XOO0388
BSU35920	XOO3785
BSU03280	XOO3408
BSU03280	XOO3102
BSU21870	XOO4231
BSU11710	XOO2928
BSU28260	XOO0936
BSU06430	XOO3209
BSU24340	XOO0556
BSU23250	XOO3852
BSU15520	XOO2887
BSU12010	XOO2812
BSU22730	XOO2535
BSU39390	XOO1929
BSU18470	XOO2666
BSU30220	XOO3691
BSU38980	XOO0799
BSU18230	XOO2903
BSU27860	XOO3212
BSU23260	XOO3853
BSU01770	XOO3249
BSU26650	XOO1847
BSU06420	XOO3210
BSU33730	XOO4512
BSU28270	XOO0940
BSU07990	XOO3939
BSU13900	XOO1278
BSU28150	XOO4007
BSU03150	XOO0332
BSU04360	XOO2205
BSU24350	XOO0558
BSU40330	XOO1929
BSU21810	XOO3751
BSU16100	XOO1594
BSU11330	XOO0878
BSU15490	XOO1427
BSU36510	XOO4486
BSU10120	XOO1242
BSU31060	XOO3729
BSU33800	XOO4511
BSU30530	XOO4034
BSU24080	XOO1883
BSU33920	XOO3238
BSU32830	XOO2538
BSU31620	XOO4065
BSU28560	XOO2868
BSU06490	XOO3675
BSU28680	XOO3841
BSU08790	XOO0947
BSU38240	XOO4548
BSU18410	XOO2505
BSU37150	XOO2967
BSU11340	XOO0883
BSU40320	XOO0435
BSU11220	XOO1219
BSU15700	XOO0496
BSU21820	XOO3752
BSU14610	XOO2042
BSU15020	XOO2508
BSU36860	XOO0727
BSU29300	XOO1625
BSU31610	XOO4064
BSU06360	XOO2195
BSU11230	XOO2888
BSU32170	XOO3997
BSU38150	XOO1631
BSU16920	XOO2291
BSU30550	XOO3791
BSU14180	XOO1985
BSU39360	XOO2400
BSU10020	XOO2388
BSU36890	XOO2501
BSU01580	XOO4018
BSU33940	XOO1203
BSU32730	XOO0715
BSU33700	XOO4511
BSU34910	XOO2256
BSU33820	XOO4511
BSU27250	XOO0778
BSU27250	XOO1818
BSU27010	XOO0280
BSU11240	XOO2887
BSU38020	XOO2928
BSU37170	XOO2078
BSU37170	XOO2076
BSU37170	XOO1843
BSU15720	XOO0585
BSU36760	XOO1290
BSU39350	XOO2398
BSU33370	XOO3690
BSU17460	XOO4488
BSU35670	XOO2186
BSU10270	XOO2868
BSU34900	XOO2258
BSU30420	XOO3765
BSU26970	XOO0635
BSU30540	XOO0746
BSU33930	XOO3415
BSU27260	XOO3409
BSU24310	XOO2193
BSU29200	XOO1961
BSU29060	XOO1583
BSU36830	XOO0730
BSU00510	XOO3603
BSU33440	XOO3398
BSU34890	XOO2259
BSU24040	XOO4078
BSU24040	XOO4081
BSU24280	XOO3299
BSU00750	XOO4163
BSU22420	XOO2363
BSU24960	XOO2465
BSU21690	XOO3657
BSU22780	XOO4600
BSU09440	XOO0893
BSU21900	XOO4575
BSU21900	XOO2339
BSU00500	XOO0736
BSU33430	XOO3400
BSU36820	XOO0731
BSU16670	XOO1625
BSU16550	XOO1970
BSU32460	XOO4365
BSU00740	XOO0884
BSU15900	XOO0880
BSU22430	XOO2364
BSU00180	XOO2208
BSU22670	XOO4161
BSU25020	XOO2828
BSU25020	XOO2712
BSU25020	XOO3208
BSU21910	XOO1388
BSU00730	XOO3409
BSU34790	XOO2547
BSU13170	XOO2208
BSU17890	XOO1176
BSU33900	XOO2963
BSU02230	XOO3519
BSU15910	XOO0881
BSU22680	XOO0884
BSU40420	XOO0915
BSU28310	XOO0945
BSU30980	XOO0194
BSU30980	XOO0113
BSU01370	XOO0963
BSU13110	XOO4342
BSU28290	XOO0946
BSU39060	XOO1103
BSU18000	XOO2865
BSU23270	XOO3854
BSU00790	XOO2365
BSU06530	XOO0537
BSU08710	XOO1232
BSU35700	XOO0789
BSU28280	XOO0941
BSU24120	XOO0892
BSU04470	XOO1117
BSU13120	XOO2666
BSU16510	XOO1974
BSU16750	XOO3259
BSU17600	XOO2910
BSU17600	XOO4417
BSU39050	XOO0417
BSU39050	XOO3423
BSU16990	XOO3684
BSU38760	XOO2656
BSU23280	XOO3856
BSU22070	XOO2717
BSU36900	XOO3860
BSU06520	XOO0539
BSU07610	XOO1103
BSU08820	XOO0417
BSU08820	XOO3423
BSU22750	XOO3987
BSU29020	XOO1203
BSU29140	XOO0893
BSU40040	XOO4620
BSU38550	XOO3624
BSU13130	XOO2665
BSU15550	XOO0247
BSU36370	XOO1966
BSU11870	XOO0778
BSU11870	XOO1818
BSU12840	XOO2974
BSU23610	XOO3639
BSU32450	XOO4939
BSU34870	XOO2261
BSU18260	XOO2078
BSU18260	XOO2076
BSU18260	XOO1843
BSU33420	XOO0675
BSU15790	XOO4052
BSU37100	XOO1290
BSU24140	XOO0893
BSU16090	XOO1593
