KPN_04005	RSGMI1000_02110
KPN_03036	RSGMI1000_00938
KPN_04249	RSGMI1000_02413
KPN_04008	RSGMI1000_01368
KPN_01090	RSGMI1000_01068
KPN_01091	RSGMI1000_01069
KPN_02180	RSGMI1000_01620
KPN_01092	RSGMI1000_01070
KPN_01093	RSGMI1000_01071
KPN_02061	RSGMI1000_02805
KPN_01096	RSGMI1000_01834
KPN_02055	RSGMI1000_01678
KPN_02176	RSGMI1000_01624
KPN_04478	RSGMI1000_02000
KPN_01089	RSGMI1000_01067
KPN_03268	RSGMI1000_01678
KPN_03389	RSGMI1000_02206
KPN_03388	RSGMI1000_02205
KPN_04239	RSGMI1000_00094
KPN_03029	RSGMI1000_00821
KPN_03380	RSGMI1000_00350
KPN_03140	RSGMI1000_01119
KPN_03140	RSGMI1000_03536
KPN_03140	RSGMI1000_03356
KPN_04350	RSGMI1000_02601
KPN_02295	RSGMI1000_04973
KPN_02054	RSGMI1000_01614
KPN_02054	RSGMI1000_02300
KPN_02175	RSGMI1000_01625
KPN_03009	RSGMI1000_03558
KPN_01197	RSGMI1000_02801
KPN_03375	RSGMI1000_00135
KPN_01198	RSGMI1000_01798
KPN_02169	RSGMI1000_02450
KPN_03016	RSGMI1000_03794
KPN_02160	RSGMI1000_01455
KPN_03130	RSGMI1000_01099
KPN_02162	RSGMI1000_00767
KPN_02162	RSGMI1000_02709
KPN_03132	RSGMI1000_04288
KPN_01074	RSGMI1000_00498
KPN_03131	RSGMI1000_01099
KPN_04329	RSGMI1000_00467
KPN_03123	RSGMI1000_01152
KPN_00096	RSGMI1000_02893
KPN_03244	RSGMI1000_01402
KPN_00095	RSGMI1000_02894
KPN_00094	RSGMI1000_02895
KPN_03124	RSGMI1000_01149
KPN_04576	RSGMI1000_01256
KPN_04337	RSGMI1000_00731
KPN_00091	RSGMI1000_02898
KPN_03126	RSGMI1000_01618
KPN_04339	RSGMI1000_02299
KPN_00090	RSGMI1000_02899
KPN_03008	RSGMI1000_03557
KPN_04217	RSGMI1000_02577
KPN_02392	RSGMI1000_04195
KPN_02392	RSGMI1000_04564
KPN_02393	RSGMI1000_04563
KPN_04331	RSGMI1000_00470
KPN_00918	RSGMI1000_04642
KPN_04289	RSGMI1000_00706
KPN_04288	RSGMI1000_00704
KPN_03194	RSGMI1000_04084
KPN_04282	RSGMI1000_01219
KPN_03193	RSGMI1000_04083
KPN_04287	RSGMI1000_04475
KPN_04286	RSGMI1000_04476
KPN_04286	RSGMI1000_03982
KPN_04157	RSGMI1000_01031
KPN_04399	RSGMI1000_00299
KPN_03183	RSGMI1000_02442
KPN_04271	RSGMI1000_00458
KPN_04395	RSGMI1000_01395
KPN_04152	RSGMI1000_01667
KPN_04152	RSGMI1000_04513
KPN_03184	RSGMI1000_02441
KPN_04155	RSGMI1000_01274
KPN_04397	RSGMI1000_00283
KPN_04154	RSGMI1000_01273
KPN_04154	RSGMI1000_05082
KPN_04154	RSGMI1000_02809
KPN_04396	RSGMI1000_01390
KPN_04267	RSGMI1000_02122
KPN_04388	RSGMI1000_00515
KPN_04387	RSGMI1000_02237
KPN_04269	RSGMI1000_00585
KPN_04142	RSGMI1000_03382
KPN_04141	RSGMI1000_03381
KPN_04143	RSGMI1000_03383
KPN_04135	RSGMI1000_00180
KPN_04256	RSGMI1000_02004
KPN_03045	RSGMI1000_00689
KPN_04134	RSGMI1000_00181
KPN_04376	RSGMI1000_00114
KPN_04137	RSGMI1000_03377
KPN_04379	RSGMI1000_03363
KPN_04136	RSGMI1000_04270
KPN_04136	RSGMI1000_03376
KPN_04139	RSGMI1000_03379
KPN_04138	RSGMI1000_03378
KPN_02193	RSGMI1000_02916
KPN_02193	RSGMI1000_01939
KPN_02194	RSGMI1000_02917
KPN_02194	RSGMI1000_01938
KPN_04131	RSGMI1000_01569
KPN_04130	RSGMI1000_01570
KPN_04372	RSGMI1000_00110
KPN_04133	RSGMI1000_01567
KPN_04375	RSGMI1000_00109
KPN_04374	RSGMI1000_00356
KPN_04011	RSGMI1000_03116
KPN_04132	RSGMI1000_01568
KPN_00039	RSGMI1000_02797
KPN_03673	RSGMI1000_00011
KPN_03673	RSGMI1000_04278
KPN_03673	RSGMI1000_03784
KPN_00041	RSGMI1000_01559
KPN_01132	RSGMI1000_01785
KPN_03672	RSGMI1000_00012
KPN_03672	RSGMI1000_04279
KPN_00040	RSGMI1000_01557
KPN_00281	RSGMI1000_02869
KPN_01254	RSGMI1000_02030
KPN_01255	RSGMI1000_02938
KPN_01255	RSGMI1000_04145
KPN_00280	RSGMI1000_02793
KPN_03795	RSGMI1000_03719
KPN_03432	RSGMI1000_01538
KPN_02587	RSGMI1000_01273
KPN_02587	RSGMI1000_05082
KPN_02587	RSGMI1000_02809
KPN_01256	RSGMI1000_02937
KPN_01256	RSGMI1000_04146
KPN_03798	RSGMI1000_03716
KPN_01015	RSGMI1000_05061
KPN_01015	RSGMI1000_00496
KPN_03797	RSGMI1000_03715
