KPN_01099	H16_A0312
KPN_04005	H16_A1047
KPN_03036	H16_A0808
KPN_04249	H16_A2925
KPN_04008	H16_A2247
KPN_01090	H16_A2568
KPN_01091	H16_A2567
KPN_01091	H16_B1904
KPN_02180	H16_A1339
KPN_01092	H16_A2566
KPN_03150	H16_A0861
KPN_01093	H16_A2565
KPN_02061	H16_B0361
KPN_02061	RALH1_K20452
KPN_02061	RALH1_K20453
KPN_02061	H16_B0666
KPN_02061	H16_B0651
KPN_02061	H16_B1696
KPN_02061	H16_B0663
KPN_02061	H16_B1442
KPN_01096	H16_A1569
KPN_02055	H16_B0381
KPN_02055	H16_A1438
KPN_02176	H16_A1343
KPN_04476	H16_B1337
KPN_04476	H16_B1355
KPN_04233	H16_A2606
KPN_04478	H16_A2525
KPN_04478	H16_B0834
KPN_01089	H16_A2569
KPN_03268	H16_B0381
KPN_03268	H16_A1438
KPN_03389	H16_A0947
KPN_03388	H16_A0948
KPN_04239	H16_A0246
KPN_03029	H16_A2769
KPN_03380	H16_A0323
KPN_03140	H16_A3622
KPN_04350	H16_A3061
KPN_02295	H16_B0554
KPN_02054	H16_A1332
KPN_02054	PHG387
KPN_02054	H16_B0199
KPN_02175	H16_A1344
KPN_01197	H16_A3146
KPN_03375	H16_A0230
KPN_01198	H16_A1517
KPN_02169	H16_A2971
KPN_03016	H16_B0081
KPN_03491	H16_A0861
KPN_02160	H16_A2038
KPN_03130	H16_B0127
KPN_02162	H16_B1076
KPN_02162	H16_A1122
KPN_01074	H16_A0479
KPN_01195	H16_A3186
KPN_03131	H16_B0127
KPN_04329	H16_A0445
KPN_03123	H16_A1188
KPN_00096	H16_A3271
KPN_03244	H16_A2114
KPN_00095	H16_A3272
KPN_00094	H16_A3273
KPN_03124	H16_A1185
KPN_04576	H16_A2354
KPN_04337	H16_A2859
KPN_00091	H16_A3276
KPN_03126	H16_A1337
KPN_04339	H16_B0200
KPN_00090	H16_A3277
KPN_04217	H16_A0610
KPN_02392	H16_A0430
KPN_02393	H16_A0428
KPN_04331	H16_A0448
KPN_04289	H16_A1864
KPN_04289	H16_A2907
KPN_04288	H16_A1851
KPN_04288	H16_A2909
KPN_04282	H16_A2394
KPN_04399	H16_A0151
KPN_04270	H16_B0280
KPN_03183	H16_A2962
KPN_04271	H16_A0427
KPN_04395	H16_A2217
KPN_04152	H16_B0977
KPN_04152	H16_A1419
KPN_04152	PHG116
KPN_03184	H16_A2961
KPN_04155	H16_B1499
KPN_04397	H16_A0168
KPN_04154	H16_B1498
KPN_04396	H16_A2227
KPN_04267	H16_A1035
KPN_04388	H16_A0501
KPN_04387	H16_A0915
KPN_03056	H16_A2201
KPN_04269	H16_A0561
KPN_02080	H16_B0953
KPN_02080	PHG215
KPN_02081	H16_B0952
KPN_02081	PHG214
KPN_04142	H16_A3642
KPN_04141	H16_A3641
KPN_04143	H16_A3643
KPN_04135	H16_A0262
KPN_04256	H16_A2529
KPN_03045	PHG009
KPN_03045	RALH13962
KPN_03045	H16_A0735
KPN_03045	H16_B2070
KPN_04134	H16_A0263
KPN_04376	H16_A0235
KPN_04137	H16_A3637
KPN_04379	H16_A3633
KPN_02079	PHG216
KPN_02079	H16_B0954
KPN_04136	H16_A3636
KPN_04139	H16_A3639
KPN_04138	H16_A3638
KPN_03161	H16_B1515
KPN_04492	H16_B1291
KPN_02193	H16_B0716
KPN_02193	H16_A1304
KPN_02193	H16_A2953
KPN_02193	H16_A3294
KPN_02193	H16_A1471
KPN_02193	H16_B1124
KPN_02194	H16_A2952
KPN_02194	H16_B0717
KPN_02194	H16_A1303
KPN_02194	H16_A1470
KPN_02194	H16_A3295
KPN_02194	H16_B1125
KPN_04131	H16_A2442
KPN_04130	H16_A2441
KPN_04372	H16_A0238
KPN_04133	H16_A2444
KPN_04375	H16_A0239
KPN_04012	H16_B2142
KPN_04374	H16_A0330
KPN_04011	H16_A2507
KPN_04132	H16_A2443
KPN_00039	H16_A3141
KPN_03673	H16_A3730
KPN_00041	H16_A2452
KPN_03794	H16_B1562
KPN_01132	H16_B1829
KPN_01132	H16_B0109
KPN_01132	H16_B1951
KPN_01132	H16_B0462
KPN_03672	H16_A3729
KPN_00040	H16_A2454
KPN_00281	H16_A3249
KPN_01254	H16_A2614
KPN_01255	H16_A3322
KPN_00280	H16_A3136
KPN_02587	H16_B1498
KPN_01256	H16_A3321
KPN_03798	H16_B1559
KPN_01015	H16_A0477
KPN_03797	H16_B1560
KPN_02468	H16_A0302
KPN_03799	H16_A2618
KPN_01017	H16_A0856
KPN_00049	H16_A0513
KPN_00169	H16_A0734
KPN_00046	H16_A2910
KPN_00045	H16_A2704
KPN_00044	H16_A3527
KPN_01492	H16_A0471
KPN_01493	H16_A3025
KPN_02206	H16_A2505
KPN_02206	H16_B1956
KPN_04627	H16_A3167
KPN_04626	H16_B1390
KPN_04626	H16_A0999
KPN_04626	PHG027
KPN_04626	PHG422
KPN_03537	H16_A3600
KPN_03537	H16_B0941
KPN_02328	H16_A3087
KPN_02330	H16_A3622
KPN_00393	H16_A1642
KPN_00393	H16_A1072
KPN_00393	H16_B1026
KPN_00392	H16_A1641
KPN_00392	H16_A1073
KPN_00392	H16_B1027
KPN_03540	H16_B0965
KPN_02573	H16_A1386
KPN_01121	H16_B0319
KPN_03785	H16_B1207
KPN_03664	H16_A3171
KPN_00391	H16_A1074
KPN_00391	H16_B1028
KPN_02211	PHG273
KPN_02211	H16_B2268
KPN_02696	H16_A0045
KPN_02696	H16_A0475
KPN_02696	H16_A2756
KPN_02696	H16_A3308
KPN_02696	H16_B1810
KPN_01365	H16_B1081
KPN_01365	H16_A1151
KPN_01365	H16_A1494
KPN_01123	H16_B0317
KPN_02213	PHG271
KPN_02213	H16_B2266
KPN_03665	H16_A3172
KPN_02214	H16_B2265
KPN_02214	PHG270
KPN_01126	H16_A2346
KPN_02215	H16_B2264
KPN_02215	PHG269
KPN_01127	H16_A3147
KPN_01127	PHG420
KPN_01127	H16_B1388
KPN_02458	H16_A3076
KPN_00395	H16_A0218
KPN_00394	H16_A1643
KPN_00394	H16_A1071
KPN_00394	H16_B1025
KPN_00139	H16_A3129
KPN_01106	H16_A2740
KPN_01106	PHG414
KPN_01469	H16_B1363
KPN_01469	H16_A3520
KPN_04615	H16_A2806
KPN_04736	H16_A2187
KPN_04739	H16_B0787
KPN_03409	H16_A1903
KPN_00140	H16_A2959
KPN_01472	H16_B1360
KPN_01472	H16_A3523
KPN_01473	H16_A3524
KPN_01473	H16_B1359
KPN_01473	H16_B0544
KPN_03895	H16_B0716
KPN_03895	H16_A1304
KPN_03895	H16_A2953
KPN_03895	H16_A3294
KPN_03895	H16_A1471
KPN_03895	H16_B1124
KPN_01474	H16_A0100
KPN_01474	H16_A3307
KPN_04621	H16_A0746
KPN_02322	H16_A3288
KPN_02564	H16_A1588
KPN_02564	H16_A0940
KPN_02564	H16_A0942
KPN_01475	H16_A0873
KPN_01475	H16_A3311
KPN_03410	H16_A2606
KPN_04623	H16_B1498
KPN_02202	H16_A2752
KPN_03897	H16_A2951
KPN_03897	H16_A1472
KPN_03897	H16_A2098
KPN_01476	H16_A0282
KPN_02565	H16_A0943
KPN_03896	H16_A2952
KPN_03896	H16_B0717
KPN_03896	H16_A1303
KPN_03896	H16_A1470
KPN_03896	H16_A3295
KPN_03896	H16_B1125
KPN_02566	H16_A1588
KPN_02566	H16_A0940
KPN_02566	H16_A0942
KPN_02445	H16_B0070
KPN_01236	H16_A3109
KPN_01236	H16_B1428
KPN_01478	H16_B0200
KPN_03536	H16_B0612
KPN_02688	H16_B1871
KPN_01479	H16_A3313
KPN_01479	H16_B1357
KPN_03898	H16_B0720
KPN_00024	H16_A3031
KPN_00142	H16_A3082
KPN_00021	H16_A3046
KPN_01470	H16_B1362
KPN_01470	H16_A3521
KPN_00020	H16_A3045
KPN_00141	H16_A3084
KPN_02560	H16_A2945
KPN_01471	H16_A3522
KPN_01471	H16_B1361
KPN_00008	H16_A2346
KPN_00369	H16_A3154
KPN_02305	H16_A0991
KPN_02305	H16_A2668
KPN_02668	H16_A1061
KPN_03757	H16_A3317
KPN_03757	H16_B1391
KPN_03757	PHG423
KPN_03878	H16_A0299
KPN_02306	H16_A1922
KPN_02308	H16_A2113
KPN_02309	H16_A1505
KPN_02309	H16_A0817
KPN_02550	H16_A0243
KPN_02671	H16_A1058
KPN_03761	H16_A3435
KPN_02792	H16_B1871
KPN_03760	H16_A3434
KPN_02672	H16_A1057
KPN_00370	H16_A3155
KPN_01221	H16_A3025
KPN_01464	H16_A1454
KPN_01464	H16_B0459
KPN_02674	H16_A1055
KPN_02797	H16_A1002
KPN_02797	H16_A3153
KPN_01587	H16_A1937
KPN_02798	H16_A2346
KPN_03767	H16_A0665
KPN_03767	H16_B1965
KPN_03767	H16_A3441
KPN_02677	H16_A1051
KPN_01104	H16_A2550
KPN_02799	H16_A3147
KPN_02799	PHG420
KPN_02799	H16_B1388
KPN_01468	H16_B1917
KPN_00016	H16_B0439
KPN_00256	H16_B1537
KPN_00256	H16_B1179
KPN_00256	H16_B0982
KPN_00256	H16_B2057
KPN_00255	H16_B0981
KPN_00134	H16_A0169
KPN_00254	H16_B1890
KPN_00373	H16_A2733
KPN_00372	H16_A2732
KPN_03109	H16_A1456
KPN_03108	H16_A1457
KPN_03114	H16_A2996
KPN_03114	H16_B0627
KPN_01056	H16_A0185
KPN_00083	H16_A1036
KPN_03356	PHG418
KPN_03356	H16_B1386
KPN_00082	H16_A1035
KPN_03355	PHG417
KPN_03355	H16_B1385
KPN_03355	H16_A0566
KPN_03113	H16_A2995
KPN_03113	H16_B0626
KPN_03597	H16_A3253
KPN_03357	H16_A3147
KPN_03357	PHG420
KPN_03357	H16_B1388
KPN_03599	H16_A3418
KPN_00080	H16_A1041
KPN_03236	H16_A2703
KPN_04325	H16_B1581
KPN_02380	H16_A0453
KPN_00089	H16_A3278
KPN_00088	H16_A3279
KPN_04441	H16_B1081
KPN_04441	H16_A1151
KPN_04441	H16_A1494
KPN_04320	H16_A0309
KPN_04440	H16_A2113
KPN_04308	H16_A0227
KPN_03339	H16_A3621
KPN_04428	H16_A3107
KPN_02495	H16_A1850
KPN_02495	H16_A2908
KPN_00195	H16_A2042
KPN_03222	H16_B1630
KPN_03222	H16_A0670
KPN_02496	H16_A1864
KPN_02496	H16_A2907
KPN_00194	H16_A2043
KPN_01165	H16_A1910
KPN_01165	H16_A2280
KPN_02497	H16_A1851
KPN_02497	H16_A2909
KPN_00193	H16_A2044
KPN_03587	H16_A2446
KPN_04313	H16_A3159
KPN_03466	H16_A1083
KPN_03586	H16_A2445
KPN_00192	H16_A2045
KPN_03465	H16_A1081
KPN_03226	H16_A2343
KPN_03225	H16_A0597
KPN_02379	H16_A0455
KPN_03467	H16_A1084
KPN_03349	H16_A2345
KPN_03106	H16_A2376
KPN_03348	H16_B0824
KPN_02490	H16_A1864
KPN_02490	H16_A2907
KPN_00079	H16_A2619
KPN_02491	H16_A1851
KPN_02491	H16_A2909
KPN_04670	H16_A3664
KPN_04670	H16_A0273
KPN_00078	H16_A1236
KPN_00078	H16_A2621
KPN_00077	H16_A2620
KPN_00077	H16_A1237
KPN_00198	H16_A1223
KPN_03580	H16_B2531
KPN_04430	H16_A1027
KPN_03341	H16_A3619
KPN_01041	H16_A3631
KPN_02494	H16_A1848
KPN_02494	H16_A2906
KPN_03340	H16_A3620
KPN_01284	H16_A2410
KPN_01284	PHG261
KPN_03461	H16_A2871
KPN_02118	H16_A1806
KPN_02118	H16_B0551
KPN_02119	H16_B0548
KPN_02119	H16_B0597
KPN_00184	H16_A2053
KPN_04663	H16_A2751
KPN_01032	H16_A0806
KPN_04783	H16_B1180
KPN_02364	H16_A1892
KPN_04665	H16_A2990
KPN_02365	H16_B1213
KPN_02366	H16_A1178
KPN_02366	H16_B2567
