BSU09290	PP_1075
BSU11250	PP_1079
BSU13550	PP_1766
BSU14400	PP_0795
BSU22700	PP_5078
BSU38170	PP_0812
BSU15730	PP_0067
BSU15610	PP_2090
BSU15610	PP_3999
BSU32750	PP_0114
BSU00910	PP_1618
BSU33040	PP_1755
BSU33040	PP_0944
BSU30450	PP_4216
BSU37760	PP_3727
BSU37760	PP_0660
BSU26860	PP_0147
BSU26860	PP_2057
BSU33720	PP_0871
BSU33720	PP_0869
BSU03060	PP_4735
BSU06450	PP_1240
BSU28120	PP_4784
BSU29450	PP_1088
BSU29210	PP_1996
BSU15860	PP_0987
BSU15860	PP_3144
BSU15860	PP_0297
BSU08070	PP_0554
BSU08070	PP_4402
BSU33390	PP_3829
BSU38160	PP_0813
BSU39370	PP_5030
BSU18450	PP_5076
BSU36660	PP_2843
BSU02400	PP_3727
BSU02400	PP_0660
BSU32740	PP_0113
BSU32740	PP_0219
BSU27600	PP_5302
BSU33830	PP_0868
BSU34920	PP_0965
BSU28250	PP_1986
BSU08860	PP_0238
BSU29220	PP_5085
BSU29340	PP_0225
BSU29340	PP_4483
BSU29340	PP_1300
BSU29340	PP_1068
BSU29340	PP_3597
BSU29340	PP_2774
BSU29340	PP_0283
BSU29340	PP_4425
BSU28130	PP_2913
BSU28130	PP_3322
BSU38990	PP_3122
BSU38990	PP_3951
BSU08060	PP_0555
BSU22600	PP_1770
BSU15510	PP_4724
BSU15190	PP_1334
BSU19310	PP_0545
BSU19310	PP_2680
BSU19310	PP_5278
BSU19310	PP_2694
BSU19310	PP_2589
BSU19310	PP_5063
BSU38630	PP_0115
BSU38630	PP_0481
BSU30230	PP_4984
BSU18220	PP_3284
BSU18220	PP_2217
BSU37660	PP_0774
BSU01780	PP_5409
BSU02990	PP_0295
BSU25310	PP_2973
BSU25310	PP_1636
BSU33500	PP_0586
BSU02510	PP_3601
BSU06310	PP_2543
BSU06310	PP_0284
BSU06310	PP_4756
BSU06310	PP_4106
BSU06310	PP_2911
BSU27610	PP_4266
BSU35920	PP_2458
BSU03280	PP_2090
BSU03280	PP_3999
BSU21870	PP_5128
BSU08850	PP_0239
BSU28260	PP_1985
BSU06430	PP_5335
BSU05340	PP_2717
BSU05340	PP_1929
BSU24340	PP_0558
BSU23250	PP_0517
BSU33290	PP_2592
BSU15520	PP_4723
BSU12010	PP_0795
BSU22730	PP_0849
BSU39390	PP_3727
BSU39390	PP_0660
BSU18470	PP_0691
BSU38500	PP_2351
BSU38860	PP_3129
BSU13580	PP_0817
BSU38980	PP_3123
BSU38980	PP_3952
BSU18230	PP_3540
BSU27860	PP_0787
BSU23260	PP_0516
BSU23260	PP_3813
BSU01770	PP_4716
BSU02980	PP_0294
BSU26650	PP_0026
BSU06420	PP_5336
BSU33730	PP_0868
BSU28270	PP_1988
BSU07990	PP_4043
BSU06660	PP_4946
BSU28150	PP_0186
BSU29120	PP_0654
BSU03150	PP_3416
BSU24350	PP_0559
BSU40330	PP_3727
BSU40330	PP_0660
BSU21810	PP_5132
BSU16100	PP_4185
BSU15490	PP_4998
BSU36510	PP_5233
BSU10120	PP_5074
BSU35660	PP_1811
BSU33800	PP_0871
BSU33800	PP_0869
BSU30530	PP_5031
BSU30530	PP_4495
BSU30530	PP_1059
BSU30530	PP_4840
BSU30530	PP_0927
BSU24080	PP_4617
BSU33920	PP_4715
BSU31620	PP_2229
BSU28560	PP_4550
BSU28560	PP_4549
BSU06490	PP_2000
BSU06370	PP_4284
BSU06370	PP_4653
BSU08790	PP_4922
BSU38240	PP_3272
BSU38240	PP_2797
BSU38240	PP_1743
BSU18410	PP_4659
BSU37150	PP_1610
BSU11340	PP_1916
BSU11220	PP_4481
BSU15700	PP_5285
BSU14610	PP_4187
BSU14610	PP_5366
BSU14610	PP_4404
BSU15020	PP_5123
BSU36860	PP_5418
BSU29300	PP_0602
BSU33910	PP_5056
BSU31610	PP_2230
BSU06240	PP_0552
BSU22110	PP_3378
BSU06360	PP_1032
BSU11230	PP_4724
BSU32170	PP_5228
BSU38150	PP_0814
BSU16920	PP_4097
BSU00930	PP_0228
BSU00930	PP_0840
BSU00930	PP_3136
BSU30550	PP_4967
BSU39360	PP_5033
BSU10020	PP_1768
BSU36650	PP_2844
BSU36890	PP_0746
BSU33940	PP_1009
BSU32730	PP_0112
BSU33700	PP_0871
BSU33700	PP_0869
BSU34910	PP_0966
BSU33820	PP_0871
BSU33820	PP_0869
BSU27810	PP_0496
BSU25070	PP_0853
BSU27250	PP_4594
BSU27250	PP_2001
BSU27250	PP_0659
BSU27250	PP_1308
BSU23570	PP_5338
BSU27010	PP_2426
BSU11240	PP_4723
BSU37170	PP_2216
BSU19520	PP_3417
BSU36760	PP_0964
BSU39350	PP_5032
BSU33370	PP_4305
BSU33370	PP_5171
BSU36640	PP_2845
BSU17460	PP_5046
BSU35670	PP_3821
BSU10270	PP_4550
BSU10270	PP_4549
BSU34900	PP_0289
BSU26970	PP_3970
BSU30540	PP_5409
BSU02420	PP_0496
BSU33930	PP_4963
BSU27260	PP_4571
BSU27260	PP_1654
BSU28470	PP_4473
BSU24310	PP_1945
BSU24310	PP_2265
BSU29440	PP_0184
BSU29200	PP_1607
BSU29060	PP_0631
BSU36830	PP_5415
BSU03900	PP_0214
BSU03900	PP_4108
BSU00510	PP_0722
BSU33440	PP_1703
BSU27430	PP_0225
BSU27430	PP_4483
BSU27430	PP_1300
BSU27430	PP_1068
BSU27430	PP_3597
BSU27430	PP_2774
BSU27430	PP_0283
BSU27430	PP_4425
BSU24040	PP_0554
BSU24040	PP_4402
BSU24160	PP_3755
BSU03220	PP_4946
BSU24280	PP_0528
BSU00750	PP_0420
BSU22420	PP_4700
BSU24960	PP_5326
BSU24960	PP_2659
BSU21690	PP_0336
BSU22780	PP_2512
BSU22780	PP_1823
BSU09440	PP_2335
BSU02490	PP_4757
BSU21900	PP_0777
BSU21900	PP_1874
BSU00500	PP_5411
BSU36820	PP_5414
BSU16670	PP_0602
BSU16550	PP_1597
BSU34880	PP_0292
BSU32460	PP_4285
BSU03330	PP_2092
BSU24170	PP_4636
BSU15900	PP_1913
BSU22430	PP_4699
BSU02480	PP_3600
BSU02480	PP_1710
BSU07490	PP_2592
BSU22670	PP_0421
BSU25020	PP_0915
BSU25020	PP_0946
BSU00730	PP_4571
BSU00730	PP_1654
BSU10220	PP_0137
BSU30070	PP_5374
BSU30070	PP_5061
BSU30070	PP_0229
BSU30070	PP_3957
BSU12080	PP_0816
BSU34790	PP_0786
BSU17890	PP_4965
BSU33900	PP_1612
BSU02230	PP_1457
BSU15910	PP_1914
BSU28540	PP_2047
BSU29990	PP_4284
BSU29990	PP_4653
BSU40420	PP_4889
BSU31150	PP_2862
BSU15480	PP_0745
BSU28310	PP_4680
BSU02340	PP_0137
BSU30980	PP_4058
BSU01370	PP_1506
BSU39860	PP_5120
BSU13110	PP_0327
BSU13110	PP_1367
BSU13110	PP_1943
BSU28290	PP_4678
BSU39060	PP_0147
BSU39060	PP_2057
BSU32430	PP_4290
BSU18000	PP_2112
BSU18120	PP_0496
BSU22060	PP_4290
BSU23270	PP_0515
BSU00790	PP_4698
BSU06530	PP_4823
BSU08830	PP_3637
BSU03820	PP_2592
BSU08710	PP_4784
BSU35700	PP_0825
BSU29130	PP_4011
BSU21770	PP_5149
BSU21770	PP_3446
BSU24120	PP_2334
BSU04470	PP_2056
BSU04470	PP_1188
BSU13120	PP_0691
BSU16510	PP_1593
BSU12950	PP_0879
BSU39050	PP_0115
BSU39050	PP_0481
BSU18250	PP_4063
BSU35010	PP_4036
BSU23280	PP_0514
BSU22070	PP_4266
BSU36900	PP_0322
BSU36900	PP_0671
BSU06520	PP_4822
BSU07610	PP_0147
BSU07610	PP_2057
BSU35930	PP_2459
BSU08820	PP_0115
BSU08820	PP_0481
BSU22750	PP_5011
BSU23960	PP_0225
BSU23960	PP_4483
BSU23960	PP_1300
BSU23960	PP_1068
BSU23960	PP_3597
BSU23960	PP_2774
BSU23960	PP_0283
BSU23960	PP_4425
BSU29020	PP_1009
BSU29140	PP_2335
BSU03130	PP_4869
BSU40040	PP_3178
BSU24130	PP_2338
BSU38550	PP_3511
BSU13130	PP_4811
BSU15550	PP_1815
BSU36370	PP_1602
BSU11870	PP_4594
BSU11870	PP_2001
BSU11870	PP_0659
BSU11870	PP_1308
BSU34190	PP_4735
BSU32450	PP_4287
BSU34870	PP_0293
BSU18260	PP_2216
BSU03800	PP_2594
BSU33420	PP_1587
BSU15790	PP_0415
BSU11190	PP_0432
BSU37100	PP_0964
BSU39760	PP_0597
BSU24140	PP_2335
BSU03000	PP_1741
BSU16090	PP_4186
BSU00770	PP_4717
BSU36810	PP_5413
BSU22640	PP_0083
BSU23850	PP_5351
BSU23850	PP_1022
BSU00090	PP_1031
BSU14900	PP_0813
BSU40070	PP_3417
BSU02390	PP_3511
BSU16530	PP_1595
BSU11880	PP_4594
BSU11880	PP_2001
BSU11880	PP_0659
BSU11880	PP_1308
BSU34860	PP_5014
BSU34860	PP_3320
BSU32440	PP_4290
BSU03910	PP_0213
BSU03910	PP_4422
BSU19360	PP_4188
BSU10790	PP_5409
BSU14590	PP_0554
BSU14590	PP_4402
BSU15680	PP_5296
BSU16770	PP_1237
BSU30940	PP_5041
BSU24150	PP_2216
BSU29600	PP_4184
BSU24270	PP_0527
BSU36800	PP_5412
BSU06500	PP_1665
BSU24950	PP_5326
BSU24950	PP_2659
BSU06980	PP_1016
BSU04560	PP_4346
BSU22890	PP_1771
BSU26690	PP_4184
BSU03590	PP_0225
BSU03590	PP_4483
BSU03590	PP_1300
BSU03590	PP_1068
BSU03590	PP_3597
BSU03590	PP_2774
BSU03590	PP_0283
BSU03590	PP_4425
