YPO1049	RSR24_01812
YPO2016	RSR24_02928
YPO1048	RSR24_01810
YPO2257	RSR24_02756
YPO2256	RSR24_02757
YPO2256	RSR24_04889
YPO1166	RSR24_03191
YPO2014	RSR24_00408
YPO1046	RSR24_01814
YPO2013	RSR24_00406
YPO2255	RSR24_02758
YPO2496	RSR24_04875
YPO2496	RSR24_04310
YPO3222	RSR24_02824
YPO3221	RSR24_02741
YPO1041	RSR24_01828
YPO2372	RSR24_00553
YPO2370	RSR24_00834
YPO0070	RSR24_01242
YPO0068	RSR24_00368
YPO3215	RSR24_03031
YPO3578	RSR24_00424
YPO3577	RSR24_00425
YPO0066	RSR24_00366
YPO1395	RSR24_02282
YPO1396	RSR24_02583
YPO1151	RSR24_00235
YPO1152	RSR24_01745
YPO1391	RSR24_00917
YPO1390	RSR24_00916
YPO3569	RSR24_03014
YPO1146	RSR24_04431
YPO0057	RSR24_00633
YPO1389	RSR24_00912
YPO0058	RSR24_00924
YPO1023	RSR24_02590
YPO0055	RSR24_00750
YPO3443	RSR24_02320
YPO0056	RSR24_00749
YPO0053	RSR24_00401
YPO3441	RSR24_02468
YPO1022	RSR24_02005
YPO3319	RSR24_00839
YPO1139	RSR24_04408
YPO0169	RSR24_02911
YPO0048	RSR24_02518
YPO1379	RSR24_02386
YPO3557	RSR24_03026
YPO0047	RSR24_02520
YPO3312	RSR24_03123
YPO1133	RSR24_00364
YPO3796	RSR24_01991
YPO0045	RSR24_00138
YPO3795	RSR24_01990
YPO2221	RSR24_02105
YPO3794	RSR24_01989
YPO3793	RSR24_01988
YPO3430	RSR24_02854
YPO1374	RSR24_02391
YPO0040	RSR24_02238
YPO0161	RSR24_04506
YPO0162	RSR24_01463
YPO0160	RSR24_04505
YPO0158	RSR24_02473
YPO3305	RSR24_00859
YPO0038	RSR24_02236
YPO3788	RSR24_03985
YPO1127	RSR24_02506
YPO3424	RSR24_02505
YPO2214	RSR24_03930
YPO3423	RSR24_02811
YPO0155	RSR24_02908
YPO0152	RSR24_03030
YPO3781	RSR24_00514
YPO2692	RSR24_03455
YPO3660	RSR24_02784
YPO2691	RSR24_03456
YPO2690	RSR24_03457
YPO3419	RSR24_01468
YPO3418	RSR24_01469
YPO2329	RSR24_03196
YPO1238	RSR24_03355
YPO1238	RSR24_00022
YPO3659	RSR24_02785
YPO3417	RSR24_01471
YPO2206	RSR24_03990
YPO2206	RSR24_02913
YPO3658	RSR24_02786
YPO3779	RSR24_00518
YPO2205	RSR24_02914
YPO2205	RSR24_03989
YPO1599	RSR24_01540
YPO1599	RSR24_01083
YPO1115	RSR24_00619
YPO3899	RSR24_00635
YPO1116	RSR24_00620
YPO2204	RSR24_02083
YPO0024	RSR24_04156
YPO0024	RSR24_01997
YPO0024	RSR24_04192
YPO0145	RSR24_03037
YPO1597	RSR24_01081
YPO1113	RSR24_01986
YPO1598	RSR24_01082
YPO1114	RSR24_01985
YPO1111	RSR24_02095
YPO1112	RSR24_02094
YPO3530	RSR24_03439
YPO3771	RSR24_03050
YPO1108	RSR24_02092
YPO3407	RSR24_00246
YPO3769	RSR24_00772
YPO3767	RSR24_02337
YPO3525	RSR24_00831
YPO0378	RSR24_02022
YPO3403	RSR24_02731
YPO3402	RSR24_02444
YPO3401	RSR24_02630
YPO2554	RSR24_02162
YPO2433	RSR24_01444
YPO1587	RSR24_00545
YPO0253	RSR24_01283
YPO3400	RSR24_02628
YPO3521	RSR24_02400
YPO3520	RSR24_02221
YPO0493	RSR24_00577
YPO2551	RSR24_02158
YPO3760	RSR24_02600
YPO0490	RSR24_00738
YPO3519	RSR24_02781
YPO0008	RSR24_01045
YPO2429	RSR24_01448
YPO2549	RSR24_02156
YPO2428	RSR24_01449
YPO0006	RSR24_04356
YPO0006	RSR24_01491
YPO2548	RSR24_02155
YPO3999	RSR24_02892
YPO0246	RSR24_02776
YPO2425	RSR24_02455
YPO2303	RSR24_02730
YPO2303	RSR24_04035
YPO1215	RSR24_00907
YPO2545	RSR24_02152
YPO3513	RSR24_02828
YPO2302	RSR24_04033
YPO2302	RSR24_02733
YPO0486	RSR24_00960
YPO2422	RSR24_01895
YPO2421	RSR24_01896
YPO1332	RSR24_01938
YPO1332	RSR24_01591
YPO1332	RSR24_01368
YPO1332	RSR24_02956
YPO2420	RSR24_01898
YPO3992	RSR24_00338
YPO0482	RSR24_01338
YPO0241	RSR24_00076
YPO0480	RSR24_02745
YPO0481	RSR24_01336
YPO1570	RSR24_02603
YPO1207	RSR24_02687
YPO1207	RSR24_04857
YPO2539	RSR24_04037
YPO3627	RSR24_01876
YPO4037	RSR24_04888
YPO4036	RSR24_02757
YPO4036	RSR24_04889
YPO4035	RSR24_04890
YPO3183	RSR24_00782
YPO3062	RSR24_01169
YPO3182	RSR24_00779
YPO3180	RSR24_02768
YPO0907	RSR24_03366
YPO0905	RSR24_03368
YPO0906	RSR24_03367
YPO3179	RSR24_02769
YPO3177	RSR24_02305
YPO3176	RSR24_02306
YPO3053	RSR24_01831
YPO3167	RSR24_02942
YPO3166	RSR24_02943
YPO3286	RSR24_00807
YPO3286	RSR24_02657
YPO3165	RSR24_02944
YPO3164	RSR24_02945
YPO2074	RSR24_00597
YPO2074	RSR24_02883
YPO3162	RSR24_00151
YPO4127	RSR24_03399
YPO4126	RSR24_03398
YPO4125	RSR24_03397
YPO2067	RSR24_04468
YPO3034	RSR24_00691
YPO3034	RSR24_00690
YPO3034	RSR24_02218
YPO3034	RSR24_02767
YPO2066	RSR24_04814
YPO4123	RSR24_03395
YPO4001	RSR24_01838
YPO4122	RSR24_03394
YPO4000	RSR24_02893
YPO4121	RSR24_03393
YPO3032	RSR24_02270
YPO4120	RSR24_03392
YPO4120	RSR24_04080
YPO3392	RSR24_04712
YPO4119	RSR24_00175
YPO4118	RSR24_00176
YPO4117	RSR24_01346
YPO4116	RSR24_01347
YPO3389	RSR24_00723
YPO4115	RSR24_01348
YPO4114	RSR24_01349
YPO2054	RSR24_00525
YPO3142	RSR24_00352
YPO2053	RSR24_00523
YPO2174	RSR24_00922
YPO2293	RSR24_02178
YPO3380	RSR24_01442
YPO1199	RSR24_02566
YPO3015	RSR24_01881
YPO3377	RSR24_01152
YPO3014	RSR24_01872
YPO2167	RSR24_02857
YPO2288	RSR24_03657
YPO3376	RSR24_01155
YPO3013	RSR24_01871
YPO3012	RSR24_01870
YPO3132	RSR24_00013
YPO3011	RSR24_00926
YPO1072	RSR24_00930
YPO1073	RSR24_00929
YPO2160	RSR24_01612
YPO2158	RSR24_01601
YPO2157	RSR24_02749
YPO3366	RSR24_02475
YPO1068	RSR24_02821
YPO3123	RSR24_00429
YPO3365	RSR24_02474
YPO3244	RSR24_00601
YPO3364	RSR24_03626
YPO3361	RSR24_01514
YPO3360	RSR24_01515
YPO1060	RSR24_01249
YPO2390	RSR24_04656
YPO3118	RSR24_02586
YPO3117	RSR24_02640
YPO3358	RSR24_02044
YPO2147	RSR24_00935
YPO1056	RSR24_01804
YPO1057	RSR24_01803
YPO1054	RSR24_01806
YPO1055	RSR24_01805
YPO1176	RSR24_01478
YPO2021	RSR24_01153
YPO0085	RSR24_02166
YPO2383	RSR24_02932
YPO2381	RSR24_00580
YPO1290	RSR24_00031
YPO1290	RSR24_04874
YPO1290	RSR24_00771
YPO1290	RSR24_04309
YPO1290	RSR24_03898
YPO1601	RSR24_01085
YPO1962	RSR24_02492
YPO1600	RSR24_01084
YPO2930	RSR24_01097
YPO2921	RSR24_01582
YPO2912	RSR24_02396
YPO2907	RSR24_00795
YPO0958	RSR24_02757
YPO0958	RSR24_04889
YPO4078	RSR24_01065
YPO4078	RSR24_04039
YPO4072	RSR24_00586
YPO4071	RSR24_00584
YPO0945	RSR24_02243
YPO0946	RSR24_02244
YPO0942	RSR24_02682
YPO0942	RSR24_02961
YPO3094	RSR24_04695
YPO4061	RSR24_02579
YPO0935	RSR24_00354
YPO0931	RSR24_00133
YPO3080	RSR24_01577
YPO0926	RSR24_02750
YPO0921	RSR24_00639
YPO3076	RSR24_00643
YPO3075	RSR24_01243
YPO3073	RSR24_01247
YPO3070	RSR24_03343
YPO0918	RSR24_00396
YPO0915	RSR24_02015
YPO3868	RSR24_02060
YPO3626	RSR24_01877
YPO0117	RSR24_00098
YPO2899	RSR24_01240
YPO3625	RSR24_01878
YPO1569	RSR24_02227
YPO2777	RSR24_02342
YPO2777	RSR24_00475
YPO2777	RSR24_00541
YPO2777	RSR24_03890
YPO2777	RSR24_02207
YPO2777	RSR24_04052
YPO2777	RSR24_03481
YPO2777	RSR24_01955
YPO0477	RSR24_02499
YPO3624	RSR24_01879
YPO3623	RSR24_01880
YPO3864	RSR24_03864
YPO3864	RSR24_04284
YPO3501	RSR24_01344
YPO2533	RSR24_04815
YPO2896	RSR24_01051
YPO0475	RSR24_02515
YPO3500	RSR24_01345
YPO3742	RSR24_00111
YPO3863	RSR24_04283
YPO3862	RSR24_00739
YPO3741	RSR24_00362
YPO2773	RSR24_02933
YPO1441	RSR24_02263
YPO3861	RSR24_00741
YPO0474	RSR24_02514
YPO2772	RSR24_02076
YPO3740	RSR24_00110
YPO2409	RSR24_01799
YPO3739	RSR24_00114
YPO3859	RSR24_04273
YPO2769	RSR24_02079
YPO2768	RSR24_02080
YPO3734	RSR24_03377
YPO3854	RSR24_00457
YPO1435	RSR24_00909
YPO2883	RSR24_02037
YPO0463	RSR24_02016
YPO3729	RSR24_02269
YPO3728	RSR24_00564
YPO3849	RSR24_02408
YPO1548	RSR24_03012
YPO3726	RSR24_01856
YPO1546	RSR24_03010
YPO3725	RSR24_01860
YPO2878	RSR24_02032
YPO2514	RSR24_02342
YPO2514	RSR24_00475
YPO2514	RSR24_00541
YPO2514	RSR24_03890
YPO2514	RSR24_02207
YPO2514	RSR24_04052
YPO2514	RSR24_03481
YPO2514	RSR24_01955
YPO3845	RSR24_00136
YPO2513	RSR24_02206
YPO2513	RSR24_03482
YPO3964	RSR24_02757
YPO3964	RSR24_04889
YPO0577	RSR24_04102
YPO3722	RSR24_00278
YPO2512	RSR24_02205
YPO2995	RSR24_04369
YPO2995	RSR24_02887
YPO1542	RSR24_03005
YPO1300	RSR24_02889
YPO1543	RSR24_03006
YPO2993	RSR24_04369
YPO2993	RSR24_02887
YPO1540	RSR24_02321
YPO1540	RSR24_03519
YPO2751	RSR24_01433
YPO2630	RSR24_00854
YPO2871	RSR24_01791
YPO2870	RSR24_01789
YPO1539	RSR24_02321
YPO1539	RSR24_03519
YPO3718	RSR24_01579
YPO3837	RSR24_02773
YPO1414	RSR24_02220
YPO1415	RSR24_01489
YPO3712	RSR24_01988
YPO3954	RSR24_04467
YPO0565	RSR24_02822
YPO3953	RSR24_00497
YPO1413	RSR24_01062
YPO1410	RSR24_01042
YPO1410	RSR24_00442
YPO0321	RSR24_01849
YPO2984	RSR24_01260
YPO0442	RSR24_01511
YPO1773	RSR24_02633
YPO3831	RSR24_00344
YPO0322	RSR24_01042
YPO0322	RSR24_00442
YPO1771	RSR24_03369
YPO0561	RSR24_02863
YPO2982	RSR24_03870
YPO1650	RSR24_00971
YPO3949	RSR24_02087
YPO2859	RSR24_00104
YPO2615	RSR24_02343
YPO2615	RSR24_00538
YPO0556	RSR24_02869
YPO2977	RSR24_04812
YPO2614	RSR24_00539
YPO0557	RSR24_02868
YPO2613	RSR24_00540
YPO2612	RSR24_02342
YPO2612	RSR24_00475
YPO2612	RSR24_00541
YPO2612	RSR24_03890
YPO2612	RSR24_02207
YPO2612	RSR24_04052
YPO2612	RSR24_03481
YPO2612	RSR24_01955
YPO1522	RSR24_02438
YPO0313	RSR24_02186
YPO0555	RSR24_02870
YPO0552	RSR24_02873
YPO1641	RSR24_02539
YPO2610	RSR24_02744
YPO1400	RSR24_02585
YPO0311	RSR24_02684
YPO0550	RSR24_02875
YPO0792	RSR24_01850
YPO0551	RSR24_02874
YPO3939	RSR24_03685
YPO0549	RSR24_02876
YPO3937	RSR24_03116
YPO1636	RSR24_02716
YPO2846	RSR24_01938
YPO2846	RSR24_01591
YPO2846	RSR24_01368
YPO2846	RSR24_02956
YPO2604	RSR24_00066
YPO2844	RSR24_00032
YPO0425	RSR24_01289
YPO2601	RSR24_00335
YPO0783	RSR24_00961
YPO2960	RSR24_04432
YPO1508	RSR24_02757
YPO1508	RSR24_04889
YPO3807	RSR24_02497
YPO3806	RSR24_02496
YPO3805	RSR24_02495
YPO2837	RSR24_01354
YPO3804	RSR24_02494
YPO3804	RSR24_04750
YPO3804	RSR24_03530
YPO1867	RSR24_01103
YPO2957	RSR24_00927
YPO3924	RSR24_02413
YPO0658	RSR24_04469
YPO1502	RSR24_00676
YPO0532	RSR24_02089
YPO0533	RSR24_02173
YPO1501	RSR24_00675
YPO2710	RSR24_02504
YPO0654	RSR24_00923
YPO0530	RSR24_02090
YPO0531	RSR24_02091
YPO2829	RSR24_02511
YPO2828	RSR24_02623
YPO2827	RSR24_02266
YPO1617	RSR24_02313
YPO0888	RSR24_01059
YPO2824	RSR24_00460
YPO2824	RSR24_01465
YPO1615	RSR24_01099
YPO1851	RSR24_02962
YPO1851	RSR24_03375
YPO0520	RSR24_04432
YPO3909	RSR24_01279
YPO3907	RSR24_02757
YPO3907	RSR24_04889
YPO1605	RSR24_01632
