H16_B0626	RSUW551_00799
H16_B0627	RSUW551_00798
H16_B1956	RSUW551_01066
H16_B0622	RSUW551_03888
H16_B1951	RSUW551_01279
H16_B1951	RSUW551_04193
H16_B1952	RSUW551_04194
H16_B0618	RSUW551_04288
H16_B0618	RSUW551_01605
H16_B1949	RSUW551_03701
H16_B0614	RSUW551_04629
H16_B1977	RSUW551_02958
H16_B0646	RSUW551_04464
H16_B1978	RSUW551_04099
H16_B1971	RSUW551_03185
H16_B0633	RSUW551_03747
H16_B1965	RSUW551_02798
H16_B1960	RSUW551_02964
H16_B1960	RSUW551_02526
H16_B1907	RSUW551_00969
H16_B1904	RSUW551_01825
H16_A2192	RSUW551_01087
H16_B1939	RSUW551_02964
H16_B1939	RSUW551_02526
H16_B1935	RSUW551_04553
H16_B1936	RSUW551_00258
H16_B0603	RSUW551_04205
H16_B1928	RSUW551_04687
H16_B1926	RSUW551_04689
H16_B1927	RSUW551_04687
H16_B1924	RSUW551_04691
H16_B1924	RSUW551_02820
H16_B1924	RSUW551_02081
H16_B1925	RSUW551_04690
H16_A3499	RSUW551_02858
H16_A3490	RSUW551_02842
H16_A3492	RSUW551_04186
H16_A3492	RSUW551_02844
H16_A3491	RSUW551_02864
H16_A3491	RSUW551_02843
H16_A3494	RSUW551_02846
H16_A3493	RSUW551_02845
H16_A2165	RSUW551_04588
H16_A3496	RSUW551_02855
H16_A2164	RSUW551_04587
H16_A3495	RSUW551_02847
H16_A2167	RSUW551_03945
H16_A3498	RSUW551_02857
H16_A3497	RSUW551_02856
H16_A3481	RSUW551_02838
H16_A3480	RSUW551_02837
H16_A3483	RSUW551_02840
H16_A3482	RSUW551_02839
H16_A2154	RSUW551_02097
H16_A3484	RSUW551_02841
H16_A2181	RSUW551_00153
H16_A2183	RSUW551_00151
H16_A2182	RSUW551_00152
H16_A2185	RSUW551_03354
H16_A2184	RSUW551_03353
H16_A2187	RSUW551_03356
H16_A2186	RSUW551_03355
H16_A2189	RSUW551_02210
H16_A2188	RSUW551_03357
H16_A2172	RSUW551_01197
H16_A2171	RSUW551_00703
H16_A2174	RSUW551_04049
H16_A2173	RSUW551_03147
H16_A2125	RSUW551_03184
H16_A2125	RSUW551_01955
H16_A3456	RSUW551_02813
H16_A3455	RSUW551_02812
H16_A3458	RSUW551_02815
H16_A3457	RSUW551_02814
H16_A3459	RSUW551_02816
H16_B1076	RSUW551_02493
H16_B1076	RSUW551_02339
H16_B1071	RSUW551_04727
H16_A3450	RSUW551_02808
H16_A3452	RSUW551_02810
H16_A2121	RSUW551_01497
H16_A3451	RSUW551_02809
H16_A3453	RSUW551_02811
H16_A2122	RSUW551_04704
H16_A2114	RSUW551_01492
H16_A3445	RSUW551_02803
H16_A2113	RSUW551_01491
H16_A3444	RSUW551_02802
H16_A2116	RSUW551_01493
H16_A3447	RSUW551_02805
H16_A3446	RSUW551_02804
H16_A2118	RSUW551_01495
H16_A3449	RSUW551_02807
H16_A2117	RSUW551_01494
H16_A3448	RSUW551_02806
H16_A2119	RSUW551_01496
H16_B1067	RSUW551_00341
H16_B2399	RSUW551_03068
H16_B1061	RSUW551_04181
H16_B1062	RSUW551_04182
H16_B2391	RSUW551_02143
H16_B2391	RSUW551_01352
H16_B2391	RSUW551_02434
H16_B2391	RSUW551_03216
H16_B2391	RSUW551_01040
H16_B1060	RSUW551_04180
RALH10402	RSUW551_02338
H16_A3441	RSUW551_02798
H16_A2110	RSUW551_01489
H16_A3440	RSUW551_02797
H16_A2112	RSUW551_01490
H16_A3443	RSUW551_02801
H16_A3442	RSUW551_02799
H16_A3478	RSUW551_02835
H16_A3477	RSUW551_02834
H16_A3479	RSUW551_02836
H16_B1096	RSUW551_01559
H16_B1094	RSUW551_02452
H16_B1093	RSUW551_02451
H16_B1093	RSUW551_02455
H16_A3470	RSUW551_02827
H16_B1090	RSUW551_00243
H16_A3472	RSUW551_02829
H16_A3471	RSUW551_02828
H16_A3474	RSUW551_02831
H16_A3473	RSUW551_02830
H16_A3476	RSUW551_02833
H16_A3475	RSUW551_02832
H16_A3467	RSUW551_02824
H16_A3466	RSUW551_02823
H16_A3469	RSUW551_02826
H16_A3468	RSUW551_02825
H16_A2139	RSUW551_03455
H16_B1085	RSUW551_03185
H16_B1083	RSUW551_02939
H16_B1081	RSUW551_01867
H16_B1082	RSUW551_03836
H16_A3461	RSUW551_02818
H16_A3460	RSUW551_02817
H16_A3463	RSUW551_04691
H16_A3463	RSUW551_02820
H16_A3463	RSUW551_02081
H16_A2132	RSUW551_03075
H16_A3462	RSUW551_02819
H16_A3465	RSUW551_02822
H16_A3464	RSUW551_02821
H16_A0386	RSUW551_00434
H16_A3412	RSUW551_02770
H16_A3411	RSUW551_02769
H16_A0387	RSUW551_00435
H16_A3414	RSUW551_02771
H16_A0388	RSUW551_00436
H16_A0389	RSUW551_00437
H16_A3416	RSUW551_02773
H16_A3415	RSUW551_02772
H16_A3418	RSUW551_02775
H16_A3417	RSUW551_02774
H16_A3419	RSUW551_02776
H16_B1038	RSUW551_04620
H16_B2369	RSUW551_03634
H16_B2368	RSUW551_03633
H16_B2367	RSUW551_03632
H16_B2366	RSUW551_03807
PHG009	RSUW551_02414
H16_B2363	RSUW551_03627
RALH11769	RSUW551_03744
H16_A0380	RSUW551_00429
H16_A0381	RSUW551_00430
H16_A0383	RSUW551_00432
H16_A3410	RSUW551_02768
H16_A0384	RSUW551_00433
H16_A3401	RSUW551_02753
H16_A0375	RSUW551_00424
H16_A0376	RSUW551_00425
H16_A3400	RSUW551_02752
H16_A0377	RSUW551_00426
H16_A3403	RSUW551_02761
H16_A0378	RSUW551_00427
H16_A3402	RSUW551_02754
H16_A0379	RSUW551_00428
H16_A3405	RSUW551_02763
H16_A3404	RSUW551_02762
H16_A3407	RSUW551_02764
H16_A3409	RSUW551_02767
H16_A3408	RSUW551_02765
H16_B1027	RSUW551_02736
H16_B1028	RSUW551_02735
H16_B2358	RSUW551_04713
H16_B1025	RSUW551_02738
H16_B1026	RSUW551_02737
H16_A0370	RSUW551_00419
H16_A0371	RSUW551_00420
H16_A0372	RSUW551_00421
H16_A0374	RSUW551_00423
H16_A3434	RSUW551_02791
H16_A2103	RSUW551_01486
H16_A2102	RSUW551_01485
H16_A3433	RSUW551_02790
H16_A3436	RSUW551_02793
H16_A3435	RSUW551_02792
H16_A2104	RSUW551_01487
PHG031	RSUW551_03681
PHG031	RSUW551_01169
PHG031	RSUW551_01157
PHG031	RSUW551_03299
PHG031	RSUW551_03987
H16_A2107	RSUW551_04372
H16_A3438	RSUW551_02795
PHG030	RSUW551_03681
PHG030	RSUW551_01169
PHG030	RSUW551_01157
PHG030	RSUW551_03299
PHG030	RSUW551_03987
H16_A3437	RSUW551_02794
H16_A3439	RSUW551_02796
PHG023	RSUW551_04042
H16_A3430	RSUW551_02786
PHG028	RSUW551_02743
PHG027	RSUW551_01986
H16_A2101	RSUW551_01699
H16_A2101	RSUW551_01484
H16_A3432	RSUW551_02788
H16_A3431	RSUW551_02787
H16_A2100	RSUW551_01483
H16_A3423	RSUW551_02780
H16_A0397	RSUW551_00446
H16_A0398	RSUW551_00447
H16_A3422	RSUW551_02779
H16_A3425	RSUW551_02782
H16_A3424	RSUW551_02781
H16_A3427	RSUW551_02784
H16_A3426	RSUW551_02783
H16_A3429	RSUW551_04117
H16_A3428	RSUW551_02785
H16_B2378	RSUW551_02183
H16_B2377	RSUW551_03103
H16_B2376	RSUW551_02453
RALH11797	RSUW551_00781
H16_B2373	RSUW551_03638
H16_B2372	RSUW551_03637
H16_B2371	RSUW551_03636
H16_B2370	RSUW551_03635
H16_A0390	RSUW551_00438
H16_A0391	RSUW551_00440
PHG032	RSUW551_01158
PHG032	RSUW551_01168
PHG032	RSUW551_03988
H16_A0392	RSUW551_00441
H16_A0393	RSUW551_00442
H16_A0394	RSUW551_00443
H16_A0395	RSUW551_00444
H16_A3421	RSUW551_02778
H16_A0396	RSUW551_00445
H16_A3420	RSUW551_02777
H16_A0342	RSUW551_00389
H16_A1673	RSUW551_04708
H16_A0343	RSUW551_00390
H16_A1675	RSUW551_00627
H16_A0344	RSUW551_00391
H16_A0345	RSUW551_00392
H16_A0346	RSUW551_00393
H16_A0347	RSUW551_00394
H16_A1678	RSUW551_01357
H16_A1678	RSUW551_04321
H16_A1678	RSUW551_01356
H16_A0348	RSUW551_00395
H16_A1679	RSUW551_02408
H16_A0349	RSUW551_00396
H16_B2329	RSUW551_03874
H16_B2328	RSUW551_03875
H16_B2327	RSUW551_02979
H16_B2323	RSUW551_03431
H16_A1670	RSUW551_04361
H16_A1671	RSUW551_02346
H16_A0340	RSUW551_00387
H16_A1672	RSUW551_04760
H16_A0341	RSUW551_00388
H16_A2994	RSUW551_00800
H16_A0331	RSUW551_00379
H16_A0332	RSUW551_00380
H16_A1663	RSUW551_04527
H16_A2993	RSUW551_00802
H16_A2996	RSUW551_00798
H16_A0333	RSUW551_00381
H16_A0334	RSUW551_00382
H16_A2995	RSUW551_00799
H16_A0335	RSUW551_00383
H16_A2998	RSUW551_00796
H16_A1667	RSUW551_01668
H16_A0336	RSUW551_00384
H16_A2997	RSUW551_00797
H16_A0338	RSUW551_00385
H16_A2999	RSUW551_00795
H16_A1669	RSUW551_04360
H16_A0339	RSUW551_00386
H16_B2316	RSUW551_00195
H16_B2312	RSUW551_03556
H16_B2310	RSUW551_02386
H16_A2990	RSUW551_00805
H16_A2992	RSUW551_00803
H16_A0330	RSUW551_00378
H16_A2991	RSUW551_00804
H16_A0364	RSUW551_00413
H16_A1695	RSUW551_01724
H16_A1696	RSUW551_01668
H16_A0365	RSUW551_00414
H16_A0366	RSUW551_00415
H16_A0367	RSUW551_00416
H16_A0368	RSUW551_00417
H16_B1019	RSUW551_01111
H16_B2349	RSUW551_03384
H16_B2348	RSUW551_03383
H16_B1012	RSUW551_04020
H16_B2341	RSUW551_02374
RALH10490	RSUW551_01376
H16_A1690	RSUW551_04538
H16_A0360	RSUW551_00409
H16_A0361	RSUW551_00410
H16_A0361	RSUW551_01787
H16_A0362	RSUW551_00411
H16_A0363	RSUW551_00412
H16_A0353	RSUW551_00400
