XFCFBP8418_017690	BSU36510
XFCFBP8418_015830	BSU30230
XFCFBP8418_011870	BSU29060
XFCFBP8418_014980	BSU21870
XFCFBP8418_015430	BSU15700
XFCFBP8418_003690	BSU38170
XFCFBP8418_009950	BSU15730
XFCFBP8418_026570	BSU00790
XFCFBP8418_025480	BSU04470
XFCFBP8418_025760	BSU33920
XFCFBP8418_021160	BSU21820
XFCFBP8418_009670	BSU16770
XFCFBP8418_025120	BSU00180
XFCFBP8418_025120	BSU13170
XFCFBP8418_009790	BSU23280
XFCFBP8418_007250	BSU22730
XFCFBP8418_001030	BSU06520
XFCFBP8418_026730	BSU22670
XFCFBP8418_004780	BSU00090
XFCFBP8418_003570	BSU13900
XFCFBP8418_003450	BSU36760
XFCFBP8418_003450	BSU37100
XFCFBP8418_014470	BSU15550
XFCFBP8418_012050	BSU13550
XFCFBP8418_020610	BSU38240
XFCFBP8418_016490	BSU21900
XFCFBP8418_005910	BSU15910
XFCFBP8418_004790	BSU24310
XFCFBP8418_003580	BSU18830
XFCFBP8418_025470	BSU29220
XFCFBP8418_005920	BSU15900
XFCFBP8418_022240	BSU37150
XFCFBP8418_002650	BSU15680
XFCFBP8418_001440	BSU33420
XFCFBP8418_007260	BSU33940
XFCFBP8418_007260	BSU29020
XFCFBP8418_025230	BSU13120
XFCFBP8418_025230	BSU18470
XFCFBP8418_023690	BSU27010
XFCFBP8418_021150	BSU21810
XFCFBP8418_026560	BSU22430
XFCFBP8418_023970	BSU11230
XFCFBP8418_023970	BSU15510
XFCFBP8418_001040	BSU06530
XFCFBP8418_009960	BSU15720
XFCFBP8418_008750	BSU27600
XFCFBP8418_005880	BSU00740
XFCFBP8418_005880	BSU22680
XFCFBP8418_020760	BSU13180
XFCFBP8418_018680	BSU35580
XFCFBP8418_019130	BSU16920
XFCFBP8418_002810	BSU22750
XFCFBP8418_013030	BSU06430
XFCFBP8418_005890	BSU11340
XFCFBP8418_026070	BSU01370
XFCFBP8418_006340	BSU38020
XFCFBP8418_006340	BSU11710
XFCFBP8418_003190	BSU34790
XFCFBP8418_017900	BSU28310
XFCFBP8418_021180	BSU25310
XFCFBP8418_022790	BSU24120
XFCFBP8418_001330	BSU23610
XFCFBP8418_000640	BSU17890
XFCFBP8418_023640	BSU36810
XFCFBP8418_025940	BSU18000
XFCFBP8418_024850	BSU16550
XFCFBP8418_021100	BSU10020
XFCFBP8418_008760	BSU28680
XFCFBP8418_023620	BSU36830
XFCFBP8418_024830	BSU16530
XFCFBP8418_013040	BSU06420
XFCFBP8418_021600	BSU27010
XFCFBP8418_002700	BSU33440
XFCFBP8418_012870	BSU00510
XFCFBP8418_012590	BSU25020
XFCFBP8418_015100	BSU14180
XFCFBP8418_010570	BSU26650
XFCFBP8418_004690	BSU29300
XFCFBP8418_004690	BSU16670
XFCFBP8418_010720	BSU21680
XFCFBP8418_003360	BSU11220
XFCFBP8418_002150	BSU19360
XFCFBP8418_007840	BSU30550
XFCFBP8418_004170	BSU22700
XFCFBP8418_000770	BSU06490
XFCFBP8418_007280	BSU40420
XFCFBP8418_001100	BSU22780
XFCFBP8418_027830	BSU21900
XFCFBP8418_000530	BSU25020
XFCFBP8418_024680	BSU23850
XFCFBP8418_023590	BSU36860
XFCFBP8418_003880	BSU16750
XFCFBP8418_023630	BSU36820
XFCFBP8418_025410	BSU18410
XFCFBP8418_026740	BSU00750
XFCFBP8418_017890	BSU28290
XFCFBP8418_015350	BSU01780
XFCFBP8418_015350	BSU30540
XFCFBP8418_015350	BSU10790
XFCFBP8418_021510	BSU28250
XFCFBP8418_020300	BSU34900
XFCFBP8418_002710	BSU33430
XFCFBP8418_026800	BSU29200
XFCFBP8418_017930	BSU28280
XFCFBP8418_010980	BSU00730
XFCFBP8418_010980	BSU27260
XFCFBP8418_003370	BSU31322
XFCFBP8418_010970	BSU15610
XFCFBP8418_010970	BSU03280
XFCFBP8418_004180	BSU10120
XFCFBP8418_014930	BSU00770
XFCFBP8418_021080	BSU22600
XFCFBP8418_000660	BSU21690
XFCFBP8418_020390	BSU15490
