YPO1049	RSK60_00261
YPO2016	RSK60_02353
YPO1048	RSK60_00259
YPO2499	RSK60_00424
YPO2256	RSK60_00425
YPO2256	RSK60_05093
YPO1166	RSK60_02104
YPO2014	RSK60_01345
YPO1046	RSK60_00263
YPO2013	RSK60_01347
YPO2496	RSK60_05041
YPO2496	RSK60_04519
YPO3222	RSK60_02439
YPO3221	RSK60_02520
YPO1041	RSK60_00277
YPO2372	RSK60_01201
YPO2370	RSK60_00918
YPO0070	RSK60_00518
YPO0068	RSK60_01385
YPO3215	RSK60_02272
YPO3578	RSK60_01329
YPO3577	RSK60_01328
YPO0066	RSK60_01387
YPO1395	RSK60_02996
YPO1396	RSK60_02680
YPO1151	RSK60_01481
YPO1152	RSK60_00183
YPO1391	RSK60_00797
YPO1390	RSK60_00798
YPO3569	RSK60_02289
YPO0059	RSK60_04393
YPO1146	RSK60_04652
YPO0057	RSK60_01118
YPO1389	RSK60_00802
YPO0058	RSK60_00789
YPO1023	RSK60_02673
YPO0055	RSK60_00999
YPO3443	RSK60_02958
YPO0056	RSK60_01000
YPO0053	RSK60_01353
YPO3441	RSK60_02808
YPO1022	RSK60_00417
YPO3319	RSK60_00914
YPO1139	RSK60_04624
YPO0169	RSK60_02372
YPO0048	RSK60_02758
YPO1379	RSK60_02891
YPO3557	RSK60_02277
YPO0047	RSK60_02756
YPO3312	RSK60_02182
YPO1133	RSK60_01389
YPO3796	RSK60_00403
YPO0045	RSK60_01584
YPO3795	RSK60_00402
YPO2222	RSK60_04726
YPO2221	RSK60_03174
YPO3794	RSK60_00401
YPO3793	RSK60_00400
YPO3430	RSK60_02429
YPO1374	RSK60_02886
YPO0040	RSK60_03048
YPO0161	RSK60_04715
YPO0162	RSK60_03447
YPO0160	RSK60_04714
YPO0158	RSK60_02803
YPO3305	RSK60_00894
YPO0038	RSK60_03050
YPO3788	RSK60_04189
YPO1127	RSK60_02771
YPO3424	RSK60_02772
YPO2214	RSK60_04108
