STM0704	RSGMI1000_03445
STM0705	RSGMI1000_03444
STM0706	RSGMI1000_03443
STM0828	RSGMI1000_03470
STM0828	RSGMI1000_02151
STM0828	RSGMI1000_02307
STM0828	RSGMI1000_00493
STM0828	RSGMI1000_04389
STM0829	RSGMI1000_03471
STM3090	RSGMI1000_00135
STM4063	RSGMI1000_01368
STM3095	RSGMI1000_00350
STM4184	RSGMI1000_01390
STM4183	RSGMI1000_01395
STM4066	RSGMI1000_02913
STM0832	RSGMI1000_02852
STM1800	RSGMI1000_01490
STM1802	RSGMI1000_01403
STM1803	RSGMI1000_00946
STM0956	RSGMI1000_04642
STM0958	RSGMI1000_02391
STM1928	RSGMI1000_04195
STM1928	RSGMI1000_04564
STM1929	RSGMI1000_04563
STM0719	RSGMI1000_03549
STM4160	RSGMI1000_00110
STM4162	RSGMI1000_00356
STM4164	RSGMI1000_00114
STM3195	RSGMI1000_04651
STM4163	RSGMI1000_00109
STM3076	RSGMI1000_02802
STM4167	RSGMI1000_03363
STM1900	RSGMI1000_00477
STM1901	RSGMI1000_00475
STM4175	RSGMI1000_02237
STM4055	RSGMI1000_02577
STM4176	RSGMI1000_00515
STM0863	RSGMI1000_00332
STM0984	RSGMI1000_02246
STM0985	RSGMI1000_02581
STM1712	RSGMI1000_02051
STM0988	RSGMI1000_02583
STM2927	RSGMI1000_01234
STM1718	RSGMI1000_04080
STM2929	RSGMI1000_01690
STM2809	RSGMI1000_03557
STM0506	RSGMI1000_01770
STM0980	RSGMI1000_00928
STM2930	RSGMI1000_01689
STM2810	RSGMI1000_03558
STM3901	RSGMI1000_02122
STM2933	RSGMI1000_03231
STM2933	RSGMI1000_03641
STM1724	RSGMI1000_02937
STM1724	RSGMI1000_04146
STM0998	RSGMI1000_01028
STM2934	RSGMI1000_02472
STM0756	RSGMI1000_02501
STM3903	RSGMI1000_00585
STM0878	RSGMI1000_01785
STM1725	RSGMI1000_02938
STM1725	RSGMI1000_04145
STM2935	RSGMI1000_02473
STM1726	RSGMI1000_02030
STM3905	RSGMI1000_00458
STM0519	RSGMI1000_03343
STM0518	RSGMI1000_00021
STM0518	RSGMI1000_03342
STM0517	RSGMI1000_03341
STM0637	RSGMI1000_00332
STM0515	RSGMI1000_03333
STM0963	RSGMI1000_02386
STM0847	RSGMI1000_01410
STM0848	RSGMI1000_01200
STM0848	RSGMI1000_01411
STM0849	RSGMI1000_01412
STM1818	RSGMI1000_00550
STM1818	RSGMI1000_02908
STM4081	RSGMI1000_02110
STM0609	RSGMI1000_03723
STM0608	RSGMI1000_03722
STM4086	RSGMI1000_03116
STM0851	RSGMI1000_01414
STM0730	RSGMI1000_02039
STM1700	RSGMI1000_01196
STM0734	RSGMI1000_02042
STM1945	RSGMI1000_01089
STM0977	RSGMI1000_00923
STM0735	RSGMI1000_02041
STM1824	RSGMI1000_02683
STM0736	RSGMI1000_01300
STM0978	RSGMI1000_00927
STM1826	RSGMI1000_01119
STM1826	RSGMI1000_03536
STM1826	RSGMI1000_03356
STM0737	RSGMI1000_01301
STM0738	RSGMI1000_00572
STM0739	RSGMI1000_00573
STM0850	RSGMI1000_01413
STM0542	RSGMI1000_01641
STM0663	RSGMI1000_00492
STM1511	RSGMI1000_00753
STM0662	RSGMI1000_03470
STM0662	RSGMI1000_02151
STM0662	RSGMI1000_02307
STM0662	RSGMI1000_00493
STM0662	RSGMI1000_04389
STM0420	RSGMI1000_02821
STM0787	RSGMI1000_02693
STM0661	RSGMI1000_02599
STM1756	RSGMI1000_01927
STM1756	RSGMI1000_03556
STM1756	RSGMI1000_01125
STM0788	RSGMI1000_02694
STM3938	RSGMI1000_02407
STM1517	RSGMI1000_03320
STM0309	RSGMI1000_00554
STM0428	RSGMI1000_01785
STM2960	RSGMI1000_01099
STM0782	RSGMI1000_04603
STM0665	RSGMI1000_00490
STM0665	RSGMI1000_02308
STM2840	RSGMI1000_00689
STM0423	RSGMI1000_02269
STM2961	RSGMI1000_01099
STM1752	RSGMI1000_02284
STM1752	RSGMI1000_03499
STM0422	RSGMI1000_02268
STM2962	RSGMI1000_04288
STM0664	RSGMI1000_00491
STM1885	RSGMI1000_05013
STM1764	RSGMI1000_04435
STM1886	RSGMI1000_05012
STM3700	RSGMI1000_00362
STM0797	RSGMI1000_01517
STM1765	RSGMI1000_04434
STM3702	RSGMI1000_00360
STM1888	RSGMI1000_00590
STM1525	RSGMI1000_04602
STM3947	RSGMI1000_00138
STM1647	RSGMI1000_03195
STM3828	RSGMI1000_02803
STM3827	RSGMI1000_04288
STM3709	RSGMI1000_04422
STM0791	RSGMI1000_02695
STM2971	RSGMI1000_01119
STM2971	RSGMI1000_03536
STM2971	RSGMI1000_03356
STM1761	RSGMI1000_04438
STM0794	RSGMI1000_00271
STM0795	RSGMI1000_01516
STM1763	RSGMI1000_04436
STM1884	RSGMI1000_04650
STM0640	RSGMI1000_00064
STM3915	RSGMI1000_01219
STM2827	RSGMI1000_00821
STM0648	RSGMI1000_02796
STM0760	RSGMI1000_00767
STM0760	RSGMI1000_02709
STM0402	RSGMI1000_01692
STM0761	RSGMI1000_02003
STM0762	RSGMI1000_02003
STM1742	RSGMI1000_02916
STM1742	RSGMI1000_01939
STM2952	RSGMI1000_01152
STM2831	RSGMI1000_00938
STM3921	RSGMI1000_04475
STM1743	RSGMI1000_02917
STM1743	RSGMI1000_01938
STM3920	RSGMI1000_04476
STM3920	RSGMI1000_03982
STM2953	RSGMI1000_01149
STM0776	RSGMI1000_04560
STM3922	RSGMI1000_00704
STM2956	RSGMI1000_01618
STM3925	RSGMI1000_04465
STM1627	RSGMI1000_00625
STM1627	RSGMI1000_03560
STM0419	RSGMI1000_02820
STM0417	RSGMI1000_00735
STM0659	RSGMI1000_03994
STM0416	RSGMI1000_00738
STM0537	RSGMI1000_01190
STM0535	RSGMI1000_01186
STM0534	RSGMI1000_00593
STM0772	RSGMI1000_00358
STM3855	RSGMI1000_01569
STM3854	RSGMI1000_01570
STM3733	RSGMI1000_00140
STM2403	RSGMI1000_05010
STM1435	RSGMI1000_00532
STM0221	RSGMI1000_01442
STM0463	RSGMI1000_00348
STM3857	RSGMI1000_01567
STM3978	RSGMI1000_00731
STM3614	RSGMI1000_00335
STM2526	RSGMI1000_01241
STM0220	RSGMI1000_01444
STM3856	RSGMI1000_01568
STM1318	RSGMI1000_05034
STM2408	RSGMI1000_03993
STM3970	RSGMI1000_00467
STM0229	RSGMI1000_01451
STM0228	RSGMI1000_01450
STM0227	RSGMI1000_01449
STM3730	RSGMI1000_02513
STM3972	RSGMI1000_00470
STM0106	RSGMI1000_04604
STM1431	RSGMI1000_02577
STM0226	RSGMI1000_01448
STM2641	RSGMI1000_02499
STM3731	RSGMI1000_02515
STM1433	RSGMI1000_02958
STM1796	RSGMI1000_03754
STM2522	RSGMI1000_01246
STM3866	RSGMI1000_03378
STM0113	RSGMI1000_02117
STM0112	RSGMI1000_02036
STM3865	RSGMI1000_03377
STM1446	RSGMI1000_00506
STM1567	RSGMI1000_03194
STM3626	RSGMI1000_02916
STM3626	RSGMI1000_01939
STM0353	RSGMI1000_03408
STM0111	RSGMI1000_02038
STM0232	RSGMI1000_01192
STM2415	RSGMI1000_01203
STM0110	RSGMI1000_02037
STM3867	RSGMI1000_03379
STM1448	RSGMI1000_00792
STM3628	RSGMI1000_01414
STM0472	RSGMI1000_04471
STM3627	RSGMI1000_02917
STM3627	RSGMI1000_01938
STM3869	RSGMI1000_03381
STM1209	RSGMI1000_01085
STM3862	RSGMI1000_00180
STM3982	RSGMI1000_02299
STM3861	RSGMI1000_00181
STM3740	RSGMI1000_02200
STM1200	RSGMI1000_01834
STM3864	RSGMI1000_04270
STM3864	RSGMI1000_03376
STM2774	RSGMI1000_00487
STM2654	RSGMI1000_03500
STM2654	RSGMI1000_03565
STM3742	RSGMI1000_02198
STM0443	RSGMI1000_01908
STM0443	RSGMI1000_02971
STM0322	RSGMI1000_02793
STM3712	RSGMI1000_00714
STM0442	RSGMI1000_01909
STM0442	RSGMI1000_02970
STM0321	RSGMI1000_02869
STM2502	RSGMI1000_01575
STM3711	RSGMI1000_00583
STM0441	RSGMI1000_02969
STM0441	RSGMI1000_01910
STM1777	RSGMI1000_02954
STM0440	RSGMI1000_02968
STM1779	RSGMI1000_00403
STM0689	RSGMI1000_03123
STM0689	RSGMI1000_03124
STM1772	RSGMI1000_01150
STM3952	RSGMI1000_02826
STM3710	RSGMI1000_00935
STM0202	RSGMI1000_00688
STM2500	RSGMI1000_02506
STM0444	RSGMI1000_00157
STM0686	RSGMI1000_00815
STM3965	RSGMI1000_04141
STM1303	RSGMI1000_02487
STM3725	RSGMI1000_00396
STM3724	RSGMI1000_00715
STM3603	RSGMI1000_03754
STM1427	RSGMI1000_04902
STM0218	RSGMI1000_01440
STM1780	RSGMI1000_00401
STM2991	RSGMI1000_02590
STM2992	RSGMI1000_01281
STM2510	RSGMI1000_01465
STM2511	RSGMI1000_01463
STM0213	RSGMI1000_01425
STM1301	RSGMI1000_02882
STM2204	RSGMI1000_02914
STM0146	RSGMI1000_02856
STM1479	RSGMI1000_04406
STM1479	RSGMI1000_02781
STM0145	RSGMI1000_02500
STM3656	RSGMI1000_00538
STM3535	RSGMI1000_03719
STM3538	RSGMI1000_03716
STM2327	RSGMI1000_02106
STM1238	RSGMI1000_02541
STM3537	RSGMI1000_03715
STM3539	RSGMI1000_02034
STM0140	RSGMI1000_02879
STM0261	RSGMI1000_01553
STM2440	RSGMI1000_00937
STM2441	RSGMI1000_01379
STM2200	RSGMI1000_01808
STM2200	RSGMI1000_01807
STM2321	RSGMI1000_02099
STM2442	RSGMI1000_01378
STM1232	RSGMI1000_02771
STM2322	RSGMI1000_02100
STM2443	RSGMI1000_01377
STM2444	RSGMI1000_01368
STM2565	RSGMI1000_01775
STM3655	RSGMI1000_00536
STM2324	RSGMI1000_02102
STM1235	RSGMI1000_02775
STM1489	RSGMI1000_01517
STM3305	RSGMI1000_02873
STM2578	RSGMI1000_01083
STM2458	RSGMI1000_03191
STM3307	RSGMI1000_03010
STM0154	RSGMI1000_01647
STM0153	RSGMI1000_01645
STM0152	RSGMI1000_01644
STM1480	RSGMI1000_04408
STM1480	RSGMI1000_02784
STM1480	RSGMI1000_04411
STM3660	RSGMI1000_02174
STM2450	RSGMI1000_02590
STM2451	RSGMI1000_02238
STM3542	RSGMI1000_00450
STM1124	RSGMI1000_03361
STM1004	RSGMI1000_01048
STM0158	RSGMI1000_03804
STM0245	RSGMI1000_00942
STM0245	RSGMI1000_03447
STM1577	RSGMI1000_04435
STM0124	RSGMI1000_02899
STM2546	RSGMI1000_01183
STM2788	RSGMI1000_00817
STM0123	RSGMI1000_02900
STM1578	RSGMI1000_04436
STM0122	RSGMI1000_02901
STM1337	RSGMI1000_01624
STM1338	RSGMI1000_01625
STM0242	RSGMI1000_02866
STM2427	RSGMI1000_01432
STM0483	RSGMI1000_00424
STM3871	RSGMI1000_03383
STM3870	RSGMI1000_03382
STM0129	RSGMI1000_02894
STM0007	RSGMI1000_01262
STM0128	RSGMI1000_02895
STM2662	RSGMI1000_01674
STM2783	RSGMI1000_04092
STM0369	RSGMI1000_03599
STM1211	RSGMI1000_02276
STM0368	RSGMI1000_02048
STM0368	RSGMI1000_03600
STM3512	RSGMI1000_04649
STM0247	RSGMI1000_00940
STM2543	RSGMI1000_01037
STM1333	RSGMI1000_01620
STM0489	RSGMI1000_02692
STM0246	RSGMI1000_00941
STM0488	RSGMI1000_02584
STM0125	RSGMI1000_02898
STM1576	RSGMI1000_04434
STM3646	RSGMI1000_01051
STM3646	RSGMI1000_04402
STM0498	RSGMI1000_03408
STM1104	RSGMI1000_02470
STM1347	RSGMI1000_00767
STM1347	RSGMI1000_02709
STM1226	RSGMI1000_01785
STM0134	RSGMI1000_02888
STM0255	RSGMI1000_01177
STM1106	RSGMI1000_01636
STM1106	RSGMI1000_05062
STM1469	RSGMI1000_04741
STM1349	RSGMI1000_01455
STM1107	RSGMI1000_05025
STM3526	RSGMI1000_03109
STM2318	RSGMI1000_02096
STM0372	RSGMI1000_03046
STM3407	RSGMI1000_00074
STM0130	RSGMI1000_02893
STM0371	RSGMI1000_01556
STM0370	RSGMI1000_02050
STM3880	RSGMI1000_01667
STM3880	RSGMI1000_04513
STM1580	RSGMI1000_04438
STM2791	RSGMI1000_00030
STM2791	RSGMI1000_05060
STM2670	RSGMI1000_00767
STM2670	RSGMI1000_02709
STM3882	RSGMI1000_01273
STM3882	RSGMI1000_05082
STM3882	RSGMI1000_02809
STM2792	RSGMI1000_00031
STM1340	RSGMI1000_02450
STM2430	RSGMI1000_00937
STM1341	RSGMI1000_02723
STM2431	RSGMI1000_02912
STM2431	RSGMI1000_04745
STM1221	RSGMI1000_01261
STM3883	RSGMI1000_01274
STM2433	RSGMI1000_02912
STM2433	RSGMI1000_04745
STM0137	RSGMI1000_02867
STM1102	RSGMI1000_04350
STM2555	RSGMI1000_00752
STM3401	RSGMI1000_02829
STM3885	RSGMI1000_01031
STM0067	RSGMI1000_01559
STM0066	RSGMI1000_01557
STM2009	RSGMI1000_03691
STM0064	RSGMI1000_02797
STM0183	RSGMI1000_02678
STM0182	RSGMI1000_02680
STM0181	RSGMI1000_02437
STM0180	RSGMI1000_02782
STM3330	RSGMI1000_03022
STM3692	RSGMI1000_00999
STM2362	RSGMI1000_02023
STM2483	RSGMI1000_01422
STM4421	RSGMI1000_04516
STM4421	RSGMI1000_02587
STM4420	RSGMI1000_01268
STM2365	RSGMI1000_02026
STM3334	RSGMI1000_01639
STM2366	RSGMI1000_02027
STM3699	RSGMI1000_01185
STM3699	RSGMI1000_04896
STM3457	RSGMI1000_03160
STM4425	RSGMI1000_01277
STM2489	RSGMI1000_01168
STM3469	RSGMI1000_02935
STM3106	RSGMI1000_01338
STM2018	RSGMI1000_02442
STM2019	RSGMI1000_02441
STM1163	RSGMI1000_00498
STM3103	RSGMI1000_02205
STM2498	RSGMI1000_02234
STM3468	RSGMI1000_02487
STM2378	RSGMI1000_03829
STM3316	RSGMI1000_00419
STM0047	RSGMI1000_02511
STM3315	RSGMI1000_00420
STM0046	RSGMI1000_02510
STM3557	RSGMI1000_01295
STM0045	RSGMI1000_02509
STM4408	RSGMI1000_00789
STM1490	RSGMI1000_03513
STM3551	RSGMI1000_03751
STM3554	RSGMI1000_02184
STM3554	RSGMI1000_01298
STM3796	RSGMI1000_02122
STM3553	RSGMI1000_01299
STM0049	RSGMI1000_02494
STM3556	RSGMI1000_01296
STM4403	RSGMI1000_03424
STM1135	RSGMI1000_00267
STM3555	RSGMI1000_01297
STM4416	RSGMI1000_02834
STM4415	RSGMI1000_02171
STM3205	RSGMI1000_00723
STM0171	RSGMI1000_00282
