H16_A2565	BSU11340
H16_A2323	BSU14610
H16_A3411	BSU34880
H16_A2567	BSU15910
H16_A3414	BSU34900
H16_A2446	BSU00770
H16_A1236	BSU28260
H16_A2324	BSU19360
H16_A2445	BSU01770
H16_A0940	BSU33800
H16_A0940	BSU33720
H16_A0940	BSU33700
H16_A0940	BSU33820
H16_A1237	BSU28250
H16_A3416	BSU34910
H16_A2569	BSU11330
H16_A2568	BSU15900
H16_A0942	BSU33800
H16_A0942	BSU33720
H16_A0942	BSU33700
H16_A0942	BSU33820
H16_A3418	BSU36760
H16_A3418	BSU37100
H16_B0745	BSU32470
H16_A2329	BSU30290
H16_B1956	BSU13110
H16_A3417	BSU34920
H16_A0943	BSU33830
H16_A0943	BSU33730
H16_B0981	BSU03900
H16_B0982	BSU03910
H16_A1919	BSU31060
H16_A1909	BSU24130
H16_B0062	BSU22140
H16_B1391	BSU15790
H16_A3095	BSU31322
H16_A1470	BSU12950
H16_A0262	BSU00500
H16_A0263	BSU01780
H16_A0263	BSU30540
H16_A0263	BSU10790
H16_A3410	BSU34870
H16_A2441	BSU24950
H16_A2441	BSU24960
H16_A3642	BSU36860
H16_A1223	BSU29200
H16_B0618	BSU17460
H16_A1588	BSU33800
H16_A1588	BSU33720
H16_A1588	BSU33700
H16_A1588	BSU33820
H16_A1225	BSU28470
H16_B0737	BSU31060
PHG261	BSU11720
H16_A0138	BSU35740
H16_A0811	BSU32750
H16_A0932	BSU22480
H16_A0812	BSU32740
H16_A3409	BSU34860
H16_A0813	BSU32730
H16_B0612	BSU40040
H16_B1027	BSU38150
H16_B2237	BSU34660
H16_A1905	BSU24120
H16_B1388	BSU17890
H16_B1025	BSU38170
H16_A1906	BSU24140
H16_A1906	BSU29140
H16_A1906	BSU09440
H16_B1026	BSU38160
H16_B1026	BSU14900
H16_B2234	BSU08070
H16_B2234	BSU24040
H16_B2234	BSU14590
H16_B2232	BSU32730
H16_B1385	BSU33930
H16_B2473	BSU32410
H16_B2473	BSU14520
H16_B2473	BSU15500
H16_B2472	BSU40330
H16_B2472	BSU02400
H16_B2472	BSU39390
H16_B2472	BSU37760
H16_B0293	BSU35700
H16_A3082	BSU00790
H16_A3084	BSU22430
H16_A0372	BSU00510
H16_A0045	BSU27430
H16_A0045	BSU23960
H16_A0045	BSU29340
H16_A0045	BSU03590
H16_A3434	BSU22700
H16_A3317	BSU15790
H16_B1735	BSU31060
PHG271	BSU37270
PHG270	BSU37280
