PP_0514	RSRUN2340_00753
PP_1604	RSRUN2340_01730
PP_1607	RSRUN2340_01996
PP_0751	RSRUN2340_04258
PP_0519	RSRUN2340_02864
PP_0517	RSRUN2340_00750
PP_1601	RSRUN2340_01733
PP_1843	RSRUN2340_04200
PP_1602	RSRUN2340_01732
PP_0516	RSRUN2340_00751
PP_2933	RSRUN2340_01188
PP_1603	RSRUN2340_01731
PP_0515	RSRUN2340_00752
PP_1616	RSRUN2340_00655
PP_1617	RSRUN2340_00654
PP_1618	RSRUN2340_01436
PP_0520	RSRUN2340_02865
PP_1610	RSRUN2340_02040
PP_1611	RSRUN2340_02039
PP_0528	RSRUN2340_00975
PP_1612	RSRUN2340_02037
PP_0527	RSRUN2340_00976
PP_1614	RSRUN2340_01435
PP_2703	RSRUN2340_04033
PP_2913	RSRUN2340_03086
PP_0732	RSRUN2340_02997
PP_0970	RSRUN2340_04202
PP_0736	RSRUN2340_01254
PP_0735	RSRUN2340_00384
PP_0977	RSRUN2340_00961
PP_5193	RSRUN2340_03401
PP_5192	RSRUN2340_03402
PP_5194	RSRUN2340_03400
PP_0987	RSRUN2340_03403
PP_0987	RSRUN2340_02118
PP_2925	RSRUN2340_04258
PP_0980	RSRUN2340_02532
PP_1830	RSRUN2340_01354
PP_0989	RSRUN2340_03401
PP_0747	RSRUN2340_02904
PP_0746	RSRUN2340_01041
PP_0988	RSRUN2340_03402
PP_0953	RSRUN2340_00444
PP_1805	RSRUN2340_04524
PP_1806	RSRUN2340_00448
PP_1807	RSRUN2340_02039
PP_1808	RSRUN2340_01515
PP_0959	RSRUN2340_03058
PP_0958	RSRUN2340_03059
PP_0957	RSRUN2340_00448
PP_0956	RSRUN2340_00447
PP_0713	RSRUN2340_03192
PP_5179	RSRUN2340_01528
PP_5171	RSRUN2340_01813
PP_5170	RSRUN2340_01804
PP_0723	RSRUN2340_00431
PP_2902	RSRUN2340_02002
PP_0965	RSRUN2340_03049
PP_0964	RSRUN2340_03050
PP_0722	RSRUN2340_00429
PP_2904	RSRUN2340_00825
PP_2905	RSRUN2340_01998
PP_0960	RSRUN2340_03057
PP_1811	RSRUN2340_04537
PP_1811	RSRUN2340_04011
PP_0966	RSRUN2340_03048
PP_4097	RSRUN2340_02149
PP_5185	RSRUN2340_01906
PP_0932	RSRUN2340_00085
PP_0931	RSRUN2340_00084
PP_0930	RSRUN2340_00081
PP_5149	RSRUN2340_00491
PP_0936	RSRUN2340_01033
PP_4064	RSRUN2340_00311
PP_4063	RSRUN2340_00484
PP_4066	RSRUN2340_00299
PP_4065	RSRUN2340_00301
PP_4067	RSRUN2340_00296
PP_4060	RSRUN2340_03775
PP_5150	RSRUN2340_01926
PP_0946	RSRUN2340_02645
PP_0944	RSRUN2340_04845
PP_5168	RSRUN2340_01802
PP_5169	RSRUN2340_01803
PP_0915	RSRUN2340_02645
PP_0914	RSRUN2340_00554
PP_4284	RSRUN2340_05189
PP_4286	RSRUN2340_01093
PP_5132	RSRUN2340_02268
PP_4285	RSRUN2340_01096
PP_4288	RSRUN2340_03385
PP_4287	RSRUN2340_01092
PP_5137	RSRUN2340_01528
PP_5371	RSRUN2340_00692
PP_4281	RSRUN2340_01113
PP_0920	RSRUN2340_01957
PP_5139	RSRUN2340_03840
PP_0927	RSRUN2340_04951
PP_4053	RSRUN2340_03769
PP_4052	RSRUN2340_03770
PP_4055	RSRUN2340_03772
PP_5386	RSRUN2340_04914
PP_4299	RSRUN2340_03391
PP_5388	RSRUN2340_04916
PP_4298	RSRUN2340_00043
PP_5387	RSRUN2340_04915
PP_4059	RSRUN2340_03774
PP_4058	RSRUN2340_03773
PP_5380	RSRUN2340_04161
PP_4290	RSRUN2340_01094
PP_4051	RSRUN2340_03771
PP_4050	RSRUN2340_03776
PP_4016	RSRUN2340_02820
PP_4258	RSRUN2340_01877
PP_5107	RSRUN2340_02871
PP_5351	RSRUN2340_05086
PP_3173	RSRUN2340_01957
PP_4264	RSRUN2340_03392
PP_4266	RSRUN2340_00452
PP_2082	RSRUN2340_01725
PP_5118	RSRUN2340_00971
PP_2095	RSRUN2340_01411
PP_5364	RSRUN2340_04774
PP_5366	RSRUN2340_01885
PP_2098	RSRUN2340_00632
PP_5123	RSRUN2340_00424
PP_4034	RSRUN2340_02804
PP_5365	RSRUN2340_00805
PP_3189	RSRUN2340_01384
PP_4279	RSRUN2340_01116
PP_4278	RSRUN2340_01117
PP_2090	RSRUN2340_02537
PP_5326	RSRUN2340_01315
PP_4481	RSRUN2340_02553
PP_4000	RSRUN2340_02453
PP_4483	RSRUN2340_00524
PP_4483	RSRUN2340_01106
PP_4483	RSRUN2340_03525
PP_4483	RSRUN2340_00937
PP_4483	RSRUN2340_04451
PP_4243	RSRUN2340_03730
PP_5335	RSRUN2340_00628
PP_4487	RSRUN2340_01258
PP_5336	RSRUN2340_00627
PP_4251	RSRUN2340_01879
PP_4250	RSRUN2340_01880
PP_4492	RSRUN2340_04182
PP_4495	RSRUN2340_04951
PP_5100	RSRUN2340_01072
PP_4011	RSRUN2340_02607
PP_4253	RSRUN2340_01877
PP_4255	RSRUN2340_01880
PP_3165	RSRUN2340_02123
PP_5104	RSRUN2340_00131
PP_4256	RSRUN2340_01879
PP_4490	RSRUN2340_03462
PP_4699	RSRUN2340_02711
PP_4698	RSRUN2340_02709
PP_4219	RSRUN2340_04147
PP_4219	RSRUN2340_03692
PP_3129	RSRUN2340_04634
PP_4220	RSRUN2340_03730
PP_4221	RSRUN2340_04147
PP_4221	RSRUN2340_03692
PP_3376	RSRUN2340_02189
PP_3376	RSRUN2340_04464
PP_3136	RSRUN2340_02003
PP_5315	RSRUN2340_00692
PP_2047	RSRUN2340_01554
PP_5314	RSRUN2340_00692
PP_2048	RSRUN2340_02292
PP_5318	RSRUN2340_02767
PP_2051	RSRUN2340_01556
PP_4473	RSRUN2340_01994
PP_3144	RSRUN2340_03403
PP_3144	RSRUN2340_02118
PP_4474	RSRUN2340_00830
PP_2056	RSRUN2340_00362
PP_4235	RSRUN2340_03087
PP_2137	RSRUN2340_00945
PP_5409	RSRUN2340_00210
PP_5412	RSRUN2340_03425
PP_5412	RSRUN2340_04254
PP_5411	RSRUN2340_00209
PP_2145	RSRUN2340_02155
PP_1298	RSRUN2340_00938
PP_1298	RSRUN2340_04452
PP_1294	RSRUN2340_01819
PP_1293	RSRUN2340_01820
PP_1292	RSRUN2340_00610
PP_1059	RSRUN2340_04951
PP_5414	RSRUN2340_03427
PP_5413	RSRUN2340_03426
PP_5415	RSRUN2340_03428
PP_5418	RSRUN2340_03431
PP_5417	RSRUN2340_03430
PP_5419	RSRUN2340_03432
PP_4570	RSRUN2340_01279
PP_4571	RSRUN2340_02300
PP_3002	RSRUN2340_02872
PP_1025	RSRUN2340_03844
PP_1024	RSRUN2340_04755
PP_3446	RSRUN2340_00491
PP_4779	RSRUN2340_03740
PP_4301	RSRUN2340_04974
PP_4784	RSRUN2340_00691
PP_4300	RSRUN2340_04975
PP_2123	RSRUN2340_01821
PP_0186	RSRUN2340_02473
PP_1032	RSRUN2340_01714
PP_1031	RSRUN2340_01716
PP_0184	RSRUN2340_02478
PP_1037	RSRUN2340_01518
PP_4545	RSRUN2340_03718
PP_4305	RSRUN2340_01813
PP_2368	RSRUN2340_02012
PP_3457	RSRUN2340_02185
PP_4549	RSRUN2340_02954
PP_4549	RSRUN2340_00580
PP_4550	RSRUN2340_02954
PP_4550	RSRUN2340_00580
