XOO1903	RSPSI07_01835
XOO0812	RSPSI07_01907
XOO1900	RSPSI07_04072
XOO1900	RSPSI07_02082
XOO0811	RSPSI07_01293
XOO0817	RSPSI07_03292
XOO1906	RSPSI07_04711
XOO3090	RSPSI07_03292
XOO4181	RSPSI07_03292
XOO3098	RSPSI07_02913
XOO4188	RSPSI07_04375
XOO4189	RSPSI07_04376
XOO4185	RSPSI07_02820
XOO1910	RSPSI07_01580
XOO0801	RSPSI07_01573
XOO0805	RSPSI07_02981
XOO3080	RSPSI07_02469
XOO3080	RSPSI07_01571
XOO0809	RSPSI07_00656
XOO3081	RSPSI07_00275
XOO0808	RSPSI07_03537
XOO0808	RSPSI07_04293
XOO0808	RSPSI07_00235
XOO0808	RSPSI07_03293
XOO3089	RSPSI07_03292
XOO4160	RSPSI07_00583
XOO4160	RSPSI07_03783
XOO4165	RSPSI07_01556
XOO4165	RSPSI07_04704
XOO4165	RSPSI07_02634
XOO4165	RSPSI07_00278
XOO4165	RSPSI07_01455
XOO4165	RSPSI07_02408
XOO4165	RSPSI07_01418
XOO4165	RSPSI07_02429
XOO4165	RSPSI07_00766
XOO4165	RSPSI07_01531
XOO4165	RSPSI07_02860
XOO4165	RSPSI07_03244
XOO3076	RSPSI07_03482
XOO3078	RSPSI07_01159
XOO4161	RSPSI07_00584
XOO4161	RSPSI07_03784
XOO3072	RSPSI07_02267
XOO3073	RSPSI07_02268
XOO4163	RSPSI07_00586
XOO4390	RSPSI07_03204
XOO4154	RSPSI07_00617
XOO4398	RSPSI07_02741
XOO4399	RSPSI07_02739
XOO4150	RSPSI07_02945
XOO4151	RSPSI07_00655
XOO3063	RSPSI07_01556
XOO3063	RSPSI07_04704
XOO3063	RSPSI07_02634
XOO3063	RSPSI07_00278
XOO3063	RSPSI07_01455
XOO3063	RSPSI07_02408
XOO3063	RSPSI07_01418
XOO3063	RSPSI07_02429
XOO3063	RSPSI07_00766
XOO3063	RSPSI07_01531
XOO3063	RSPSI07_02860
XOO3063	RSPSI07_03244
XOO4152	RSPSI07_02777
XOO4394	RSPSI07_02001
XOO3064	RSPSI07_03292
XOO4153	RSPSI07_02778
XOO0615	RSPSI07_01556
XOO0615	RSPSI07_04704
XOO0615	RSPSI07_02634
XOO0615	RSPSI07_00278
XOO0615	RSPSI07_01455
XOO0615	RSPSI07_02408
XOO0615	RSPSI07_01418
XOO0615	RSPSI07_02429
XOO0615	RSPSI07_00766
XOO0615	RSPSI07_01531
XOO0615	RSPSI07_02860
XOO0615	RSPSI07_03244
XOO1703	RSPSI07_01423
XOO1702	RSPSI07_01422
XOO0617	RSPSI07_01556
XOO0617	RSPSI07_04704
XOO0617	RSPSI07_02634
XOO0617	RSPSI07_00278
XOO0617	RSPSI07_01455
XOO0617	RSPSI07_02408
XOO0617	RSPSI07_01418
XOO0617	RSPSI07_02429
XOO0617	RSPSI07_00766
XOO0617	RSPSI07_01531
XOO0617	RSPSI07_02860
XOO0617	RSPSI07_03244
XOO2801	RSPSI07_03292
XOO1954	RSPSI07_00729
XOO0622	RSPSI07_01556
XOO0622	RSPSI07_04704
XOO0622	RSPSI07_02634
XOO0622	RSPSI07_00278
XOO0622	RSPSI07_01455
XOO0622	RSPSI07_02408
XOO0622	RSPSI07_01418
XOO0622	RSPSI07_02429
XOO0622	RSPSI07_00766
XOO0622	RSPSI07_01531
XOO0622	RSPSI07_02860
XOO0622	RSPSI07_03244
XOO1952	RSPSI07_02298
XOO0863	RSPSI07_02571
XOO0847	RSPSI07_00336
XOO1938	RSPSI07_04817
XOO1700	RSPSI07_01419
XOO1925	RSPSI07_00674
XOO1924	RSPSI07_01028
XOO0834	RSPSI07_01000
XOO1922	RSPSI07_02300
XOO1929	RSPSI07_01714
XOO1929	RSPSI07_01715
XOO0839	RSPSI07_00868
XOO0841	RSPSI07_01684
XOO1917	RSPSI07_04852
XOO0827	RSPSI07_01556
XOO0827	RSPSI07_04704
XOO0827	RSPSI07_02634
XOO0827	RSPSI07_00278
XOO0827	RSPSI07_01455
XOO0827	RSPSI07_02408
XOO0827	RSPSI07_01418
XOO0827	RSPSI07_02429
XOO0827	RSPSI07_00766
XOO0827	RSPSI07_01531
XOO0827	RSPSI07_02860
XOO0827	RSPSI07_03244
XOO1919	RSPSI07_01053
XOO4198	RSPSI07_02937
XOO4196	RSPSI07_02940
XOO0831	RSPSI07_01127
XOO3929	RSPSI07_01556
XOO3929	RSPSI07_04704
XOO3929	RSPSI07_02634
XOO3929	RSPSI07_00278
XOO3929	RSPSI07_01455
XOO3929	RSPSI07_02408
XOO3929	RSPSI07_01418
XOO3929	RSPSI07_02429
XOO3929	RSPSI07_00766
XOO3929	RSPSI07_01531
XOO3929	RSPSI07_02860
XOO3929	RSPSI07_03244
XOO0417	RSPSI07_00773
XOO0417	RSPSI07_04771
XOO1506	RSPSI07_03614
XOO1506	RSPSI07_04605
XOO1506	RSPSI07_04102
XOO1506	RSPSI07_04101
XOO0659	RSPSI07_03500
XOO1989	RSPSI07_01884
XOO1747	RSPSI07_02590
XOO1504	RSPSI07_02111
XOO1746	RSPSI07_02591
XOO2835	RSPSI07_04528
XOO2836	RSPSI07_04527
XOO3926	RSPSI07_04705
XOO3926	RSPSI07_02633
XOO3926	RSPSI07_01555
XOO3926	RSPSI07_01417
XOO3926	RSPSI07_02407
XOO3926	RSPSI07_00277
XOO3926	RSPSI07_01454
XOO3926	RSPSI07_02861
XOO3926	RSPSI07_03245
XOO3926	RSPSI07_02430
XOO3927	RSPSI07_01556
XOO3927	RSPSI07_04704
XOO3927	RSPSI07_02634
XOO3927	RSPSI07_00278
XOO3927	RSPSI07_01455
XOO3927	RSPSI07_02408
XOO3927	RSPSI07_01418
XOO3927	RSPSI07_02429
XOO3927	RSPSI07_00766
XOO3927	RSPSI07_01531
XOO3927	RSPSI07_02860
XOO3927	RSPSI07_03244
XOO2838	RSPSI07_03514
XOO2838	RSPSI07_01818
XOO1510	RSPSI07_00948
XOO1510	RSPSI07_03256
XOO1510	RSPSI07_04243
XOO3931	RSPSI07_03098
XOO0421	RSPSI07_01975
XOO0661	RSPSI07_04429
XOO2602	RSPSI07_03574
XOO1514	RSPSI07_02170
XOO0667	RSPSI07_03235
XOO1513	RSPSI07_02478
XOO1997	RSPSI07_01081
XOO2840	RSPSI07_02044
XOO0423	RSPSI07_03644
XOO0423	RSPSI07_03741
XOO1996	RSPSI07_02333
XOO0665	RSPSI07_01157
XOO3930	RSPSI07_01556
XOO3930	RSPSI07_04704
XOO3930	RSPSI07_02634
XOO3930	RSPSI07_00278
XOO3930	RSPSI07_01455
XOO3930	RSPSI07_02408
XOO3930	RSPSI07_01418
XOO3930	RSPSI07_02429
XOO3930	RSPSI07_00766
XOO3930	RSPSI07_01531
XOO3930	RSPSI07_02860
XOO3930	RSPSI07_03244
XOO0664	RSPSI07_03382
XOO2828	RSPSI07_00884
XOO1979	RSPSI07_04134
XOO3918	RSPSI07_04824
XOO1736	RSPSI07_01581
XOO0405	RSPSI07_00100
XOO0646	RSPSI07_01556
XOO0646	RSPSI07_04704
XOO0646	RSPSI07_02634
XOO0646	RSPSI07_00278
XOO0646	RSPSI07_01455
XOO0646	RSPSI07_02408
XOO0646	RSPSI07_01418
XOO0646	RSPSI07_02429
XOO0646	RSPSI07_00766
XOO0646	RSPSI07_01531
XOO0646	RSPSI07_02860
XOO0646	RSPSI07_03244
XOO0888	RSPSI07_03482
XOO1977	RSPSI07_01869
XOO0404	RSPSI07_00099
