YPO1049	RSRUN2340_01739
YPO2016	RSRUN2340_02997
YPO1048	RSRUN2340_01737
YPO2499	RSRUN2340_02664
YPO2499	RSRUN2340_01913
YPO2256	RSRUN2340_02665
YPO2256	RSRUN2340_05145
YPO2256	RSRUN2340_01914
YPO1166	RSRUN2340_03222
YPO2014	RSRUN2340_00431
YPO1046	RSRUN2340_01741
YPO2013	RSRUN2340_00429
YPO2255	RSRUN2340_02854
YPO2496	RSRUN2340_05127
YPO3222	RSRUN2340_02913
YPO3221	RSRUN2340_02842
YPO1041	RSRUN2340_01755
YPO2372	RSRUN2340_00538
YPO2370	RSRUN2340_00806
YPO0070	RSRUN2340_02003
YPO0068	RSRUN2340_00390
YPO3215	RSRUN2340_03067
YPO3578	RSRUN2340_00447
YPO3577	RSRUN2340_00448
YPO0066	RSRUN2340_00388
YPO1395	RSRUN2340_00998
YPO1396	RSRUN2340_02649
YPO1151	RSRUN2340_00298
YPO1152	RSRUN2340_01664
YPO1391	RSRUN2340_02309
YPO1390	RSRUN2340_02310
YPO3569	RSRUN2340_03050
YPO0059	RSRUN2340_04482
YPO1146	RSRUN2340_04719
YPO0057	RSRUN2340_00615
YPO1389	RSRUN2340_02314
YPO0058	RSRUN2340_02302
YPO1023	RSRUN2340_02671
YPO0055	RSRUN2340_00718
YPO3443	RSRUN2340_00961
YPO0056	RSRUN2340_00717
YPO0053	RSRUN2340_00424
YPO3441	RSRUN2340_02532
YPO1022	RSRUN2340_01906
YPO3319	RSRUN2340_00810
YPO3319	RSRUN2340_02072
YPO1139	RSRUN2340_04634
YPO0169	RSRUN2340_02980
YPO0048	RSRUN2340_02579
YPO1379	RSRUN2340_02453
YPO3557	RSRUN2340_03062
YPO0047	RSRUN2340_02581
YPO3312	RSRUN2340_03150
YPO1133	RSRUN2340_00386
YPO3796	RSRUN2340_01892
YPO0045	RSRUN2340_00161
YPO3795	RSRUN2340_01891
YPO2221	RSRUN2340_01206
YPO3794	RSRUN2340_01890
YPO3793	RSRUN2340_01889
YPO3430	RSRUN2340_02923
YPO1374	RSRUN2340_02458
YPO0040	RSRUN2340_01077
YPO0161	RSRUN2340_04783
YPO0162	RSRUN2340_01384
YPO0160	RSRUN2340_04782
YPO0158	RSRUN2340_02537
YPO3305	RSRUN2340_00830
YPO0038	RSRUN2340_01079
YPO3788	RSRUN2340_04212
YPO1127	RSRUN2340_02567
YPO3424	RSRUN2340_02566
YPO2214	RSRUN2340_04129
YPO3423	RSRUN2340_02898
YPO0155	RSRUN2340_02977
YPO0152	RSRUN2340_03066
YPO3781	RSRUN2340_00498
YPO2692	RSRUN2340_03492
YPO3660	RSRUN2340_02880
YPO2691	RSRUN2340_03493
YPO2690	RSRUN2340_03494
YPO3419	RSRUN2340_01389
YPO3418	RSRUN2340_01390
YPO2329	RSRUN2340_03225
YPO1238	RSRUN2340_00043
YPO3659	RSRUN2340_02881
YPO3417	RSRUN2340_01392
YPO2206	RSRUN2340_04217
YPO2206	RSRUN2340_02982
YPO3658	RSRUN2340_02882
YPO3779	RSRUN2340_00501
YPO2205	RSRUN2340_04216
YPO2205	RSRUN2340_02983
YPO1599	RSRUN2340_02171
YPO1115	RSRUN2340_00604
YPO3899	RSRUN2340_00617
YPO3415	RSRUN2340_03856
YPO1116	RSRUN2340_00605
YPO2204	RSRUN2340_01227
YPO0024	RSRUN2340_01898
YPO0024	RSRUN2340_04333
YPO0145	RSRUN2340_03073
YPO1597	RSRUN2340_02173
YPO1113	RSRUN2340_01887
YPO1598	RSRUN2340_02172
YPO1114	RSRUN2340_01886
YPO1111	RSRUN2340_01215
YPO1112	RSRUN2340_01216
YPO3530	RSRUN2340_03470
YPO3530	RSRUN2340_03471
YPO3771	RSRUN2340_03086
YPO1108	RSRUN2340_01218
YPO3407	RSRUN2340_00309
YPO3769	RSRUN2340_00746
YPO3767	RSRUN2340_00945
YPO3525	RSRUN2340_00803
YPO0378	RSRUN2340_01933
