STM0704	RSR24_03457
STM0705	RSR24_03456
STM0706	RSR24_03455
STM0828	RSR24_02342
STM0828	RSR24_00475
STM0828	RSR24_00541
STM0828	RSR24_03890
STM0828	RSR24_02207
STM0828	RSR24_04052
STM0828	RSR24_03481
STM0828	RSR24_01955
STM0829	RSR24_02206
STM0829	RSR24_03482
STM3090	RSR24_00133
STM4063	RSR24_01881
STM3095	RSR24_00354
STM4184	RSR24_01860
STM4183	RSR24_01856
STM4066	RSR24_02888
STM0830	RSR24_02205
STM0832	RSR24_02802
STM1800	RSR24_01774
STM1802	RSR24_01849
STM1803	RSR24_00935
STM0958	RSR24_02391
STM1928	RSR24_04031
STM1929	RSR24_04411
STM4160	RSR24_00111
STM4162	RSR24_00362
STM4164	RSR24_00114
STM3195	RSR24_04469
STM4163	RSR24_00110
STM3076	RSR24_02750
STM4167	RSR24_03377
STM1900	RSR24_00525
STM1901	RSR24_00523
STM4175	RSR24_02269
STM4055	RSR24_02579
STM4176	RSR24_00564
STM0863	RSR24_00335
STM0984	RSR24_02282
STM0985	RSR24_02583
STM1712	RSR24_02105
STM0988	RSR24_02585
STM2927	RSR24_02044
STM1718	RSR24_03930
STM2929	RSR24_01515
STM0506	RSR24_01577
STM0980	RSR24_00917
STM2930	RSR24_01514
STM3901	RSR24_02178
STM2933	RSR24_03626
STM1724	RSR24_03990
STM1724	RSR24_02913
STM0998	RSR24_01042
STM0998	RSR24_00442
STM2934	RSR24_02474
STM0756	RSR24_02506
STM3903	RSR24_00635
STM0878	RSR24_01938
STM0878	RSR24_01591
STM0878	RSR24_01368
STM0878	RSR24_02956
STM1725	RSR24_02914
STM1725	RSR24_03989
STM2935	RSR24_02475
STM1726	RSR24_02083
STM3905	RSR24_00506
STM0519	RSR24_03356
STM0518	RSR24_03355
STM0518	RSR24_00022
STM0517	RSR24_03354
STM0637	RSR24_00335
STM0515	RSR24_03346
STM0963	RSR24_02386
STM0847	RSR24_01842
STM0848	RSR24_01257
STM0848	RSR24_01841
STM0849	RSR24_01840
STM1818	RSR24_00597
STM1818	RSR24_02883
STM4081	RSR24_02166
STM0609	RSR24_03692
STM0608	RSR24_03691
STM4086	RSR24_03123
STM0851	RSR24_01838
STM0730	RSR24_02092
STM1700	RSR24_01253
STM0734	RSR24_02095
STM1945	RSR24_01103
STM0977	RSR24_00912
STM0735	RSR24_02094
STM1824	RSR24_02633
STM0736	RSR24_01986
STM0978	RSR24_00916
STM1826	RSR24_03369
STM0737	RSR24_01985
STM0738	RSR24_00619
STM0739	RSR24_00620
STM0850	RSR24_01839
STM0542	RSR24_00460
STM0542	RSR24_01465
STM0663	RSR24_00540
STM1511	RSR24_00796
STM0662	RSR24_02342
STM0662	RSR24_00475
STM0662	RSR24_00541
STM0662	RSR24_03890
STM0662	RSR24_02207
STM0662	RSR24_04052
STM0662	RSR24_03481
STM0662	RSR24_01955
STM0420	RSR24_02769
STM0787	RSR24_02641
STM0661	RSR24_02598
STM1756	RSR24_00450
STM1756	RSR24_01307
STM0788	RSR24_02642
STM2847	RSR24_02973
STM3938	RSR24_02408
STM1517	RSR24_03333
STM0309	RSR24_00601
STM0428	RSR24_01938
STM0428	RSR24_01591
STM0428	RSR24_01368
STM0428	RSR24_02956
STM2960	RSR24_01113
STM0782	RSR24_04431
STM0665	RSR24_02343
STM0665	RSR24_00538
STM2840	RSR24_00724
STM0423	RSR24_02306
STM2961	RSR24_01113
STM1752	RSR24_02321
STM1752	RSR24_03519
STM0422	RSR24_02305
STM2962	RSR24_04096
STM0664	RSR24_00539
STM1885	RSR24_04815
STM1764	RSR24_04701
STM1886	RSR24_04814
STM3700	RSR24_00368
STM0797	RSR24_01744
STM3702	RSR24_00366
STM1888	RSR24_00640
STM1525	RSR24_04429
STM3947	RSR24_00136
STM1647	RSR24_03196
STM3828	RSR24_02751
STM3827	RSR24_04096
STM0791	RSR24_02643
STM2971	RSR24_03369
STM0794	RSR24_00235
STM0795	RSR24_01745
STM1884	RSR24_04468
STM0640	RSR24_00066
STM3915	RSR24_02060
STM2827	RSR24_00859
STM0648	RSR24_02744
STM0760	RSR24_00807
STM0760	RSR24_02657
STM0402	RSR24_01518
STM0761	RSR24_01280
