BSU09290	RSPSS4_03218
BSU35580	RSPSS4_00937
BSU11250	RSPSS4_02709
BSU14400	RSPSS4_02970
BSU22700	RSPSS4_03128
BSU38050	RSPSS4_03763
BSU39700	RSPSS4_01328
BSU38170	RSPSS4_03027
BSU38170	RSPSS4_01580
BSU15730	RSPSS4_00074
BSU15610	RSPSS4_02573
BSU32750	RSPSS4_00944
BSU00910	RSPSS4_01798
BSU33040	RSPSS4_03770
BSU30450	RSPSS4_04405
BSU37760	RSPSS4_01682
BSU37760	RSPSS4_01681
BSU18440	RSPSS4_03123
BSU33720	RSPSS4_02671
BSU03060	RSPSS4_01003
BSU28120	RSPSS4_00690
BSU29210	RSPSS4_02129
BSU22140	RSPSS4_04099
BSU15860	RSPSS4_01123
BSU15860	RSPSS4_03452
BSU15860	RSPSS4_03629
BSU08070	RSPSS4_01641
BSU33390	RSPSS4_03905
BSU38040	RSPSS4_03764
BSU38160	RSPSS4_01579
BSU38160	RSPSS4_03026
BSU22830	RSPSS4_00364
BSU18570	RSPSS4_02966
BSU39370	RSPSS4_02749
BSU17000	RSPSS4_04084
BSU18450	RSPSS4_03124
BSU36660	RSPSS4_02182
BSU02400	RSPSS4_01682
BSU02400	RSPSS4_01681
BSU32740	RSPSS4_00945
BSU27600	RSPSS4_02300
BSU34920	RSPSS4_03111
BSU28250	RSPSS4_02139
BSU08860	RSPSS4_01422
BSU29220	RSPSS4_02270
BSU29220	RSPSS4_02875
BSU29340	RSPSS4_03564
BSU29340	RSPSS4_04114
BSU29340	RSPSS4_02253
BSU29340	RSPSS4_00495
BSU29340	RSPSS4_02409
BSU28130	RSPSS4_03148
BSU38990	RSPSS4_02403
BSU38990	RSPSS4_01913
BSU39720	RSPSS4_01320
BSU15510	RSPSS4_01982
BSU15190	RSPSS4_02954
BSU19310	RSPSS4_03292
BSU19310	RSPSS4_02257
BSU38630	RSPSS4_05090
BSU30230	RSPSS4_01567
BSU18220	RSPSS4_02981
BSU01780	RSPSS4_00181
BSU02990	RSPSS4_03651
BSU25310	RSPSS4_02232
BSU33500	RSPSS4_03504
BSU02510	RSPSS4_04215
