H16_B0626	RSPSS4_02574
H16_B0627	RSPSS4_02575
H16_B1956	RSPSS4_01129
H16_B1956	RSPSS4_03649
H16_B1956	RSPSS4_02030
H16_B0622	RSPSS4_04066
H16_B1951	RSPSS4_01704
H16_B0618	RSPSS4_04159
H16_B0618	RSPSS4_01340
H16_B1949	RSPSS4_04703
H16_B1949	RSPSS4_04844
H16_B1944	RSPSS4_00248
H16_B0614	RSPSS4_03819
H16_B1942	RSPSS4_00245
H16_B1979	RSPSS4_03729
H16_B1977	RSPSS4_03283
H16_B0646	RSPSS4_03987
H16_B1978	RSPSS4_04351
H16_B1971	RSPSS4_03543
H16_B0641	RSPSS4_03632
H16_B0641	RSPSS4_01126
H16_B1972	RSPSS4_03724
H16_B0633	RSPSS4_04796
H16_B1965	RSPSS4_03135
H16_B1960	RSPSS4_03292
H16_B1960	RSPSS4_02257
H16_B1910	RSPSS4_03366
H16_B1907	RSPSS4_02169
H16_B1904	RSPSS4_01073
H16_B1900	RSPSS4_03924
H16_A2192	RSPSS4_01989
H16_A2192	RSPSS4_00194
H16_B1939	RSPSS4_03292
H16_B1939	RSPSS4_02257
H16_B1938	RSPSS4_00247
H16_B1935	RSPSS4_03891
H16_B1936	RSPSS4_00249
H16_B1933	RSPSS4_04064
H16_B0603	RSPSS4_04229
H16_B1930	RSPSS4_03319
H16_B1930	RSPSS4_02810
H16_B1928	RSPSS4_02803
H16_B1928	RSPSS4_02807
H16_B1929	RSPSS4_03320
H16_B1926	RSPSS4_02806
H16_B1927	RSPSS4_02803
H16_B1927	RSPSS4_02807
H16_B1924	RSPSS4_03157
H16_B1924	RSPSS4_02388
H16_B1925	RSPSS4_02809
H16_B1922	RSPSS4_04381
H16_A3499	RSPSS4_03195
H16_A3490	RSPSS4_03179
H16_A3492	RSPSS4_03181
H16_A3492	RSPSS4_04241
H16_A3491	RSPSS4_03180
H16_A3491	RSPSS4_03201
H16_A3494	RSPSS4_03183
H16_A3493	RSPSS4_03182
H16_A2165	RSPSS4_03851
H16_A3496	RSPSS4_03192
H16_A2164	RSPSS4_03852
H16_A3495	RSPSS4_03184
H16_A2167	RSPSS4_04546
H16_A2167	RSPSS4_04388
H16_A3498	RSPSS4_03194
H16_A3497	RSPSS4_03193
H16_A3489	RSPSS4_01606
H16_A3481	RSPSS4_03175
H16_A3480	RSPSS4_03174
H16_A3483	RSPSS4_03177
H16_A3482	RSPSS4_03176
H16_A2154	RSPSS4_02404
H16_A3485	RSPSS4_01602
H16_A3484	RSPSS4_03178
H16_A3487	RSPSS4_01600
H16_A3486	RSPSS4_01601
H16_A2181	RSPSS4_00101
H16_A2180	RSPSS4_03920
H16_A2183	RSPSS4_00099
H16_A2182	RSPSS4_00100
H16_A2185	RSPSS4_04121
H16_A2184	RSPSS4_04122
H16_A2187	RSPSS4_04119
H16_A2186	RSPSS4_04120
H16_A2189	RSPSS4_04589
H16_A2188	RSPSS4_04118
H16_A2179	RSPSS4_03921
H16_A2172	RSPSS4_01839
H16_A2174	RSPSS4_04406
H16_A2173	RSPSS4_03504
H16_A2178	RSPSS4_03922
H16_A2177	RSPSS4_03922
H16_A2125	RSPSS4_03542
H16_A2125	RSPSS4_00946
H16_A3456	RSPSS4_03150
H16_A3455	RSPSS4_03149
H16_A3458	RSPSS4_03152
H16_A3457	RSPSS4_03151
H16_A3459	RSPSS4_03153
H16_B1076	RSPSS4_00768
H16_B1076	RSPSS4_02765
H16_B1077	RSPSS4_04383
H16_B1071	RSPSS4_03781
H16_A3450	RSPSS4_03145
H16_A3452	RSPSS4_03147
H16_A2121	RSPSS4_01447
H16_A3451	RSPSS4_03146
H16_A2120	RSPSS4_01448
H16_A3453	RSPSS4_03148
H16_A2122	RSPSS4_03804
H16_A2114	RSPSS4_01453
H16_A3445	RSPSS4_03140
H16_A2113	RSPSS4_01454
H16_A3444	RSPSS4_03139
H16_A2116	RSPSS4_01452
H16_A3447	RSPSS4_03142
H16_A3446	RSPSS4_03141
H16_A2118	RSPSS4_01450
H16_A3449	RSPSS4_03144
H16_A2117	RSPSS4_01451
H16_A3448	RSPSS4_03143
H16_A2119	RSPSS4_01449
H16_B1067	RSPSS4_00326
H16_B2399	RSPSS4_03433
H16_B1061	RSPSS4_04246
H16_B1062	RSPSS4_04245
H16_B1060	RSPSS4_04247
RALH10402	RSPSS4_00770
H16_A3441	RSPSS4_03135
H16_A2110	RSPSS4_01456
H16_A3440	RSPSS4_03134
H16_A2112	RSPSS4_01455
H16_A3443	RSPSS4_03138
H16_A3442	RSPSS4_03136
H16_A3478	RSPSS4_03172
H16_A3477	RSPSS4_03171
H16_A3479	RSPSS4_03173
H16_B1096	RSPSS4_01385
H16_B1094	RSPSS4_02722
H16_B1093	RSPSS4_02725
H16_B1093	RSPSS4_02721
H16_A3470	RSPSS4_03164
H16_B1090	RSPSS4_00228
H16_A3472	RSPSS4_03166
H16_A3471	RSPSS4_03165
H16_A3474	RSPSS4_03168
H16_A3473	RSPSS4_03167
H16_A3476	RSPSS4_03170
H16_A3475	RSPSS4_03169
H16_A3467	RSPSS4_03161
H16_A3466	RSPSS4_03160
H16_A3469	RSPSS4_03163
H16_A3468	RSPSS4_03162
H16_B1085	RSPSS4_03543
H16_B1083	RSPSS4_03267
H16_B1081	RSPSS4_01032
H16_A3461	RSPSS4_03155
H16_A3460	RSPSS4_03154
H16_A3463	RSPSS4_03157
H16_A3463	RSPSS4_02388
H16_A2132	RSPSS4_04961
H16_A3462	RSPSS4_03156
H16_A3465	RSPSS4_03159
H16_A2134	RSPSS4_04050
H16_A3464	RSPSS4_03158
H16_A2133	RSPSS4_04051
H16_A0386	RSPSS4_00416
H16_A3412	RSPSS4_03106
H16_A3411	RSPSS4_03105
H16_A0387	RSPSS4_00417
H16_A3414	RSPSS4_03108
H16_A0388	RSPSS4_00418
H16_A0389	RSPSS4_00419
H16_A3413	RSPSS4_03107
H16_A3416	RSPSS4_03110
H16_A3415	RSPSS4_03109
H16_A3418	RSPSS4_03112
H16_A3417	RSPSS4_03111
H16_A3419	RSPSS4_03113
H16_B1038	RSPSS4_03825
H16_B2369	RSPSS4_04643
H16_B2368	RSPSS4_04644
H16_B2367	RSPSS4_04645
H16_B2366	RSPSS4_04907
PHG009	RSPSS4_00691
H16_B2363	RSPSS4_04650
RALH11769	RSPSS4_04799
H16_A0380	RSPSS4_00411
H16_A0381	RSPSS4_00412
H16_A0383	RSPSS4_00414
H16_A3410	RSPSS4_03104
H16_A0384	RSPSS4_00415
H16_A3401	RSPSS4_03089
H16_A0375	RSPSS4_00406
H16_A0376	RSPSS4_00407
H16_A3400	RSPSS4_03088
H16_A0377	RSPSS4_00408
H16_A3403	RSPSS4_03097
H16_A0378	RSPSS4_00409
H16_A3402	RSPSS4_03090
H16_A0379	RSPSS4_00410
H16_A3405	RSPSS4_03099
H16_A3404	RSPSS4_03098
H16_A3407	RSPSS4_03100
H16_A3409	RSPSS4_03103
H16_A3408	RSPSS4_03101
H16_B1027	RSPSS4_01578
H16_B1027	RSPSS4_03025
H16_B1028	RSPSS4_03024
H16_B2358	RSPSS4_03795
H16_B1025	RSPSS4_03027
H16_B1025	RSPSS4_01580
H16_B1026	RSPSS4_01579
H16_B1026	RSPSS4_03026
H16_B2350	RSPSS4_04267
H16_A0370	RSPSS4_00401
H16_A0371	RSPSS4_00402
H16_A0372	RSPSS4_00403
