H16_B0626	RSMOLK2_02852
H16_B0627	RSMOLK2_02851
H16_B1956	RSMOLK2_03294
H16_B0622	RSMOLK2_04572
H16_B1951	RSMOLK2_01271
H16_B1951	RSMOLK2_03566
H16_B1952	RSMOLK2_01272
H16_B0618	RSMOLK2_01360
H16_B0618	RSMOLK2_03942
H16_B1949	RSMOLK2_04499
H16_B0614	RSMOLK2_01653
H16_B1977	RSMOLK2_02457
H16_B0646	RSMOLK2_01500
H16_B1978	RSMOLK2_01170
H16_B1971	RSMOLK2_02522
H16_B0633	RSMOLK2_04462
H16_B1965	RSMOLK2_02309
H16_B1960	RSMOLK2_02033
H16_B1960	RSMOLK2_02449
H16_B1910	RSMOLK2_01076
H16_B1910	RSMOLK2_04538
H16_B1904	RSMOLK2_04172
H16_B1900	RSMOLK2_03648
H16_A2192	RSMOLK2_03311
H16_B1939	RSMOLK2_02033
H16_B1939	RSMOLK2_02449
H16_B1935	RSMOLK2_01585
H16_B0603	RSMOLK2_01283
H16_B1928	RSMOLK2_01053
H16_B1926	RSMOLK2_01052
H16_B1927	RSMOLK2_01053
H16_B1924	RSMOLK2_01050
H16_B1924	RSMOLK2_02331
H16_B1924	RSMOLK2_03035
H16_B1925	RSMOLK2_01051
H16_A3499	RSMOLK2_02370
H16_A3490	RSMOLK2_02353
H16_A3492	RSMOLK2_01265
H16_A3492	RSMOLK2_02355
H16_A3491	RSMOLK2_02354
H16_A3491	RSMOLK2_02376
H16_A3494	RSMOLK2_02357
H16_A3493	RSMOLK2_02356
H16_A2165	RSMOLK2_01616
H16_A3496	RSMOLK2_02367
H16_A2164	RSMOLK2_01615
H16_A3495	RSMOLK2_02358
H16_A2167	RSMOLK2_00992
H16_A3498	RSMOLK2_02369
H16_A3497	RSMOLK2_02368
H16_A3481	RSMOLK2_02349
H16_A3480	RSMOLK2_02348
H16_A3483	RSMOLK2_02351
H16_A3482	RSMOLK2_02350
H16_A2154	RSMOLK2_03019
H16_A3484	RSMOLK2_02352
H16_A2181	RSMOLK2_00110
H16_A2183	RSMOLK2_00108
H16_A2182	RSMOLK2_00109
H16_A2185	RSMOLK2_04759
H16_A2184	RSMOLK2_04758
H16_A2187	RSMOLK2_04761
H16_A2186	RSMOLK2_04760
H16_A2189	RSMOLK2_00807
H16_A2188	RSMOLK2_04762
H16_A2172	RSMOLK2_03482
H16_A2171	RSMOLK2_01908
H16_A2174	RSMOLK2_01121
H16_A2173	RSMOLK2_02560
H16_A2125	RSMOLK2_02523
H16_A2125	RSMOLK2_04300
H16_A3456	RSMOLK2_02324
H16_A3455	RSMOLK2_02323
H16_A3458	RSMOLK2_02326
H16_A3457	RSMOLK2_02325
H16_A3459	RSMOLK2_02327
H16_B1076	RSMOLK2_00725
H16_B1076	RSMOLK2_01990
H16_B1071	RSMOLK2_01701
H16_A3450	RSMOLK2_02319
H16_A3452	RSMOLK2_02321
H16_A2121	RSMOLK2_03832
H16_A3451	RSMOLK2_02320
H16_A3453	RSMOLK2_02322
H16_A2122	RSMOLK2_01678
H16_A2114	RSMOLK2_03827
H16_A3445	RSMOLK2_02314
H16_A2113	RSMOLK2_03826
H16_A3444	RSMOLK2_02313
H16_A2116	RSMOLK2_03828
H16_A3447	RSMOLK2_02316
H16_A3446	RSMOLK2_02315
H16_A2118	RSMOLK2_03830
H16_A3449	RSMOLK2_02318
H16_A2117	RSMOLK2_03829
H16_A3448	RSMOLK2_02317
H16_A2119	RSMOLK2_03831
H16_B1067	RSMOLK2_00288
H16_B2399	RSMOLK2_02642
H16_B2394	RSMOLK2_04105
H16_B1061	RSMOLK2_01260
H16_B1062	RSMOLK2_01261
H16_B1060	RSMOLK2_01259
RALH10402	RSMOLK2_00726
H16_A3441	RSMOLK2_02309
H16_A2110	RSMOLK2_03824
H16_A3440	RSMOLK2_02308
H16_A2112	RSMOLK2_03825
H16_A3443	RSMOLK2_02312
H16_A3442	RSMOLK2_02310
H16_A3478	RSMOLK2_02346
H16_A3477	RSMOLK2_02345
H16_A3479	RSMOLK2_02347
H16_B1096	RSMOLK2_03895
H16_B1094	RSMOLK2_01949
H16_B1093	RSMOLK2_01948
H16_B1093	RSMOLK2_01952
H16_A3470	RSMOLK2_02338
H16_B1090	RSMOLK2_00193
H16_A3472	RSMOLK2_02340
H16_A3471	RSMOLK2_02339
H16_A3474	RSMOLK2_02342
H16_A3473	RSMOLK2_02341
H16_A3476	RSMOLK2_02344
H16_A3475	RSMOLK2_02343
H16_A3467	RSMOLK2_02335
H16_A3466	RSMOLK2_02334
H16_A3469	RSMOLK2_02337
H16_A3468	RSMOLK2_02336
H16_A2139	RSMOLK2_02767
H16_B1085	RSMOLK2_02522
H16_B1083	RSMOLK2_04840
H16_B1081	RSMOLK2_04213
H16_B1082	RSMOLK2_04623
H16_A3461	RSMOLK2_02329
H16_A3460	RSMOLK2_02328
H16_A3463	RSMOLK2_01050
H16_A3463	RSMOLK2_02331
H16_A3463	RSMOLK2_03035
H16_A2132	RSMOLK2_02635
H16_A3462	RSMOLK2_02330
H16_A3465	RSMOLK2_02333
H16_A3464	RSMOLK2_02332
H16_A0386	RSMOLK2_00376
H16_A3412	RSMOLK2_02280
H16_A3411	RSMOLK2_02279
H16_A0387	RSMOLK2_00377
H16_A3414	RSMOLK2_02282
H16_A0388	RSMOLK2_00378
H16_A0389	RSMOLK2_00379
H16_A3413	RSMOLK2_02281
H16_A3416	RSMOLK2_02284
H16_A3415	RSMOLK2_02283
H16_A3418	RSMOLK2_02286
H16_A3417	RSMOLK2_02285
H16_A3419	RSMOLK2_02287
H16_B1038	RSMOLK2_01644
H16_B2369	RSMOLK2_00908
H16_B2368	RSMOLK2_00907
H16_B2367	RSMOLK2_00906
H16_B2366	RSMOLK2_01758
PHG009	RSMOLK2_00650
H16_B2363	RSMOLK2_00901
RALH11769	RSMOLK2_04465
H16_A0380	RSMOLK2_00371
H16_A0381	RSMOLK2_00372
H16_A0383	RSMOLK2_00374
H16_A3410	RSMOLK2_02278
H16_A0384	RSMOLK2_00375
H16_A3401	RSMOLK2_02263
H16_A0375	RSMOLK2_00366
H16_A0376	RSMOLK2_00367
H16_A3400	RSMOLK2_02262
H16_A0377	RSMOLK2_00368
H16_A3403	RSMOLK2_02271
H16_A0378	RSMOLK2_00369
H16_A3402	RSMOLK2_02264
H16_A0379	RSMOLK2_00370
H16_A3405	RSMOLK2_02273
H16_A3404	RSMOLK2_02272
H16_A3407	RSMOLK2_02274
H16_A3409	RSMOLK2_02277
H16_A3408	RSMOLK2_02275
H16_B1027	RSMOLK2_02244
H16_B1028	RSMOLK2_02243
H16_B2358	RSMOLK2_01687
H16_B1025	RSMOLK2_02246
H16_B1026	RSMOLK2_02245
H16_A0370	RSMOLK2_00361
H16_A0371	RSMOLK2_00362
H16_A0372	RSMOLK2_00363
H16_A0374	RSMOLK2_00365
H16_A3434	RSMOLK2_02302
H16_A2103	RSMOLK2_03821
H16_A2102	RSMOLK2_03820
H16_A3433	RSMOLK2_02301
H16_A3436	RSMOLK2_02304
H16_A3435	RSMOLK2_02303
H16_A2104	RSMOLK2_03822
PHG031	RSMOLK2_01796
H16_A2107	RSMOLK2_01413
H16_A3438	RSMOLK2_02306
PHG030	RSMOLK2_01796
H16_A3437	RSMOLK2_02305
H16_A3439	RSMOLK2_02307
PHG023	RSMOLK2_01114
H16_A3430	RSMOLK2_02297
PHG028	RSMOLK2_02253
PHG027	RSMOLK2_03130
H16_A2101	RSMOLK2_03819
H16_A2101	RSMOLK2_04033
H16_A3432	RSMOLK2_02299
H16_A3431	RSMOLK2_02298
H16_A2100	RSMOLK2_03818
H16_A3423	RSMOLK2_02291
H16_A0397	RSMOLK2_00388
H16_A0398	RSMOLK2_00389
H16_A3422	RSMOLK2_02290
H16_A3425	RSMOLK2_02293
H16_A3424	RSMOLK2_02292
H16_A3427	RSMOLK2_02295
H16_A3426	RSMOLK2_02294
H16_A3429	RSMOLK2_01189
H16_A3428	RSMOLK2_02296
H16_B2378	RSMOLK2_04305
H16_B2377	RSMOLK2_02605
H16_B2376	RSMOLK2_01950
RALH11797	RSMOLK2_02834
H16_B2373	RSMOLK2_00912
H16_B2372	RSMOLK2_00911
H16_B2371	RSMOLK2_00910
H16_B2370	RSMOLK2_00909
H16_A0390	RSMOLK2_00380
H16_A0391	RSMOLK2_00382
H16_A0392	RSMOLK2_00383
H16_A0393	RSMOLK2_00384
H16_A0394	RSMOLK2_00385
RALH11792	RSMOLK2_01372
RALH11792	RSMOLK2_04804
RALH11792	RSMOLK2_03666
H16_A0395	RSMOLK2_00386
H16_A3421	RSMOLK2_02289
H16_A0396	RSMOLK2_00387
H16_A3420	RSMOLK2_02288
H16_A0342	RSMOLK2_00331
H16_A1673	RSMOLK2_01682
H16_A0343	RSMOLK2_00332
H16_A1675	RSMOLK2_00577
