H16_B1715	XOO3633
H16_B0626	XOO3396
H16_B0627	XOO3397
H16_B1714	XOO3629
H16_B1956	XOO4342
H16_B0864	XOO2809
H16_A1913	XOO1897
H16_B1951	XOO2777
H16_B1710	XOO1551
H16_A1916	XOO2894
H16_A0827	XOO3710
H16_A0828	XOO3709
H16_A0829	XOO3819
H16_A0829	XOO2684
H16_A1919	XOO3729
H16_A3090	XOO3743
H16_A3095	XOO1218
H16_B0618	XOO4488
H16_B1949	XOO3735
H16_B1705	XOO0935
H16_A0811	XOO0713
H16_A1901	XOO4220
H16_A1901	XOO2871
H16_A0812	XOO0714
H16_A0813	XOO0715
H16_B0612	XOO4620
H16_A0814	XOO0791
H16_A1903	XOO0777
H16_A0815	XOO0790
H16_A1905	XOO0892
H16_A1906	XOO0893
H16_A0817	XOO0693
H16_A1907	XOO0894
H16_A0818	XOO0692
H16_A1908	XOO0896
H16_A0809	XOO3744
H16_A3081	XOO2366
H16_A3082	XOO2365
H16_A3084	XOO2364
H16_A3089	XOO2031
H16_A3088	XOO2032
H16_A1931	XOO2441
H16_B1735	XOO3729
H16_A0602	XOO2904
H16_A0603	XOO0963
H16_A0604	XOO2295
H16_A1935	XOO4421
H16_B1731	XOO4754
H16_A0606	XOO2296
H16_A1937	XOO4424
H16_B1971	XOO2568
H16_A0608	XOO2299
H16_A0609	XOO2737
H16_B1727	XOO0448
H16_A1923	XOO2208
H16_B1722	XOO3735
H16_B1965	XOO1156
H16_B0874	XOO3380
H16_B0824	XOO2143
H16_A3294	XOO2981
H16_A3052	XOO2553
H16_A3054	XOO1510
H16_A3054	XOO1870
H16_A3053	XOO2554
H16_B0819	XOO3691
H16_A3057	XOO3693
H16_A3057	XOO4531
H16_B1909	XOO1369
H16_A3049	XOO0497
H16_A3048	XOO0496
H16_B0818	XOO1841
H16_B1904	XOO0881
H16_A3281	XOO3833
H16_A3283	XOO4154
H16_A3042	XOO1294
H16_A3045	XOO1625
H16_A3047	XOO1627
H16_A3288	XOO2868
H16_A3046	XOO1626
H16_B0809	XOO2231
H16_B0609	XOO2902
H16_B1931	XOO4167
H16_A0802	XOO2066
H16_A0805	XOO1309
H16_A0807	XOO3409
H16_A0808	XOO3958
H16_A3070	XOO2947
H16_A3071	XOO4051
H16_A3076	XOO2788
H16_A3077	XOO1297
H16_B1924	XOO2552
H16_B0834	XOO4544
H16_B0830	XOO3407
H16_A3061	XOO2236
H16_A3060	XOO0711
H16_A3065	XOO1623
H16_A3067	XOO1125
H16_A3066	XOO1624
H16_A3069	XOO2732
H16_A3258	XOO1583
H16_A3015	XOO2396
H16_A3257	XOO1584
H16_A3499	XOO3593
H16_A3018	XOO2398
H16_A3017	XOO2400
PHG406	XOO3407
H16_A3490	XOO3585
H16_A3492	XOO3588
H16_A1071	XOO1629
H16_A3250	XOO1622
H16_A3491	XOO3587
H16_A3491	XOO3599
H16_A1072	XOO1630
H16_A1073	XOO1631
H16_A3252	XOO1620
H16_A3494	XOO3589
H16_A1074	XOO1632
H16_A3251	XOO1621
H16_A3493	XOO4897
H16_A2165	XOO4189
H16_A3496	XOO3590
H16_A3012	XOO4276
H16_A3253	XOO1438
H16_A2164	XOO4188
H16_A3495	XOO1723
H16_A2167	XOO0423
H16_A3256	XOO1585
H16_A3498	XOO3592
H16_A3014	XOO2397
H16_A3255	XOO1589
H16_A3497	XOO3591
H16_A3013	XOO2399
H16_A3247	XOO0043
H16_A3247	XOO4151
H16_A3246	XOO0809
H16_A3249	XOO2666
PHG417	XOO3415
PHG415	XOO1928
PHG415	XOO4480
PHG415	XOO0102
PHG415	XOO2324
PHG415	XOO0101
PHG415	XOO0100
PHG415	XOO3736
PHG415	XOO4308
PHG415	XOO0865
PHG415	XOO2504
PHG415	XOO2526
PHG415	XOO0864
PHG415	XOO2525
PHG415	XOO0049
PHG415	XOO1479
PHG415	XOO2524
PHG415	XOO3159
PHG415	XOO4743
PHG415	XOO1478
PHG415	XOO2226
PHG415	XOO2325
PHG415	XOO3556
PHG415	XOO2527
PHG415	XOO4309
PHG415	XOO3738
PHG415	XOO2052
PHG415	XOO2051
PHG415	XOO4310
PHG415	XOO4311
PHG415	XOO0098
PHG415	XOO1165
PHG415	XOO3160
PHG415	XOO2053
PHG415	XOO2511
PHG415	XOO4118
PHG415	XOO1486
PHG415	XOO0099
PHG415	XOO1485
PHG415	XOO0458
PHG415	XOO1305
PHG415	XOO0314
PHG415	XOO0457
PHG415	XOO4753
PHG415	XOO4116
PHG415	XOO4237
PHG415	XOO2512
PHG415	XOO4359
H16_A1060	XOO3225
H16_A3481	XOO3580
H16_A1061	XOO3224
H16_A3480	XOO3579
H16_A2394	XOO4302
H16_A1062	XOO3223
H16_A3241	XOO1321
H16_A3483	XOO3582
H16_A1063	XOO3222
H16_A3482	XOO3581
H16_A2154	XOO0488
H16_A2395	XOO4303
H16_A3484	XOO3584
H16_A2397	XOO1153
H16_A3037	XOO3212
H16_A3279	XOO3831
H16_A3039	XOO4514
PHG428	XOO0935
H16_A1090	XOO0397
PHG420	XOO1176
H16_A3272	XOO3825
H16_A3271	XOO3824
H16_A3274	XOO3827
H16_A3031	XOO1628
H16_A3273	XOO3826
H16_A3276	XOO3828
H16_A1097	XOO1757
PHG423	XOO4052
H16_A3033	XOO0495
PHG422	XOO0015
H16_A3278	XOO3830
H16_A3277	XOO3829
H16_A3035	XOO4558
H16_A3269	XOO3823
H16_A3268	XOO3822
H16_A2171	XOO2728
H16_A3264	XOO3818
H16_A3025	XOO1219
H16_A3267	XOO0908
H16_A3266	XOO3821
H16_A2125	XOO0715
H16_A1035	XOO0945
H16_A2367	XOO2534
H16_A3456	XOO0562
H16_A3697	XOO0587
H16_A1037	XOO0946
H16_A3458	XOO3558
H16_A2368	XOO2535
H16_A3699	XOO0586
H16_A3457	XOO3557
H16_A1039	XOO0811
H16_A3459	XOO3559
H16_B1076	XOO4284
H16_B2165	XOO4034
H16_B2164	XOO1900
H16_B2162	XOO4527
H16_B2161	XOO1900
RALH12814	XOO0758
H16_A0180	XOO1787
H16_A0181	XOO0456
H16_A0182	XOO0767
H16_A1271	XOO3611
H16_A0183	XOO0455
H16_A2360	XOO2529
H16_A0184	XOO4377
H16_A3452	XOO3881
H16_A0186	XOO2903
H16_A3453	XOO0402
H16_A2364	XOO2229
H16_A1034	XOO3631
H16_A1266	XOO3629
H16_A0177	XOO4378
H16_A3445	XOO2389
H16_A3687	XOO0443
H16_A2113	XOO0694
H16_A1025	XOO2041
H16_A3444	XOO2390
H16_A3686	XOO0763
H16_A2358	XOO2945
H16_A0179	XOO2901
H16_A2116	XOO0670
H16_A3447	XOO0448
H16_A1027	XOO3757
H16_A2599	XOO3842
H16_A3206	XOO4463
H16_A3206	XOO4615
H16_A2117	XOO0812
RALH1_K21511	XOO2001
H16_A2359	XOO2946
H16_B1067	XOO3682
H16_B1067	XOO1651
H16_B2399	XOO2040
H16_B2398	XOO2357
H16_B2396	XOO0034
H16_B1062	XOO3439
H16_B2150	XOO0425
H16_B1060	XOO3441
H16_A0170	XOO1881
H16_A0172	XOO2078
H16_A0172	XOO2076
H16_A0172	XOO1843
H16_A2591	XOO2921
H16_A3441	XOO1156
H16_A3682	XOO1407
H16_A1021	XOO0521
H16_A1264	XOO3633
H16_A2354	XOO0915
H16_A2112	XOO4776
H16_A0175	XOO0286
H16_A1265	XOO3630
H16_A1057	XOO3228
H16_A2389	XOO1064
H16_A3478	XOO3577
H16_A1058	XOO3227
H16_A2388	XOO1066
H16_A3477	XOO3576
H16_A1059	XOO3226
H16_A3237	XOO1591
H16_A3479	XOO3578
H16_B2186	XOO0423
H16_B2185	XOO0756
H16_B2184	XOO0755
H16_A3470	XOO4896
H16_A1050	XOO3236
H16_A2380	XOO0057
H16_B1091	XOO0245
H16_A1051	XOO3235
H16_A3472	XOO3570
H16_A1052	XOO3234
H16_A3471	XOO3569
H16_A1053	XOO3233
H16_A3474	XOO3573
H16_A1054	XOO3232
H16_A3473	XOO3571
H16_A1055	XOO3230
H16_A3476	XOO3575
H16_A1056	XOO3229
H16_A3475	XOO3574
H16_A1046	XOO3807
H16_A0199	XOO3993
H16_A3467	XOO3566
H16_A3225	XOO0789
H16_A1047	XOO3238
H16_A3466	XOO3564
H16_A3469	XOO3568
H16_A3468	XOO3567
H16_A2379	XOO3935
H16_A2139	XOO2201
H16_B2178	XOO2065
H16_B2178	XOO3080
H16_B2177	XOO0305
H16_B1085	XOO2568
H16_B1083	XOO4071
H16_B1081	XOO0016
H16_B1082	XOO4034
H16_A2370	XOO1859
H16_A0193	XOO4390
H16_A3461	XOO3561
H16_A1041	XOO0941
H16_A0194	XOO2682
H16_A3460	XOO3560
H16_A3463	XOO2552
H16_A2374	XOO2953
H16_A2376	XOO2956
H16_A1286	XOO1448
H16_A1044	XOO3215
H16_A3465	XOO3563
H16_A2375	XOO2955
H16_A1045	XOO3214
H16_A3464	XOO3562
H16_A2565	XOO0883
H16_A2323	XOO2042
H16_A0386	XOO1283
H16_A0387	XOO1284
H16_A2322	XOO4394
H16_A2567	XOO0881
H16_A3414	XOO2258
H16_A2325	XOO2044
H16_A0388	XOO1285
H16_A1236	XOO0936
H16_A2324	XOO2043
H16_A2566	XOO0882
H16_A2327	XOO2313
H16_A1237	XOO0937
H16_A3416	XOO2256
H16_A2569	XOO0878
H16_A2568	XOO0880
H16_A2326	XOO0168
H16_A3418	XOO1290
H16_A3419	XOO4752
H16_B2127	XOO4621
H16_B2369	XOO2602
H16_B1278	XOO2442
H16_B2366	XOO2617
H16_B2122	XOO1469
H16_B2122	XOO2840
PHG009	XOO1124
H16_B2363	XOO2583
H16_B1275	XOO4603
H16_B1272	XOO4602
H16_B2120	XOO1959
PHG249	XOO0623
H16_B2360	XOO2581
H16_A0381	XOO1280
H16_A1471	XOO2981
H16_A0383	XOO1281
H16_A2560	XOO1851
H16_A3410	XOO2261
H16_A2563	XOO1849
H16_A0384	XOO1282
H16_A1232	XOO0488
H16_A0143	XOO0771
H16_A3643	XOO0726
H16_A3401	XOO0059
H16_A0133	XOO0805
H16_A2554	XOO1856
H16_A3642	XOO0727
H16_A1223	XOO1961
H16_A0377	XOO0299
H16_A0135	XOO0428
H16_A3403	XOO4406
