XOO1903	RSGMI1000_01480
XOO1900	RSGMI1000_01232
XOO1906	RSGMI1000_04978
XOO4180	RSGMI1000_03629
XOO4180	RSGMI1000_04791
XOO4180	RSGMI1000_04818
XOO4180	RSGMI1000_04594
XOO4180	RSGMI1000_03603
XOO4180	RSGMI1000_03947
XOO4180	RSGMI1000_04764
XOO4181	RSGMI1000_04595
XOO4181	RSGMI1000_01755
XOO4181	RSGMI1000_04639
XOO4181	RSGMI1000_03684
XOO4188	RSGMI1000_04657
XOO4189	RSGMI1000_04658
XOO4185	RSGMI1000_00457
XOO1910	RSGMI1000_01617
XOO4176	RSGMI1000_03629
XOO4176	RSGMI1000_04791
XOO4176	RSGMI1000_04818
XOO4176	RSGMI1000_04594
XOO4176	RSGMI1000_03603
XOO4176	RSGMI1000_03947
XOO4176	RSGMI1000_04764
XOO4177	RSGMI1000_03629
XOO4177	RSGMI1000_04791
XOO4177	RSGMI1000_04818
XOO4177	RSGMI1000_04594
XOO4177	RSGMI1000_03603
XOO4177	RSGMI1000_03947
XOO4177	RSGMI1000_04764
XOO4174	RSGMI1000_03629
XOO4174	RSGMI1000_04791
XOO4174	RSGMI1000_04818
XOO4174	RSGMI1000_04594
XOO4174	RSGMI1000_03603
XOO4174	RSGMI1000_03947
XOO4174	RSGMI1000_04764
XOO4160	RSGMI1000_02938
XOO4160	RSGMI1000_04145
XOO4165	RSGMI1000_05077
XOO4165	RSGMI1000_04793
XOO4165	RSGMI1000_02756
XOO4165	RSGMI1000_00848
XOO4165	RSGMI1000_05074
XOO4165	RSGMI1000_04766
XOO4165	RSGMI1000_02456
XOO4165	RSGMI1000_04677
XOO4165	RSGMI1000_03976
XOO4165	RSGMI1000_04025
XOO4165	RSGMI1000_01476
XOO4165	RSGMI1000_01531
XOO4161	RSGMI1000_02937
XOO4161	RSGMI1000_04146
XOO4162	RSGMI1000_01869
XOO4163	RSGMI1000_02935
XOO4169	RSGMI1000_03481
XOO4169	RSGMI1000_03187
XOO4169	RSGMI1000_04050
XOO4169	RSGMI1000_03209
XOO4169	RSGMI1000_03628
XOO4169	RSGMI1000_00862
XOO4154	RSGMI1000_02905
XOO4150	RSGMI1000_00354
XOO4151	RSGMI1000_02867
XOO4152	RSGMI1000_00502
XOO4153	RSGMI1000_00501
XOO0615	RSGMI1000_05077
XOO0615	RSGMI1000_04793
XOO0615	RSGMI1000_02756
XOO0615	RSGMI1000_00848
XOO0615	RSGMI1000_05074
XOO0615	RSGMI1000_04766
XOO0615	RSGMI1000_02456
XOO0615	RSGMI1000_04677
XOO0615	RSGMI1000_03976
XOO0615	RSGMI1000_04025
XOO0615	RSGMI1000_01476
XOO0615	RSGMI1000_01531
XOO1946	RSGMI1000_03481
XOO1946	RSGMI1000_03187
XOO1946	RSGMI1000_04050
XOO1946	RSGMI1000_03209
XOO1946	RSGMI1000_03628
XOO1946	RSGMI1000_00862
XOO0617	RSGMI1000_05077
XOO0617	RSGMI1000_04793
XOO0617	RSGMI1000_02756
XOO0617	RSGMI1000_00848
XOO0617	RSGMI1000_05074
XOO0617	RSGMI1000_04766
XOO0617	RSGMI1000_02456
XOO0617	RSGMI1000_04677
XOO0617	RSGMI1000_03976
XOO0617	RSGMI1000_04025
XOO0617	RSGMI1000_01476
XOO0617	RSGMI1000_01531
XOO1950	RSGMI1000_03481
XOO1950	RSGMI1000_03187
XOO1950	RSGMI1000_04050
XOO1950	RSGMI1000_03209
XOO1950	RSGMI1000_03628
XOO1950	RSGMI1000_00862
XOO2801	RSGMI1000_04595
XOO2801	RSGMI1000_01755
XOO2801	RSGMI1000_04639
XOO2801	RSGMI1000_03684
XOO1954	RSGMI1000_02792
XOO0623	RSGMI1000_04827
XOO0622	RSGMI1000_05077
XOO0622	RSGMI1000_04793
XOO0622	RSGMI1000_02756
XOO0622	RSGMI1000_00848
XOO0622	RSGMI1000_05074
XOO0622	RSGMI1000_04766
XOO0622	RSGMI1000_02456
XOO0622	RSGMI1000_04677
XOO0622	RSGMI1000_03976
XOO0622	RSGMI1000_04025
XOO0622	RSGMI1000_01476
XOO0622	RSGMI1000_01531
XOO0621	RSGMI1000_05038
XOO1952	RSGMI1000_01026
XOO1936	RSGMI1000_03481
XOO1936	RSGMI1000_03187
XOO1936	RSGMI1000_04050
XOO1936	RSGMI1000_03209
XOO1936	RSGMI1000_03628
XOO1936	RSGMI1000_00862
XOO1934	RSGMI1000_03629
