RSc1428	XOO3719
RSc0338	XOO0212
RSc2516	XOO4511
RSc0578	XOO2280
RSc0578	XOO1235
RSc0578	XOO2820
RSc0578	XOO2129
RSc2515	XOO4220
RSc2515	XOO2871
RSc1426	XOO2025
RSc2999	XOO3562
RSc2998	XOO2552
RSc1429	XOO2194
RSc0330	XOO1117
RSc0572	XOO3413
RSc1420	XOO2212
RSc2993	XOO3558
RSc2750	XOO1176
RSc2992	XOO3557
RSc2991	XOO0562
RSc0570	XOO0443
RSc0571	XOO3415
RSc0576	XOO3209
RSc1424	XOO2023
RSc0334	XOO3411
RSc2755	XOO2918
RSc1423	XOO1792
RSc2996	XOO3561
RSc0332	XOO4202
RSc0574	XOO4054
RSc2995	XOO3560
RSc0575	XOO3210
RSc1421	XOO2211
RSc2994	XOO3559
RSc2752	XOO2917
RSp0750	XOO2817
RSp0750	XOO2818
RSp0750	XOO3473
RSp0750	XOO3474
RSp0750	XOO3470
RSp0750	XOO3471
RSp0750	XOO3466
RSp0998	XOO3282
RSp0759	XOO3514
RSp0518	XOO0222
RSp0518	XOO1047
RSp0515	XOO4463
RSp0515	XOO4615
RSp0758	XOO0110
RSc0327	XOO3956
RSc1417	XOO1964
RSc2506	XOO1538
RSc2989	XOO0402
RSc1416	XOO1965
RSc2747	XOO2027
RSc2505	XOO1539
RSc1415	XOO1966
RSc2988	XOO3881
RSc1414	XOO1967
RSc1898	XOO1685
RSc2749	XOO1203
RSc1418	XOO1963
RSc2740	XOO1954
RSc2981	XOO2389
RSc2980	XOO2390
RSc0560	XOO1061
RSc2744	XOO3329
RSc0323	XOO3953
RSc0566	XOO0922
RSc1412	XOO1968
RSc1896	XOO1054
RSc2741	XOO2665
RSc1410	XOO1970
RSc0322	XOO3952
RSc2983	XOO0448
RSp0740	XOO3484
RSp0741	XOO3483
RSp0744	XOO3051
RSp0744	XOO3480
RSp0503	XOO4716
RSp0503	XOO4738
RSp0503	XOO4717
RSp0503	XOO4937
RSp0503	XOO3926
RSp0503	XOO0360
RSp0503	XOO4723
RSp0503	XOO0326
RSp0503	XOO2404
RSp0503	XOO3895
RSp0503	XOO4707
RSp0503	XOO4828
RSp0503	XOO4927
RSp0503	XOO2371
RSp0503	XOO4893
RSp0503	XOO1341
RSp0503	XOO4757
RSp0503	XOO4736
RSp0503	XOO4912
RSp0503	XOO4895
RSp0503	XOO4950
RSp0503	XOO1645
RSp0503	XOO3026
RSp0503	XOO4777
RSp0503	XOO4799
RSp0745	XOO3479
RSp0984	XOO3816
RSp0742	XOO3482
RSp0743	XOO3481
RSp0748	XOO3476
RSp0749	XOO3045
RSp0749	XOO3475
RSp0504	XOO0615
RSp0504	XOO3929
RSp0504	XOO0617
RSp0504	XOO3927
RSp0504	XOO1392
RSp0504	XOO4146
RSp0504	XOO0263
RSp0504	XOO1396
RSp0504	XOO0262
RSp0504	XOO1394
RSp0504	XOO0981
RSp0504	XOO2009
RSp0504	XOO0622
RSp0504	XOO2007
RSp0504	XOO2403
RSp0504	XOO2006
RSp0504	XOO3930
RSp0504	XOO4304
RSp0504	XOO0646
RSp0504	XOO1339
RSp0504	XOO0296
RSp0504	XOO4370
RSp0504	XOO0295
RSp0504	XOO1340
RSp0504	XOO1384
RSp0504	XOO3888
RSp0504	XOO2113
RSp0504	XOO3889
RSp0504	XOO3366
RSp0504	XOO1029
RSp0504	XOO1028
RSp0504	XOO1027
RSp0504	XOO0517
RSp0504	XOO0516
RSp0504	XOO1649
RSp0504	XOO0999
RSp0504	XOO0998
