YPO1049	H16_A2051
YPO2016	H16_A3339
YPO1048	H16_A2049
YPO2499	H16_B1499
YPO2256	H16_B1498
YPO1166	H16_B1939
YPO1166	H16_A2747
YPO1166	H16_B1879
YPO1166	H16_B1960
YPO1166	H16_A1495
YPO2014	H16_A0374
YPO1046	H16_A2053
YPO2013	H16_A0372
YPO2496	H16_A0477
YPO3222	H16_A3249
YPO3464	H16_B1291
YPO3221	H16_A3136
YPO1041	H16_A2066
YPO2372	H16_A0488
YPO2370	H16_A2802
YPO0070	H16_A1216
YPO0068	H16_A0336
YPO3215	H16_A3435
YPO3577	H16_A0391
YPO0066	H16_A0334
YPO1395	H16_A2666
YPO1395	H16_A0904
YPO0185	H16_A0037
YPO0185	H16_A0038
YPO0185	H16_A1263
YPO1396	H16_A0606
YPO1151	H16_A0183
YPO1152	H16_A0181
YPO1391	H16_A0797
YPO1390	H16_A0795
YPO3569	H16_A3418
YPO0059	H16_B0819
YPO1028	H16_B1515
YPO1146	H16_A0676
YPO0057	H16_A0559
YPO1389	H16_A0791
YPO0058	H16_A0804
YPO1023	H16_A0597
YPO0055	H16_A2883
YPO3443	H16_A2751
YPO0056	H16_A2884
YPO0053	H16_A0367
YPO3441	H16_A2990
YPO1022	H16_A2343
YPO3319	H16_A2777
YPO1139	RALH11977
YPO1139	H16_B0226
YPO0169	H16_A3320
YPO0048	H16_A3048
YPO1379	H16_A0764
YPO3557	H16_A3431
YPO0047	H16_A3049
YPO3312	H16_A2507
YPO1133	H16_A0332
YPO3796	H16_A2330
YPO0045	H16_A0224
YPO3795	H16_A2329
YPO2222	H16_B1576
YPO2221	H16_A2638
YPO3794	H16_A2328
YPO3793	H16_A2327
YPO3430	H16_A3258
YPO1374	H16_A0753
YPO0040	H16_A0953
YPO0161	H16_B0779
YPO0162	H16_B1593
YPO0160	H16_B0778
YPO0158	H16_A2994
YPO0158	H16_B2285
YPO3305	H16_A2769
YPO0038	H16_A0955
YPO3788	H16_B1581
YPO1127	H16_A3038
YPO3424	H16_A3037
YPO3424	H16_B0560
YPO2214	H16_A2969
YPO0035	H16_B2142
YPO3423	H16_A3236
YPO0155	H16_A3317
YPO0155	H16_B1391
YPO0155	PHG423
YPO0152	H16_A3434
YPO3781	H16_A0445
YPO2692	H16_B0898
YPO3660	H16_A3170
YPO2691	H16_B0897
YPO2690	H16_B0896
YPO3419	H16_A1753
YPO3419	H16_B1300
YPO3419	H16_A1374
YPO3418	H16_A1375
YPO2329	H16_A1681
YPO2329	H16_A1682
YPO1238	H16_A3599
YPO1238	H16_A1558
YPO3659	H16_A3171
YPO3417	H16_A1377
YPO2206	H16_A3321
YPO3658	H16_A3172
YPO3779	H16_A0448
YPO2205	H16_A3322
YPO1599	H16_A2567
YPO1599	H16_B1904
YPO1115	H16_A0547
YPO3899	H16_A0561
YPO3415	H16_B0568
YPO1116	H16_A0548
YPO2204	H16_A2614
YPO2567	H16_B1871
YPO0024	H16_A2335
YPO0024	H16_B0618
YPO0145	H16_A0665
YPO0145	H16_B1965
YPO0145	H16_A3441
YPO1597	H16_A2569
YPO1113	H16_A2325
YPO3897	H16_B0280
YPO1598	H16_A2568
YPO1114	H16_A2324
YPO1111	H16_A2630
YPO1112	H16_A2629
YPO3771	H16_A3453
YPO1108	H16_A2627
YPO3407	H16_A0169
YPO3769	H16_A2859
YPO3767	H16_B0200
YPO3525	H16_A2806
YPO0378	H16_A2354
YPO3403	H16_A3129
YPO3402	H16_A2959
YPO3401	H16_A3084
YPO2554	H16_A1051
YPO2433	H16_A1339
YPO1587	H16_A0479
YPO2675	H16_A3095
YPO0253	H16_A2525
YPO0253	H16_B0834
YPO3400	H16_A3082
YPO3521	H16_A0746
YPO3520	H16_B1390
YPO3520	H16_A0999
YPO3520	PHG027
YPO3520	PHG422
YPO0493	H16_A0513
YPO2551	H16_A1055
YPO0251	H16_B1337
YPO0251	H16_B1355
YPO3760	H16_A3061
YPO0490	H16_A2910
YPO3519	H16_A3167
YPO2429	H16_A1343
YPO2549	H16_A1057
YPO2428	H16_A1344
YPO0006	H16_B0977
YPO0006	H16_A1419
YPO0006	PHG116
YPO2548	H16_A1058
YPO3999	H16_B0716
YPO3999	H16_A1304
YPO3999	H16_A2953
YPO3999	H16_A3294
YPO3999	H16_A1471
YPO3999	H16_B1124
YPO0246	H16_A3161
YPO2425	H16_A2971
YPO2303	H16_A0850
YPO2303	H16_A3128
YPO2303	H16_B1715
YPO2303	H16_A1264
YPO1215	H16_A0787
YPO2545	H16_A1061
YPO3513	H16_A3253
YPO2302	H16_A1266
YPO2302	H16_A0852
YPO2302	H16_B1714
YPO2302	H16_A3131
YPO0486	H16_A2704
YPO2422	H16_B1639
YPO2421	H16_B1640
YPO1332	H16_B1829
YPO1332	H16_B0109
YPO1332	H16_B1951
YPO1332	H16_B0462
YPO2420	H16_A1425
YPO2420	H16_B1642
YPO3992	H16_A0299
YPO0482	H16_A2452
YPO0241	H16_A3699
YPO0480	H16_A3141
YPO0481	H16_A2454
YPO1570	H16_B2531
YPO1207	H16_A3109
YPO1207	H16_B1428
YPO2539	H16_B0062
YPO3627	H16_A2242
YPO4036	H16_B1498
YPO3183	H16_A2848
YPO3062	H16_A1204
YPO3182	H16_A2855
YPO3180	H16_A3154
YPO0907	H16_A3619
YPO0905	H16_A3621
YPO0906	H16_A3620
YPO3179	H16_A3155
YPO3177	H16_A2732
YPO3176	H16_A2733
YPO3053	H16_A2069
YPO3167	H16_A1074
YPO3167	H16_B1028
YPO3166	H16_A1641
YPO3166	H16_A1073
YPO3166	H16_B1027
YPO3286	H16_B1076
YPO3286	H16_A1122
YPO3165	H16_A1642
YPO3165	H16_A1072
YPO3165	H16_B1026
YPO3164	H16_A1643
YPO3164	H16_A1071
YPO3164	H16_B1025
YPO2074	H16_A3288
YPO3162	H16_A0218
YPO4127	H16_A3643
YPO3038	PHG211
YPO4126	H16_A3642
YPO3037	PHG212
YPO4125	H16_A3641
YPO3036	PHG213
YPO2067	H16_B1213
YPO3034	H16_A1002
YPO3034	H16_A3153
YPO2066	H16_A0316
YPO2066	H16_B1501
YPO2066	H16_B2566
YPO4123	H16_A3639
YPO4002	H16_B0720
YPO4001	H16_A2951
YPO4001	H16_A1472
YPO4001	H16_A2098
YPO4122	H16_A3638
YPO4000	H16_A2952
YPO4000	H16_B0717
YPO4000	H16_A1303
YPO4000	H16_A1470
YPO4000	H16_A3295
YPO4000	H16_B1125
YPO4121	H16_A3637
YPO3032	H16_A0914
YPO4120	H16_A3636
YPO4119	H16_A0262
YPO4118	H16_A0263
YPO4117	H16_A2444
YPO4116	H16_A2443
YPO3389	H16_A0734
YPO4115	H16_A2442
YPO4114	H16_A2441
YPO2054	H16_A0455
YPO3142	H16_A0321
YPO2053	H16_A0453
YPO2174	H16_A0802
YPO1083	H16_B2481
YPO2293	H16_A1035
YPO3380	H16_A1337
YPO1199	H16_A1588
YPO1199	H16_A0940
YPO1199	H16_A0942
YPO3015	H16_A2247
YPO3377	H16_A1185
YPO3014	H16_A2239
YPO2167	H16_A3261
YPO2288	H16_B0070
YPO3376	H16_A1188
YPO3013	H16_A2238
YPO3012	H16_A2237
YPO1198	H16_A0943
YPO3132	H16_A3729
YPO3011	H16_B2378
YPO3011	H16_A0807
YPO2164	H16_B0295
YPO1075	H16_B2162
YPO1072	H16_A0812
YPO1072	H16_B1477
YPO1073	H16_A0811
YPO2160	H16_A1527
YPO3249	H16_A1465
YPO3249	H16_A3589
YPO2158	H16_A1517
