PP_0514	RSR24_00782
PP_1604	RSR24_01803
PP_1607	RSR24_01249
PP_0751	RSR24_04086
PP_0519	RSR24_02768
PP_0517	RSR24_00779
PP_1601	RSR24_01806
PP_1843	RSR24_03974
PP_1602	RSR24_01805
PP_0516	RSR24_00780
PP_2933	RSR24_02125
PP_1603	RSR24_01804
PP_0515	RSR24_00781
PP_1616	RSR24_00676
PP_1617	RSR24_00675
PP_1618	RSR24_01515
PP_0520	RSR24_02769
PP_1610	RSR24_01152
PP_1611	RSR24_01153
PP_0528	RSR24_02306
PP_1612	RSR24_01155
PP_0527	RSR24_02305
PP_1614	RSR24_01514
PP_2703	RSR24_02570
PP_2703	RSR24_04496
PP_2913	RSR24_03050
PP_0732	RSR24_02928
PP_0970	RSR24_03976
PP_0736	RSR24_01279
PP_0735	RSR24_00362
PP_0977	RSR24_02320
PP_5193	RSR24_03367
PP_5192	RSR24_03368
PP_5194	RSR24_03366
PP_0987	RSR24_03369
PP_2925	RSR24_04086
PP_0980	RSR24_02468
PP_1830	RSR24_01433
PP_0989	RSR24_03367
PP_0747	RSR24_02817
PP_0746	RSR24_02266
PP_0988	RSR24_03368
PP_0953	RSR24_00421
PP_1805	RSR24_04271
PP_1806	RSR24_00425
PP_1807	RSR24_01153
PP_1808	RSR24_01579
PP_0959	RSR24_03022
PP_0958	RSR24_03023
PP_0957	RSR24_00425
PP_0956	RSR24_00424
PP_0713	RSR24_03161
PP_5179	RSR24_01938
PP_5179	RSR24_01591
PP_5179	RSR24_01368
PP_5179	RSR24_02956
PP_5171	RSR24_01881
PP_5170	RSR24_01872
PP_0723	RSR24_00408
PP_2902	RSR24_01243
PP_0965	RSR24_03013
PP_0964	RSR24_03014
PP_0722	RSR24_00406
PP_2904	RSR24_00854
PP_2905	RSR24_01247
PP_0960	RSR24_03021
PP_1811	RSR24_03864
PP_1811	RSR24_04284
PP_0966	RSR24_03012
PP_4097	RSR24_01103
PP_5185	RSR24_02005
PP_0932	RSR24_00062
PP_0931	RSR24_00061
PP_0930	RSR24_00057
PP_5149	RSR24_00506
PP_0936	RSR24_02274
PP_4064	RSR24_00248
PP_4063	RSR24_00498
PP_4066	RSR24_00236
PP_4065	RSR24_00238
PP_4067	RSR24_00234
PP_5150	RSR24_02015
PP_0946	RSR24_02579
PP_0944	RSR24_04557
PP_5168	RSR24_01870
PP_5169	RSR24_01871
PP_4038	RSR24_02011
PP_0915	RSR24_02579
PP_0914	RSR24_00570
PP_4284	RSR24_04941
