STM0704	XOO3844
STM0705	XOO3845
STM0706	XOO3846
STM3090	XOO3791
STM4182	XOO1388
STM4063	XOO3690
STM3095	XOO1745
STM4066	XOO2811
STM1802	XOO0694
STM1803	XOO0693
STM0957	XOO2654
STM0958	XOO2547
STM1928	XOO1601
STM1929	XOO1603
STM4160	XOO3372
STM4162	XOO2514
STM4164	XOO0947
STM3076	XOO1176
STM4167	XOO1242
STM1901	XOO1656
STM0935	XOO4200
STM4175	XOO0537
STM3086	XOO0220
STM4055	XOO2828
STM4055	XOO2712
STM4055	XOO3208
STM4176	XOO0539
STM0741	XOO2661
STM0863	XOO3956
STM0984	XOO2297
STM0984	XOO1565
STM0985	XOO2296
STM1711	XOO0594
STM1712	XOO2865
STM0988	XOO2295
STM2927	XOO2956
STM1718	XOO1349
STM2929	XOO2960
STM0506	XOO3764
STM0980	XOO2179
STM0740	XOO2656
STM0861	XOO4115
STM2930	XOO2961
STM3901	XOO0945
STM1724	XOO4161
STM0998	XOO0016
STM2934	XOO3396
STM0878	XOO2777
STM1725	XOO4160
STM2935	XOO3397
STM1726	XOO3252
STM0758	XOO1847
STM0879	XOO2776
STM3904	XOO4231
STM0637	XOO3956
STM0963	XOO2116
STM1933	XOO0264
STM1818	XOO2868
STM4081	XOO3238
STM0609	XOO3646
STM0608	XOO3645
STM0730	XOO1154
STM0734	XOO2308
STM1945	XOO2291
STM0977	XOO2388
STM0735	XOO2307
STM0736	XOO2044
STM1826	XOO1821
STM0737	XOO2043
STM0738	XOO1593
STM0739	XOO1594
STM1707	XOO0247
STM0542	XOO2193
STM1511	XOO0491
STM0787	XOO2396
STM1756	XOO4342
STM3938	XOO4007
STM0428	XOO2777
STM0781	XOO1195
STM0782	XOO1194
STM1750	XOO0241
STM2840	XOO1124
STM0423	XOO3299
STM0783	XOO1193
STM1752	XOO2186
STM0422	XOO2017
STM1885	XOO2317
STM1886	XOO2314
STM3700	XOO4198
STM0797	XOO0767
STM3702	XOO3664
STM1888	XOO3413
STM0671	XOO2429
STM3947	XOO3997
STM3709	XOO3691
STM3708	XOO3684
STM0791	XOO2398
STM2971	XOO1821
STM0794	XOO0455
STM1883	XOO3519
STM0795	XOO0456
STM0640	XOO3968
STM2946	XOO3401
STM2947	XOO3400
STM1737	XOO1191
STM3915	XOO4302
STM2827	XOO2939
STM2948	XOO3398
STM2949	XOO0769
STM0648	XOO3329
STM0525	XOO4620
STM0880	XOO2775
STM0760	XOO4284
STM0761	XOO2336
STM0762	XOO2336
STM1742	XOO2981
STM2952	XOO2963
STM2831	XOO3958
STM2953	XOO2967
STM2954	XOO1790
STM3922	XOO0792
STM2956	XOO1736
STM1627	XOO3867
STM2959	XOO4620
STM0419	XOO3850
STM0417	XOO3852
STM0416	XOO3856
STM0537	XOO2678
STM0535	XOO3672
STM0534	XOO3210
