YPO1049	b0174
YPO2016	b1210
YPO1168	b0314
YPO3347	b3502
YPO3589	b4244
YPO1048	b0173
YPO2499	b4086
YPO2499	b3750
YPO2257	b4460
YPO3225	b0238
YPO3588	b4245
YPO2256	b4087
YPO2256	b4485
YPO2256	b1900
YPO2256	b3749
YPO2256	b3567
YPO2256	b2149
YPO1166	b1300
YPO1166	b3588
YPO1166	b0312
YPO1166	b1385
YPO2014	b1208
YPO1046	b0171
YPO2013	b1207
YPO2255	b1901
YPO0078	b3916
YPO2496	b1800
YPO3222	b0242
YPO3464	b4094
YPO1285	b3709
YPO1285	b3161
YPO2254	b0063
YPO3221	b0243
YPO2253	b0062
YPO1041	b0166
YPO1283	b4322
YPO2494	b1801
YPO2372	b1640
YPO2370	b1638
YPO0070	b3607
YPO0068	b3608
YPO3215	b3390
YPO3578	b3198
YPO2368	b1636
YPO3577	b3197
YPO3335	b4122
YPO3335	b1612
YPO0066	b3610
YPO3697	b4240
YPO3576	b3196
YPO3455	b4237
YPO3334	b3580
YPO3696	b4239
YPO3454	b4238
YPO1395	b0914
YPO0185	b0368
YPO3211	b0394
YPO1396	b0915
YPO1151	b0775
YPO1152	b0776
YPO1391	b0910
YPO0060	b3616
YPO1150	b0774
YPO1390	b0908
YPO3569	b3189
YPO0059	b3617
YPO3326	b3583
YPO3326	b4198
YPO3326	b0061
YPO1028	b1680
YPO1028	b2810
YPO1149	b0767
YPO1146	b0764
YPO0057	b3620
YPO3446	b4254
YPO3446	b0273
YPO3325	b0894
YPO1025	b2813
YPO1389	b0907
YPO0058	b3619
YPO3324	b1589
YPO3324	b0895
YPO1147	b0765
YPO1023	b2817
YPO1023	b2435
YPO0055	b3633
YPO3202	b0401
YPO3323	b1590
YPO3323	b0896
YPO0056	b3621
YPO1145	b0763
YPO0053	b3634
YPO1384	b2492
YPO1384	b0904
YPO2232	b0825
YPO2232	b3946
YPO3200	b0403
YPO3441	b4260
YPO1022	b2818
YPO1383	b0903
YPO1383	b3114
YPO1381	b0902
YPO3319	b3942
YPO1139	b0759
YPO0169	b3360
YPO0048	b3639
YPO2227	b1281
YPO3558	b3213
YPO1137	b0757
YPO3557	b3212
YPO1138	b0758
YPO0047	b3640
YPO3312	b3926
YPO1133	b0755
YPO3796	b3453
YPO2223	b1278
YPO0045	b3642
YPO3795	b3452
YPO2222	b1277
YPO2221	b1276
YPO3794	b3451
YPO3793	b3450
YPO3793	b4035
YPO3430	b0103
YPO1374	b0888
YPO0040	b3648
YPO0161	b3365
YPO0162	b0337
YPO0160	b3366
YPO3428	b0104
YPO1128	b0751
YPO1129	b0752
YPO0158	b3368
YPO0038	b3650
YPO3788	b3829
YPO1127	b0750
YPO0159	b3367
YPO3424	b0109
YPO2214	b1270
YPO0035	b3653
YPO0156	b3385
YPO3423	b0110
YPO3786	b3831
YPO3301	b2688
YPO0155	b3386
YPO3300	b2687
YPO0152	b3389
YPO3781	b3833
YPO2692	b0698
YPO2691	b0697
YPO2690	b0696
YPO3419	b0114
YPO3418	b0115
YPO2329	b1380
YPO2208	b1264
YPO1238	b0508
YPO3659	b3255
YPO3417	b0116
YPO1117	b0733
YPO1117	b0978
YPO2206	b1263
YPO3658	b3256
YPO1118	b0734
YPO1118	b0979
YPO2448	b1059
YPO2205	b1262
YPO1599	b1093
YPO1115	b0728
YPO3899	b3770
YPO3415	b0118
YPO3657	b3258
YPO1357	b0870
YPO1116	b0729
YPO2204	b1261
YPO2567	b2458
YPO2567	b2297
YPO1358	b0871
YPO0024	b3870
YPO0145	b3396
YPO1597	b1091
YPO1113	b0726
YPO3897	b3771
YPO2566	b2296
YPO2566	b3115
YPO2203	b1260
YPO1598	b1092
YPO1114	b0727
YPO3412	b0120
YPO2686	b0688
YPO1111	b0723
YPO3411	b0121
YPO1112	b0724
YPO0144	b3397
YPO3530	b4213
YPO1351	b0863
YPO1351	b0860
YPO3771	b0369
YPO1110	b0722
YPO1352	b0864
YPO1350	b0862
YPO1108	b0720
YPO3408	b0125
YPO3407	b0126
YPO1109	b0721
YPO3769	b3843
YPO2438	b1193
YPO2438	b2963
YPO0138	b3403
YPO1106	b2615
YPO2559	b2291
YPO3768	b3844
YPO1349	b0861
YPO3767	b3845
YPO3767	b1397
YPO3525	b4219
YPO0378	b4177
YPO3888	b3774
YPO0015	b3860
YPO3403	b0131
YPO3766	b3846
YPO3402	b0133
YPO2555	b2288
YPO3401	b0134
YPO2554	b2287
YPO1587	b1062
YPO0253	b4069
YPO3400	b0142
YPO3521	b4226
YPO2553	b2286
YPO0132	b3409
YPO3520	b4232
YPO1222	b1377
YPO1222	b0929
YPO1222	b2215
YPO0254	b4077
YPO3762	b3849
YPO3762	b1363
YPO2552	b2285
YPO0493	b0052
YPO2551	b2284
YPO0251	b4067
YPO3761	b3850
YPO3760	b3972
YPO2550	b2283
YPO0490	b0049
YPO3519	b4233
YPO0008	b3752
YPO2549	b2282
YPO0006	b3747
YPO2548	b2281
YPO2306	b1605
YPO3758	b3974
YPO3516	b3236
YPO3999	b3480
YPO3999	b1247
YPO3999	b3540
YPO0007	b3748
YPO2547	b2280
YPO0246	b3281
YPO2425	b1711
YPO2546	b2279
YPO2303	b1603
YPO1215	b2232
YPO2545	b2278
YPO3513	b3187
YPO0126	b3416
YPO2302	b1602
YPO0486	b0048
YPO1333	b0856
YPO0365	b4161
YPO2544	b2277
YPO2423	b1709
YPO2422	b2253
YPO3632	b2378
YPO3632	b1054
YPO1334	b0857
YPO0003	b3744
YPO2543	b2276
YPO2421	b2254
YPO1331	b0854
YPO1332	b0855
YPO1332	b1126
YPO1332	b1441
YPO2420	b2255
YPO0364	b4160
YPO0122	b3425
YPO3992	b3528
YPO0482	b0033
YPO0480	b0031
YPO3990	b3526
YPO0481	b0032
YPO1570	b3172
YPO0360	b4154
YPO1209	b1907
YPO1207	b1732
YPO2539	b2842
YPO2539	b4266
YPO0239	b3290
YPO2418	b2257
YPO3627	b0933
YPO3506	b3182
YPO4039	b3564
YPO4038	b3565
YPO4037	b3566
YPO4036	b4087
YPO4036	b4485
YPO4036	b1900
YPO4036	b3749
YPO4036	b3567
YPO4036	b2149
YPO4035	b3568
YPO3064	b2480
YPO3183	b0414
YPO3062	b2478
YPO3182	b0415
YPO3180	b0417
YPO0909	b2907
YPO0907	b2905
YPO0905	b2903
YPO0906	b2904
YPO3059	b2476
