BSU09290	RSGMI1000_03116
BSU35580	RSGMI1000_00933
BSU11250	RSGMI1000_02605
BSU14400	RSGMI1000_02914
BSU22700	RSGMI1000_03026
BSU38050	RSGMI1000_04748
BSU39700	RSGMI1000_01277
BSU38170	RSGMI1000_01908
BSU38170	RSGMI1000_02971
BSU15730	RSGMI1000_00074
BSU15610	RSGMI1000_02471
BSU32750	RSGMI1000_00940
BSU00910	RSGMI1000_01690
BSU33040	RSGMI1000_04741
BSU30450	RSGMI1000_04102
BSU37760	RSGMI1000_01808
BSU37760	RSGMI1000_01807
BSU18440	RSGMI1000_03021
BSU33720	RSGMI1000_02567
BSU03060	RSGMI1000_00999
BSU28120	RSGMI1000_00688
BSU29210	RSGMI1000_02027
BSU22140	RSGMI1000_04404
BSU15860	RSGMI1000_01119
BSU15860	RSGMI1000_03536
BSU15860	RSGMI1000_03356
BSU08070	RSGMI1000_01848
BSU33390	RSGMI1000_04603
BSU38040	RSGMI1000_04747
BSU38160	RSGMI1000_01909
BSU38160	RSGMI1000_02970
BSU22830	RSGMI1000_00362
BSU18570	RSGMI1000_02910
BSU39370	RSGMI1000_02693
BSU17000	RSGMI1000_04422
BSU18450	RSGMI1000_03022
BSU36660	RSGMI1000_02080
BSU02400	RSGMI1000_01808
BSU02400	RSGMI1000_01807
BSU32740	RSGMI1000_00941
BSU27600	RSGMI1000_02198
BSU34920	RSGMI1000_03009
BSU28250	RSGMI1000_02037
BSU08860	RSGMI1000_01371
BSU29220	RSGMI1000_02819
BSU29220	RSGMI1000_02168
BSU29340	RSGMI1000_03470
BSU29340	RSGMI1000_02151
BSU29340	RSGMI1000_02307
BSU29340	RSGMI1000_00493
BSU29340	RSGMI1000_04389
BSU28130	RSGMI1000_03046
BSU38990	RSGMI1000_01613
BSU38990	RSGMI1000_02301
BSU39720	RSGMI1000_01269
BSU15510	RSGMI1000_01557
BSU15190	RSGMI1000_02898
BSU19310	RSGMI1000_03192
BSU19310	RSGMI1000_02155
BSU38630	RSGMI1000_05034
BSU30230	RSGMI1000_01515
BSU18220	RSGMI1000_02925
BSU01780	RSGMI1000_00181
BSU02990	RSGMI1000_03558
BSU25310	RSGMI1000_02130
BSU33500	RSGMI1000_03408
BSU02510	RSGMI1000_04290
BSU03600	RSGMI1000_03953
BSU27610	RSGMI1000_00424
BSU35920	RSGMI1000_01031
BSU03280	RSGMI1000_02471
BSU22960	RSGMI1000_00489
BSU11710	RSGMI1000_00102
BSU08850	RSGMI1000_01372
BSU28260	RSGMI1000_02038
BSU06430	RSGMI1000_00594
BSU24340	RSGMI1000_02839
BSU23250	RSGMI1000_00735
BSU15520	RSGMI1000_01559
BSU12010	RSGMI1000_02914
BSU22730	RSGMI1000_01241
BSU39390	RSGMI1000_01808
BSU39390	RSGMI1000_01807
BSU18470	RSGMI1000_02869
