XOO0937	b0071
XOO0936	b0072
XOO4185	b2794
XOO0941	b0074
XOO0940	b0073
XOO0926	b3633
XOO0925	b2378
XOO0925	b1054
XOO3083	b0583
XOO4052	b3386
XOO0915	b4177
XOO4160	b1262
XOO4286	b0584
XOO4161	b1263
XOO4284	b1704
XOO4284	b0754
XOO4284	b2601
XOO4163	b3360
XOO4034	b0402
XOO4034	b4208
XOO4034	b0576
XOO4034	b0112
XOO4034	b1453
XOO4157	b0120
XOO4151	b0099
XOO4030	b3519
XOO4030	b1197
XOO0736	b3730
XOO2917	b4477
XOO0726	b3738
XOO1818	b3939
XOO0729	b3735
XOO0728	b3736
XOO0727	b3737
XOO2910	b3565
XOO0733	b3731
XOO1821	b1814
XOO1821	b4471
XOO1821	b2797
XOO0732	b3732
XOO0731	b3733
XOO0730	b3734
XOO0715	b0197
XOO0714	b0198
XOO0713	b0199
XOO0834	b4260
XOO1929	b0260
XOO1929	b2156
XOO4084	b2342
XOO0964	b4233
XOO0722	b0116
XOO0963	b0474
XOO0720	b0115
XOO0841	b2557
XOO1930	b0261
XOO0945	b3671
XOO0945	b0077
XOO0947	b3994
XOO4198	b3608
XOO4196	b2668
XOO0952	b4226
XOO0539	b4006
XOO1628	b0029
XOO0417	b1732
XOO0537	b4005
XOO1989	b2472
XOO1625	b0025
XOO1867	b1107
XOO1504	b2400
XOO0778	b3939
XOO2956	b2744
XOO1629	b0432
XOO2717	b0469
XOO1990	b0674
XOO1631	b0430
XOO2963	b2779
XOO3810	b3941
XOO1630	b0431
XOO2966	b1215
XOO2960	b2746
XOO2961	b2747
XOO1632	b0429
XOO2828	b1656
XOO2828	b3908
XOO2707	b4146
XOO2708	b1489
XOO0769	b2765
XOO1736	b2784
XOO1615	b0452
XOO0767	b0778
XOO2945	b4173
XOO3913	b1022
XOO3915	b0677
XOO2948	b3177
XOO1739	b0149
XOO0893	b0333
XOO2711	b2533
XOO2953	b0211
XOO0892	b0331
XOO2712	b1656
XOO2712	b3908
XOO1745	b2947
XOO1624	b1069
XOO1985	b0166
XOO1848	b1393
XOO1847	b0752
XOO0878	b1091
XOO1967	b0179
XOO1966	b0180
XOO1603	b1897
XOO1972	b0174
XOO0883	b1095
XOO0762	b0954
XOO0882	b1094
XOO0761	b2323
XOO1971	b0175
XOO0881	b1093
XOO1970	b0173
XOO0880	b1092
XOO2702	b2232
XOO2944	b2700
XOO0402	b0369
XOO1974	b0171
XOO0885	b1097
XOO2928	b2103
XOO0746	b3729
XOO2923	b2478
XOO2804	b0463
XOO2804	b3265
XOO0508	b3642
XOO2805	b2470
XOO2805	b0462
XOO2805	b3266
XOO1961	b0185
XOO2810	b2415
XOO2810	b2417
XOO2810	b3722
XOO2812	b2167
XOO1965	b0181
XOO1601	b1896
XOO0512	b1640
XOO1964	b0182
XOO0339	b2801
XOO3968	b0635
XOO3607	b1210
XOO1790	b2781
XOO3613	b0968
XOO2887	b0033
XOO1795	b2904
XOO2888	b0032
XOO3856	b0414
XOO1794	b2905
XOO0220	b2938
XOO0469	b3350
XOO0469	b0047
XOO3850	b0417
XOO1679	b0444
XOO3852	b0415
XOO2508	b3634
XOO2505	b3447
XOO2868	b1805
XOO3958	b2701
XOO0450	b2523
XOO0690	b1778
XOO0332	b3437
XOO0332	b4268
XOO0453	b4040
XOO3844	b0696
XOO1662	b3747
XOO0694	b4053
XOO0694	b1190
XOO3603	b1207
XOO3845	b0697
XOO0693	b1189
XOO3604	b1208
XOO3846	b0698
XOO0337	b1821
XOO2514	b0826
XOO2514	b3992
XOO2872	b4129
XOO1788	b4214
XOO0456	b0776
XOO0455	b0775
XOO3829	b0086
XOO1527	b0957
XOO0558	b3255
XOO1405	b1683
XOO3825	b0091
XOO3826	b0090
XOO2616	b1285
XOO3827	b0089
XOO3828	b0087
XOO3953	b0630
XOO2865	b1276
XOO3956	b2010
XOO3956	b0839
XOO3956	b0632
XOO2981	b3480
XOO2981	b1247
XOO2981	b3540
XOO2860	b1285
XOO3830	b0085
XOO2862	b0118
XOO2501	b2498
XOO3831	b0084
XOO3952	b0628
XOO3819	b1856
XOO1879	b1490
XOO2967	b2780
XOO0795	b2040
XOO3821	b0096
XOO2733	b2817
XOO2733	b2435
XOO0794	b2038
XOO0793	b2039
XOO0793	b3789
XOO0792	b2041
XOO0792	b3788
XOO3824	b0092
XOO2735	b4167
XOO0799	b2222
XOO1404	b1682
XOO0798	b2221
XOO0556	b3256
XOO1524	b3713
XOO1402	b1680
XOO1402	b2810
XOO0797	b2048
XOO0796	b2049
XOO3649	b0008
XOO3649	b2464
XOO3408	b3368
XOO3409	b2414
XOO3409	b2421
XOO2561	b1489
XOO1594	b0729
XOO1593	b0728
XOO1350	b1993
XOO3415	b2926
XOO3657	b4219
XOO1232	b0154
XOO0022	b3605
XOO1118	b2463
XOO2684	b1856
XOO4620	b0514
XOO4620	b3124
XOO1117	b3528
XOO2448	b1813
XOO2205	b2392
XOO3413	b1854
XOO1219	b1748
XOO1219	b3359
XOO2308	b0723
XOO2429	b2906
XOO2429	b0662
XOO2307	b0724
XOO3519	b1849
XOO1583	b0103
XOO1460	b0755
XOO0491	b1539
XOO2313	b3450
XOO2313	b4035
XOO3645	b0605
XOO0497	b3640
XOO3646	b0606
XOO0496	b3639
XOO2317	b1851
XOO1349	b1270
XOO3400	b2763
XOO0016	b4054
XOO0016	b0928
XOO2315	b2388
XOO3764	b0494
XOO3401	b2762
XOO2314	b1852
XOO0015	b4232
XOO2555	b1134
XOO2417	b2528
XOO2417	b1684
XOO3629	b1602
XOO3750	b0049
XOO2540	b0624
XOO2661	b0734
XOO2661	b0979
XOO0241	b1238
XOO0481	b3845
XOO0481	b1397
XOO2787	b1490
XOO2666	b0242
XOO3997	b3809
XOO2423	b0126
XOO4604	b2587
XOO3757	b4042
XOO2547	b0888
XOO3751	b0048
XOO3752	b2827
XOO0247	b1281
XOO2785	b1297
XOO3633	b1603
XOO2665	b0243
XOO2786	b1301
XOO1438	b3187
XOO0228	b3117
XOO3860	b2551
XOO1565	b0914
XOO4712	b3281
XOO0113	b3432
XOO2776	b0856
XOO2777	b0855
XOO2777	b1126
XOO2777	b1441
XOO2535	b2518
XOO3987	b3833
XOO3866	b2154
XOO3866	b0355
XOO0112	b3429
