YPO1049	STM0221
YPO2016	STM1777
YPO3589	STM4459
YPO1048	STM0220
YPO2499	STM3883
YPO3225	STM0317
YPO3588	STM4460
YPO2256	STM3882
YPO2256	STM2189
YPO1166	STM3680
YPO2014	STM1779
YPO1046	STM0218
YPO2013	STM1780
YPO0078	STM4062
YPO3222	STM0321
YPO1285	STM3279
YPO2254	STM0103
YPO3221	STM0322
YPO2253	STM0102
YPO1041	STM0213
YPO1283	STM3135
YPO2372	STM1446
YPO2370	STM1448
YPO0070	STM3699
YPO2369	STM1449
YPO0068	STM3700
YPO3215	STM3487
YPO3578	STM3316
YPO2368	STM1450
YPO3577	STM3315
YPO3335	STM1468
YPO3335	STM4300
YPO0066	STM3702
YPO3576	STM3314
YPO3455	STM4451
YPO3334	STM3674
YPO3696	STM4453
YPO3454	STM4452
YPO1395	STM0984
YPO3211	STM0393
YPO1396	STM0985
YPO1151	STM0794
YPO1152	STM0795
YPO1391	STM0980
YPO0060	STM3708
YPO1150	STM0793
YPO1390	STM0978
YPO3569	STM3307
YPO0059	STM3709
YPO3326	STM0101
YPO3326	STM4388
YPO3326	STM3677
YPO1028	STM2984
YPO1149	STM0785
YPO1146	STM0782
YPO0057	STM3711
YPO3446	STM4465
YPO3446	STM4469
YPO3325	STM0964
YPO1025	STM2988
YPO1389	STM0977
YPO0058	STM3710
YPO3324	STM4306
YPO3324	STM0965
YPO3324	STM2529
YPO3324	STM1497
YPO1147	STM0783
YPO1023	STM2450
YPO1023	STM2991
YPO0055	STM3724
YPO3202	STM0399
YPO3323	STM0966
YPO3323	STM1496
YPO3443	STM4475
YPO0056	STM3712
YPO1145	STM0781
YPO0053	STM3725
YPO1384	STM0974
YPO2232	STM4109
YPO3200	STM0401
YPO3441	STM4477
YPO1022	STM2992
YPO1383	STM0973
YPO1383	STM3241
YPO1381	STM0970
YPO3319	STM4106
YPO1139	STM0776
YPO0169	STM3469
YPO0048	STM3730
YPO1379	STM0963
YPO2227	STM1707
YPO3558	STM3331
YPO1137	STM0774
YPO3557	STM3330
YPO1138	STM0775
YPO0047	STM3731
YPO3312	STM4086
YPO1133	STM0772
YPO3796	STM3557
YPO2223	STM1710
YPO0045	STM3733
YPO3795	STM3556
YPO2222	STM1711
YPO2221	STM1712
YPO3794	STM3555
YPO3793	STM4230
YPO3793	STM3554
YPO3430	STM0140
YPO1374	STM0958
YPO0040	STM3740
YPO0161	STM3474
YPO0162	STM3334
YPO0160	STM3475
YPO3428	STM0141
YPO1128	STM0757
YPO1129	STM0758
YPO0158	STM3477
YPO3305	STM2827
YPO0038	STM3742
YPO3788	STM3965
YPO1127	STM0756
YPO0159	STM3476
YPO3424	STM0145
YPO2214	STM1718
YPO0035	STM3746
YPO0156	STM3482
YPO3423	STM0146
YPO3786	STM3968
YPO0157	STM3481
YPO3301	STM2818
YPO0155	STM3483
YPO3300	STM2817
YPO0152	STM3486
YPO3781	STM3970
YPO2692	STM0706
YPO2691	STM0705
YPO2690	STM0704
YPO3419	STM0152
YPO3418	STM0153
YPO2329	STM1647
YPO2208	STM1723
YPO1238	STM0518
YPO3659	STM3379
YPO3417	STM0154
YPO1117	STM1792
YPO1117	STM0740
YPO2206	STM1724
YPO3658	STM3380
YPO3779	STM3972
YPO1118	STM0741
YPO1118	STM1793
YPO2448	STM1160
YPO2205	STM1725
YPO1599	STM1195
YPO1115	STM0738
YPO3899	STM3903
YPO3415	STM0158
YPO3657	STM3382
YPO1357	STM0934
YPO1116	STM0739
YPO2204	STM1726
YPO2567	STM2338
YPO2567	STM2466
YPO1358	STM0935
YPO0024	STM4007
YPO1597	STM1193
YPO1113	STM0736
YPO3897	STM3904
YPO2566	STM2337
YPO2566	STM3242
YPO2566	STM2057
YPO2203	STM1727
YPO1598	STM1194
YPO1114	STM0737
YPO3412	STM0165
YPO2686	STM0698
YPO1111	STM0734
YPO3411	STM0166
YPO1112	STM0735
YPO2442	STM2864
YPO2442	STM2863
YPO3530	STM4403
YPO1351	STM0887
YPO1351	STM0890
YPO2441	STM2864
YPO2441	STM2863
YPO3771	STM0372
YPO1110	STM0733
YPO1352	STM0891
YPO2440	STM2862
YPO1350	STM0889
YPO1108	STM0730
YPO3408	STM0170
YPO3407	STM0171
YPO1109	STM0732
YPO2439	STM2861
YPO3769	STM3978
YPO2438	STM1799
YPO2438	STM3112
YPO0138	STM3500
YPO1106	STM2683
YPO2559	STM2332
YPO3768	STM3979
YPO1349	STM0888
YPO3767	STM3982
YPO3525	STM4408
YPO0378	STM4366
YPO3888	STM3909
YPO0015	STM3997
YPO3403	STM0180
YPO3766	STM3983
YPO3402	STM0181
YPO2555	STM2328
YPO3401	STM0182
YPO2554	STM2327
YPO2433	STM1333
YPO1587	STM1163
YPO0253	STM4275
YPO3400	STM0183
YPO3521	STM4414
YPO2553	STM2326
YPO0132	STM3506
YPO3520	STM4415
YPO1222	STM0999
YPO1222	STM1473
YPO1222	STM2267
YPO0254	STM4283
YPO3762	STM3986
YPO2552	STM2325
YPO0493	STM0091
YPO2551	STM2324
YPO0251	STM4273
YPO3761	STM3987
YPO3760	STM4137
YPO0490	STM0088
YPO3519	STM4416
YPO0008	STM3885
YPO2429	STM1337
YPO2549	STM2322
YPO2428	STM1338
YPO0006	STM3880
YPO2548	STM2321
YPO2306	STM1477
YPO3758	STM4139
YPO3516	STM3359
YPO3999	STM1742
YPO3999	STM3626
YPO0007	STM3881
YPO2547	STM2320
YPO0246	STM3401
YPO2425	STM1340
YPO2546	STM2319
YPO2303	STM1479
YPO1215	STM2276
YPO2545	STM2318
YPO3513	STM3305
YPO0126	STM3513
YPO2302	STM1480
YPO0486	STM0087
YPO1333	STM0879
YPO0365	STM4349
YPO2544	STM2317
YPO2423	STM1342
YPO2422	STM2297
YPO3632	STM1155
YPO3632	STM2401
YPO1334	STM0880
YPO0003	STM3877
YPO2421	STM2298
YPO1331	STM0877
YPO1332	STM1226
YPO1332	STM0878
YPO1332	STM0428
YPO2420	STM2299
YPO0364	STM4348
YPO0122	STM3525
YPO3992	STM3614
YPO0482	STM0067
YPO0241	STM3407
YPO0480	STM0064
YPO3990	STM3612
YPO0481	STM0066
YPO0360	STM4343
YPO1209	STM1937
YPO1207	STM1318
YPO2539	STM4483
YPO0239	STM3409
YPO2418	STM2301
YPO3506	STM3300
YPO4039	STM3660
YPO4038	STM3661
YPO4036	STM3882
YPO4036	STM2189
YPO3183	STM0416
YPO3062	STM2489
YPO3182	STM0417
YPO3180	STM0419
YPO0909	STM3057
YPO0907	STM3055
YPO0905	STM3053
YPO0906	STM3054
YPO3059	STM2487
YPO3179	STM0420
YPO3177	STM0422
YPO3176	STM0423
YPO3053	STM2483
YPO3173	STM0425
YPO3171	STM0434
YPO3168	STM0439
YPO3167	STM0440
YPO3166	STM0441
YPO3286	STM1347
YPO3286	STM2670
YPO3286	STM0760
YPO3165	STM0442
YPO3164	STM0443
YPO3285	STM2669
YPO2074	STM1818
YPO3162	STM0444
YPO2193	STM1737
YPO4128	STM3872
YPO4127	STM3871
YPO3038	STM2259
YPO4126	STM3870
YPO3037	STM2256
YPO4125	STM3869
YPO3036	STM2255
YPO2067	STM1884
YPO4124	STM3868
YPO4003	STM3630
YPO2188	STM1739
YPO3034	STM2472
YPO2066	STM1886
YPO4123	STM3867
YPO4002	STM3629
YPO4001	STM0851
YPO4001	STM3628
YPO4122	STM3866
YPO4000	STM1743
YPO4000	STM3627
YPO4121	STM3865
YPO3032	STM2451
YPO4120	STM3864
YPO3273	STM2652
YPO2063	STM1889
YPO3393	STM0190
YPO3392	STM0590
YPO3392	STM0192
YPO2061	STM1891
YPO3270	STM2649
YPO3391	STM0193
YPO2180	STM1749
YPO3390	STM0194
YPO4119	STM3862
YPO4118	STM3861
YPO4117	STM3857
YPO4116	STM3856
YPO2059	STM1893
YPO3389	STM0202
YPO4115	STM3855
YPO4114	STM3854
YPO3388	STM0203
YPO2176	STM1750
YPO3023	STM3337
YPO2054	STM1900
YPO3385	STM0206
