KPN_04005	RSR24_02166
KPN_03036	RSR24_00927
KPN_04249	RSR24_02413
KPN_04008	RSR24_01881
KPN_01090	RSR24_01082
KPN_01091	RSR24_01540
KPN_01091	RSR24_01083
KPN_02180	RSR24_01444
KPN_01092	RSR24_01084
KPN_01093	RSR24_01085
KPN_02061	RSR24_02753
KPN_01096	RSR24_01632
KPN_02055	RSR24_01503
KPN_02176	RSR24_01448
KPN_04478	RSR24_01283
KPN_01089	RSR24_01081
KPN_03268	RSR24_01503
KPN_03389	RSR24_02244
KPN_03388	RSR24_02243
KPN_04239	RSR24_00098
KPN_03029	RSR24_00859
KPN_03380	RSR24_00354
KPN_03140	RSR24_03369
KPN_04350	RSR24_02600
KPN_02295	RSR24_04724
KPN_02054	RSR24_02338
KPN_02054	RSR24_01438
KPN_02175	RSR24_01449
KPN_01197	RSR24_02749
KPN_03375	RSR24_00133
KPN_01198	RSR24_01601
KPN_02169	RSR24_02455
KPN_03016	RSR24_03762
KPN_02160	RSR24_01799
KPN_03130	RSR24_01113
KPN_02162	RSR24_00807
KPN_02162	RSR24_02657
KPN_03132	RSR24_04096
KPN_01074	RSR24_00545
KPN_01195	RSR24_01373
KPN_03131	RSR24_01113
KPN_04329	RSR24_00514
KPN_03123	RSR24_01155
KPN_00096	RSR24_02868
KPN_03244	RSR24_01850
KPN_00095	RSR24_02869
KPN_00094	RSR24_02870
KPN_03124	RSR24_01152
KPN_04576	RSR24_02022
KPN_04337	RSR24_00772
KPN_00091	RSR24_02873
KPN_03126	RSR24_01442
KPN_04339	RSR24_02337
KPN_00090	RSR24_02874
KPN_04217	RSR24_02579
KPN_02392	RSR24_04031
KPN_02393	RSR24_04411
KPN_04331	RSR24_00518
KPN_04289	RSR24_00741
KPN_04288	RSR24_00739
KPN_03194	RSR24_03934
KPN_04282	RSR24_02060
KPN_03193	RSR24_03933
KPN_04287	RSR24_04283
KPN_04286	RSR24_03864
KPN_04286	RSR24_04284
KPN_04157	RSR24_01045
KPN_04399	RSR24_00278
KPN_03183	RSR24_02447
KPN_04271	RSR24_00506
KPN_04395	RSR24_01856
KPN_04152	RSR24_04356
KPN_04152	RSR24_01491
KPN_03184	RSR24_02446
KPN_04397	RSR24_00247
KPN_04154	RSR24_02757
KPN_04154	RSR24_04889
KPN_04396	RSR24_01860
KPN_04267	RSR24_02178
KPN_04388	RSR24_00564
KPN_04387	RSR24_02269
KPN_03056	RSR24_02973
KPN_04269	RSR24_00635
KPN_04142	RSR24_03398
KPN_04141	RSR24_03397
KPN_04143	RSR24_03399
KPN_04135	RSR24_00175
KPN_04256	RSR24_01279
KPN_03045	RSR24_00724
KPN_04134	RSR24_00176
KPN_04376	RSR24_00114
KPN_04137	RSR24_03393
KPN_04379	RSR24_03377
KPN_04136	RSR24_03392
KPN_04136	RSR24_04080
KPN_04139	RSR24_03395
KPN_04138	RSR24_03394
KPN_02193	RSR24_02892
KPN_02194	RSR24_02893
KPN_04131	RSR24_01348
KPN_04130	RSR24_01349
KPN_04372	RSR24_00111
KPN_04133	RSR24_01346
KPN_04375	RSR24_00110
KPN_04374	RSR24_00362
KPN_04011	RSR24_03123
KPN_04132	RSR24_01347
KPN_00039	RSR24_02745
KPN_03673	RSR24_00012
KPN_00041	RSR24_01338
KPN_01132	RSR24_01938
KPN_01132	RSR24_01591
KPN_01132	RSR24_01368
KPN_01132	RSR24_02956
KPN_03672	RSR24_00013
KPN_00040	RSR24_01336
KPN_00281	RSR24_02824
KPN_01254	RSR24_02083
KPN_01255	RSR24_02914
KPN_01255	RSR24_03989
KPN_00280	RSR24_02741
KPN_03795	RSR24_03685
KPN_02587	RSR24_02757
KPN_02587	RSR24_04889
KPN_01256	RSR24_03990
KPN_01256	RSR24_02913
KPN_01015	RSR24_04875
KPN_01015	RSR24_04310
KPN_02468	RSR24_00335
KPN_03799	RSR24_02087
KPN_00049	RSR24_00577
KPN_00169	RSR24_00723
KPN_00046	RSR24_00738
KPN_00045	RSR24_00960
KPN_00166	RSR24_04712
KPN_00044	RSR24_03161
KPN_03792	RSR24_03116
KPN_01492	RSR24_00537
KPN_01493	RSR24_02492
KPN_02206	RSR24_00450
KPN_02206	RSR24_01307
KPN_04627	RSR24_02781
KPN_04626	RSR24_02221
KPN_03537	RSR24_03356
KPN_02328	RSR24_02633
KPN_02330	RSR24_03369
KPN_00393	RSR24_02944
KPN_00392	RSR24_02943
KPN_03540	RSR24_04098
KPN_02573	RSR24_01478
KPN_03785	RSR24_04467
KPN_03664	RSR24_02785
KPN_00391	RSR24_02942
KPN_02696	RSR24_02342
KPN_02696	RSR24_00475
KPN_02696	RSR24_00541
KPN_02696	RSR24_03890
KPN_02696	RSR24_02207
KPN_02696	RSR24_04052
KPN_02696	RSR24_03481
KPN_02696	RSR24_01955
KPN_01365	RSR24_01042
KPN_01365	RSR24_00442
KPN_03665	RSR24_02786
KPN_02214	RSR24_04701
KPN_01126	RSR24_02016
KPN_01127	RSR24_02750
KPN_02458	RSR24_02882
KPN_00395	RSR24_00151
KPN_00394	RSR24_02945
KPN_00139	RSR24_02731
KPN_01106	RSR24_02313
KPN_01469	RSR24_03920
KPN_04615	RSR24_00831
KPN_04736	RSR24_04176
KPN_03409	RSR24_03720
KPN_00140	RSR24_02444
KPN_01472	RSR24_03923
KPN_01473	RSR24_03924
KPN_03895	RSR24_02892
KPN_01474	RSR24_01554
KPN_01474	RSR24_02901
KPN_04621	RSR24_02400
KPN_02322	RSR24_00597
KPN_02322	RSR24_02883
KPN_02564	RSR24_02566
KPN_01475	RSR24_02902
KPN_04623	RSR24_02757
KPN_04623	RSR24_04889
KPN_02202	RSR24_02321
KPN_02202	RSR24_03519
KPN_03897	RSR24_01838
KPN_01476	RSR24_00216
KPN_03896	RSR24_02893
KPN_02566	RSR24_02566
KPN_02445	RSR24_03657
KPN_01236	RSR24_02687
KPN_01236	RSR24_04857
KPN_01478	RSR24_02337
KPN_01479	RSR24_02904
KPN_00024	RSR24_02499
KPN_01590	RSR24_00796
KPN_00142	RSR24_02628
KPN_00021	RSR24_02515
KPN_01470	RSR24_03921
KPN_00020	RSR24_02514
KPN_00141	RSR24_02630
KPN_02560	RSR24_02438
KPN_01471	RSR24_03922
KPN_00008	RSR24_02016
KPN_00369	RSR24_02768
KPN_02305	RSR24_00976
KPN_02305	RSR24_04219
KPN_02668	RSR24_02152
KPN_03757	RSR24_02908
KPN_03878	RSR24_00338
KPN_02306	RSR24_01774
KPN_04607	RSR24_03439
KPN_02308	RSR24_01849
KPN_02309	RSR24_00935
KPN_02550	RSR24_00104
KPN_02671	RSR24_02155
KPN_03761	RSR24_03031
KPN_03760	RSR24_03030
KPN_02672	RSR24_02156
KPN_00370	RSR24_02769
KPN_01221	RSR24_02492
KPN_03521	RSR24_04102
KPN_01464	RSR24_02891
KPN_01464	RSR24_01512
KPN_02674	RSR24_02158
KPN_02797	RSR24_00691
KPN_02797	RSR24_00690
KPN_02797	RSR24_02218
KPN_02797	RSR24_02767
KPN_02798	RSR24_02016
KPN_03767	RSR24_03037
KPN_02677	RSR24_02162
KPN_01104	RSR24_01099
KPN_02799	RSR24_02750
KPN_00256	RSR24_00031
KPN_00256	RSR24_04874
KPN_00256	RSR24_00771
KPN_00256	RSR24_04309
KPN_00256	RSR24_03898
KPN_00255	RSR24_00032
KPN_00134	RSR24_00246
KPN_00373	RSR24_02306
KPN_00372	RSR24_02305
KPN_03109	RSR24_01514
KPN_03108	RSR24_01515
KPN_03112	RSR24_03626
KPN_03114	RSR24_02475
KPN_01056	RSR24_00231
KPN_00083	RSR24_02177
KPN_00082	RSR24_02178
KPN_03355	RSR24_00639
KPN_03113	RSR24_02474
KPN_03597	RSR24_02828
KPN_03357	RSR24_02750
KPN_03599	RSR24_03014
KPN_00080	RSR24_02173
KPN_03236	RSR24_00961
KPN_04325	RSR24_03985
KPN_02380	RSR24_00523
KPN_00089	RSR24_02875
KPN_00088	RSR24_02876
KPN_04441	RSR24_01042
KPN_04441	RSR24_00442
KPN_03352	RSR24_00396
KPN_04320	RSR24_00344
KPN_04440	RSR24_01849
KPN_04308	RSR24_00136
KPN_03339	RSR24_03368
KPN_04428	RSR24_02684
KPN_02495	RSR24_00740
KPN_00195	RSR24_01803
KPN_03222	RSR24_04600
KPN_02496	RSR24_00741
KPN_00194	RSR24_01804
KPN_01165	RSR24_01911
KPN_02497	RSR24_00739
KPN_00193	RSR24_01805
KPN_03587	RSR24_01344
KPN_04313	RSR24_02773
KPN_03466	RSR24_02134
KPN_03586	RSR24_01345
KPN_00192	RSR24_01806
KPN_03465	RSR24_02136
KPN_03226	RSR24_02005
KPN_03225	RSR24_02590
KPN_02379	RSR24_00525
KPN_03467	RSR24_02133
KPN_03349	RSR24_02015
KPN_03106	RSR24_02044
KPN_02490	RSR24_00741
KPN_00079	RSR24_02089
KPN_02491	RSR24_00739
KPN_04670	RSR24_04359
KPN_00078	RSR24_02091
KPN_00077	RSR24_02090
KPN_00198	RSR24_01249
KPN_03580	RSR24_02603
KPN_04430	RSR24_02186
KPN_03341	RSR24_03366
KPN_01041	RSR24_02962
KPN_01041	RSR24_03375
KPN_02494	RSR24_00742
KPN_03340	RSR24_03367
KPN_01284	RSR24_01253
KPN_03461	RSR24_00758
KPN_00184	RSR24_01814
KPN_04663	RSR24_02320
KPN_04783	RSR24_01461
KPN_04783	RSR24_04876
KPN_04665	RSR24_02468
KPN_02365	RSR24_04468
KPN_02366	RSR24_04815
KPN_03454	RSR24_04469
KPN_04785	RSR24_02472
KPN_02367	RSR24_04814
KPN_02488	RSR24_00742
KPN_04304	RSR24_02408
KPN_04424	RSR24_01988
KPN_02489	RSR24_00740
