STM0701	YPO0960
STM0704	YPO2690
STM0705	YPO2691
STM0706	YPO2692
STM4063	YPO3015
STM4062	YPO0078
STM4064	YPO3986
STM1802	YPO0321
STM1803	YPO2147
STM0958	YPO1374
STM1806	YPO2142
STM1807	YPO2141
STM4283	YPO0254
STM3195	YPO0658
STM4045	YPO0328
STM4047	YPO0330
STM4046	YPO0329
STM0934	YPO1357
STM0935	YPO1358
STM4050	YPO0334
STM4294	YPO1200
STM4055	YPO4061
STM0741	YPO1118
STM1830	YPO1758
STM0984	YPO1395
STM1831	YPO1757
STM0985	YPO1396
STM1832	YPO1756
STM0988	YPO1400
STM2927	YPO3358
STM2929	YPO3360
STM0506	YPO3080
STM0980	YPO1391
STM0740	YPO1117
STM2930	YPO3361
STM2933	YPO3364
STM0998	YPO1410
STM0998	YPO0322
STM2934	YPO3365
STM0756	YPO1127
STM2935	YPO3366
STM0999	YPO1222
STM0757	YPO1128
STM0758	YPO1129
STM0518	YPO1238
STM0963	YPO1379
STM0964	YPO3325
STM0965	YPO3324
STM0966	YPO3323
STM1818	YPO2074
STM4090	YPO0104
STM4081	YPO0085
STM4084	YPO0088
STM4087	YPO0091
STM4086	YPO3312
STM0730	YPO1108
STM0973	YPO1383
STM0974	YPO1384
STM0732	YPO1109
STM0733	YPO1110
STM0734	YPO1111
STM0977	YPO1389
STM0735	YPO1112
STM1824	YPO1773
STM0736	YPO1113
STM0978	YPO1390
STM1826	YPO1771
STM0737	YPO1114
STM0738	YPO1115
STM0739	YPO1116
STM0970	YPO1381
STM0542	YPO2824
STM0785	YPO1149
STM0309	YPO3244
STM0781	YPO1145
STM0782	YPO1146
STM0783	YPO1147
STM1885	YPO2533
STM1886	YPO2066
STM0310	YPO3243
STM1647	YPO2329
STM1889	YPO2063
STM0317	YPO3225
STM0316	YPO3230
STM2970	YPO1321
STM2971	YPO1771
STM0793	YPO1150
STM0794	YPO1151
STM1883	YPO1775
STM0795	YPO1152
STM1884	YPO2067
STM2947	YPO3371
STM2948	YPO3372
STM0525	YPO3980
STM0760	YPO3286
STM2952	YPO3376
STM0774	YPO1137
STM2953	YPO3377
STM0775	YPO1138
STM0776	YPO1139
STM2954	YPO3378
STM2956	YPO3380
STM1627	YPO1502
STM2959	YPO3980
STM0537	YPO3073
STM0535	YPO3075
STM0534	YPO3076
STM0772	YPO1133
STM0533	YPO3077
STM3855	YPO4115
STM2523	YPO2879
STM0102	YPO2253
STM3854	YPO4114
STM1435	YPO2381
STM0101	YPO3326
STM3612	YPO3990
STM3857	YPO4117
STM3614	YPO3992
STM2526	YPO2883
STM3856	YPO4116
STM3859	YPO1610
STM2529	YPO3324
STM0108	YPO0522
STM0107	YPO0521
STM0106	YPO0520
STM0106	YPO2960
STM1431	YPO4061
STM1433	YPO2383
STM2522	YPO2878
STM0103	YPO2254
STM3866	YPO4122
STM0113	YPO0533
STM1203	YPO1608
STM1203	YPO2628
STM0112	YPO0532
STM3865	YPO4121
STM1446	YPO2372
STM0596	YPO1916
STM3626	YPO3999
STM0111	YPO0531
STM3868	YPO4124
STM2536	YPO2889
STM0110	YPO0530
STM3867	YPO4123
STM1448	YPO2370
STM3628	YPO4001
STM1449	YPO2369
STM3627	YPO4000
STM3869	YPO4125
STM1209	YPO1615
STM0590	YPO3392
STM3629	YPO4002
STM1440	YPO3375
STM3862	YPO4119
STM3861	YPO4118
STM1200	YPO1605
STM3864	YPO4120
STM2533	YPO1194
STM0322	YPO3221
STM2501	YPO2836
STM0321	YPO3222
STM2502	YPO2837
STM2988	YPO1025
STM1891	YPO2061
STM0568	YPO3854
STM1893	YPO2059
STM2500	YPO2829
STM2984	YPO1028
STM1426	YPO2391
STM1427	YPO2390
STM2991	YPO1023
STM2992	YPO1022
STM2510	YPO2870
STM2511	YPO2871
STM2204	YPO1300
STM3536	YPO3940
STM3535	YPO3939
STM2205	YPO1299
STM3538	YPO3942
STM2206	YPO1298
STM3537	YPO3941
STM3539	YPO3949
STM2440	YPO3011
STM2441	YPO3012
STM2683	YPO1106
STM2442	YPO3013
STM2443	YPO3014
STM2444	YPO3015
STM3534	YPO3938
STM3305	YPO3513
STM3307	YPO3569
STM2450	YPO1023
STM2451	YPO3032
STM3542	YPO3953
STM0039	YPO0470
STM3300	YPO3506
STM1124	YPO1851
STM0003	YPO0460
STM0002	YPO0459
STM3513	YPO0126
STM3997	YPO0015
STM1337	YPO2429
STM1338	YPO2428
STM0242	YPO1068
STM2669	YPO3285
STM0483	YPO3123
STM0007	YPO0463
STM0248	YPO1074
STM3512	YPO3954
STM0247	YPO1073
STM1333	YPO2433
STM0489	YPO3117
STM2422	YPO1171
STM0246	YPO1072
STM0488	YPO3118
STM0004	YPO0461
STM3525	YPO0122
STM1347	YPO3286
STM0255	YPO1075
STM1105	YPO1766
STM1349	YPO2409
STM3526	YPO3937
STM0491	YPO3095
STM2670	YPO3286
STM1340	YPO2425
STM2430	YPO3011
STM2431	YPO2995
STM2431	YPO2993
STM1584	YPO3854
STM3763	YPO1661
STM1342	YPO2423
STM2433	YPO2995
STM2433	YPO2993
STM3338	YPO3016
STM3337	YPO3023
STM0067	YPO0482
STM0066	YPO0481
STM2009	YPO2288
STM0064	YPO0480
STM3330	YPO3557
STM2483	YPO3053
STM3331	YPO3558
STM3334	YPO0162
STM1155	YPO3632
STM3576	YPO3820
STM2487	YPO3059
STM3336	YPO3020
STM2489	YPO3062
STM2259	YPO3038
STM1160	YPO2448
STM2492	YPO3980
STM1163	YPO1587
STM2252	YPO2736
STM2253	YPO2735
STM2254	YPO2734
STM3103	YPO0945
STM2255	YPO3036
STM2498	YPO2827
STM2256	YPO3037
STM3589	YPO3967
STM3316	YPO3578
STM3315	YPO3577
STM0046	YPO0475
STM3557	YPO3796
STM0045	YPO0474
STM4408	YPO3525
STM3554	YPO3712
STM3554	YPO3793
STM3796	YPO2293
STM3795	YPO2294
STM0049	YPO0477
STM3556	YPO3795
STM4403	YPO3530
STM2466	YPO2567
STM3314	YPO3576
STM1377	YPO2394
STM3555	YPO3794
STM1378	YPO2393
STM4416	YPO3519
STM4415	YPO3520
STM3561	YPO3805
STM2472	YPO3034
STM3560	YPO3804
STM2473	YPO0463
STM3563	YPO3807
STM2474	YPO0926
STM3562	YPO3806
STM3564	YPO3808
STM4414	YPO3521
STM3567	YPO3808
STM4229	YPO3714
STM4228	YPO3715
STM1193	YPO1597
STM2282	YPO3827
STM1194	YPO1598
STM4460	YPO3588
STM4221	YPO3718
STM1195	YPO1599
STM1196	YPO1600
STM4220	YPO3719
STM2285	YPO3825
STM3134	YPO0577
STM1197	YPO1601
STM4465	YPO3446
STM2286	YPO3824
STM1198	YPO1603
STM3135	YPO1283
STM4469	YPO3446
STM4227	YPO3716
STM3379	YPO3659
STM3137	YPO0579
STM3380	YPO3658
STM4230	YPO3712
STM4230	YPO3793
STM3382	YPO3657
STM4231	YPO3711
STM4234	YPO0311
STM2297	YPO2422
STM4475	YPO3443
STM2298	YPO2421
