H16_B0626	RSK60_02802
H16_B0627	RSK60_02801
H16_B1956	RSK60_03251
H16_B0622	RSK60_04925
H16_B1951	RSK60_00070
H16_B0618	RSK60_00409
H16_B0618	RSK60_04391
H16_B1977	RSK60_02111
H16_B0646	RSK60_04568
H16_B1978	RSK60_04203
H16_B1971	RSK60_01789
H16_B1965	RSK60_02266
H16_B1960	RSK60_02104
H16_B1910	RSK60_04180
H16_B1910	RSK60_00160
H16_B1907	RSK60_03157
H16_B1904	RSK60_00668
H16_A2192	RSK60_04411
H16_A2192	RSK60_03283
H16_B1939	RSK60_02104
H16_B1935	RSK60_04660
H16_B1930	RSK60_04884
H16_B1928	RSK60_03263
H16_B1928	RSK60_04888
H16_B1929	RSK60_04886
H16_B1926	RSK60_04889
H16_B1927	RSK60_03263
H16_B1927	RSK60_04888
H16_B1924	RSK60_02243
H16_B1924	RSK60_04885
H16_B1924	RSK60_02955
H16_B1925	RSK60_03272
H16_A3499	RSK60_02205
H16_A3490	RSK60_02221
H16_A3492	RSK60_04306
H16_A3492	RSK60_02219
H16_A3491	RSK60_02220
H16_A3491	RSK60_02199
H16_A3494	RSK60_02217
H16_A3493	RSK60_02218
H16_A2165	RSK60_04690
H16_A3496	RSK60_02208
H16_A2164	RSK60_04689
H16_A3495	RSK60_02216
H16_A2167	RSK60_04004
H16_A3498	RSK60_02206
H16_A3497	RSK60_02207
H16_A3481	RSK60_02225
H16_A3480	RSK60_02226
H16_A3483	RSK60_02223
H16_A3482	RSK60_02224
H16_A2154	RSK60_02944
H16_A3484	RSK60_02222
H16_A2181	RSK60_01621
H16_A2180	RSK60_04644
H16_A2183	RSK60_01623
H16_A2182	RSK60_01622
H16_A2187	RSK60_05100
H16_A2179	RSK60_04643
H16_A2172	RSK60_03457
H16_A2171	RSK60_02685
H16_A2174	RSK60_04136
H16_A2173	RSK60_01828
H16_A2178	RSK60_04642
H16_A2177	RSK60_04642
H16_A2125	RSK60_00782
H16_A2125	RSK60_01790
H16_A3456	RSK60_02250
H16_A3455	RSK60_02251
H16_A3458	RSK60_02248
H16_A3457	RSK60_02249
H16_A3459	RSK60_02247
H16_B1076	RSK60_00943
H16_B1076	RSK60_02600
H16_B1071	RSK60_04764
H16_A3450	RSK60_02255
H16_A3452	RSK60_02253
H16_A2121	RSK60_00302
H16_A3451	RSK60_02254
H16_A3453	RSK60_02252
H16_A2122	RSK60_04740
H16_A2114	RSK60_00297
H16_A3445	RSK60_02260
H16_A2113	RSK60_00296
H16_A3444	RSK60_02261
H16_A2116	RSK60_00298
H16_A3447	RSK60_02258
H16_A3446	RSK60_02259
H16_A2118	RSK60_00300
H16_A3449	RSK60_02256
H16_A2117	RSK60_00299
H16_A3448	RSK60_02257
H16_A2119	RSK60_00301
H16_B2399	RSK60_01907
H16_B1061	RSK60_04301
H16_B1062	RSK60_04302
H16_B1060	RSK60_04300
RALH10402	RSK60_00942
H16_A3441	RSK60_02266
H16_A2110	RSK60_00294
H16_A3440	RSK60_02267
H16_A2112	RSK60_00295
H16_A3443	RSK60_02262
H16_A3442	RSK60_02264
H16_A3478	RSK60_02228
H16_A3477	RSK60_02229
H16_A3479	RSK60_02227
H16_B1096	RSK60_00364
H16_B1094	RSK60_02644
H16_B1093	RSK60_02641
H16_B1093	RSK60_02645
H16_A3470	RSK60_02236
H16_B1090	RSK60_01515
H16_A3472	RSK60_02234
H16_A3471	RSK60_02235
H16_A3474	RSK60_02232
H16_A3473	RSK60_02233
H16_A3476	RSK60_02230
