STM0704	H16_B0896
STM0705	H16_B0897
STM0706	H16_B0898
STM0828	H16_A0045
STM0828	H16_A0475
STM0828	H16_A2756
STM0828	H16_A3308
STM0828	H16_B1810
STM0829	H16_A0046
STM0829	H16_A3309
STM3090	H16_A0230
STM4063	H16_A2247
STM3095	H16_A0323
STM4184	H16_A2227
STM4183	H16_A2217
STM0832	H16_B0783
STM1800	H16_A1922
STM1802	H16_A2113
STM1803	H16_A1505
STM1803	H16_A0817
STM0958	H16_A0753
STM1928	H16_A0430
STM1929	H16_A0428
STM4160	H16_A0238
STM3070	PHG418
STM3070	H16_B1386
STM4162	H16_A0330
STM4164	H16_A0235
STM3195	H16_B1223
STM4163	H16_A0239
STM3076	H16_A3147
STM3076	PHG420
STM3076	H16_B1388
STM4167	H16_A3633
STM1900	H16_A0455
STM1901	H16_A0453
STM4175	H16_A0915
STM4055	H16_A0610
STM4176	H16_A0501
STM0863	H16_A0302
STM0984	H16_A2666
STM0984	H16_A0904
STM0985	H16_A0606
STM1711	H16_B1576
STM1712	H16_A2638
STM1954	H16_A0772
STM0988	H16_A0604
STM2927	H16_A2376
STM1718	H16_A2969
STM2929	H16_A1457
STM0506	H16_A1500
STM0980	H16_A0797
STM2930	H16_A1456
STM3901	H16_A1035
STM1724	H16_A3321
STM0998	H16_B1081
STM0998	H16_A1151
STM0998	H16_A1494
STM2934	H16_A2995
STM2934	H16_B0626
STM0756	H16_A3038
STM3903	H16_A0561
STM0878	H16_B1829
STM0878	H16_B0109
STM0878	H16_B1951
STM0878	H16_B0462
STM1725	H16_A3322
STM2935	H16_A2996
STM2935	H16_B0627
STM1726	H16_A2614
STM3905	H16_A0427
STM3904	H16_B0280
STM0519	H16_A3600
STM0519	H16_B0941
STM0518	H16_A3599
STM0518	H16_A1558
STM0517	H16_A3598
STM0637	H16_A0302
STM0515	H16_B2455
STM0963	H16_A0764
STM0847	H16_A2102
STM0848	H16_B2463
STM0848	H16_A2406
STM0848	H16_A2085
STM0848	H16_A2101
STM0849	H16_A2100
STM1818	H16_A3288
STM4081	H16_A1047
STM4086	H16_A2507
STM0851	H16_A2951
STM0851	H16_A1472
STM0851	H16_A2098
STM0730	H16_A2627
STM1700	H16_A2410
STM1700	PHG261
STM0734	H16_A2630
STM1945	H16_A2546
STM0977	H16_A0791
STM0735	H16_A2629
STM1824	H16_A3087
STM0736	H16_A2325
STM0978	H16_A0795
STM1826	H16_A3622
STM0737	H16_A2324
STM0738	H16_A0547
STM2916	H16_A1560
STM0739	H16_A0548
STM0850	H16_A2099
STM0542	H16_A1370
STM0663	H16_A0474
STM0662	H16_A0045
STM0662	H16_A0475
STM0662	H16_A2756
STM0662	H16_A3308
STM0662	H16_B1810
STM0420	H16_A3155
STM0787	H16_A3015
STM1756	H16_A2505
STM1756	H16_B1956
STM0788	H16_A0044
STM2847	H16_A2201
STM3938	H16_A2920
STM1517	H16_A3574
STM0428	H16_B1829
STM0428	H16_B0109
STM0428	H16_B1951
STM0428	H16_B0462
STM2960	H16_B0127
STM0782	H16_A0676
STM0665	H16_A0771
STM0665	H16_A0472
STM2840	PHG009
STM2840	RALH13962
STM2840	H16_A0735
STM2840	H16_B2070
STM0423	H16_A2733
STM2961	H16_B0127
STM1752	H16_A2752
STM0422	H16_A2732
STM0664	H16_A0473
STM1885	H16_A1178
STM1885	H16_B2567
STM1764	H16_B2265
STM1764	PHG270
STM1886	H16_A0316
STM1886	H16_B1501
STM1886	H16_B2566
STM3700	H16_A0336
STM0797	H16_A0182
STM1765	H16_B2264
STM1765	PHG269
STM0310	H16_A3578
STM0431	H16_B1953
STM3702	H16_A0334
STM1888	H16_A0567
STM3947	H16_A0227
STM1647	H16_A1681
STM1647	H16_A1682
STM3709	H16_B0819
STM0791	H16_A3018
STM2971	H16_A3622
STM1761	PHG273
STM1761	H16_B2268
STM0794	H16_A0183
STM1883	H16_A1892
STM0795	H16_A0181
STM1763	PHG271
STM1763	H16_B2266
STM1884	H16_B1213
STM2973	H16_A0861
STM0640	H16_A0116
STM3915	H16_A2394
STM2827	H16_A2769
STM0648	H16_A3139
STM0525	H16_B0612
STM0760	H16_B1076
STM0760	H16_A1122
STM0402	H16_A1460
STM0761	RALH11842
STM0761	H16_A2528
STM0762	RALH11842
STM0762	H16_A2528
STM1742	H16_B0716
STM1742	H16_A1304
STM1742	H16_A2953
STM1742	H16_A3294
STM1742	H16_A1471
STM1742	H16_B1124
STM2952	H16_A1188
STM2831	H16_A0808
STM1743	H16_A2952
STM1743	H16_B0717
STM1743	H16_A1303
STM1743	H16_A1470
STM1743	H16_A3295
STM1743	H16_B1125
STM2953	H16_A1185
STM0776	RALH11977
STM0776	H16_B0226
STM3922	H16_A1851
STM3922	H16_A2909
STM2956	H16_A1337
STM3925	H16_B0039
STM1627	H16_B1195
STM1627	H16_B2470
STM1627	H16_B1745
STM2959	H16_B0612
STM0419	H16_A3154
STM0417	H16_A2855
STM0416	H16_A2848
STM0537	H16_A1221
STM0535	H16_A1217
STM0534	H16_A0570
STM0772	H16_A0332
STM3855	H16_A2442
STM3854	H16_A2441
STM3733	H16_A0224
STM2403	H16_B2564
STM1435	H16_A0517
STM0222	H16_A2088
STM0221	H16_A2051
STM0463	H16_A0321
STM3857	H16_A2444
STM3978	H16_A2859
STM3614	H16_A0299
STM2526	H16_A2368
STM0220	H16_A2049
STM3856	H16_A2443
STM1318	H16_A3109
STM1318	H16_B1428
STM3970	H16_A0445
STM0229	H16_A2042
STM0228	H16_A2043
STM0227	H16_A2044
STM3730	H16_A3048
STM3972	H16_A0448
STM0106	H16_A0675
STM1431	H16_A0610
STM0226	H16_A2045
STM2641	H16_A3036
STM3731	H16_A3049
STM1433	H16_A3343
STM1796	H16_B2096
STM2522	H16_A2363
STM3866	H16_A3638
STM0113	H16_A1041
STM1203	H16_A0312
STM0112	H16_A2619
STM3865	H16_A3637
STM1446	H16_A0488
STM0596	H16_B1693
STM3626	H16_B0716
STM3626	H16_A1304
STM3626	H16_A2953
STM3626	H16_A3294
STM3626	H16_A1471
STM3626	H16_B1124
STM0353	H16_A3668
STM0353	H16_A1976
STM0353	H16_A2173
STM0111	H16_A1236
STM0111	H16_A2621
STM0232	H16_A1223
STM2415	H16_A2403
STM1568	H16_B1454
STM0110	H16_A2620
STM0110	H16_A1237
STM3867	H16_A3639
STM1448	H16_A2802
STM1569	H16_B1453
STM3746	H16_B2142
STM3628	H16_A2951
STM3628	H16_A1472
STM3628	H16_A2098
STM0472	H16_B0032
STM3627	H16_A2952
STM3627	H16_B0717
STM3627	H16_A1303
STM3627	H16_A1470
STM3627	H16_A3295
STM3627	H16_B1125
STM3869	H16_A3641
STM1209	H16_A2550
STM3629	H16_B0720
STM3624A	H16_A2606
STM3862	H16_A0262
STM3982	H16_B0200
STM3861	H16_A0263
STM3740	H16_A0953
STM1200	H16_A1569
STM3864	H16_A3636
STM2774	H16_A0466
STM3742	H16_A0955
STM0443	H16_A1643
STM0443	H16_A1071
STM0443	H16_B1025
STM0322	H16_A3136
STM3712	H16_A2884
STM0685	H16_A0312
STM0442	H16_A1642
STM0442	H16_A1072
STM0442	H16_B1026
STM0321	H16_A3249
STM2502	H16_A2436
STM3711	H16_A0559
STM0441	H16_A1641
STM0441	H16_A1073
STM0441	H16_B1027
STM1777	H16_A3339
STM0683	H16_A0314
STM0440	H16_A1074
STM0440	H16_B1028
STM1779	H16_A0374
STM1538	PHG002
STM1539	PHG001
STM0329	H16_B2275
STM0568	H16_B2165
STM0568	H16_B1082
STM0689	H16_A1461
STM1772	H16_A1186
STM3952	H16_A3159
STM3710	H16_A0804
STM0202	H16_A0734
STM2500	H16_A3042
STM0444	H16_A0218
STM0686	H16_A2784
STM2984	H16_B1515
STM3965	H16_B1581
STM1786	PHG001
STM1303	H16_A3025
STM1787	PHG002
STM3725	H16_A0367
STM1788	PHG003
STM3724	H16_A2883
STM3603	H16_B2096
STM0691	H16_B0204
STM0690	H16_B0203
STM0218	H16_A2053
STM1780	H16_A0372
STM2991	H16_A0597
STM2992	H16_A2343
STM3960	H16_A0309
STM2510	H16_A2028
STM2511	H16_A2030
STM0213	H16_A2066
STM1301	H16_A3261
STM0146	H16_A3236
STM1479	H16_A0850
STM1479	H16_A3128
STM1479	H16_B1715
STM1479	H16_A1264
STM0145	H16_A3037
STM0145	H16_B0560
STM3656	H16_A0523
STM3538	H16_B1559
STM2327	H16_A1051
STM1238	H16_A3056
STM3537	H16_B1560
STM3539	H16_A2618
STM0140	H16_A3258
STM0261	H16_A2464
STM2440	H16_B2378
STM2440	H16_A0807
STM2441	H16_A2237
STM2200	H16_B2472
STM2200	H16_A1525
STM2321	H16_A1058
STM2442	H16_A2238
STM1232	H16_A3124
STM2322	H16_A1057
STM2443	H16_A2239
STM2444	H16_A2247
STM2565	H16_A1511
STM3655	H16_A0521
STM3534	H16_B1562
STM2324	H16_A1055
STM1235	H16_A3127
STM1489	H16_A0182
STM3305	H16_A3253
STM2578	H16_A2552
STM2458	H16_B0096
STM3307	H16_A3418
STM2338	H16_B1871
STM0154	H16_A1377
STM0153	H16_A1375
STM0152	H16_A1753
STM0152	H16_B1300
STM0152	H16_A1374
STM0150	H16_B2165
STM0150	H16_B1082
STM1480	H16_A1266
STM1480	H16_A0852
STM1480	H16_B1714
STM1480	H16_A3131
STM2450	H16_A0597
STM2451	H16_A0914
STM3541	H16_A3011
STM3542	H16_A1179
STM0039	H16_B0439
STM1124	H16_A3631
STM1004	H16_A2589
STM0158	H16_B0568
STM0245	H16_A2125
STM0245	H16_B2232
STM0245	H16_A0813
STM0245	H16_B1479
STM1577	H16_B2265
STM1577	PHG270
STM0124	H16_A3277
STM2546	H16_A1214
