BSU09290	RSR24_03123
BSU35580	RSR24_00922
BSU11250	RSR24_02604
BSU14400	RSR24_02889
BSU22700	RSR24_03030
BSU38050	RSR24_04372
BSU14520	RSR24_04758
BSU38170	RSR24_02945
BSU15730	RSR24_00076
BSU15610	RSR24_02473
BSU32750	RSR24_00929
BSU00910	RSR24_01515
BSU33040	RSR24_04557
BSU37760	RSR24_01609
BSU37760	RSR24_01610
BSU18440	RSR24_03025
BSU33720	RSR24_02566
BSU03060	RSR24_00980
BSU28120	RSR24_00723
BSU29210	RSR24_02080
BSU22140	RSR24_04037
BSU15860	RSR24_03369
BSU08070	RSR24_01553
BSU08070	RSR24_01647
BSU33390	RSR24_04431
BSU38040	RSR24_04371
BSU38160	RSR24_02944
BSU22830	RSR24_00368
BSU15500	RSR24_04758
BSU18570	RSR24_02885
BSU39370	RSR24_02641
BSU18450	RSR24_03026
BSU36660	RSR24_02136
BSU02400	RSR24_01609
BSU02400	RSR24_01610
BSU32740	RSR24_00930
BSU27600	RSR24_02236
BSU34920	RSR24_03013
BSU28250	RSR24_02090
BSU08860	RSR24_01878
BSU29220	RSR24_00691
BSU29220	RSR24_00690
BSU29220	RSR24_02218
BSU29220	RSR24_02767
BSU29340	RSR24_02342
BSU29340	RSR24_00475
BSU29340	RSR24_00541
BSU29340	RSR24_03890
BSU29340	RSR24_02207
BSU29340	RSR24_04052
BSU29340	RSR24_03481
BSU29340	RSR24_01955
BSU28130	RSR24_03050
BSU38990	RSR24_01437
BSU38990	RSR24_02339
BSU08060	RSR24_01552
BSU15510	RSR24_01336
BSU15190	RSR24_02873
BSU19310	RSR24_03191
BSU38630	RSR24_02687
BSU38630	RSR24_04857
BSU30230	RSR24_01746
BSU18220	RSR24_01554
BSU18220	RSR24_02901
BSU01780	RSR24_00176
BSU25310	RSR24_02186
BSU33500	RSR24_03422
BSU02510	RSR24_04098
BSU32410	RSR24_04758
BSU27610	RSR24_00429
BSU02750	RSR24_04178
BSU35920	RSR24_01045
BSU03280	RSR24_02473
BSU22960	RSR24_00537
BSU11710	RSR24_00104
BSU08850	RSR24_01877
BSU28260	RSR24_02091
BSU06430	RSR24_00644
BSU24340	RSR24_02786
BSU23250	RSR24_00779
BSU33290	RSR24_04712
BSU15520	RSR24_01338
BSU12010	RSR24_02889
BSU22730	RSR24_02037
BSU39390	RSR24_01609
BSU39390	RSR24_01610
BSU18470	RSR24_02824
BSU38500	RSR24_01334
BSU38500	RSR24_01335
BSU38860	RSR24_04408
BSU38980	RSR24_02338
BSU38980	RSR24_01438
BSU18230	RSR24_00230
BSU27860	RSR24_02505
BSU23260	RSR24_00780
BSU01770	RSR24_01345
BSU04000	RSR24_04875
BSU04000	RSR24_04310
BSU06420	RSR24_00643
BSU28270	RSR24_02089
BSU11720	RSR24_01253
BSU13900	RSR24_00356
BSU28150	RSR24_02408
BSU03150	RSR24_00497
BSU04360	RSR24_03870
BSU24350	RSR24_02785
BSU40330	RSR24_01609
BSU40330	RSR24_01610
BSU21810	RSR24_00960
BSU16100	RSR24_00620
BSU11330	RSR24_01081
BSU37280	RSR24_04701
BSU15490	RSR24_00735
BSU36510	RSR24_00352
BSU10120	RSR24_03377
BSU35660	RSR24_03864
BSU35660	RSR24_04284
BSU31060	RSR24_01770
BSU33800	RSR24_02566
BSU30410	RSR24_04669
BSU30530	RSR24_00457
BSU33920	RSR24_02166
BSU32830	RSR24_00532
BSU03300	RSR24_04504
BSU28560	RSR24_00597
BSU28560	RSR24_02883
BSU06490	RSR24_02076
BSU06370	RSR24_04941
BSU08790	RSR24_00114
BSU18410	RSR24_03718
BSU37150	RSR24_01152
BSU11340	RSR24_01085
BSU11220	RSR24_02492
BSU15700	RSR24_02518
BSU21820	RSR24_00961
BSU14610	RSR24_01984
BSU15020	RSR24_00401
BSU36860	RSR24_03398
BSU29300	RSR24_02514
BSU24090	RSR24_04599
BSU06360	RSR24_01789
BSU07570	RSR24_04603
BSU11230	RSR24_01336
BSU32170	RSR24_00136
BSU38150	RSR24_02943
BSU16920	RSR24_01103
BSU00930	RSR24_01242
BSU30550	RSR24_00133
BSU14180	RSR24_01828
BSU31760	RSR24_01612
BSU39360	RSR24_02644
BSU10020	RSR24_00912
BSU36650	RSR24_02134
BSU36890	RSR24_02266
BSU02430	RSR24_04429
BSU33940	RSR24_02749
BSU32730	RSR24_00931
BSU32730	RSR24_03459
BSU33700	RSR24_02566
BSU34910	RSR24_03012
BSU33820	RSR24_02566
BSU22480	RSR24_02263
BSU27010	RSR24_04670
BSU11240	RSR24_01338
BSU38020	RSR24_00104
BSU15600	RSR24_03626
BSU37170	RSR24_03960
BSU37170	RSR24_00243
BSU08090	RSR24_01557
BSU15720	RSR24_00074
BSU19520	RSR24_04467
BSU36760	RSR24_03014
BSU39350	RSR24_02643
BSU35550	RSR24_00491
BSU33370	RSR24_01881
BSU36640	RSR24_02133
BSU17460	RSR24_04156
BSU17460	RSR24_01997
BSU17460	RSR24_04192
BSU35670	RSR24_02321
BSU35670	RSR24_03519
BSU10270	RSR24_00597
BSU10270	RSR24_02883
BSU34900	RSR24_03010
BSU30420	RSR24_01578
BSU30540	RSR24_00176
BSU33930	RSR24_00639
BSU27260	RSR24_00926
BSU28470	RSR24_01251
BSU24310	RSR24_00460
BSU24310	RSR24_01465
BSU29440	RSR24_02413
BSU40340	RSR24_00156
BSU29200	RSR24_01249
