KPN_04005	RSBDBR229_02246
KPN_03036	RSBDBR229_04256
KPN_04249	RSBDBR229_03708
KPN_04008	RSBDBR229_01827
KPN_01090	RSBDBR229_04138
KPN_01091	RSBDBR229_04137
KPN_02180	RSBDBR229_01035
KPN_01092	RSBDBR229_04136
KPN_01093	RSBDBR229_04135
KPN_02061	RSBDBR229_02638
KPN_01096	RSBDBR229_04062
KPN_02055	RSBDBR229_00872
KPN_02176	RSBDBR229_01039
KPN_04478	RSBDBR229_04433
KPN_01089	RSBDBR229_04139
KPN_03268	RSBDBR229_00872
KPN_03389	RSBDBR229_01383
KPN_03388	RSBDBR229_01384
KPN_04239	RSBDBR229_00094
KPN_03029	RSBDBR229_03890
KPN_03380	RSBDBR229_00363
KPN_03140	RSBDBR229_00532
KPN_04350	RSBDBR229_01151
KPN_02054	RSBDBR229_01284
KPN_02054	RSBDBR229_01029
KPN_02175	RSBDBR229_01040
KPN_01197	RSBDBR229_02634
KPN_03375	RSBDBR229_03209
KPN_01198	RSBDBR229_02313
KPN_02169	RSBDBR229_03749
KPN_02160	RSBDBR229_01914
KPN_03130	RSBDBR229_04107
KPN_02162	RSBDBR229_04633
KPN_02162	RSBDBR229_01092
KPN_03132	RSBDBR229_03471
KPN_01074	RSBDBR229_03030
KPN_03131	RSBDBR229_04107
KPN_04329	RSBDBR229_03062
KPN_03123	RSBDBR229_01551
KPN_00096	RSBDBR229_02726
KPN_03244	RSBDBR229_01862
KPN_00095	RSBDBR229_02727
KPN_00094	RSBDBR229_02728
KPN_03124	RSBDBR229_01548
KPN_04576	RSBDBR229_01652
KPN_04337	RSBDBR229_03567
KPN_00091	RSBDBR229_02731
KPN_03126	RSBDBR229_01033
KPN_04339	RSBDBR229_01285
KPN_00090	RSBDBR229_02732
KPN_04217	RSBDBR229_01173
KPN_02392	RSBDBR229_00998
KPN_02393	RSBDBR229_00999
KPN_04331	RSBDBR229_03058
KPN_04289	RSBDBR229_03182
KPN_04288	RSBDBR229_03180
KPN_04282	RSBDBR229_01614
KPN_04287	RSBDBR229_02162
KPN_04286	RSBDBR229_02466
KPN_04286	RSBDBR229_02163
KPN_04157	RSBDBR229_04175
KPN_04399	RSBDBR229_00418
KPN_03183	RSBDBR229_03741
KPN_04271	RSBDBR229_03070
KPN_04395	RSBDBR229_01856
KPN_04152	RSBDBR229_00857
KPN_04152	RSBDBR229_04609
KPN_03184	RSBDBR229_03740
KPN_04155	RSBDBR229_01680
KPN_04397	RSBDBR229_00434
KPN_04154	RSBDBR229_02642
KPN_04154	RSBDBR229_04687
KPN_04154	RSBDBR229_01679
KPN_04396	RSBDBR229_01851
KPN_04267	RSBDBR229_02260
KPN_04388	RSBDBR229_03011
KPN_04387	RSBDBR229_01351
KPN_04269	RSBDBR229_00753
KPN_04142	RSBDBR229_00134
KPN_04141	RSBDBR229_00133
KPN_04143	RSBDBR229_00135
KPN_04135	RSBDBR229_00503
KPN_04256	RSBDBR229_04437
KPN_03045	RSBDBR229_03166
KPN_04134	RSBDBR229_00504
KPN_04376	RSBDBR229_00109
KPN_04137	RSBDBR229_00129
KPN_04379	RSBDBR229_03314
KPN_04136	RSBDBR229_04529
KPN_04136	RSBDBR229_00128
KPN_04139	RSBDBR229_00131
KPN_04138	RSBDBR229_00130
KPN_02193	RSBDBR229_04411
KPN_02193	RSBDBR229_02750
KPN_02194	RSBDBR229_02751
KPN_02194	RSBDBR229_04547
