XOO0937	STM0110
XOO0936	STM0111
XOO0941	STM0113
XOO0940	STM0112
XOO0926	STM3724
XOO0925	STM1155
XOO0925	STM2401
XOO0809	STM0242
XOO3083	STM0584
XOO4052	STM3483
XOO0915	STM4366
XOO4160	STM1725
XOO4286	STM0585
XOO4286	STM2777
XOO4161	STM1724
XOO4284	STM1347
XOO4284	STM2670
XOO4284	STM0760
XOO4163	STM3469
XOO4034	STM0150
XOO4034	STM4398
XOO4034	STM0568
XOO4034	STM1584
XOO3187	STM1333
XOO4398	STM3655
XOO4399	STM3656
XOO4157	STM0165
XOO3182	STM1338
XOO4151	STM0137
XOO3183	STM1337
XOO4030	STM3603
XOO4030	STM1796
XOO0736	STM3862
XOO0726	STM3871
XOO1818	STM4100
XOO1818	STM3624A
XOO0729	STM3868
XOO0728	STM3869
XOO0727	STM3870
XOO2910	STM3661
XOO0733	STM3864
XOO1821	STM3240
XOO1821	STM1826
XOO1821	STM2196
XOO1821	STM2971
XOO0732	STM3865
XOO0731	STM3866
XOO0730	STM3867
XOO0715	STM0245
XOO0714	STM0246
XOO1924	STM2155
XOO0713	STM0247
XOO0834	STM4477
XOO1929	STM2200
XOO1926	STM0235
XOO4084	STM2389
XOO0964	STM4416
XOO0722	STM0154
XOO0963	STM0488
XOO0720	STM0153
XOO0841	STM2565
XOO0945	STM3901
XOO0945	STM3796
XOO0947	STM4164
XOO4198	STM3700
XOO0952	STM4414
XOO0831	STM4475
XOO0539	STM4176
XOO1628	STM0049
XOO0417	STM1318
XOO1627	STM0047
XOO0537	STM4175
XOO1989	STM2483
XOO1626	STM0046
XOO1625	STM0045
XOO1867	STM1209
XOO1504	STM2415
XOO0778	STM4100
XOO0778	STM3624A
XOO2956	STM2927
XOO1629	STM0443
XOO2717	STM0483
XOO1990	STM0680
XOO1631	STM0441
XOO2963	STM2952
XOO3810	STM4105
XOO1630	STM0442
XOO2966	STM1772
XOO2960	STM2929
XOO2961	STM2930
XOO1632	STM0440
XOO2828	STM4055
XOO2828	STM1431
XOO0769	STM2949
XOO1736	STM2956
XOO1615	STM0464
XOO0767	STM1489
XOO0767	STM0797
XOO3915	STM0683
XOO2948	STM3295
XOO1739	STM0190
XOO0893	STM0369
XOO2711	STM2546
XOO0892	STM0368
XOO2712	STM4055
XOO2712	STM1431
XOO1745	STM3095
XOO1985	STM0213
XOO2939	STM2827
XOO1847	STM0758
XOO0878	STM1193
XOO1967	STM0226
XOO1966	STM0227
XOO1603	STM1929
XOO1972	STM0221
XOO0883	STM1197
XOO0762	STM1067
XOO0882	STM1196
XOO0761	STM2378
XOO1971	STM0222
XOO0881	STM1195
XOO1970	STM0220
XOO0880	STM1194
XOO2702	STM2276
XOO0402	STM0372
XOO1974	STM0218
XOO2928	STM2146
XOO0746	STM3861
XOO2923	STM2489
XOO2804	STM3390
XOO0508	STM3733
XOO2805	STM3391
XOO1961	STM0232
XOO2810	STM2431
XOO2810	STM2433
XOO2811	STM4066
XOO2812	STM2204
XOO2812	STM3255
XOO1965	STM0228
XOO1601	STM1928
XOO0512	STM1446
XOO1964	STM0229
XOO3968	STM0640
XOO3607	STM1777
XOO1790	STM2954
XOO0586	STM3407
XOO2887	STM0067
XOO1795	STM3054
XOO2888	STM0066
XOO3856	STM0416
XOO1794	STM3055
XOO0220	STM3086
XOO0469	STM0086
XOO0469	STM3457
XOO3850	STM0419
XOO3852	STM0417
XOO2508	STM3725
XOO2505	STM3551
XOO2868	STM1818
XOO3958	STM2831
XOO0450	STM2536
XOO0690	STM1291
XOO0332	STM4485
XOO0332	STM3542
XOO0453	STM4234
XOO3844	STM0704
XOO1662	STM3880
XOO0694	STM1802
XOO0694	STM4247
XOO3603	STM1780
XOO3845	STM0705
XOO0693	STM1803
XOO3604	STM1779
XOO3846	STM0706
XOO2514	STM4162
XOO2872	STM3040
XOO0456	STM0795
XOO0455	STM0794
XOO3829	STM0124
XOO0558	STM3379
XOO3825	STM0129
XOO3826	STM0128
XOO3828	STM0125
XOO2865	STM1712
XOO3713	STM0686
XOO3956	STM0863
XOO3956	STM2062
XOO3956	STM0637
XOO2981	STM1742
XOO2981	STM3626
XOO1656	STM1901
XOO3830	STM0123
XOO2862	STM0158
XOO2501	STM2498
XOO3831	STM0122
XOO2967	STM2953
XOO0795	STM2096
XOO3821	STM0134
XOO2733	STM2450
XOO2733	STM2991
XOO0794	STM2094
XOO0793	STM2095
XOO0792	STM3922
XOO0792	STM2097
XOO3824	STM0130
XOO0556	STM3380
XOO1402	STM2984
XOO0797	STM2104
XOO0796	STM2084
XOO3649	STM2473
XOO3649	STM0007
XOO3408	STM3477
XOO3409	STM2440
XOO3409	STM2430
XOO1594	STM0739
XOO1593	STM0738
XOO1350	STM2018
XOO1114	STM0689
XOO0388	STM1259
XOO3415	STM3069
XOO3657	STM4408
XOO1597	STM2662
XOO1232	STM0202
XOO0022	STM3694
XOO0264	STM1933
XOO1118	STM2472
XOO4620	STM2492
XOO4620	STM2959
XOO4620	STM0525
XOO4620	STM3247
XOO1117	STM3614
XOO2205	STM2408
XOO3413	STM1888
XOO1219	STM1303
XOO1219	STM3468
XOO2308	STM0734
XOO2429	STM0671
XOO2307	STM0735
XOO3519	STM1883
XOO1583	STM0140
XOO1460	STM0772
XOO0491	STM1511
XOO2313	STM4230
XOO2313	STM3554
XOO3645	STM0608
XOO0497	STM3731
XOO2678	STM0537
XOO3646	STM0609
XOO0496	STM3730
XOO2317	STM1885
XOO1349	STM1718
XOO3400	STM2947
XOO0016	STM0998
XOO0016	STM4248
XOO2315	STM2403
XOO3764	STM0506
XOO3401	STM2946
XOO2314	STM1886
XOO0015	STM4415
XOO2555	STM1235
XOO2418	STM1000
XOO3629	STM1480
XOO3750	STM0088
XOO2661	STM0741
XOO2661	STM1793
XOO0241	STM1750
XOO0481	STM3982
XOO2666	STM0321
XOO3997	STM3947
XOO2423	STM0171
XOO4604	STM2654
XOO3757	STM4236
XOO2547	STM0958
XOO3751	STM0087
XOO3752	STM3001
XOO3753	STM3002
XOO0247	STM1707
XOO3633	STM1479
XOO2665	STM0322
XOO1438	STM3305
XOO0228	STM3244
XOO3860	STM2555
XOO0350	STM3972
XOO1565	STM0984
XOO4712	STM3401
XOO0113	STM3538
XOO2776	STM0879
XOO2777	STM1226
XOO2777	STM0878
XOO2777	STM0428
XOO2535	STM2526
XOO3987	STM3970
XOO3866	STM2194
XOO0112	STM3535
XOO2656	STM1792
XOO2656	STM0740
XOO3867	STM1627
XOO2410	STM2427
XOO3747	STM0091
XOO0594	STM1711
XOO0352	STM0380
XOO0117	STM3537
XOO1203	STM1290
XOO3743	STM2050
XOO2775	STM0880
XOO2654	STM0957
XOO2360	STM4221
XOO1270	STM2793
XOO3210	STM0534
XOO2364	STM0182
XOO1154	STM0730
XOO2363	STM0181
XOO2242	STM0002
XOO3690	STM4063
XOO3690	STM2444
XOO2361	STM0180
XOO3691	STM3709
XOO2368	STM2450
XOO2368	STM2991
XOO4548	STM4273
XOO2365	STM0183
XOO3212	STM0145
XOO4544	STM4275
XOO4302	STM3915
XOO1039	STM0261
XOO4787	STM3493
XOO4424	STM3136
XOO4410	STM0489
XOO3684	STM3708
XOO1141	STM3103
XOO3689	STM2443
XOO2236	STM4137
XOO0178	STM3331
XOO1388	STM4182
XOO1145	STM3740
XOO0177	STM3330
XOO3207	STM1433
XOO4417	STM3661
XOO3208	STM4055
XOO3208	STM1431
XOO3329	STM0648
XOO3686	STM2441
XOO1149	STM3742
XOO2237	STM1058
XOO3688	STM2442
XOO2116	STM0963
XOO3791	STM3090
XOO3672	STM0535
XOO2463	STM3856
XOO0043	STM0137
XOO2462	STM3857
XOO2461	STM3857
XOO0168	STM3553
XOO3679	STM2365
XOO2465	STM3854
XOO4527	STM0255
XOO2464	STM3855
XOO3675	STM2362
XOO1242	STM4167
XOO1124	STM2840
XOO3547	STM3053
XOO3669	STM2502
XOO1244	STM3487
XOO1243	STM3486
XOO2211	STM1349
XOO2339	STM1341
XOO4511	STM2162
XOO4511	STM2164
XOO3664	STM3702
XOO3785	STM3885
XOO4874	STM3597
XOO3423	STM1318
XOO1127	STM3063
XOO4512	STM2163
XOO2336	STM0761
XOO2336	STM0762
XOO3252	STM1726
XOO1194	STM0782
XOO4342	STM1756
XOO1193	STM0783
XOO1191	STM1737
XOO2044	STM0736
