YPO1049	RSGMI1000_01442
YPO2016	RSGMI1000_02954
YPO1048	RSGMI1000_01444
YPO2499	RSGMI1000_01274
YPO2257	RSGMI1000_02808
YPO2256	RSGMI1000_01273
YPO2256	RSGMI1000_05082
YPO2256	RSGMI1000_02809
YPO1166	RSGMI1000_03192
YPO1166	RSGMI1000_02155
YPO2014	RSGMI1000_00403
YPO1046	RSGMI1000_01440
YPO2013	RSGMI1000_00401
YPO2255	RSGMI1000_02810
YPO2496	RSGMI1000_05061
YPO2496	RSGMI1000_00496
YPO3222	RSGMI1000_02869
YPO3221	RSGMI1000_02793
YPO1041	RSGMI1000_01425
YPO2372	RSGMI1000_00506
YPO2370	RSGMI1000_00792
YPO0070	RSGMI1000_01185
YPO0070	RSGMI1000_04896
YPO0068	RSGMI1000_00362
YPO3215	RSGMI1000_03027
YPO3578	RSGMI1000_00419
YPO3577	RSGMI1000_00420
YPO0066	RSGMI1000_00360
YPO1395	RSGMI1000_02246
YPO1396	RSGMI1000_02581
YPO1151	RSGMI1000_00271
YPO1152	RSGMI1000_01516
YPO1391	RSGMI1000_00928
YPO1390	RSGMI1000_00927
YPO3569	RSGMI1000_03010
YPO0059	RSGMI1000_04422
YPO1146	RSGMI1000_04603
YPO0057	RSGMI1000_00583
YPO1389	RSGMI1000_00923
YPO0058	RSGMI1000_00935
YPO1023	RSGMI1000_02590
YPO0055	RSGMI1000_00715
YPO3443	RSGMI1000_02283
YPO0056	RSGMI1000_00714
YPO0053	RSGMI1000_00396
YPO3441	RSGMI1000_02466
YPO1022	RSGMI1000_01281
YPO3319	RSGMI1000_00799
YPO1139	RSGMI1000_04560
YPO0169	RSGMI1000_02935
YPO0048	RSGMI1000_02513
YPO1379	RSGMI1000_02386
YPO3557	RSGMI1000_03022
YPO0047	RSGMI1000_02515
YPO3312	RSGMI1000_03116
YPO1133	RSGMI1000_00358
YPO3796	RSGMI1000_01295
YPO0045	RSGMI1000_00140
YPO3795	RSGMI1000_01296
YPO2221	RSGMI1000_02051
YPO3794	RSGMI1000_01297
YPO3793	RSGMI1000_02184
YPO3793	RSGMI1000_01298
YPO3430	RSGMI1000_02879
YPO1374	RSGMI1000_02391
YPO0040	RSGMI1000_02200
YPO0161	RSGMI1000_04682
YPO0162	RSGMI1000_01639
YPO0160	RSGMI1000_04681
YPO0158	RSGMI1000_02471
YPO3305	RSGMI1000_00821
YPO0038	RSGMI1000_02198
YPO3788	RSGMI1000_04141
YPO1127	RSGMI1000_02501
YPO3424	RSGMI1000_02500
YPO2214	RSGMI1000_04080
YPO3423	RSGMI1000_02856
YPO0155	RSGMI1000_02932
YPO0152	RSGMI1000_03026
YPO3781	RSGMI1000_00467
YPO2692	RSGMI1000_03443
YPO3660	RSGMI1000_02837
YPO2691	RSGMI1000_03444
YPO2690	RSGMI1000_03445
YPO3419	RSGMI1000_01644
YPO3418	RSGMI1000_01645
YPO2329	RSGMI1000_03195
YPO1238	RSGMI1000_00021
YPO1238	RSGMI1000_03342
YPO3659	RSGMI1000_02838
YPO3417	RSGMI1000_01647
YPO2206	RSGMI1000_02937
YPO2206	RSGMI1000_04146
YPO3658	RSGMI1000_02839
YPO3779	RSGMI1000_00470
YPO2205	RSGMI1000_02938
YPO2205	RSGMI1000_04145
YPO1599	RSGMI1000_01069
YPO1115	RSGMI1000_00572
YPO3899	RSGMI1000_00585
YPO3415	RSGMI1000_03804
YPO1116	RSGMI1000_00573
YPO2204	RSGMI1000_02030
YPO0024	RSGMI1000_04346
YPO0024	RSGMI1000_01289
YPO0145	RSGMI1000_03033
YPO1597	RSGMI1000_01067
YPO1113	RSGMI1000_01300
YPO1598	RSGMI1000_01068
YPO1114	RSGMI1000_01301
YPO1111	RSGMI1000_02042
YPO1112	RSGMI1000_02041
YPO3530	RSGMI1000_03424
