YPO1049	RSc1408
YPO2016	RSc2900
YPO1048	RSc1410
YPO2499	RSc1243
YPO2257	RSc2756
YPO2256	RSc2757
YPO2256	RSp1634
YPO2256	RSc1242
YPO1166	RSc3128
YPO1166	RSc2110
YPO2014	RSc0396
YPO1046	RSc1406
YPO2013	RSc0395
YPO2255	RSc2758
YPO2496	RSp1612
YPO3222	RSc2819
YPO3221	RSc2741
YPO1041	RSc1393
YPO2372	RSc0495
YPO2370	RSc0767
YPO0070	RSc1162
YPO0070	RSp1439
YPO0068	RSc0357
YPO3215	RSc2970
YPO3578	RSc0412
YPO3577	RSc0413
YPO0066	RSc0355
YPO1395	RSc2200
YPO1396	RSc2530
YPO1151	RSc0266
YPO1152	RSc1478
YPO1391	RSc0908
YPO1390	RSc0907
YPO3569	RSc2953
YPO0059	RSp0961
YPO1146	RSp1144
YPO0057	RSc0565
YPO1389	RSc0903
YPO0058	RSc0915
YPO1023	RSc2539
YPO0055	RSc0693
YPO3443	RSc2236
YPO0056	RSc0692
YPO0053	RSc0390
YPO3441	RSc2415
YPO1022	RSc1250
YPO3319	RSc0775
YPO1139	RSp1101
YPO0169	RSc2882
YPO0048	RSc2461
YPO1379	RSc2337
YPO3557	RSc2965
YPO0047	RSc2463
YPO3312	RSc3052
YPO1133	RSc0353
YPO3796	RSc1264
YPO0045	RSc0139
YPO3795	RSc1265
YPO2221	RSc2003
YPO3794	RSc1266
YPO3793	RSc2140
YPO3793	RSc1267
YPO3430	RSc2828
YPO1374	RSc2342
YPO0040	RSc2155
YPO0161	RSp1222
YPO0162	RSc1594
YPO0160	RSp1221
YPO0158	RSc2420
YPO3305	RSc0797
YPO0038	RSc2153
YPO3788	RSp0676
YPO1127	RSc2449
YPO3424	RSc2448
YPO2214	RSp0616
YPO3423	RSc2806
YPO0155	RSc2879
YPO0152	RSc2969
YPO3781	RSc0458
YPO2692	RSc3382
YPO3660	RSc2785
YPO2691	RSc3383
YPO2690	RSc3384
YPO3419	RSc1600
YPO3418	RSc1601
YPO2329	RSc3131
YPO1238	RSc3282
YPO1238	RSc0020
YPO3659	RSc2786
YPO3417	RSc1603
YPO2206	RSp0681
YPO2206	RSc2884
YPO3658	RSc2787
YPO3779	RSc0461
YPO2205	RSc2885
YPO2205	RSp0680
YPO1599	RSc1052
YPO1115	RSc0554
YPO3899	RSc0567
YPO3415	RSp0332
YPO1116	RSc0555
YPO2204	RSc1983
YPO0024	RSp0886
YPO0024	RSc1258
YPO0145	RSc2976
YPO1597	RSc1050
YPO1113	RSc1269
YPO1598	RSc1051
YPO1114	RSc1270
YPO1111	RSc1994
YPO1112	RSc1993
YPO3530	RSc3363
YPO3771	RSc2989
YPO1108	RSc1991
YPO3407	RSc0277
YPO3769	RSc0708
YPO3767	RSc2252
YPO3525	RSc0764
YPO0378	RSc1226
YPO3403	RSc2731
YPO3402	RSc2387
