RSc0338	RSRUN2340_00371
RSc0339	RSRUN2340_00372
RSc1669	RSRUN2340_01460
RSc2999	RSRUN2340_03096
RSc0336	RSRUN2340_00369
RSc2998	RSRUN2340_00958
RSc2998	RSRUN2340_03252
RSc2998	RSRUN2340_03095
RSc0337	RSRUN2340_00370
RSc0330	RSRUN2340_00362
RSc2993	RSRUN2340_03090
RSc2992	RSRUN2340_03089
RSc0331	RSRUN2340_00363
RSc2991	RSRUN2340_03088
RSc2990	RSRUN2340_03087
RSc0334	RSRUN2340_00367
RSc2997	RSRUN2340_03094
RSc1666	RSRUN2340_01459
RSc2996	RSRUN2340_03093
RSc0335	RSRUN2340_00368
RSc0332	RSRUN2340_03557
RSc0332	RSRUN2340_00364
RSc2995	RSRUN2340_03092
RSc2994	RSRUN2340_03091
RSc0333	RSRUN2340_00366
RSc0327	RSRUN2340_00359
RSc2989	RSRUN2340_03086
RSc0328	RSRUN2340_00360
RSc2988	RSRUN2340_03085
RSc0325	RSRUN2340_00357
RSc0326	RSRUN2340_00358
RSc2987	RSRUN2340_03084
RSc0329	RSRUN2340_00361
RSc2982	RSRUN2340_03079
RSc1651	RSRUN2340_01443
RSc2981	RSRUN2340_03078
RSc1650	RSRUN2340_01442
RSc0320	RSRUN2340_00352
RSc2980	RSRUN2340_03077
RSc0323	RSRUN2340_00355
RSc2986	RSRUN2340_03083
RSc0324	RSRUN2340_00356
RSc1654	RSRUN2340_01446
RSc2985	RSRUN2340_03082
RSc1653	RSRUN2340_01445
RSc2984	RSRUN2340_03081
RSc0321	RSRUN2340_00353
RSc0322	RSRUN2340_00354
RSc2983	RSRUN2340_03080
RSc1652	RSRUN2340_01444
RSc1648	RSRUN2340_01440
RSc2979	RSRUN2340_03076
RSc0316	RSRUN2340_00349
RSc0317	RSRUN2340_00350
RSc1647	RSRUN2340_01439
RSc2978	RSRUN2340_03075
RSc0314	RSRUN2340_00347
RSc1646	RSRUN2340_01438
RSc2977	RSRUN2340_03074
RSc2976	RSRUN2340_03073
RSc0315	RSRUN2340_00348
RSc1645	RSRUN2340_01437
RSc0318	RSRUN2340_00351
RSc1649	RSRUN2340_01441
RSc1640	RSRUN2340_01432
RSc2971	RSRUN2340_03068
RSc2970	RSRUN2340_03067
RSc1644	RSRUN2340_01436
RSc0312	RSRUN2340_00345
RSc2975	RSRUN2340_03072
RSc1643	RSRUN2340_01435
