STM0704	RSRUN2340_03494
STM0705	RSRUN2340_03493
STM0706	RSRUN2340_03492
STM0828	RSRUN2340_00524
STM0828	RSRUN2340_01106
STM0828	RSRUN2340_03525
STM0828	RSRUN2340_00937
STM0828	RSRUN2340_04451
STM0829	RSRUN2340_03526
STM3090	RSRUN2340_00155
STM4063	RSRUN2340_01813
STM3095	RSRUN2340_00378
STM4184	RSRUN2340_01794
STM4183	RSRUN2340_01785
STM4066	RSRUN2340_02959
STM0832	RSRUN2340_02894
STM1800	RSRUN2340_01691
STM1802	RSRUN2340_01777
STM1803	RSRUN2340_02288
STM0958	RSRUN2340_02458
STM1928	RSRUN2340_04638
STM1928	RSRUN2340_04684
STM1929	RSRUN2340_04637
STM4160	RSRUN2340_00131
STM4162	RSRUN2340_00384
STM4164	RSRUN2340_00134
STM3195	RSRUN2340_04756
STM4163	RSRUN2340_00130
STM3076	RSRUN2340_02851
STM4167	RSRUN2340_03411
STM1900	RSRUN2340_00508
STM1901	RSRUN2340_00506
STM4175	RSRUN2340_01038
STM4055	RSRUN2340_02645
STM4176	RSRUN2340_00547
STM0863	RSRUN2340_00359
STM0984	RSRUN2340_00998
STM0985	RSRUN2340_02649
STM1712	RSRUN2340_01206
STM0988	RSRUN2340_02651
STM2927	RSRUN2340_01955
STM1718	RSRUN2340_04129
STM2929	RSRUN2340_01436
STM0506	RSRUN2340_01513
STM0980	RSRUN2340_02309
STM2930	RSRUN2340_01435
STM3901	RSRUN2340_01135
STM2933	RSRUN2340_03264
STM2933	RSRUN2340_03693
STM1724	RSRUN2340_04217
STM1724	RSRUN2340_02982
STM0998	RSRUN2340_02213
STM2934	RSRUN2340_02538
STM0756	RSRUN2340_02567
STM3903	RSRUN2340_00617
STM0878	RSRUN2340_01528
STM1725	RSRUN2340_04216
STM1725	RSRUN2340_02983
STM2935	RSRUN2340_02539
STM1726	RSRUN2340_01227
STM3905	RSRUN2340_00491
STM0519	RSRUN2340_03391
STM0518	RSRUN2340_00043
STM0637	RSRUN2340_00359
STM0515	RSRUN2340_03385
STM0963	RSRUN2340_02453
STM0847	RSRUN2340_01770
STM0848	RSRUN2340_01769
STM0848	RSRUN2340_01988
STM0849	RSRUN2340_01768
STM1818	RSRUN2340_02954
STM1818	RSRUN2340_00580
STM4081	RSRUN2340_01147
STM0609	RSRUN2340_03780
STM0608	RSRUN2340_03779
STM4086	RSRUN2340_03150
STM0851	RSRUN2340_01766
STM0730	RSRUN2340_01218
STM1700	RSRUN2340_01992
STM0734	RSRUN2340_01215
STM1945	RSRUN2340_02149
STM0977	RSRUN2340_02314
STM0735	RSRUN2340_01216
STM1824	RSRUN2340_02714
STM0736	RSRUN2340_01887
STM0978	RSRUN2340_02310
STM1826	RSRUN2340_03403
STM1826	RSRUN2340_02118
STM0737	RSRUN2340_01886
STM0738	RSRUN2340_00604
STM0739	RSRUN2340_00605
STM0850	RSRUN2340_01767
STM0542	RSRUN2340_01386
STM0663	RSRUN2340_00523
STM1511	RSRUN2340_00768
STM0662	RSRUN2340_00524
STM0662	RSRUN2340_01106
STM0662	RSRUN2340_03525
STM0662	RSRUN2340_00937
STM0662	RSRUN2340_04451
STM0420	RSRUN2340_02865
STM0787	RSRUN2340_02724
STM1756	RSRUN2340_02112
STM1756	RSRUN2340_01283
STM0788	RSRUN2340_02725
STM3938	RSRUN2340_02473
STM1517	RSRUN2340_03372
STM0309	RSRUN2340_00582
STM0428	RSRUN2340_01528
STM2960	RSRUN2340_02139
STM0782	RSRUN2340_04719
STM0665	RSRUN2340_00521
STM0665	RSRUN2340_00936
STM2840	RSRUN2340_00692
STM0423	RSRUN2340_00975
STM2961	RSRUN2340_02139
STM1752	RSRUN2340_03553
STM1752	RSRUN2340_00960
STM0422	RSRUN2340_00976
STM2962	RSRUN2340_04274
STM0664	RSRUN2340_00522
STM1885	RSRUN2340_05087
STM1764	RSRUN2340_04495
STM1886	RSRUN2340_05086
STM3700	RSRUN2340_00390
STM0797	RSRUN2340_01663
STM1765	RSRUN2340_04494
STM3702	RSRUN2340_00388
STM1888	RSRUN2340_00624
STM1525	RSRUN2340_04718
STM3947	RSRUN2340_00159
STM1647	RSRUN2340_03225
STM3828	RSRUN2340_02852
STM3827	RSRUN2340_04274
STM3709	RSRUN2340_04482
STM0791	RSRUN2340_02726
STM2971	RSRUN2340_03403
STM2971	RSRUN2340_02118
STM1761	RSRUN2340_04498
STM0794	RSRUN2340_00298
STM0795	RSRUN2340_01664
STM1763	RSRUN2340_04496
STM1884	RSRUN2340_04755
STM0640	RSRUN2340_00089
STM3915	RSRUN2340_01970
STM2827	RSRUN2340_00830
STM0648	RSRUN2340_02845
STM0760	RSRUN2340_02740
STM0760	RSRUN2340_00782
STM0402	RSRUN2340_01438
STM0761	RSRUN2340_01255
STM0762	RSRUN2340_01255
STM1742	RSRUN2340_02962
STM1742	RSRUN2340_01271
STM2952	RSRUN2340_02037
STM2831	RSRUN2340_02299
STM3921	RSRUN2340_04536
STM1743	RSRUN2340_02963
STM1743	RSRUN2340_01272
STM3920	RSRUN2340_04537
STM3920	RSRUN2340_04011
STM2953	RSRUN2340_02040
STM0776	RSRUN2340_04634
STM3922	RSRUN2340_00706
STM2956	RSRUN2340_01363
STM3925	RSRUN2340_04526
STM1627	RSRUN2340_00655
STM0419	RSRUN2340_02864
STM0417	RSRUN2340_00750
STM0659	RSRUN2340_04018
STM0416	RSRUN2340_00753
STM0537	RSRUN2340_01998
STM0535	RSRUN2340_02002
STM0534	RSRUN2340_00627
STM0772	RSRUN2340_00386
STM3855	RSRUN2340_01314
STM3854	RSRUN2340_01315
STM3733	RSRUN2340_00161
STM2403	RSRUN2340_05084
STM1435	RSRUN2340_00564
STM0221	RSRUN2340_01739
STM0463	RSRUN2340_00376
STM3857	RSRUN2340_01312
STM3978	RSRUN2340_00746
STM3614	RSRUN2340_00362
STM2526	RSRUN2340_01948
STM0220	RSRUN2340_01737
STM3856	RSRUN2340_01313
STM1318	RSRUN2340_05106
STM2408	RSRUN2340_04017
STM3970	RSRUN2340_00498
STM0229	RSRUN2340_01730
STM0228	RSRUN2340_01731
STM0227	RSRUN2340_01732
STM3730	RSRUN2340_02579
STM3972	RSRUN2340_00501
STM0106	RSRUN2340_04720
STM1431	RSRUN2340_02645
STM0226	RSRUN2340_01733
STM2641	RSRUN2340_02565
STM3731	RSRUN2340_02581
STM1433	RSRUN2340_03001
STM1796	RSRUN2340_03807
STM2522	RSRUN2340_01943
STM3866	RSRUN2340_03427
STM0113	RSRUN2340_01140
STM0112	RSRUN2340_01221
STM3865	RSRUN2340_03426
STM1446	RSRUN2340_00538
STM1567	RSRUN2340_03224
STM3626	RSRUN2340_02962
STM3626	RSRUN2340_01271
STM0353	RSRUN2340_02404
STM0353	RSRUN2340_03456
STM0111	RSRUN2340_01219
STM0232	RSRUN2340_01996
STM2415	RSRUN2340_01985
STM0110	RSRUN2340_01220
STM3867	RSRUN2340_03428
STM1448	RSRUN2340_00806
STM3628	RSRUN2340_01766
STM0472	RSRUN2340_04532
STM3627	RSRUN2340_02963
STM3627	RSRUN2340_01272
STM3869	RSRUN2340_03430
STM1209	RSRUN2340_02155
STM3862	RSRUN2340_00209
STM3982	RSRUN2340_00945
STM3861	RSRUN2340_00210
STM3740	RSRUN2340_01077
STM1200	RSRUN2340_01588
STM3864	RSRUN2340_03425
STM3864	RSRUN2340_04254
STM2774	RSRUN2340_00518
STM2654	RSRUN2340_03554
STM2654	RSRUN2340_03609
STM3742	RSRUN2340_01079
STM0443	RSRUN2340_03014
STM0443	RSRUN2340_01652
STM0322	RSRUN2340_02842
STM3712	RSRUN2340_00717
STM0442	RSRUN2340_01653
STM0442	RSRUN2340_03013
STM0321	RSRUN2340_02913
STM2502	RSRUN2340_01320
STM3711	RSRUN2340_00615
STM0441	RSRUN2340_01654
STM0441	RSRUN2340_03012
STM1777	RSRUN2340_02997
STM0440	RSRUN2340_03011
STM1779	RSRUN2340_00431
STM0568	RSRUN2340_04951
STM0689	RSRUN2340_03157
STM0689	RSRUN2340_03156
STM1772	RSRUN2340_02039
STM3952	RSRUN2340_02869
STM3710	RSRUN2340_02302
STM0202	RSRUN2340_00691
STM2500	RSRUN2340_02572
STM0444	RSRUN2340_00174
STM0686	RSRUN2340_00825
STM3965	RSRUN2340_04212
STM1303	RSRUN2340_02553
STM3725	RSRUN2340_00424
STM3724	RSRUN2340_00718
STM3603	RSRUN2340_03807
STM1427	RSRUN2340_04972
STM0218	RSRUN2340_01741
STM1780	RSRUN2340_00429
STM2991	RSRUN2340_02671
STM2992	RSRUN2340_01906
STM2510	RSRUN2340_01714
STM2511	RSRUN2340_01716
STM0213	RSRUN2340_01755
STM1301	RSRUN2340_02926
STM2204	RSRUN2340_02960
STM0146	RSRUN2340_02898
STM1479	RSRUN2340_04468
STM1479	RSRUN2340_02830
STM0145	RSRUN2340_02566
STM3656	RSRUN2340_00570
STM3535	RSRUN2340_03776
STM3538	RSRUN2340_03773
STM2327	RSRUN2340_01151
STM1238	RSRUN2340_02607
STM3537	RSRUN2340_03772
STM3539	RSRUN2340_01223
STM0140	RSRUN2340_02923
STM0261	RSRUN2340_01299
STM2440	RSRUN2340_02300
STM2441	RSRUN2340_01802
STM2200	RSRUN2340_01552
STM2200	RSRUN2340_01553
STM2321	RSRUN2340_01158
STM2442	RSRUN2340_01803
STM1232	RSRUN2340_02820
STM2322	RSRUN2340_01157
STM2443	RSRUN2340_01804
STM2444	RSRUN2340_01813
STM2565	RSRUN2340_01518
STM3655	RSRUN2340_00568
STM2324	RSRUN2340_01155
STM1235	RSRUN2340_02824
STM1489	RSRUN2340_01663
STM3305	RSRUN2340_02917
STM2578	RSRUN2340_02157
STM2458	RSRUN2340_03221
STM3307	RSRUN2340_03050
STM0154	RSRUN2340_01392
STM0153	RSRUN2340_01390
STM0152	RSRUN2340_01389
STM0150	RSRUN2340_04951
STM1480	RSRUN2340_02833
STM1480	RSRUN2340_04470
STM2450	RSRUN2340_02671
STM2451	RSRUN2340_01037
STM3542	RSRUN2340_00483
STM1002	RSRUN2340_02805
STM1124	RSRUN2340_03409
STM1004	RSRUN2340_02192
STM0158	RSRUN2340_03856
STM0245	RSRUN2340_03496
STM0245	RSRUN2340_02295
STM1577	RSRUN2340_04495
STM0124	RSRUN2340_02945
STM2546	RSRUN2340_02005
STM2788	RSRUN2340_00826
STM0123	RSRUN2340_02946
STM1578	RSRUN2340_04496
STM0122	RSRUN2340_02947
STM1337	RSRUN2340_01369
STM1338	RSRUN2340_01370
STM0242	RSRUN2340_02910
STM2427	RSRUN2340_01749
STM0483	RSRUN2340_00452
STM3871	RSRUN2340_03432
STM3870	RSRUN2340_03431
STM0129	RSRUN2340_02940
STM0007	RSRUN2340_01927
STM0128	RSRUN2340_02941
STM2662	RSRUN2340_01421
STM2783	RSRUN2340_04141
STM0369	RSRUN2340_03636
STM1211	RSRUN2340_00968
STM0368	RSRUN2340_03638
STM0368	RSRUN2340_01209
STM3512	RSRUN2340_04754
STM0247	RSRUN2340_02297
STM2543	RSRUN2340_02204
STM1333	RSRUN2340_01365
STM0489	RSRUN2340_02723
STM0246	RSRUN2340_02296
STM0488	RSRUN2340_02652
STM0125	RSRUN2340_02944
STM1576	RSRUN2340_04494
STM3646	RSRUN2340_02189
STM3646	RSRUN2340_04464
STM0498	RSRUN2340_02404
STM0498	RSRUN2340_03456
STM1104	RSRUN2340_02536
STM1347	RSRUN2340_02740
STM1347	RSRUN2340_00782
STM1226	RSRUN2340_01528
STM0134	RSRUN2340_02934
STM0255	RSRUN2340_02012
STM1106	RSRUN2340_05128
STM1106	RSRUN2340_01381
STM1469	RSRUN2340_04845
STM1349	RSRUN2340_01725
STM1107	RSRUN2340_05097
STM3526	RSRUN2340_03148
STM2318	RSRUN2340_01161
STM0372	RSRUN2340_03086
STM3407	RSRUN2340_00099
STM0130	RSRUN2340_02939
STM0371	RSRUN2340_01301
STM0370	RSRUN2340_01207
STM3880	RSRUN2340_01413
STM3880	RSRUN2340_04575
STM1580	RSRUN2340_04498
STM2791	RSRUN2340_05126
STM2791	RSRUN2340_00052
STM2670	RSRUN2340_02740
STM2670	RSRUN2340_00782
STM3882	RSRUN2340_02665
STM3882	RSRUN2340_05145
STM3882	RSRUN2340_01914
STM2792	RSRUN2340_00053
STM1340	RSRUN2340_02521
STM2430	RSRUN2340_02300
STM1341	RSRUN2340_02755
STM2431	RSRUN2340_04848
STM2431	RSRUN2340_02958
STM1584	RSRUN2340_04951
STM1221	RSRUN2340_01928
STM3883	RSRUN2340_02664
STM3883	RSRUN2340_01913
STM2433	RSRUN2340_04848
STM2433	RSRUN2340_02958
STM0137	RSRUN2340_02911
STM2555	RSRUN2340_00767
STM3401	RSRUN2340_02872
STM3885	RSRUN2340_02210
STM0067	RSRUN2340_01304
STM0066	RSRUN2340_01302
STM2009	RSRUN2340_03740
STM0064	RSRUN2340_02846
STM0183	RSRUN2340_02709
STM0182	RSRUN2340_02711
STM0181	RSRUN2340_02510
STM0180	RSRUN2340_02831
STM3330	RSRUN2340_03062
STM3692	RSRUN2340_02247
STM2362	RSRUN2340_01234
STM2483	RSRUN2340_01758
STM4421	RSRUN2340_02668
STM4421	RSRUN2340_04578
STM4420	RSRUN2340_02655
STM4420	RSRUN2340_01919
STM2365	RSRUN2340_01231
STM3334	RSRUN2340_01384
STM2366	RSRUN2340_01230
STM3699	RSRUN2340_02003
STM3457	RSRUN2340_03192
STM4425	RSRUN2340_01910
STM4425	RSRUN2340_02659
STM2489	RSRUN2340_02021
STM3469	RSRUN2340_02980
STM3106	RSRUN2340_01849
STM2018	RSRUN2340_02513
STM2019	RSRUN2340_02512
STM1163	RSRUN2340_00528
STM3103	RSRUN2340_01072
STM2498	RSRUN2340_01041
STM3468	RSRUN2340_02553
STM2378	RSRUN2340_03883
STM3316	RSRUN2340_00447
STM0047	RSRUN2340_02577
STM3315	RSRUN2340_00448
STM0046	RSRUN2340_02576
STM3557	RSRUN2340_01892
STM0045	RSRUN2340_02575
STM4408	RSRUN2340_00803
STM1490	RSRUN2340_03568
STM3551	RSRUN2340_03804
STM3554	RSRUN2340_01889
STM3796	RSRUN2340_01135
STM3553	RSRUN2340_01888
STM0049	RSRUN2340_02560
STM3556	RSRUN2340_01891
STM4403	RSRUN2340_03470
STM4403	RSRUN2340_03471
STM1135	RSRUN2340_00293
STM3555	RSRUN2340_01890
STM4416	RSRUN2340_02877
STM4415	RSRUN2340_01088
STM3205	RSRUN2340_00726
STM0171	RSRUN2340_00309
STM3680	RSRUN2340_03222
STM3561	RSRUN2340_02556
STM2351	RSRUN2340_00524
STM2351	RSRUN2340_01106
STM2351	RSRUN2340_03525
STM2351	RSRUN2340_00937
STM2351	RSRUN2340_04451
STM2472	RSRUN2340_01091
STM2472	RSRUN2340_02863
STM3560	RSRUN2340_02555
STM3560	RSRUN2340_03565
STM2473	RSRUN2340_01927
STM3563	RSRUN2340_02558
STM3200	RSRUN2340_02303
STM2474	RSRUN2340_02851
STM3562	RSRUN2340_02557
STM4414	RSRUN2340_02465
STM2356	RSRUN2340_03002
STM1193	RSRUN2340_02173
STM3493	RSRUN2340_02871
STM2162	RSRUN2340_02635
STM1194	RSRUN2340_02172
STM3250	RSRUN2340_04276
STM4221	RSRUN2340_01515
STM1195	RSRUN2340_02171
STM2164	RSRUN2340_02635
STM1196	RSRUN2340_02170
STM3134	RSRUN2340_04280
STM3134	RSRUN2340_02138
STM3255	RSRUN2340_02960
STM1197	RSRUN2340_02169
STM1076	RSRUN2340_01044
STM2289	RSRUN2340_05128
STM2289	RSRUN2340_01381
