RSc2516	YPO1199
RSc2879	YPO0155
RSc2758	YPO2255
RSc2757	YPO3964
RSc2757	YPO2256
RSc2757	YPO4036
RSc2757	YPO0958
RSc2757	YPO1508
RSc2757	YPO3907
RSc0458	YPO3781
RSc2756	YPO2257
RSc1429	YPO2871
RSc0330	YPO3992
RSc2630	YPO3401
RSc0693	YPO0055
RSc2750	YPO0926
RSc0571	YPO0921
RSc0692	YPO0056
RSc2633	YPO1773
RSc0575	YPO3076
RSc1421	YPO2409
RSc1784	YPO1605
RSp0510	YPO3864
RSc0327	YPO2601
RSc1417	YPO1057
RSc2989	YPO3771
RSc1537	YPO2837
RSc1416	YPO1056
RSc2867	YPO4000
RSc1415	YPO1055
RSc0567	YPO3899
RSc2866	YPO3999
RSc1414	YPO1054
RSc2745	YPO0480
RSc2749	YPO2157
RSc2628	YPO3400
RSc2861	YPO2995
RSc2861	YPO2993
RSc0682	YPO3862
RSc1530	YPO4116
RSc1893	YPO0425
RSc0441	YPO3953
RSc0681	YPO0490
RSc2623	YPO2828
RSc2744	YPO2610
RSc0565	YPO0057
RSc0684	YPO3861
RSc1532	YPO4114
RSc2863	YPO1300
RSc2741	YPO3221
RSc1410	YPO1048
RSc1531	YPO4115
RSc1406	YPO1046
RSc1527	YPO3501
RSc2857	YPO2074
RSc2976	YPO0145
RSc1408	YPO1049
RSc1529	YPO4117
RSc1528	YPO3500
RSc2850	YPO0549
RSc1640	YPO0442
RSc2970	YPO3215
RSc1760	YPO2160
RSc0791	YPO2630
RSc2733	YPO2302
RSc0554	YPO1115
RSc1644	YPO3360
RSc1885	YPO3999
RSc0555	YPO1116
RSc1643	YPO3361
RSc0797	YPO3305
RSc1884	YPO4000
RSc1521	YPO0482
RSc2731	YPO3403
RSc2730	YPO2303
RSc2847	YPO0552
RSc0666	YPO3389
RSc2965	YPO3557
RSc2844	YPO0555
RSc1519	YPO0481
RSc2849	YPO0550
RSc2969	YPO0152
RSc2848	YPO0551
RSc1991	YPO1108
RSc1990	YPO0531
RSc2843	YPO0556
RSc2842	YPO0557
RSc1994	YPO1111
RSc2720	YPO1636
RSc1993	YPO1112
RSp0520	YPO2982
RSp1611	YPO1290
RSp0886	YPO0024
RSp1612	YPO2496
RSc1989	YPO0530
RSc1747	YPO2158
RSc1988	YPO0532
RSc0537	YPO3244
RSc0413	YPO3577
RSc1987	YPO3949
RSc0898	YPO1215
RSc0417	YPO3123
RSc2837	YPO0561
RSc1860	YPO3166
RSc1980	YPO2768
RSc2953	YPO3569
RSc1621	YPO0006
RSc2952	YPO1548
RSc0775	YPO3319
