Orthogroup	BA7	BDBR229	CFB2957	GMI1000_2	K60	MOLK2	GMI1000	PSI07	PSS4	R24	RUN2340	UW551
OG0001223	RSBA7_00001	RSBDBR229_00001	RSCFB2957_00001	RSGMI1000_00002	RSK60_01723	RSMOLK2_00001	RSc0001	RSPSI07_03254	RSPSS4_00002	RSR24_00001	RSRUN2340_00002	RSUW551_00087
OG0002467	RSBA7_00002	RSBDBR229_00002	RSCFB2957_00002	RSGMI1000_00003	RSK60_01722	RSMOLK2_00002	RSc0002	RSPSI07_03253	RSPSS4_00003	RSR24_00002	RSRUN2340_00003	RSUW551_00086
OG0001543	RSBA7_00003	RSBDBR229_00003	RSCFB2957_00003	RSGMI1000_00004	RSK60_01721	RSMOLK2_00003	RSc0003	RSPSI07_03252	RSPSS4_00004	RSR24_00003	RSRUN2340_00004	RSUW551_00085
OG0002466	RSBA7_00004	RSBDBR229_00004	RSCFB2957_00004	RSGMI1000_00005	RSK60_01720	RSMOLK2_00004	RSc0004	RSPSI07_03251	RSPSS4_00005	RSR24_00004	RSRUN2340_00005	RSUW551_00084
OG0000830	RSBA7_00005	RSBDBR229_00005	RSCFB2957_00005	RSGMI1000_00006	RSK60_01719	RSMOLK2_00005	RSc0005	RSPSI07_03250	RSPSS4_00006	RSR24_00005	RSRUN2340_00006	RSUW551_00083
OG0003499	RSBA7_00008	RSBDBR229_00007	RSCFB2957_00008	RSGMI1000_00007	RSK60_01716	RSMOLK2_00008	RSc0006		RSPSS4_00007	RSR24_00006	RSRUN2340_00008	RSUW551_00080
OG0003500	RSBA7_00009	RSBDBR229_00008	RSCFB2957_00009	RSGMI1000_00008	RSK60_01715	RSMOLK2_00009	RSc0007		RSPSS4_00008	RSR24_00007, RSR24_00008		RSUW551_00079
OG0000748	RSBA7_00012	RSBDBR229_00010	RSCFB2957_00012	RSGMI1000_00009	RSK60_01712	RSMOLK2_00012	RSc0008	RSPSI07_03242	RSPSS4_00009	RSR24_00010	RSRUN2340_00010	RSUW551_00076
OG0001540	RSBA7_00013	RSBDBR229_00011	RSCFB2957_00013	RSGMI1000_00010	RSK60_01711	RSMOLK2_00013	RSc0009	RSPSI07_03241	RSPSS4_00010	RSR24_00011	RSRUN2340_00011	RSUW551_00075
OG0000028	RSBA7_00014, RSBA7_03968, RSBA7_04846	RSBDBR229_00012, RSBDBR229_04520	RSCFB2957_00014, RSCFB2957_03519, RSCFB2957_04068	RSGMI1000_00011, RSGMI1000_03784, RSGMI1000_04278	RSK60_01710, RSK60_04320	RSMOLK2_00014, RSMOLK2_00844, RSMOLK2_01285, RSMOLK2_03718	RSc0010, RSp0312, RSp0818	RSPSI07_03240, RSPSI07_03946	RSPSS4_00011, RSPSS4_04227, RSPSS4_04722	RSR24_00012	RSRUN2340_00012, RSRUN2340_04262	RSUW551_00074, RSUW551_03572, RSUW551_04207
OG0000057	RSBA7_00015, RSBA7_03966, RSBA7_03967	RSBDBR229_00013, RSBDBR229_04519	RSCFB2957_00015, RSCFB2957_04069	RSGMI1000_00012, RSGMI1000_04279	RSK60_01709, RSK60_04321	RSMOLK2_00015, RSMOLK2_01286	RSc0011, RSp0819	RSPSI07_03239, RSPSI07_03947	RSPSS4_00012, RSPSS4_04226	RSR24_00013	RSRUN2340_00013, RSRUN2340_04263	RSUW551_00073, RSUW551_04208
OG0001012	RSBA7_00016	RSBDBR229_00014	RSCFB2957_00016	RSGMI1000_00013	RSK60_01708	RSMOLK2_00016	RSc0012	RSPSI07_03238	RSPSS4_00013	RSR24_00014	RSRUN2340_00014	RSUW551_00072
OG0002462	RSBA7_00017	RSBDBR229_00015	RSCFB2957_00017	RSGMI1000_00014	RSK60_01707	RSMOLK2_00017	RSc0013	RSPSI07_03237	RSPSS4_00014	RSR24_00015	RSRUN2340_00015	RSUW551_00071
OG0002463	RSBA7_00018	RSBDBR229_00016	RSCFB2957_00018	RSGMI1000_00015	RSK60_01706	RSMOLK2_00018	RSc0014	RSPSI07_03236	RSPSS4_00015	RSR24_00016	RSRUN2340_00016	RSUW551_00070
OG0001525	RSBA7_00019	RSBDBR229_00017	RSCFB2957_00019	RSGMI1000_00016	RSK60_01705	RSMOLK2_00019	RSc0015	RSPSI07_03235	RSPSS4_00016	RSR24_00017	RSRUN2340_00017	RSUW551_00069
OG0001538	RSBA7_00020	RSBDBR229_00018	RSCFB2957_00020	RSGMI1000_00017	RSK60_01704	RSMOLK2_00020	RSc0016	RSPSI07_03234	RSPSS4_00017	RSR24_00018	RSRUN2340_00018	RSUW551_00068
OG0002461	RSBA7_00021	RSBDBR229_00019	RSCFB2957_00021	RSGMI1000_00018	RSK60_01703	RSMOLK2_00021	RSc0017	RSPSI07_03233	RSPSS4_00018	RSR24_00019	RSRUN2340_00019	RSUW551_00067
OG0002864	RSBA7_00022	RSBDBR229_00020	RSCFB2957_00022	RSGMI1000_00019	RSK60_01702	RSMOLK2_00022	RSc0018	RSPSI07_03232	RSPSS4_00019	RSR24_00020	RSRUN2340_00021	RSUW551_00066
OG0002865	RSBA7_00023	RSBDBR229_00021	RSCFB2957_00023	RSGMI1000_00020	RSK60_01701	RSMOLK2_00023	RSc0019	RSPSI07_03231	RSPSS4_00020	RSR24_00021	RSRUN2340_00042	RSUW551_00065
OG0000100	RSBA7_00024, RSBA7_02956	RSBDBR229_00022, RSBDBR229_03256	RSCFB2957_00024, RSCFB2957_03046	RSGMI1000_00021, RSGMI1000_03342	RSK60_01700	RSMOLK2_00024, RSMOLK2_02637	RSc0020, RSc3282	RSPSI07_00153, RSPSI07_03230	RSPSS4_00021, RSPSS4_03438	RSR24_00022, RSR24_03355	RSRUN2340_00043	RSUW551_00064, RSUW551_03073
OG0002460	RSBA7_00026	RSBDBR229_00024	RSCFB2957_00026	RSGMI1000_00023	RSK60_01698	RSMOLK2_00026	RSc0021	RSPSI07_03228	RSPSS4_00023	RSR24_00024	RSRUN2340_00045	RSUW551_00062
OG0001537	RSBA7_00027	RSBDBR229_00025	RSCFB2957_00027	RSGMI1000_00024	RSK60_01697	RSMOLK2_00027	RSc0022	RSPSI07_03227	RSPSS4_00024	RSR24_00025	RSRUN2340_00046	RSUW551_00061
OG0001536	RSBA7_00028	RSBDBR229_00026	RSCFB2957_00028	RSGMI1000_00025	RSK60_01696	RSMOLK2_00028	RSc0023	RSPSI07_03226	RSPSS4_00025	RSR24_00026	RSRUN2340_00047	RSUW551_00060
OG0001671	RSBA7_00029	RSBDBR229_00027	RSCFB2957_00029	RSGMI1000_00026	RSK60_01695	RSMOLK2_00029	RSc0024	RSPSI07_03225	RSPSS4_00026	RSR24_00027	RSRUN2340_00048	RSUW551_00059
OG0002866	RSBA7_00030	RSBDBR229_00028	RSCFB2957_00030	RSGMI1000_00027	RSK60_01694	RSMOLK2_00030	RSc0025	RSPSI07_03224	RSPSS4_00027	RSR24_00028	RSRUN2340_00049	RSUW551_00058
OG0001322	RSBA7_00031	RSBDBR229_00029	RSCFB2957_00031	RSGMI1000_00028	RSK60_01693	RSMOLK2_00031	RSc0026	RSPSI07_03223	RSPSS4_00028	RSR24_00029	RSRUN2340_00050	RSUW551_00057
OG0001321	RSBA7_00032	RSBDBR229_00030	RSCFB2957_00032	RSGMI1000_00029	RSK60_01692	RSMOLK2_00032	RSc0027	RSPSI07_03222	RSPSS4_00029	RSR24_00030	RSRUN2340_00051	RSUW551_00056
OG0000018	RSBA7_00033, RSBA7_00761, RSBA7_03729, RSBA7_04924	RSBDBR229_00031, RSBDBR229_02182, RSBDBR229_03568, RSBDBR229_04661	RSCFB2957_00033, RSCFB2957_00708, RSCFB2957_04292, RSCFB2957_04882	RSGMI1000_00030, RSGMI1000_05060	RSK60_00977, RSK60_01691, RSK60_04518, RSK60_05040	RSMOLK2_00033, RSMOLK2_00692, RSMOLK2_01450, RSMOLK2_04696	RSc0028, RSp1611	RSPSI07_02542, RSPSI07_03221, RSPSI07_04190, RSPSI07_04801	RSPSS4_00030, RSPSS4_05116	RSR24_00031, RSR24_00771, RSR24_03898, RSR24_04309, RSR24_04874	RSRUN2340_00052, RSRUN2340_05126	RSUW551_00055, RSUW551_02372, RSUW551_03256, RSUW551_04412, RSUW551_04804
OG0000181	RSBA7_00034	RSBDBR229_00032	RSCFB2957_00034	RSGMI1000_00031	RSK60_01690	RSMOLK2_00034	RSc0029	RSPSI07_03220	RSPSS4_00031	RSR24_00032	RSRUN2340_00053	RSUW551_00054
