PP_0514	H16_A2848
PP_1604	H16_A2042
PP_0996	H16_B2142
PP_1607	H16_A1223
PP_0519	H16_A3154
PP_0517	H16_A2855
PP_1601	H16_A2045
PP_1843	H16_A0087
PP_1602	H16_A2044
PP_0516	H16_A2854
PP_2933	H16_B0571
PP_2933	H16_A1090
PP_2933	H16_A1801
PP_1603	H16_A2043
PP_0515	H16_A2849
PP_1616	H16_B1195
PP_1616	H16_B2470
PP_1616	H16_B1745
PP_1617	H16_B1194
PP_1618	H16_A1457
PP_0522	H16_B1576
PP_0763	H16_B1335
PP_0763	H16_B2522
PP_0520	H16_A3155
PP_0762	H16_B0611
PP_1610	H16_A1185
PP_1611	H16_A1186
PP_0528	H16_A2733
PP_1612	H16_A1188
PP_0527	H16_A2732
PP_1614	H16_A1456
PP_2703	H16_B1506
PP_2913	H16_A3453
PP_0732	H16_A3339
PP_0736	H16_A2529
PP_2911	H16_B1890
PP_0735	H16_A0330
PP_0977	H16_A2751
PP_5196	H16_A0759
PP_5193	H16_A3620
PP_5192	H16_A3621
PP_5195	H16_A0761
PP_5194	H16_A3619
PP_0987	H16_A3622
PP_0980	H16_A2990
PP_1830	H16_A1317
PP_0989	H16_A3620
PP_0747	H16_A3242
PP_0746	H16_B1595
PP_0746	H16_A0918
PP_0988	H16_A3621
PP_1802	H16_A2897
PP_0953	H16_A0388
PP_1805	H16_B0038
PP_1806	H16_A0391
PP_1807	H16_A1186
PP_1808	H16_A1502
PP_1808	H16_B1502
PP_0718	H16_A1253
PP_0959	H16_A3426
PP_0958	H16_A3427
PP_0957	H16_A0391
PP_1800	H16_A2899
PP_0713	H16_A3527
PP_5179	H16_B1829
PP_5179	H16_B0109
PP_5179	H16_B1951
PP_5179	H16_B0462
PP_5171	H16_A2247
PP_5170	H16_A2239
PP_0723	H16_A0374
PP_2902	H16_A1217
PP_0965	H16_A3417
PP_0964	H16_A3418
PP_0722	H16_A0372
PP_2904	H16_A2784
PP_2905	H16_A1221
PP_0960	H16_A3425
PP_0966	H16_A3416
PP_4097	H16_A2546
PP_5185	H16_A2343
PP_0932	H16_A0112
PP_0931	H16_A0111
PP_0930	H16_A0108
PP_5149	H16_A0427
PP_0936	H16_A0910
PP_4064	H16_A0167
PP_4064	H16_A1972
PP_4064	H16_B0703
PP_4063	H16_A1971
PP_4063	H16_A3514
PP_4066	H16_A0179
PP_5155	H16_B0824
PP_4065	H16_A0177
PP_4065	H16_A1973
PP_4067	H16_A1974
PP_4067	H16_A0184
PP_4060	H16_B1557
PP_5150	H16_A2345
PP_0946	H16_A0610
PP_0944	H16_B0103
PP_5168	H16_A2237
PP_5169	H16_A2238
PP_5128	H16_B0280
PP_0915	H16_A0610
PP_0914	H16_B2043
PP_4284	H16_B2578
PP_4286	H16_B2483
PP_4286	H16_A1006
PP_5132	H16_A2704
PP_4285	H16_A1009
PP_4285	H16_B0994
PP_4285	H16_B0995
PP_4288	H16_B2455
PP_5135	H16_B0111
PP_4287	H16_A1005
PP_4287	H16_B0998
PP_5137	H16_B1829
PP_5137	H16_B0109
PP_5137	H16_B1951
PP_5137	H16_B0462
PP_5136	H16_B1952
PP_5136	H16_B0110
PP_5371	PHG009
PP_5371	RALH13962
PP_5371	H16_A0735
PP_5371	H16_B2070
PP_4281	H16_A1013
PP_0920	H16_A1696
PP_0920	H16_B2164
PP_0920	H16_A1667
PP_0920	H16_B2161
PP_0920	H16_A1789
PP_5139	H16_B1644
PP_0927	H16_B2165
PP_0927	H16_B1082
PP_4053	H16_B1564
PP_4052	H16_B1561
PP_4055	H16_B1560
PP_4297	H16_A3598
PP_5386	H16_A2186
PP_4299	H16_A3600
PP_4299	H16_B0941
PP_5388	H16_A2188
PP_4298	H16_A3599
PP_4298	H16_A1558
PP_5387	H16_A2187
PP_4059	H16_B1558
PP_4058	H16_B1559
PP_5380	H16_B2185
PP_4290	RALH12895
PP_4290	H16_A3367
PP_4290	H16_A1007
PP_4051	H16_B1563
PP_4016	H16_A3124
PP_4258	H16_A2316
PP_5107	H16_A3160
PP_5351	H16_A0316
PP_5351	H16_B1501
PP_5351	H16_B2566
PP_4020	H16_A0856
PP_3173	H16_A1696
PP_3173	H16_B2164
PP_3173	H16_A1667
PP_3173	H16_B2161
PP_3173	H16_A1789
PP_4264	H16_A3615
PP_4266	H16_A0395
PP_3178	H16_B0612
PP_2080	H16_A1356
PP_2082	H16_A2038
PP_5118	H16_A2737
PP_5120	H16_A0232
PP_2095	H16_A1401
PP_5364	H16_B1255
PP_5366	H16_A2323
PP_2098	H16_A0575
PP_5123	H16_A0367
PP_4034	H16_A1475
PP_4034	H16_A1734
PP_4034	H16_B2014
PP_4034	H16_B2069
PP_5365	H16_A2803
PP_3189	H16_B1593
PP_4279	H16_A1016
PP_4278	H16_A1017
PP_2090	H16_A2994
