KPN_04005	RSPSS4_02212
KPN_03036	RSPSS4_00942
KPN_04249	RSPSS4_02515
KPN_04008	RSPSS4_01419
KPN_01090	RSPSS4_01072
KPN_01091	RSPSS4_01073
KPN_02180	RSPSS4_01906
KPN_01092	RSPSS4_01074
KPN_01093	RSPSS4_01075
KPN_02061	RSPSS4_02861
KPN_01096	RSPSS4_01655
KPN_02055	RSPSS4_01810
KPN_02176	RSPSS4_01902
KPN_04478	RSPSS4_02102
KPN_01089	RSPSS4_01071
KPN_03268	RSPSS4_01810
KPN_03389	RSPSS4_02308
KPN_03388	RSPSS4_02307
KPN_04239	RSPSS4_00094
KPN_03029	RSPSS4_00822
KPN_03380	RSPSS4_00352
KPN_03140	RSPSS4_01123
KPN_03140	RSPSS4_03452
KPN_03140	RSPSS4_03629
KPN_04350	RSPSS4_02705
KPN_02295	RSPSS4_05029
KPN_02054	RSPSS4_01912
KPN_02054	RSPSS4_02402
KPN_02175	RSPSS4_01901
KPN_03009	RSPSS4_03651
KPN_01197	RSPSS4_02857
KPN_03375	RSPSS4_00135
KPN_01198	RSPSS4_01691
KPN_02169	RSPSS4_02552
KPN_03016	RSPSS4_04712
KPN_02160	RSPSS4_01505
KPN_03130	RSPSS4_01103
KPN_02162	RSPSS4_00768
KPN_02162	RSPSS4_02765
KPN_03132	RSPSS4_04217
KPN_01074	RSPSS4_00499
KPN_03131	RSPSS4_01103
KPN_04329	RSPSS4_00469
KPN_03123	RSPSS4_01203
KPN_00096	RSPSS4_02949
KPN_03244	RSPSS4_01453
KPN_00095	RSPSS4_02950
KPN_00094	RSPSS4_02951
KPN_03124	RSPSS4_01200
KPN_04576	RSPSS4_01307
KPN_04337	RSPSS4_00733
KPN_00091	RSPSS4_02954
KPN_03126	RSPSS4_01908
KPN_04339	RSPSS4_02401
KPN_00090	RSPSS4_02955
KPN_03008	RSPSS4_03650
KPN_04217	RSPSS4_02681
KPN_02392	RSPSS4_03944
KPN_02392	RSPSS4_04310
KPN_02393	RSPSS4_03945
KPN_04331	RSPSS4_00472
KPN_00918	RSPSS4_03867
KPN_04289	RSPSS4_00708
KPN_04288	RSPSS4_00706
KPN_03194	RSPSS4_04423
KPN_04282	RSPSS4_01270
KPN_03193	RSPSS4_04424
KPN_04287	RSPSS4_04032
KPN_04286	RSPSS4_04526
KPN_04286	RSPSS4_04031
KPN_04157	RSPSS4_01035
KPN_04399	RSPSS4_00301
KPN_03183	RSPSS4_02544
KPN_04271	RSPSS4_00460
KPN_04395	RSPSS4_01446
KPN_04152	RSPSS4_01821
KPN_04152	RSPSS4_03994
KPN_03184	RSPSS4_02543
KPN_04155	RSPSS4_01325
KPN_04397	RSPSS4_00285
KPN_04154	RSPSS4_02865
KPN_04154	RSPSS4_01324
KPN_04154	RSPSS4_05138
KPN_04396	RSPSS4_01441
KPN_04267	RSPSS4_02224
KPN_04388	RSPSS4_00516
KPN_04387	RSPSS4_02339
KPN_04269	RSPSS4_00586
KPN_04142	RSPSS4_03478
KPN_04141	RSPSS4_03477
KPN_04143	RSPSS4_03479
KPN_04135	RSPSS4_00180
KPN_04256	RSPSS4_02106
KPN_03045	RSPSS4_00691
KPN_04134	RSPSS4_00181
KPN_04376	RSPSS4_00114
KPN_04137	RSPSS4_03473
KPN_04379	RSPSS4_03459
KPN_04136	RSPSS4_04235
KPN_04136	RSPSS4_03472
KPN_04139	RSPSS4_03475
KPN_04138	RSPSS4_03474
KPN_02193	RSPSS4_02972
KPN_02193	RSPSS4_02042
KPN_02194	RSPSS4_02973
KPN_02194	RSPSS4_01251
KPN_02194	RSPSS4_02041
KPN_04131	RSPSS4_01970
KPN_04130	RSPSS4_01969
KPN_04372	RSPSS4_00110
KPN_04133	RSPSS4_01972
KPN_04375	RSPSS4_00109
KPN_04374	RSPSS4_00358
KPN_04011	RSPSS4_03218
KPN_04132	RSPSS4_01971
KPN_00039	RSPSS4_02853
KPN_03673	RSPSS4_04227
