YPO1049	RSPSI07_01865
YPO2016	RSPSI07_00566
YPO1048	RSPSI07_01863
YPO2499	RSPSI07_02030
YPO2257	RSPSI07_00713
YPO2256	RSPSI07_04821
YPO2256	RSPSI07_00712
YPO2256	RSPSI07_02031
YPO1166	RSPSI07_00325
YPO2014	RSPSI07_02897
YPO1046	RSPSI07_01867
YPO2013	RSPSI07_02899
YPO2255	RSPSI07_00711
YPO2496	RSPSI07_04191
YPO2496	RSPSI07_04802
YPO3222	RSPSI07_00653
YPO3221	RSPSI07_00728
YPO1041	RSPSI07_01881
YPO2372	RSPSI07_02773
YPO2370	RSPSI07_02484
YPO0070	RSPSI07_02129
YPO0068	RSPSI07_02937
YPO3215	RSPSI07_00493
YPO3578	RSPSI07_02881
YPO3577	RSPSI07_02880
YPO0066	RSPSI07_02939
YPO1395	RSPSI07_02329
YPO1395	RSPSI07_01165
YPO1396	RSPSI07_00880
YPO1151	RSPSI07_03031
YPO1152	RSPSI07_01790
YPO1391	RSPSI07_02388
YPO1390	RSPSI07_02389
YPO3569	RSPSI07_00510
YPO1146	RSPSI07_04329
YPO0057	RSPSI07_02692
YPO1389	RSPSI07_02393
YPO0058	RSPSI07_02381
YPO1023	RSPSI07_00873
YPO0055	RSPSI07_02566
YPO3443	RSPSI07_01127
YPO0056	RSPSI07_02567
YPO0053	RSPSI07_02904
YPO3441	RSPSI07_01000
YPO1022	RSPSI07_02023
YPO3319	RSPSI07_02477
YPO1139	RSPSI07_04296
YPO0169	RSPSI07_00586
YPO0048	RSPSI07_00953
YPO1379	RSPSI07_01078
YPO3557	RSPSI07_00498
YPO0047	RSPSI07_00951
YPO3312	RSPSI07_00405
YPO1133	RSPSI07_02941
YPO3796	RSPSI07_02009
YPO0045	RSPSI07_03117
YPO3795	RSPSI07_02008
YPO2221	RSPSI07_01362
YPO3794	RSPSI07_02007
YPO3793	RSPSI07_02006
YPO3430	RSPSI07_00643
YPO1374	RSPSI07_01073
YPO0040	RSPSI07_01210
YPO0161	RSPSI07_04395
YPO0162	RSPSI07_01603
YPO0160	RSPSI07_04394
YPO0158	RSPSI07_00995
YPO3305	RSPSI07_02457
YPO0038	RSPSI07_01212
YPO3788	RSPSI07_03779
YPO1127	RSPSI07_00965
YPO3424	RSPSI07_00966
YPO2214	RSPSI07_03709
YPO3423	RSPSI07_00666
YPO0155	RSPSI07_00589
YPO0152	RSPSI07_00494
YPO3781	RSPSI07_02811
YPO2692	RSPSI07_00055
YPO3660	RSPSI07_00685
YPO2691	RSPSI07_00054
YPO2690	RSPSI07_00053
YPO3419	RSPSI07_01608
YPO3418	RSPSI07_01609
YPO2329	RSPSI07_00320
YPO1238	RSPSI07_03230
YPO1238	RSPSI07_00153
YPO3659	RSPSI07_00684
YPO3417	RSPSI07_01611
YPO2206	RSPSI07_00584
YPO2206	RSPSI07_03784
YPO3658	RSPSI07_00683
YPO3779	RSPSI07_02808
YPO2205	RSPSI07_00583
YPO2205	RSPSI07_03783
YPO1599	RSPSI07_02256
YPO1115	RSPSI07_02704
YPO3899	RSPSI07_02690
YPO1116	RSPSI07_02703
YPO2204	RSPSI07_01383
YPO0024	RSPSI07_02015
YPO0024	RSPSI07_04023
YPO0145	RSPSI07_00487
YPO1597	RSPSI07_02258
YPO1113	RSPSI07_02004
YPO1598	RSPSI07_02257
YPO1114	RSPSI07_02003
YPO1111	RSPSI07_01372
YPO1112	RSPSI07_01373
YPO3530	RSPSI07_00071
YPO3771	RSPSI07_00474
YPO1108	RSPSI07_01375
YPO3407	RSPSI07_03020
YPO3769	RSPSI07_02541
YPO3767	RSPSI07_01111
YPO3525	RSPSI07_02487
YPO0378	RSPSI07_02058
YPO3403	RSPSI07_00738
YPO3402	RSPSI07_01022
YPO3401	RSPSI07_00833
YPO2554	RSPSI07_01305
YPO2433	RSPSI07_01583
YPO1587	RSPSI07_02781
YPO0253	RSPSI07_01414
YPO3400	RSPSI07_00835
YPO3521	RSPSI07_01064
YPO3520	RSPSI07_01243
YPO0493	RSPSI07_02748
YPO2551	RSPSI07_01309
YPO3760	RSPSI07_00863
YPO0490	RSPSI07_02579
YPO3519	RSPSI07_00688
YPO0008	RSPSI07_02294
YPO2429	RSPSI07_01587
YPO2549	RSPSI07_01311
YPO2428	RSPSI07_01588
YPO0006	RSPSI07_01631
YPO0006	RSPSI07_04242
YPO2548	RSPSI07_01312
YPO3999	RSPSI07_01437
YPO3999	RSPSI07_00605
YPO0246	RSPSI07_00693
YPO2425	RSPSI07_01011
YPO2303	RSPSI07_03827
YPO2303	RSPSI07_00739
YPO1215	RSPSI07_02398
YPO2545	RSPSI07_01315
YPO3513	RSPSI07_00649
YPO2302	RSPSI07_00736
YPO2302	RSPSI07_03825
YPO0486	RSPSI07_02350
YPO2422	RSPSI07_01952
YPO2421	RSPSI07_01953
YPO1332	RSPSI07_01523
YPO1332	RSPSI07_01694
YPO2420	RSPSI07_01955
YPO3992	RSPSI07_02965
YPO0482	RSPSI07_01490
YPO0241	RSPSI07_03177
YPO0480	RSPSI07_00724
YPO0481	RSPSI07_01488
YPO1570	RSPSI07_00860
YPO1207	RSPSI07_00773
YPO1207	RSPSI07_04771
YPO2539	RSPSI07_03829
YPO3627	RSPSI07_01933
YPO4037	RSPSI07_04820
YPO4036	RSPSI07_04821
YPO4036	RSPSI07_00712
YPO4036	RSPSI07_02031
YPO4035	RSPSI07_04822
YPO3183	RSPSI07_02534
YPO3062	RSPSI07_02144
YPO3182	RSPSI07_02537
YPO3180	RSPSI07_00701
YPO0907	RSPSI07_00141
YPO0905	RSPSI07_00139
YPO0906	RSPSI07_00140
YPO3179	RSPSI07_00700
YPO3177	RSPSI07_01142
YPO3176	RSPSI07_01141
YPO3053	RSPSI07_01884
YPO3167	RSPSI07_00551
YPO3166	RSPSI07_00550
YPO3286	RSPSI07_00805
YPO3286	RSPSI07_02509
YPO3165	RSPSI07_00549
YPO3164	RSPSI07_00548
YPO2074	RSPSI07_00614
YPO2074	RSPSI07_02727
YPO3162	RSPSI07_03099
YPO4127	RSPSI07_00111
YPO4126	RSPSI07_00112
YPO4125	RSPSI07_00113
YPO2067	RSPSI07_04367
YPO3034	RSPSI07_01246
YPO3034	RSPSI07_00702
YPO3034	RSPSI07_01459
YPO2066	RSPSI07_04749
YPO4123	RSPSI07_00115
YPO4001	RSPSI07_01894
YPO4122	RSPSI07_00116
YPO4000	RSPSI07_00604
YPO4000	RSPSI07_01438
YPO4000	RSPSI07_03919
YPO4121	RSPSI07_00117
YPO3032	RSPSI07_01173
YPO4120	RSPSI07_03937
YPO4120	RSPSI07_00118
YPO4119	RSPSI07_03083
YPO4118	RSPSI07_03082
YPO4117	RSPSI07_01499
YPO4116	RSPSI07_01500
YPO3389	RSPSI07_02593
YPO4115	RSPSI07_01501
YPO4114	RSPSI07_01502
YPO2054	RSPSI07_02801
