ID	Name	Formula_with_ids	Formula_with_Names	EC	Type	Pathways	GPR	Complete_GPR	networks	percentageNetworks
R_12DHFD	1,2-dihydroxyfluorene 1,1a-dioxygenase	M_12dhflu_c + M_o2_c --> M_h_c + M_hodhiyb2e_c	1,2-Dihydroxyfluorene + Dioxygen --> proton_H_ + 2-Hydroxy-4-(2-oxo-1,3-dihydro-2Hinden-1-ylidene)but-2-enoic acid	null	normal	Fluorene degradation	( RSBA7_04842 ) OR ( RSBDBR229_03453 ) OR ( RSCFB2957_03523 ) OR ( RSGMI1000_03788 ) OR ( RSK60_03877 ) OR ( RSMOLK2_00848 ) OR ( RSPSI07_03522 ) OR ( RSPSS4_04718 ) OR ( RSR24_03752 ) OR ( RSRUN2340_03835 ) OR ( RSUW551_03576 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_12GLUCANS1	b_1_2_glucan_synthase__ADPGlc_	13.0 M_adpglc_c --> M_12glucan_C13_c + 13.0 M_adp_c + 13.0 M_h_c	13.0 ADPglucose --> 1_2_beta_D_Glucosyl_13 + 13.0 ADP + 13.0 proton_H_	null	normal	b_1_2_Glucan_biosynthesis		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_12GLUCANS2	b_1_2_glucan_synthase__1_6_linkage	M_12glucan_C13_c --> M_glucan_c + M_h2o_c	1_2_beta_D_Glucosyl_13 --> 1_2_beta_D_Glucosyl_13_cycled + H2O	null	normal	b_1_2_Glucan_biosynthesis		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_12GLUCANS3	b_1_2_glucan_acetylated_synthase__ADPGlc	M_accoa_c + 13.0 M_adpglc_c --> M_ac12glucan_C13_c + 13.0 M_adp_c + M_coa_c + 13.0 M_h_c	Acetyl_CoA + 13.0 ADPglucose --> 1_2_beta_D_Glucosyl_13_acetylated + 13.0 ADP + Coenzyme_A + 13.0 proton_H_	null	normal	b_1_2_Glucan_biosynthesis		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_12GLUCANS4	b_1_2_glucan_acetylated_synthase__1_6_linkage	M_ac12glucan_C13_c --> M_acglucan_c + M_h2o_c	1_2_beta_D_Glucosyl_13_acetylated --> 1_2_beta_D_Glucosyl_13_acetylated_cycled + H2O	null	normal	b_1_2_Glucan_biosynthesis		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_12GLUCANabcppRS	RS_12_glucan_transport_via_ABC_system__periplasm_	M_atp_c + M_glucan_c + M_h2o_c --> M_adp_c + M_glucan_p + M_h_c + M_pi_c	ATP + 1_2_beta_D_Glucosyl_13_cycled + H2O --> ADP + 1_2_beta_D_Glucosyl_13_cycled + proton_H_ + Phosphate	null	transport	b_1_2_Glucan_biosynthesis		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_12GLUCANacabcppRS	RS_12_glucanac_transport_via_ABC_system__periplasm_	M_acglucan_c + M_atp_c + M_h2o_c --> M_acglucan_p + M_adp_c + M_h_c + M_pi_c	1_2_beta_D_Glucosyl_13_acetylated_cycled + ATP + H2O --> 1_2_beta_D_Glucosyl_13_acetylated_cycled + ADP + proton_H_ + Phosphate	null	transport	b_1_2_Glucan_biosynthesis		no_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_14HPED	1-(4'-hydroxyphenyl)ethanol dehydrogenase	M_14hpeth_c + M_nad_c --> M_4hactph_c + M_h_c + M_nadh_c	1-(4'-Hydroxyphenyl)ethanol + Nicotinamide_adenine_dinucleotide --> 4'-Hydroxyacetophenone + proton_H_ + Nicotinamide_adenine_dinucleotide___reduced	null	normal	Bisphenol A degradation	( RSBA7_00921 ) OR ( RSBA7_02110 ) OR ( RSBA7_03174 ) OR ( RSBDBR229_02638 ) OR ( RSBDBR229_03369 ) OR ( RSBDBR229_04242 ) OR ( RSCFB2957_00873 ) OR ( RSCFB2957_02182 ) OR ( RSCFB2957_03270 ) OR ( RSGMI1000_00952 ) OR ( RSGMI1000_02805 ) OR ( RSGMI1000_03526 ) OR ( RSK60_00172 ) OR ( RSK60_00773 ) OR ( RSK60_03659 ) OR ( RSMOLK2_02747 ) OR ( RSMOLK2_04290 ) OR ( RSPSI07_00716 ) OR ( RSPSI07_02364 ) OR ( RSPSI07_03299 ) OR ( RSPSS4_00956 ) OR ( RSPSS4_02861 ) OR ( RSPSS4_03619 ) OR ( RSR24_00941 ) OR ( RSR24_02753 ) OR ( RSR24_03559 ) OR ( RSRUN2340_02282 ) OR ( RSRUN2340_03583 ) OR ( RSUW551_01945 ) OR ( RSUW551_03439 )	complete_gpr	[RSPSS4, RSMOLK2, RSPSI07, RSGMI1000, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSRUN2340, RSK60]	100
R_16DCDC1	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	M_16dh24checc_c + M_nad_c --> M_catechol_c + M_co2_c + M_nadh_c	1,6-Dihydroxy-cis-2,4-cyclohexadiene-1- carboxylic acid + Nicotinamide_adenine_dinucleotide --> Catechol + Carbon_dioxide_CO2 + Nicotinamide_adenine_dinucleotide___reduced	null	normal	Benzoate degradation via CoA ligation	( RSBA7_01461 ) OR ( RSBDBR229_02038 ) OR ( RSCFB2957_01452 ) OR ( RSK60_00185 ) OR ( RSMOLK2_03651 ) OR ( RSPSI07_01793 ) OR ( RSR24_01747 ) OR ( RSUW551_01371 )	complete_gpr	[RSMOLK2, RSPSI07, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSK60]	73
R_16DCDC2	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	M_3fchdc_c + M_nad_c --> M_3flrcatech_c + M_co2_c + M_nadh_c	3-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate + Nicotinamide_adenine_dinucleotide --> 3-Fluorocatechol + Carbon_dioxide_CO2 + Nicotinamide_adenine_dinucleotide___reduced	null	normal	Fluorobenzoate degradation	( RSBA7_01461 ) OR ( RSBDBR229_02038 ) OR ( RSCFB2957_01452 ) OR ( RSK60_00185 ) OR ( RSMOLK2_03651 ) OR ( RSPSI07_01793 ) OR ( RSR24_01747 ) OR ( RSUW551_01371 )	complete_gpr	[RSMOLK2, RSPSI07, RSR24, RSUW551, RSCFB2957, RSBDBR229, RSBA7, RSK60]	73
