H16_B0626	RSCFB2957_02273
H16_B0627	RSCFB2957_02274
H16_B1956	RSCFB2957_01838
H16_B0622	RSCFB2957_04767
H16_B1951	RSCFB2957_01559
H16_B0618	RSCFB2957_04142
H16_B0618	RSCFB2957_01237
H16_B1949	RSCFB2957_03384
H16_B1949	RSCFB2957_00611
H16_B0614	RSCFB2957_04505
H16_B1977	RSCFB2957_02936
H16_B0646	RSCFB2957_04343
H16_B1978	RSCFB2957_03958
H16_B1971	RSCFB2957_03158
H16_B0633	RSCFB2957_03421
H16_B1965	RSCFB2957_02784
H16_B1960	RSCFB2957_02507
H16_B1960	RSCFB2957_02943
H16_B1910	RSCFB2957_03769
H16_B1907	RSCFB2957_01930
H16_B1904	RSCFB2957_00977
H16_A2192	RSCFB2957_01812
H16_A2192	RSCFB2957_04162
H16_B1939	RSCFB2957_02507
H16_B1939	RSCFB2957_02943
H16_B1935	RSCFB2957_04436
H16_B1936	RSCFB2957_00195
H16_B1928	RSCFB2957_04726
H16_B1928	RSCFB2957_04725
H16_B1929	RSCFB2957_04728
H16_B1927	RSCFB2957_04726
H16_B1927	RSCFB2957_04725
H16_B1924	RSCFB2957_02806
H16_B1924	RSCFB2957_02140
H16_B1925	RSCFB2957_04729
H16_A3499	RSCFB2957_02844
H16_A3490	RSCFB2957_02828
H16_A3492	RSCFB2957_04053
H16_A3492	RSCFB2957_02830
H16_A3491	RSCFB2957_02829
H16_A3491	RSCFB2957_02850
H16_A3494	RSCFB2957_02832
H16_A3493	RSCFB2957_02831
H16_A2165	RSCFB2957_04472
H16_A3496	RSCFB2957_02841
H16_A2164	RSCFB2957_04471
H16_A3495	RSCFB2957_02833
H16_A2167	RSCFB2957_03679
H16_A3498	RSCFB2957_02843
H16_A3497	RSCFB2957_02842
H16_A3481	RSCFB2957_02824
H16_A3480	RSCFB2957_02823
H16_A3483	RSCFB2957_02826
H16_A3482	RSCFB2957_02825
H16_A2154	RSCFB2957_02151
H16_A3484	RSCFB2957_02827
H16_A3487	RSCFB2957_04233
H16_A2181	RSCFB2957_00103
H16_A2180	RSCFB2957_04416
H16_A2183	RSCFB2957_00101
H16_A2182	RSCFB2957_00102
H16_A2185	RSCFB2957_04919
H16_A2184	RSCFB2957_04918
H16_A2187	RSCFB2957_04921
H16_A2186	RSCFB2957_04920
H16_A2189	RSCFB2957_00822
H16_A2188	RSCFB2957_04922
H16_A2179	RSCFB2957_04415
H16_A2172	RSCFB2957_01695
H16_A2171	RSCFB2957_02392
H16_A2174	RSCFB2957_03916
H16_A2173	RSCFB2957_03123
H16_A2178	RSCFB2957_04414
H16_A2177	RSCFB2957_04414
H16_A2125	RSCFB2957_00852
H16_A2125	RSCFB2957_03157
H16_A3456	RSCFB2957_02799
H16_A3455	RSCFB2957_02798
H16_A3458	RSCFB2957_02801
H16_A3457	RSCFB2957_02800
H16_A3459	RSCFB2957_02802
H16_B1076	RSCFB2957_00741
H16_B1076	RSCFB2957_02475
H16_B1077	RSCFB2957_00615
H16_B1071	RSCFB2957_04551
H16_A3450	RSCFB2957_02794
H16_A3452	RSCFB2957_02796
H16_A2121	RSCFB2957_01336
H16_A3451	RSCFB2957_02795
H16_A3453	RSCFB2957_02797
H16_A2122	RSCFB2957_04528
H16_A2114	RSCFB2957_01341
H16_A3445	RSCFB2957_02789
H16_A2113	RSCFB2957_01342
H16_A3444	RSCFB2957_02788
H16_A2116	RSCFB2957_01340
H16_A3447	RSCFB2957_02791
H16_A3446	RSCFB2957_02790
H16_A2118	RSCFB2957_01338
H16_A3449	RSCFB2957_02793
H16_A2117	RSCFB2957_01339
H16_A3448	RSCFB2957_02792
H16_A2119	RSCFB2957_01337
H16_B2399	RSCFB2957_03042
H16_B1061	RSCFB2957_04048
H16_B1062	RSCFB2957_04049
H16_B1060	RSCFB2957_04047
RALH10402	RSCFB2957_00742
H16_A3441	RSCFB2957_02784
H16_A2110	RSCFB2957_01344
H16_A3440	RSCFB2957_02783
H16_A2112	RSCFB2957_01343
H16_A3443	RSCFB2957_02787
H16_A3442	RSCFB2957_02785
H16_A3478	RSCFB2957_02821
H16_A3477	RSCFB2957_02820
H16_A3479	RSCFB2957_02822
H16_B1096	RSCFB2957_01280
H16_B1094	RSCFB2957_02432
H16_B1093	RSCFB2957_02436
H16_B1093	RSCFB2957_02431
H16_A3470	RSCFB2957_02813
H16_B1090	RSCFB2957_00180
H16_A3472	RSCFB2957_02815
H16_A3471	RSCFB2957_02814
H16_A3474	RSCFB2957_02817
H16_A3473	RSCFB2957_02816
H16_A3476	RSCFB2957_02819
H16_A3475	RSCFB2957_02818
H16_A3467	RSCFB2957_02810
H16_A3466	RSCFB2957_02809
H16_A3469	RSCFB2957_02812
H16_A3468	RSCFB2957_02811
H16_A2139	RSCFB2957_03285
H16_B1085	RSCFB2957_03158
H16_B1083	RSCFB2957_02917
H16_B1081	RSCFB2957_00936
H16_B1082	RSCFB2957_04237
H16_A3461	RSCFB2957_02804
H16_A3460	RSCFB2957_02803
H16_A3463	RSCFB2957_02806
H16_A3463	RSCFB2957_02140
H16_A2132	RSCFB2957_03048
H16_A2132	RSCFB2957_04697
H16_A3462	RSCFB2957_02805
H16_A3465	RSCFB2957_02808
H16_A2134	RSCFB2957_04693
H16_A3464	RSCFB2957_02807
H16_A2133	RSCFB2957_04694
H16_A0386	RSCFB2957_00363
H16_A3412	RSCFB2957_02755
H16_A3411	RSCFB2957_02754
H16_A0387	RSCFB2957_00364
H16_A3414	RSCFB2957_02757
H16_A0388	RSCFB2957_00365
H16_A0389	RSCFB2957_00366
H16_A3413	RSCFB2957_02756
H16_A3416	RSCFB2957_02759
H16_A3415	RSCFB2957_02758
H16_A3418	RSCFB2957_02761
H16_A3417	RSCFB2957_02760
H16_A3419	RSCFB2957_02762
H16_B1038	RSCFB2957_04497
H16_B2369	RSCFB2957_03599
H16_B2368	RSCFB2957_03598
H16_B2367	RSCFB2957_03597
H16_B2366	RSCFB2957_04607
PHG009	RSCFB2957_00666
H16_B2363	RSCFB2957_03592
RALH11769	RSCFB2957_03417
H16_A0380	RSCFB2957_00358
H16_A0381	RSCFB2957_00359
H16_A0383	RSCFB2957_00361
