XOO1903	RSc1443
XOO1900	RSc1202
XOO1906	RSp1521
XOO4180	RSp1301
XOO4180	RSp0156
XOO4180	RSp0475
XOO4180	RSp1135
XOO4180	RSp0126
XOO4180	RSp1331
XOO4180	RSp1362
XOO4181	RSp1136
XOO4181	RSp1179
XOO4181	RSp0206
XOO4181	RSc1704
XOO4188	RSp1197
XOO4189	RSp1198
XOO4185	RSc0448
XOO1910	RSc1575
XOO4176	RSp1301
XOO4176	RSp0156
XOO4176	RSp0475
XOO4176	RSp1135
XOO4176	RSp0126
XOO4176	RSp1331
XOO4176	RSp1362
XOO4177	RSp1301
XOO4177	RSp0156
XOO4177	RSp0475
XOO4177	RSp1135
XOO4177	RSp0126
XOO4177	RSp1331
XOO4177	RSp1362
XOO4174	RSp1301
XOO4174	RSp0156
XOO4174	RSp0475
XOO4174	RSp1135
XOO4174	RSp0126
XOO4174	RSp1331
XOO4174	RSp1362
XOO4160	RSc2885
XOO4160	RSp0680
XOO4165	RSc1439
XOO4165	RSc2405
XOO4165	RSc2706
XOO4165	RSc0423
XOO4165	RSp1333
XOO4165	RSp1217
XOO4165	RSc1492
XOO4165	RSp0558
XOO4165	RSp1625
XOO4165	RSp1303
XOO4165	RSp1628
XOO4165	RSc0828
XOO4165	RSp0504
XOO4161	RSp0681
XOO4161	RSc2884
XOO4162	RSc1820
XOO4163	RSc2882
XOO4169	RSp0155
XOO4169	RSp0584
XOO4169	RSc0843
XOO4169	RSc3123
XOO4169	RSc3145
XOO4169	RSc3421
XOO4154	RSc2854
XOO4150	RSc0349
XOO4151	RSc2817
XOO4152	RSc0491
XOO4153	RSc0490
XOO0615	RSc1439
XOO0615	RSc2405
XOO0615	RSc2706
XOO0615	RSc0423
XOO0615	RSp1333
XOO0615	RSp1217
XOO0615	RSc1492
XOO0615	RSp0558
XOO0615	RSp1625
XOO0615	RSp1303
XOO0615	RSp1628
XOO0615	RSc0828
XOO0615	RSp0504
XOO1946	RSp0155
XOO1946	RSp0584
XOO1946	RSc0843
XOO1946	RSc3123
XOO1946	RSc3145
XOO1946	RSc3421
XOO0617	RSc1439
XOO0617	RSc2405
XOO0617	RSc2706
XOO0617	RSc0423
XOO0617	RSp1333
XOO0617	RSp1217
XOO0617	RSc1492
XOO0617	RSp0558
XOO0617	RSp1625
XOO0617	RSp1303
XOO0617	RSp1628
XOO0617	RSc0828
XOO0617	RSp0504
XOO1950	RSp0155
XOO1950	RSp0584
XOO1950	RSc0843
XOO1950	RSc3123
XOO1950	RSc3145
XOO1950	RSc3421
XOO2801	RSp1136
XOO2801	RSp1179
XOO2801	RSp0206
XOO2801	RSc1704
XOO1954	RSc2740
XOO0623	RSp1371
XOO0622	RSc1439
XOO0622	RSc2405
XOO0622	RSc2706
XOO0622	RSc0423
XOO0622	RSp1333
XOO0622	RSp1217
XOO0622	RSc1492
XOO0622	RSp0558
XOO0622	RSp1625
XOO0622	RSp1303
XOO0622	RSp1628
XOO0622	RSc0828
XOO0622	RSp0504
XOO0621	RSp1587
XOO0621	RSp1588
XOO1952	RSc1008
XOO1936	RSp0155
XOO1936	RSp0584
XOO1936	RSc0843
XOO1936	RSc3123
XOO1936	RSc3145
XOO1936	RSc3421
XOO1934	RSp1301
XOO1934	RSp0156
XOO1934	RSp0475
XOO1934	RSp1135
XOO1934	RSp0126
XOO1934	RSp1331
XOO1934	RSp1362
XOO1937	RSp0155
XOO1937	RSp0584
XOO1937	RSc0843
XOO1937	RSc3123
XOO1937	RSc3145
XOO1937	RSc3421
XOO0606	RSc3439
XOO1941	RSp0155
XOO1941	RSp0584
XOO1941	RSc0843
XOO1941	RSc3123
XOO1941	RSc3145
XOO1941	RSc3421
XOO1925	RSc2798
XOO1924	RSc2381
XOO1922	RSc1006
XOO1929	RSc1758
XOO1929	RSc1757
XOO1917	RSp1660
XOO1919	RSc2361
XOO4198	RSc0357
XOO4196	RSc0354
XOO0659	RSp0282
XOO1989	RSc1390
XOO1504	RSc1179
XOO2835	RSp1409
XOO2836	RSp1408
XOO1508	RSp0155
XOO1508	RSp0584
XOO1508	RSc0843
XOO1508	RSc3123
XOO1508	RSc3145
XOO1508	RSc3421
XOO2838	RSc1460
