STM0704	RSc3384
STM0705	RSc3383
STM0706	RSc3382
STM0828	RSp0932
STM0828	RSc2260
STM0828	RSc3408
STM0828	RSc0484
STM0828	RSc2106
STM0829	RSc3409
STM3090	RSc0134
STM4063	RSc1336
STM3095	RSc0345
STM4184	RSc1358
STM4183	RSc1363
STM4066	RSc2862
STM0832	RSc2802
STM1800	RSc1452
STM1802	RSc1371
STM1803	RSc0926
STM0956	RSp1182
STM0958	RSc2342
STM1928	RSp0731
STM1928	RSp1105
STM1929	RSp1104
STM0719	RSp0058
STM4160	RSc0109
STM4162	RSc0351
STM4164	RSc0113
STM3195	RSp1191
STM4163	RSc0108
STM3076	RSc2750
STM4167	RSc3303
STM1900	RSc0468
STM1901	RSc0466
STM4175	RSc2191
STM4055	RSc2526
STM4176	RSc0504
STM0863	RSc0327
STM0984	RSc2200
STM0985	RSc2530
STM1712	RSc2003
STM0988	RSc2532
STM2927	RSc1204
STM1718	RSp0616
STM2929	RSc1644
STM2809	RSp0066
STM0506	RSc1717
STM0980	RSc0908
STM2930	RSc1643
STM2810	RSp0067
STM3901	RSc2077
STM2933	RSp0166
STM2933	RSc3166
STM1724	RSp0681
STM1724	RSc2884
STM0998	RSc1010
STM2934	RSc2421
STM0756	RSc2449
STM3903	RSc0567
STM0878	RSc1734
STM1725	RSc2885
STM1725	RSp0680
STM2935	RSc2422
STM1726	RSc1983
STM3905	RSc0449
STM0519	RSc3283
STM0518	RSc3282
STM0518	RSc0020
STM0517	RSc3281
STM0637	RSc0327
STM0963	RSc2337
STM0847	RSc1378
STM0848	RSc1176
STM0848	RSc1379
STM0849	RSc1380
STM1818	RSc2857
STM4081	RSc2064
STM0609	RSp0246
STM0608	RSp0245
STM4086	RSc3052
STM0851	RSc1382
STM0730	RSc1991
STM1700	RSc1172
STM0734	RSc1994
STM1945	RSc1072
STM0977	RSc0903
STM0735	RSc1993
STM1824	RSc2633
STM0736	RSc1269
STM0978	RSc0907
STM1826	RSc3296
STM1826	RSp0045
STM1826	RSc1100
STM0737	RSc1270
STM0738	RSc0554
STM0739	RSc0555
STM0850	RSc1381
STM0542	RSc1596
STM0663	RSc0483
STM1511	RSc0730
STM0662	RSp0932
STM0662	RSc2260
STM0662	RSc3408
STM0662	RSc0484
STM0662	RSc2106
STM0420	RSc2769
STM0787	RSc2644
STM0661	RSc2548
STM1756	RSc1106
STM1756	RSp0065
STM1756	RSc1873
STM0788	RSc2645
STM3938	RSc2357
STM1517	RSc3261
STM0309	RSc0537
STM0428	RSc1734
STM2960	RSc1079
STM0782	RSp1144
STM0665	RSc0481
STM0665	RSc2261
STM2840	RSc0667
STM0423	RSc2222
STM2961	RSc1079
STM1752	RSp0006
STM1752	RSc2237
STM0422	RSc2221
STM2962	RSp0828
STM0664	RSc0482
STM1885	RSp1560
STM1764	RSp0974
STM1886	RSp1559
STM3700	RSc0357
STM0797	RSc1479
STM1765	RSp0973
STM3702	RSc0355
STM1888	RSc0572
STM1525	RSp1143
STM3947	RSc0137
STM1647	RSc3131
STM3828	RSc2751
STM3827	RSp0828
STM3709	RSp0961
STM0791	RSc2646
STM2971	RSc3296
STM2971	RSp0045
STM2971	RSc1100
STM1761	RSp0977
STM0794	RSc0266
STM0795	RSc1478
STM1763	RSp0975
STM1884	RSp1190
STM0640	RSc0062
STM3915	RSc1188
STM2827	RSc0797
STM0648	RSc2744
STM0760	RSc0743
STM0760	RSc2660
STM0402	RSc1646
STM0761	RSc1955
STM0762	RSc1955
STM1742	RSc2866
STM1742	RSc1885
STM2952	RSc1129
STM2831	RSc0918
STM3921	RSp1016
STM1743	RSc2867
STM1743	RSc1884
STM3920	RSp0510
STM3920	RSp1017
STM2953	RSc1126
STM0776	RSp1101
STM3922	RSc0682
STM2956	RSc1576
STM3925	RSp1006
STM1627	RSp0069
STM1627	RSc0605
STM0419	RSc2768
STM0417	RSc0712
STM0659	RSp0521
STM0416	RSc0715
STM0537	RSc1167
STM0535	RSc1163
STM0534	RSc0575
STM0772	RSc0353
STM3855	RSc1531
STM3854	RSc1532
STM3733	RSc0139
STM2403	RSp1557
STM1435	RSc0520
STM0221	RSc1408
STM0463	RSc0343
STM3857	RSc1529
STM3978	RSc0708
STM3614	RSc0330
STM2526	RSc1211
STM0220	RSc1410
STM3856	RSc1530
STM1318	RSp1581
STM2408	RSp0520
STM3970	RSc0458
STM0229	RSc1417
STM0228	RSc1416
STM0227	RSc1415
STM3730	RSc2461
STM3972	RSc0461
