YPO1049	KPN_00187
YPO2016	KPN_02235
YPO1168	KPN_00587
YPO3347	KPN_03304
YPO3589	KPN_04656
YPO1048	KPN_00186
YPO2499	KPN_04155
YPO3225	KPN_00250
YPO3588	KPN_04657
YPO2256	KPN_02587
YPO2256	KPN_04623
YPO2256	KPN_03931
YPO2256	KPN_04154
YPO1166	KPN_02991
YPO1166	KPN_00585
YPO1166	KPN_01455
YPO1166	KPN_01018
YPO2014	KPN_02237
YPO1046	KPN_00184
YPO2013	KPN_02238
YPO0078	KPN_04223
YPO2496	KPN_01015
YPO3222	KPN_00281
YPO3464	KPN_04492
YPO1285	KPN_03569
YPO2254	KPN_00062
YPO3221	KPN_00280
YPO2253	KPN_00061
YPO1041	KPN_00179
YPO1283	KPN_02604
YPO2494	KPN_01014
YPO2372	KPN_01978
YPO2370	KPN_01976
YPO0070	KPN_03951
YPO2369	KPN_01975
YPO0068	KPN_03952
YPO3215	KPN_03761
YPO3578	KPN_03608
YPO2368	KPN_01974
YPO3577	KPN_03607
YPO3335	KPN_01516
YPO0066	KPN_03954
YPO3697	KPN_04652
YPO3576	KPN_03606
YPO3455	KPN_04645
YPO3696	KPN_04651
YPO3454	KPN_04646
YPO1395	KPN_00941
YPO0185	KPN_00314
YPO3211	KPN_00337
YPO1396	KPN_00942
YPO1151	KPN_00800
YPO1152	KPN_00801
YPO1391	KPN_00937
YPO0060	KPN_03961
YPO1150	KPN_00799
YPO1390	KPN_00936
YPO3569	KPN_03599
YPO0059	KPN_03962
YPO3326	KPN_00060
YPO3326	KPN_04591
YPO1028	KPN_03161
YPO1149	KPN_00781
YPO1146	KPN_00778
YPO0057	KPN_03964
YPO3446	KPN_04659
YPO3325	KPN_00926
YPO1025	KPN_03164
YPO1389	KPN_00935
YPO0058	KPN_03963
YPO3324	KPN_01579
YPO1147	KPN_00779
YPO1023	KPN_03225
YPO1023	KPN_02778
YPO0055	KPN_03972
YPO3202	KPN_00342
YPO3323	KPN_00928
YPO3443	KPN_04663
YPO0056	KPN_03965
YPO1145	KPN_00777
YPO0053	KPN_03974
YPO1384	KPN_00932
YPO2232	KPN_04242
YPO3200	KPN_00344
YPO3441	KPN_04665
YPO1022	KPN_03226
YPO1383	KPN_00931
YPO1381	KPN_00930
YPO3319	KPN_01819
YPO1139	KPN_00773
YPO0169	KPN_03746
YPO0048	KPN_03979
YPO1379	KPN_00925
YPO2227	KPN_01277
YPO3558	KPN_03625
YPO1137	KPN_00771
YPO3557	KPN_03624
YPO1138	KPN_00772
YPO0047	KPN_03980
YPO3312	KPN_04011
YPO1133	KPN_00768
YPO3796	KPN_03813
YPO2223	KPN_01274
YPO0045	KPN_03983
YPO3795	KPN_03812
YPO2222	KPN_01273
YPO2221	KPN_01272
YPO3794	KPN_03811
YPO3793	KPN_04424
YPO3793	KPN_03810
YPO3430	KPN_00106
YPO1374	KPN_00920
YPO0040	KPN_03996
YPO0161	KPN_03752
YPO0162	KPN_03751
YPO0162	KPN_00632
YPO0160	KPN_03753
YPO3428	KPN_00107
YPO1128	KPN_00755
YPO1129	KPN_00756
YPO0158	KPN_03754
YPO3305	KPN_03029
YPO0038	KPN_03998
YPO3788	KPN_04325
YPO1127	KPN_00754
YPO3424	KPN_00111
YPO2214	KPN_01266
YPO0035	KPN_04012
YPO0156	KPN_03756
YPO3423	KPN_00112
YPO3786	KPN_04327
YPO0157	KPN_03755
YPO3301	KPN_03019
YPO0155	KPN_03757
YPO3300	KPN_03018
YPO0152	KPN_03760
YPO3781	KPN_04329
YPO2692	KPN_00717
YPO2691	KPN_00716
YPO2690	KPN_00715
YPO3419	KPN_00118
YPO3418	KPN_00119
YPO2329	KPN_01449
YPO2208	KPN_01257
YPO3659	KPN_03664
YPO3417	KPN_00120
YPO1117	KPN_00736
YPO2206	KPN_01256
YPO3658	KPN_03665
YPO3779	KPN_04331
YPO1118	KPN_00737
YPO2448	KPN_01071
