KPN_04245	YPO3929
KPN_03397	YPO0960
KPN_04002	YPO0088
KPN_04005	YPO0085
KPN_04247	YPO3927
KPN_04246	YPO3928
KPN_04249	YPO3924
KPN_04007	YPO3986
KPN_04248	YPO3925
KPN_04008	YPO3015
KPN_04480	YPO0254
KPN_03395	YPO2438
KPN_03395	YPO0954
KPN_04242	YPO2232
KPN_04476	YPO0251
KPN_04234	YPO0116
KPN_04478	YPO0253
KPN_03389	YPO0946
KPN_03388	YPO0945
KPN_04239	YPO0117
KPN_03380	YPO0935
KPN_02293	YPO2566
KPN_03140	YPO1771
KPN_01197	YPO2157
KPN_04223	YPO0078
KPN_03375	YPO0931
KPN_01198	YPO2158
KPN_04225	YPO0104
KPN_03139	YPO1321
KPN_03374	YPO0929
KPN_03119	YPO3372
KPN_03123	YPO3376
KPN_00096	YPO0557
KPN_04212	YPO0329
KPN_00095	YPO0556
KPN_04211	YPO0328
KPN_00094	YPO0555
KPN_03125	YPO3378
KPN_03124	YPO3377
KPN_04213	YPO0330
KPN_00092	YPO0553
KPN_04216	YPO0334
KPN_00091	YPO0552
KPN_03126	YPO3380
KPN_00090	YPO0551
KPN_04217	YPO4061
KPN_04289	YPO3861
KPN_04288	YPO3862
KPN_04282	YPO3868
KPN_04285	YPO3865
KPN_04284	YPO3866
KPN_04287	YPO3863
KPN_04286	YPO3864
KPN_00903	YPO1357
KPN_00904	YPO1358
KPN_04270	YPO3897
KPN_04273	YPO3888
KPN_04267	YPO2293
KPN_04269	YPO3899
KPN_02080	YPO2735
KPN_02081	YPO2734
KPN_04256	YPO3909
KPN_04255	YPO3910
KPN_02079	YPO2736
KPN_03161	YPO1028
KPN_04492	YPO3464
KPN_04010	YPO0091
KPN_04251	YPO3914
KPN_04012	YPO0035
KPN_04011	YPO3312
KPN_03164	YPO1025
KPN_00039	YPO0480
KPN_00041	YPO0482
KPN_03794	YPO3938
KPN_01132	YPO1332
KPN_01132	YPO2846
KPN_00040	YPO0481
KPN_00281	YPO3222
KPN_03796	YPO3940
KPN_00280	YPO3221
KPN_03795	YPO3939
KPN_03798	YPO3942
KPN_04645	YPO3455
KPN_03797	YPO3941
KPN_02468	YPO2601
KPN_03799	YPO3949
KPN_04646	YPO3454
KPN_00049	YPO0493
KPN_00046	YPO0490
KPN_00045	YPO0486
KPN_03792	YPO3937
KPN_03791	YPO0122
KPN_04627	YPO3519
KPN_04626	YPO3520
KPN_03779	YPO0132
KPN_03785	YPO3954
KPN_03543	YPO0844
KPN_02696	YPO2514
KPN_02696	YPO2612
KPN_02696	YPO2777
KPN_01365	YPO1410
KPN_01365	YPO0322
KPN_02697	YPO2776
KPN_02698	YPO2775
KPN_01125	YPO3353
KPN_03786	YPO0126
KPN_01126	YPO0463
KPN_03547	YPO0832
KPN_02699	YPO2774
KPN_01127	YPO0926
KPN_03304	YPO3347
KPN_01106	YPO1617
KPN_04615	YPO3525
KPN_03768	YPO0144
KPN_04621	YPO3521
KPN_02200	YPO2176
KPN_03773	YPO0138
KPN_04623	YPO3964
KPN_04623	YPO2256
KPN_04623	YPO4036
KPN_04623	YPO0958
KPN_04623	YPO1508
KPN_04623	YPO3907
KPN_02202	YPO1540
KPN_02202	YPO1539
KPN_02445	YPO2288
KPN_02687	YPO2566
KPN_04622	YPO3908
KPN_03536	YPO3980
KPN_02688	YPO2567
KPN_01116	YPO1629
KPN_04624	YPO3906
KPN_00024	YPO0477
KPN_00021	YPO0475
KPN_00020	YPO0474
KPN_02681	YPO2559
KPN_00008	YPO0463
KPN_00249	YPO3230
KPN_02668	YPO2545
KPN_01579	YPO3324
KPN_04847	YPO0452
KPN_03757	YPO0155
KPN_02669	YPO2546
KPN_04607	YPO3530
KPN_03517	YPO0584
KPN_03519	YPO0581
KPN_02671	YPO2548
KPN_03761	YPO3215
KPN_00250	YPO3225
KPN_03760	YPO0152
KPN_02672	YPO2549
KPN_02430	YPO1222
KPN_01583	YPO2830
KPN_03521	YPO0577
KPN_02673	YPO2550
KPN_02674	YPO2551
KPN_03520	YPO0579
KPN_02675	YPO2552
KPN_02676	YPO2553
KPN_03767	YPO0145
KPN_02677	YPO2554
KPN_01104	YPO1615
KPN_02678	YPO2555
KPN_00016	YPO0470
KPN_00256	YPO1290
KPN_00255	YPO2844
KPN_02670	YPO2547
KPN_03109	YPO3361
KPN_03108	YPO3360
KPN_03112	YPO3364
KPN_03354	YPO0920
KPN_03114	YPO3366
KPN_03356	YPO0922
KPN_04203	YPO1581
KPN_00082	YPO2293
KPN_03355	YPO0921
KPN_03113	YPO3365
KPN_03597	YPO3513
KPN_03357	YPO0926
KPN_03599	YPO3569
KPN_00080	YPO0533
KPN_03118	YPO3371
KPN_00089	YPO0550
KPN_03592	YPO3506
KPN_00088	YPO0549
KPN_04441	YPO1410
KPN_04441	YPO0322
KPN_03352	YPO0918
KPN_04440	YPO0321
KPN_04429	YPO0312
KPN_03339	YPO0905
KPN_04428	YPO0311
KPN_03343	YPO0909
KPN_02496	YPO3861
KPN_02497	YPO3862
KPN_03587	YPO3501
KPN_03586	YPO3500
KPN_01167	YPO3632
KPN_02499	YPO1541
KPN_03349	YPO0915
KPN_03106	YPO3358
KPN_03348	YPO0914
KPN_02490	YPO3861
KPN_00079	YPO0532
KPN_02491	YPO3862
KPN_00078	YPO0531
KPN_00077	YPO0530
KPN_03580	YPO1570
KPN_04430	YPO0313
KPN_03341	YPO0907
KPN_03340	YPO0906
KPN_04659	YPO3446
KPN_04663	YPO3443
KPN_02000	YPO2391
KPN_04421	YPO3716
KPN_00062	YPO2254
KPN_04665	YPO3441
KPN_00061	YPO2253
KPN_04423	YPO3714
KPN_00060	YPO3326
KPN_04422	YPO3715
KPN_04425	YPO3711
KPN_04424	YPO3712
KPN_04424	YPO3793
KPN_04427	YPO0310
KPN_02480	YPO1544
KPN_00067	YPO0522
KPN_02481	YPO1543
KPN_00066	YPO0521
KPN_02482	YPO1542
KPN_00065	YPO0520
KPN_00065	YPO2960
KPN_03318	YPO0888
KPN_01139	YPO1636
KPN_02229	YPO1958
KPN_03321	YPO0891
KPN_04652	YPO3697
KPN_04651	YPO3696
KPN_01144	YPO1641
KPN_04654	YPO1661
KPN_03323	YPO2635
KPN_03323	YPO0893
KPN_02475	YPO1549
KPN_04412	YPO3719
KPN_02476	YPO1548
KPN_02235	YPO2016
KPN_02477	YPO1547
KPN_04656	YPO3589
KPN_04413	YPO3718
KPN_02478	YPO1546
KPN_02237	YPO2014
KPN_02479	YPO1545
KPN_03569	YPO1285
KPN_02238	YPO2013
KPN_04657	YPO3588
KPN_02230	YPO2021
KPN_00316	YPO3771
KPN_00314	YPO0185
KPN_01646	YPO2509
KPN_00799	YPO1150
KPN_03825	YPO2844
KPN_02738	YPO2977
KPN_02743	YPO2982
KPN_02744	YPO2983
KPN_03813	YPO3796
KPN_03812	YPO3795
KPN_02726	YPO2744
KPN_03817	YPO3805
KPN_03816	YPO3804
KPN_03819	YPO3807
KPN_03818	YPO3806
KPN_03820	YPO3808
KPN_03822	YPO3808
KPN_01865	YPO4056
KPN_03801	YPO3953
KPN_02713	YPO2757
KPN_01866	YPO4057
KPN_00777	YPO1145
KPN_00778	YPO1146
KPN_00537	YPO3854
KPN_00779	YPO1147
KPN_02718	YPO2752
KPN_02719	YPO2751
KPN_00781	YPO1149
KPN_03811	YPO3794
KPN_03810	YPO3712
KPN_03810	YPO3793
KPN_02701	YPO2773
KPN_02702	YPO2772
KPN_00768	YPO1133
KPN_02705	YPO2769
KPN_02706	YPO2768
KPN_00771	YPO1137
KPN_00772	YPO1138
KPN_00773	YPO1139
KPN_02710	YPO2763
KPN_00119	YPO3418
KPN_00118	YPO3419
KPN_00116	YPO3854
KPN_02778	YPO1023
KPN_03626	YPO3023
KPN_02779	YPO3032
KPN_03625	YPO3558
KPN_01449	YPO2329
KPN_01207	YPO2164
KPN_01210	YPO3971
KPN_01211	YPO2167
KPN_02542	YPO4039
KPN_01455	YPO1166
KPN_03876	YPO3990
KPN_00126	YPO3412
KPN_00367	YPO3182
KPN_00366	YPO3183
KPN_00124	YPO3415
KPN_00120	YPO3417
KPN_00107	YPO3428
KPN_00106	YPO3430
KPN_02769	YPO3011
KPN_03858	YPO3967
KPN_02770	YPO3012
KPN_02771	YPO3013
KPN_02772	YPO3014
KPN_02773	YPO3015
KPN_01202	YPO2160
KPN_03624	YPO3557
KPN_01445	YPO1222
KPN_03866	YPO3977
KPN_01203	YPO2161
KPN_00355	YPO3193
KPN_00112	YPO3423
KPN_00111	YPO3424
KPN_00337	YPO3211
KPN_03846	YPO2421
KPN_03845	YPO2420
KPN_03606	YPO3576
KPN_03847	YPO2422
KPN_03608	YPO3578
KPN_02518	YPO1525
KPN_03607	YPO3577
KPN_02519	YPO1524
KPN_02761	YPO3011
KPN_02762	YPO2995
KPN_02762	YPO2993
KPN_00585	YPO1166
KPN_02764	YPO2995
KPN_02764	YPO2993
KPN_03852	YPO4001
KPN_00587	YPO1168
KPN_03854	YPO3999
KPN_00103	YPO0565
KPN_00344	YPO3200
KPN_00100	YPO0561
KPN_00342	YPO3202
