KPN_04005	RSBA7_01909
KPN_03036	RSBA7_00897
KPN_04249	RSBA7_02144
KPN_04008	RSBA7_01304
KPN_01090	RSBA7_01023
KPN_01091	RSBA7_01024
KPN_02180	RSBA7_01666
KPN_01092	RSBA7_01025
KPN_01093	RSBA7_01026
KPN_02061	RSBA7_02110
KPN_01096	RSBA7_01501
KPN_02055	RSBA7_01604
KPN_02176	RSBA7_01662
KPN_04478	RSBA7_01797
KPN_01089	RSBA7_01022
KPN_03268	RSBA7_01604
KPN_03389	RSBA7_01982
KPN_03388	RSBA7_01981
KPN_04239	RSBA7_00100
KPN_03029	RSBA7_00845
KPN_03380	RSBA7_00345
KPN_03140	RSBA7_02976
KPN_04350	RSBA7_02312
KPN_02295	RSBA7_03384
KPN_02054	RSBA7_01672
KPN_02054	RSBA7_02069
KPN_02175	RSBA7_01661
KPN_01197	RSBA7_02457
KPN_03375	RSBA7_00132
KPN_01198	RSBA7_01541
KPN_02169	RSBA7_02180
KPN_03016	RSBA7_04832
KPN_02160	RSBA7_01381
KPN_03130	RSBA7_01055
KPN_02162	RSBA7_02371
KPN_02162	RSBA7_00794
KPN_03132	RSBA7_03955
KPN_01074	RSBA7_00493
KPN_03131	RSBA7_01055
KPN_04329	RSBA7_00463
KPN_03123	RSBA7_01086
KPN_00096	RSBA7_02537
KPN_03244	RSBA7_01332
KPN_00095	RSBA7_02538
KPN_00094	RSBA7_02539
KPN_03124	RSBA7_01083
KPN_04576	RSBA7_01191
KPN_04337	RSBA7_00762
KPN_00091	RSBA7_02542
KPN_03126	RSBA7_01668
KPN_04339	RSBA7_02068
KPN_00090	RSBA7_02543
KPN_04217	RSBA7_02291
KPN_02392	RSBA7_04069
KPN_02392	RSBA7_04464
KPN_02393	RSBA7_04465
KPN_04331	RSBA7_00466
KPN_00918	RSBA7_04529
KPN_04289	RSBA7_00732
KPN_04288	RSBA7_00730
KPN_03194	RSBA7_04163
KPN_04282	RSBA7_01152
KPN_03193	RSBA7_04164
KPN_04287	RSBA7_03759
KPN_04286	RSBA7_04335
KPN_04286	RSBA7_03758
KPN_04157	RSBA7_00986
KPN_04399	RSBA7_00253
KPN_03183	RSBA7_02172
KPN_04271	RSBA7_00454
KPN_04395	RSBA7_01326
KPN_04152	RSBA7_01616
KPN_04152	RSBA7_03688
KPN_03184	RSBA7_02171
KPN_04155	RSBA7_01212
KPN_04397	RSBA7_00236
KPN_04154	RSBA7_04940
KPN_04154	RSBA7_01211
KPN_04396	RSBA7_01320
KPN_04267	RSBA7_01921
KPN_04388	RSBA7_00511
KPN_04387	RSBA7_02010
KPN_04269	RSBA7_00610
KPN_04142	RSBA7_03018
KPN_04141	RSBA7_03017
