BSU09290	RSPSI07_00405
BSU35580	RSPSI07_02383
BSU11250	RSPSI07_00859
BSU14400	RSPSI07_00608
BSU22700	RSPSI07_00494
BSU38050	RSPSI07_04258
BSU38170	RSPSI07_00548
BSU15730	RSPSI07_03177
BSU15610	RSPSI07_00995
BSU32750	RSPSI07_02376
BSU00910	RSPSI07_01656
BSU33040	RSPSI07_04455
BSU37760	RSPSI07_01714
BSU37760	RSPSI07_01715
BSU18440	RSPSI07_00499
BSU33720	RSPSI07_00895
BSU03060	RSPSI07_02327
BSU28120	RSPSI07_02593
BSU29210	RSPSI07_01386
BSU22140	RSPSI07_03829
BSU15860	RSPSI07_00138
BSU08070	RSPSI07_01752
BSU33390	RSPSI07_04329
BSU38040	RSPSI07_04257
BSU38160	RSPSI07_00549
BSU22830	RSPSI07_02937
BSU18570	RSPSI07_00612
BSU39370	RSPSI07_00821
BSU18450	RSPSI07_00498
BSU36660	RSPSI07_01331
BSU02400	RSPSI07_01714
BSU02400	RSPSI07_01715
BSU32740	RSPSI07_02375
BSU27600	RSPSI07_01212
BSU34920	RSPSI07_00511
BSU28250	RSPSI07_01377
BSU08860	RSPSI07_01935
BSU29220	RSPSI07_01246
BSU29220	RSPSI07_00702
BSU29220	RSPSI07_01459
BSU29340	RSPSI07_03844
BSU29340	RSPSI07_01103
BSU29340	RSPSI07_01257
BSU29340	RSPSI07_00029
BSU29340	RSPSI07_02785
BSU28130	RSPSI07_00474
BSU38990	RSPSI07_01576
BSU38990	RSPSI07_01109
BSU39720	RSPSI07_02027
BSU15510	RSPSI07_01488
BSU15190	RSPSI07_00624
BSU19310	RSPSI07_00325
BSU38630	RSPSI07_00773
BSU38630	RSPSI07_04771
BSU30230	RSPSI07_01791
BSU18220	RSPSI07_00596
BSU01780	RSPSI07_03082
BSU25310	RSPSI07_01279
BSU33500	RSPSI07_00086
BSU02510	RSPSI07_03965
BSU03600	RSPSI07_03635
BSU27610	RSPSI07_02876
BSU35920	RSPSI07_02294
BSU03280	RSPSI07_00995
BSU22960	RSPSI07_02789
BSU11710	RSPSI07_03150
BSU08850	RSPSI07_01934
BSU28260	RSPSI07_01376
BSU06430	RSPSI07_02681
BSU24340	RSPSI07_00683
BSU23250	RSPSI07_02537
BSU15520	RSPSI07_01490
BSU12010	RSPSI07_00608
BSU22730	RSPSI07_02073
BSU39390	RSPSI07_01714
BSU39390	RSPSI07_01715
BSU18470	RSPSI07_00653
BSU38500	RSPSI07_01487
BSU38860	RSPSI07_04296
BSU38980	RSPSI07_01577
BSU38980	RSPSI07_01110
BSU18230	RSPSI07_03036
BSU27860	RSPSI07_00966
