RSc0338	XFCFBP8418_023280
RSc2515	XFCFBP8418_023890
RSc1426	XFCFBP8418_021280
RSc2999	XFCFBP8418_023350
RSc2998	XFCFBP8418_003220
RSc1429	XFCFBP8418_004780
RSc0330	XFCFBP8418_025480
RSc0572	XFCFBP8418_011050
RSc1420	XFCFBP8418_022430
RSc2993	XFCFBP8418_023310
RSc2750	XFCFBP8418_000640
RSc2992	XFCFBP8418_023300
RSc2991	XFCFBP8418_006360
RSc0571	XFCFBP8418_011060
RSc0576	XFCFBP8418_013030
RSc1424	XFCFBP8418_021300
RSc1423	XFCFBP8418_015790
RSc2996	XFCFBP8418_023340
RSc0574	XFCFBP8418_026780
RSc2995	XFCFBP8418_023330
RSc0575	XFCFBP8418_013040
RSc1421	XFCFBP8418_022440
RSc2994	XFCFBP8418_023320
RSp0998	XFCFBP8418_006090
RSc0327	XFCFBP8418_020420
RSc1417	XFCFBP8418_024910
RSc2506	XFCFBP8418_012440
RSc2989	XFCFBP8418_019180
RSc1416	XFCFBP8418_024900
RSc2747	XFCFBP8418_021260
RSc1415	XFCFBP8418_024890
RSc2988	XFCFBP8418_003330
RSc1414	XFCFBP8418_024880
RSc2749	XFCFBP8418_007260
RSc1418	XFCFBP8418_024920
RSc2740	XFCFBP8418_026810
RSc2744	XFCFBP8418_019710
RSc0323	XFCFBP8418_022350
RSc0566	XFCFBP8418_014990
RSc1412	XFCFBP8418_024870
RSc1653	XFCFBP8418_026360
RSc2741	XFCFBP8418_025220
RSc1410	XFCFBP8418_024850
RSc0322	XFCFBP8418_022360
RSc0558	XFCFBP8418_011920
RSc0558	XFCFBP8418_014460
RSc1406	XFCFBP8418_024760
RSc1405	XFCFBP8418_012280
RSc0314	XFCFBP8418_022120
RSc1404	XFCFBP8418_012290
RSc0557	XFCFBP8418_011920
RSc0557	XFCFBP8418_014460
RSc2976	XFCFBP8418_008630
RSc1403	XFCFBP8418_015090
RSc1408	XFCFBP8418_024830
RSc1407	XFCFBP8418_024820
RSc0550	XFCFBP8418_025550
RSc2970	XFCFBP8418_004160
RSc0551	XFCFBP8418_015190
RSc0791	XFCFBP8418_004140
RSc0554	XFCFBP8418_011960
RSc1644	XFCFBP8418_022190
RSc0312	XFCFBP8418_018180
