YPO1049	RSCFB2957_01377
YPO2016	RSCFB2957_02701
YPO1048	RSCFB2957_01379
YPO2499	RSCFB2957_01222
YPO2256	RSCFB2957_04905
YPO2256	RSCFB2957_01221
YPO1166	RSCFB2957_02507
YPO1166	RSCFB2957_02943
YPO2014	RSCFB2957_00352
YPO1046	RSCFB2957_01375
YPO2013	RSCFB2957_00350
YPO2496	RSCFB2957_04883
YPO2496	RSCFB2957_04293
YPO3222	RSCFB2957_02615
YPO3221	RSCFB2957_02551
YPO1041	RSCFB2957_01361
YPO2372	RSCFB2957_00456
YPO2370	RSCFB2957_00765
YPO0070	RSCFB2957_01129
YPO0068	RSCFB2957_00313
YPO3215	RSCFB2957_02778
YPO3578	RSCFB2957_00368
YPO3577	RSCFB2957_00369
YPO0066	RSCFB2957_00311
YPO1395	RSCFB2957_02099
YPO1396	RSCFB2957_02398
YPO1151	RSCFB2957_00220
YPO1152	RSCFB2957_01454
YPO1391	RSCFB2957_00838
YPO1390	RSCFB2957_00837
YPO3569	RSCFB2957_02761
YPO0059	RSCFB2957_04144
YPO1146	RSCFB2957_04428
YPO0057	RSCFB2957_00531
YPO1389	RSCFB2957_00833
YPO0058	RSCFB2957_00845
YPO1023	RSCFB2957_02405
YPO0055	RSCFB2957_00692
YPO3443	RSCFB2957_02137
YPO0056	RSCFB2957_00691
YPO0053	RSCFB2957_00345
YPO3441	RSCFB2957_02267
YPO1022	RSCFB2957_01229
YPO3319	RSCFB2957_00770
YPO1139	RSCFB2957_04396
YPO0169	RSCFB2957_02682
YPO0048	RSCFB2957_02314
YPO1379	RSCFB2957_02176
YPO3557	RSCFB2957_02773
YPO0047	RSCFB2957_02342
YPO0047	RSCFB2957_02316
YPO0047	RSCFB2957_02343
YPO3312	RSCFB2957_02866
YPO1133	RSCFB2957_00309
YPO3796	RSCFB2957_01243
YPO0045	RSCFB2957_00135
YPO3795	RSCFB2957_01244
YPO2222	RSCFB2957_04512
YPO2221	RSCFB2957_01915
YPO3794	RSCFB2957_01245
YPO3793	RSCFB2957_01246
YPO3430	RSCFB2957_02625
YPO1374	RSCFB2957_02189
YPO0040	RSCFB2957_02038
YPO0161	RSCFB2957_04495
YPO0162	RSCFB2957_01705
YPO0160	RSCFB2957_04494
YPO0158	RSCFB2957_02272
YPO3305	RSCFB2957_00790
YPO0038	RSCFB2957_02036
YPO3788	RSCFB2957_03945
YPO1127	RSCFB2957_02302
YPO3424	RSCFB2957_02301
YPO2214	RSCFB2957_03896
YPO3423	RSCFB2957_02602
YPO0155	RSCFB2957_02679
YPO0152	RSCFB2957_02777
YPO3781	RSCFB2957_00418
YPO2692	RSCFB2957_03153
YPO3660	RSCFB2957_02583
YPO2691	RSCFB2957_03154
YPO2690	RSCFB2957_03155
YPO3419	RSCFB2957_01700
YPO3418	RSCFB2957_01699
YPO2329	RSCFB2957_02946
YPO1238	RSCFB2957_03046
YPO1238	RSCFB2957_00024
YPO3659	RSCFB2957_02584
YPO3417	RSCFB2957_01697
YPO2206	RSCFB2957_02684
YPO2206	RSCFB2957_03950
YPO3658	RSCFB2957_02585
YPO3779	RSCFB2957_00421
YPO2205	RSCFB2957_03949
YPO2205	RSCFB2957_02685
YPO1599	RSCFB2957_00977
YPO1115	RSCFB2957_00520
YPO3899	RSCFB2957_00533
YPO1116	RSCFB2957_00521
YPO2204	RSCFB2957_01893
YPO0024	RSCFB2957_04142
YPO0024	RSCFB2957_01237
YPO0145	RSCFB2957_02784
YPO1597	RSCFB2957_00975
YPO1113	RSCFB2957_01248
YPO1598	RSCFB2957_00976
YPO1114	RSCFB2957_01249
YPO1111	RSCFB2957_01905
YPO1112	RSCFB2957_01904
YPO3530	RSCFB2957_03137
YPO3771	RSCFB2957_02797
YPO1108	RSCFB2957_01902
YPO3407	RSCFB2957_00231
YPO3769	RSCFB2957_00709
YPO3767	RSCFB2957_02148
YPO3525	RSCFB2957_00762
YPO0378	RSCFB2957_01201
YPO3403	RSCFB2957_02541
YPO3402	RSCFB2957_02245
YPO3401	RSCFB2957_02446
YPO2554	RSCFB2957_01969
YPO2433	RSCFB2957_01732
YPO1587	RSCFB2957_00448
YPO0253	RSCFB2957_01866
YPO3400	RSCFB2957_02444
YPO3521	RSCFB2957_02197
YPO3520	RSCFB2957_02028
YPO0493	RSCFB2957_00479
YPO2551	RSCFB2957_01965
YPO3760	RSCFB2957_02415
YPO0490	RSCFB2957_00680
YPO3519	RSCFB2957_02580
YPO0008	RSCFB2957_00939
YPO2429	RSCFB2957_01728
YPO2549	RSCFB2957_01963
YPO2428	RSCFB2957_01727
YPO0006	RSCFB2957_01677
YPO0006	RSCFB2957_04336
YPO2548	RSCFB2957_01962
YPO3999	RSCFB2957_01850
YPO3999	RSCFB2957_02663
YPO0246	RSCFB2957_02575
YPO2425	RSCFB2957_02256
YPO2303	RSCFB2957_02540
YPO2303	RSCFB2957_04177
YPO1215	RSCFB2957_00828
YPO2545	RSCFB2957_01959
YPO3513	RSCFB2957_02619
YPO2302	RSCFB2957_04175
YPO2302	RSCFB2957_02543
YPO0486	RSCFB2957_00887
YPO2422	RSCFB2957_01300
YPO2421	RSCFB2957_01299
YPO1332	RSCFB2957_01559
YPO2420	RSCFB2957_01297
YPO0364	RSCFB2957_03466
YPO3992	RSCFB2957_00286
YPO0482	RSCFB2957_01803
YPO0241	RSCFB2957_00077
YPO0480	RSCFB2957_02555
YPO0481	RSCFB2957_01805
YPO1570	RSCFB2957_02418
YPO1207	RSCFB2957_04861
YPO2539	RSCFB2957_04179
YPO4037	RSCFB2957_04904
YPO4036	RSCFB2957_04905
YPO4036	RSCFB2957_01221
YPO4035	RSCFB2957_04906
YPO3183	RSCFB2957_00716
YPO3062	RSCFB2957_01112
YPO3182	RSCFB2957_00713
YPO3180	RSCFB2957_02567
YPO0907	RSCFB2957_03060
YPO0905	RSCFB2957_03062
YPO0906	RSCFB2957_03061
YPO3179	RSCFB2957_02568
YPO3177	RSCFB2957_02122
YPO3176	RSCFB2957_02123
YPO3053	RSCFB2957_01358
YPO3167	RSCFB2957_02715
YPO3166	RSCFB2957_02716
YPO3286	RSCFB2957_00741
YPO3286	RSCFB2957_02475
YPO3165	RSCFB2957_02717
YPO3164	RSCFB2957_02718
YPO2074	RSCFB2957_00499
YPO2074	RSCFB2957_02654
YPO3162	RSCFB2957_00147
YPO4127	RSCFB2957_03097
YPO4126	RSCFB2957_03096
YPO4125	RSCFB2957_03095
YPO2067	RSCFB2957_04464
YPO3034	RSCFB2957_02566
YPO3034	RSCFB2957_02025
YPO2066	RSCFB2957_04840
YPO4123	RSCFB2957_03093
YPO4001	RSCFB2957_01352
YPO4122	RSCFB2957_03092
YPO4000	RSCFB2957_01849
YPO4000	RSCFB2957_02664
YPO4121	RSCFB2957_03091
YPO3032	RSCFB2957_02091
YPO4120	RSCFB2957_04060
YPO4120	RSCFB2957_03090
YPO4119	RSCFB2957_00171
YPO4118	RSCFB2957_00172
YPO4117	RSCFB2957_01794
YPO4116	RSCFB2957_01793
YPO3389	RSCFB2957_00665
YPO4115	RSCFB2957_01792
YPO4114	RSCFB2957_01791
YPO2054	RSCFB2957_00428
YPO3142	RSCFB2957_00299
YPO2053	RSCFB2957_00426
YPO2174	RSCFB2957_00843
YPO2293	RSCFB2957_01985
YPO3380	RSCFB2957_01734
YPO1199	RSCFB2957_02381
YPO3015	RSCFB2957_01315
YPO3377	RSCFB2957_01093
YPO3014	RSCFB2957_01320
YPO2167	RSCFB2957_02628
YPO2288	RSCFB2957_03402
YPO3376	RSCFB2957_01096
YPO3013	RSCFB2957_01321
YPO3012	RSCFB2957_01322
YPO3132	RSCFB2957_04069
YPO3132	RSCFB2957_00015
YPO3011	RSCFB2957_00847
YPO1075	RSCFB2957_01121
YPO1072	RSCFB2957_00851
YPO1073	RSCFB2957_00850
YPO2160	RSCFB2957_01537
YPO2158	RSCFB2957_01549
YPO2157	RSCFB2957_02559
YPO3366	RSCFB2957_02274
YPO1068	RSCFB2957_02612
YPO3123	RSCFB2957_00373
YPO3365	RSCFB2957_02273
YPO3244	RSCFB2957_00502
YPO3364	RSCFB2957_03362
YPO3364	RSCFB2957_02989
YPO3361	RSCFB2957_01652
YPO3360	RSCFB2957_01651
YPO1060	RSCFB2957_01136
YPO3118	RSCFB2957_02401
YPO3117	RSCFB2957_02458
YPO3358	RSCFB2957_01179
YPO2147	RSCFB2957_00856
